symbol,date,open,high,low,close,volume
MARCO,2023-10-13,54.2,58.7,52.0,57.2,1338002
MARCO,2023-10-16,58.0,58.95,52.0,54.0,396002
MARCO,2023-10-17,55.35,55.8,53.9,54.5,198001
MARCO,2023-10-18,54.95,55.0,49.5,52.0,147001
MARCO,2023-10-19,52.0,53.9,50.0,53.9,111001
MARCO,2023-10-20,53.8,55.5,52.0,53.0,195001
MARCO,2023-10-23,53.85,53.9,47.5,47.5,168001
MARCO,2023-10-25,48.25,51.4,47.0,49.9,105001
MARCO,2023-10-26,50.0,50.0,47.55,48.25,39001
MARCO,2023-10-27,50.0,53.0,50.0,52.45,126001
MARCO,2023-10-30,54.4,54.85,52.0,52.0,72001
MARCO,2023-10-31,52.0,52.0,50.35,51.95,69001
MARCO,2023-11-01,51.5,52.0,49.7,52.0,57001
MARCO,2023-11-02,51.05,52.0,50.05,51.4,99001
MARCO,2023-11-03,50.4,50.5,48.25,48.25,81001
MARCO,2023-11-06,49.9,54.95,49.9,54.9,261001
MARCO,2023-11-07,57.0,62.0,57.0,61.3,555001
MARCO,2023-11-08,61.7,65.8,61.7,64.5,267001
MARCO,2023-11-09,65.0,65.4,61.1,61.45,162001
MARCO,2023-11-10,63.0,64.3,60.0,63.1,96001
MARCO,2023-11-12,63.0,64.0,62.0,62.0,21000
MARCO,2023-11-13,60.3,63.0,60.3,61.05,51001
MARCO,2023-11-15,59.8,61.45,56.6,59.0,237001
MARCO,2023-11-16,59.0,61.45,58.1,59.35,75001
MARCO,2023-11-17,59.5,60.95,58.5,58.5,69001
MARCO,2023-11-20,61.0,63.0,61.0,61.8,117001
MARCO,2023-11-21,62.8,63.95,61.25,62.5,75001
MARCO,2023-11-22,62.35,62.85,59.25,60.0,102001
MARCO,2023-11-23,59.1,61.0,59.0,59.2,63001
MARCO,2023-11-24,60.9,60.95,59.9,60.95,30001
MARCO,2023-11-28,60.95,62.15,59.0,60.0,42001
MARCO,2023-11-29,61.0,61.0,59.2,59.2,24001
MARCO,2023-11-30,59.0,60.95,59.0,60.0,57001
MARCO,2023-12-01,59.25,59.25,58.9,59.0,18001
MARCO,2023-12-04,59.0,60.45,58.5,58.85,75001
MARCO,2023-12-05,60.9,60.9,58.5,59.1,51001
MARCO,2023-12-06,58.1,58.95,57.3,57.3,42001
MARCO,2023-12-07,57.65,60.0,57.65,59.45,48001
MARCO,2023-12-08,59.95,59.95,58.3,58.3,33001
MARCO,2023-12-11,57.35,57.35,56.2,56.5,54002
MARCO,2023-12-12,56.05,56.1,52.0,52.0,90002
MARCO,2023-12-13,55.0,55.0,52.0,52.0,24001
MARCO,2023-12-14,52.0,52.95,51.05,51.5,45001
MARCO,2023-12-15,53.0,53.0,51.7,51.7,42001
MARCO,2023-12-18,52.0,54.0,51.75,54.0,39001
MARCO,2023-12-19,54.5,54.5,53.25,54.0,30001
MARCO,2023-12-20,53.5,53.5,50.0,50.0,30001
MARCO,2023-12-21,49.95,52.8,49.0,52.8,60001
MARCO,2023-12-22,52.0,52.75,50.35,52.75,15001
MARCO,2023-12-26,51.0,52.65,51.0,52.65,30001
MARCO,2023-12-27,52.0,52.75,51.35,51.35,27001
MARCO,2023-12-28,51.5,52.0,51.0,51.0,12001
MARCO,2023-12-29,51.0,51.0,49.0,49.0,51001
MARCO,2024-01-01,51.1,51.1,50.05,51.0,27001
MARCO,2024-01-02,51.0,51.7,50.55,51.7,30001
MARCO,2024-01-03,52.0,52.0,50.3,50.6,24001
MARCO,2024-01-04,54.6,60.8,54.6,60.8,348002
MARCO,2024-01-05,63.55,65.0,58.2,58.3,261001
MARCO,2024-01-08,58.9,61.6,56.4,57.9,123001
MARCO,2024-01-09,57.1,58.9,57.1,57.5,54001
MARCO,2024-01-10,59.55,59.55,57.95,58.65,21001
MARCO,2024-01-11,60.5,61.5,59.1,59.1,90001
MARCO,2024-01-12,58.95,60.6,58.0,60.6,57001
MARCO,2024-01-15,61.0,63.7,60.0,61.0,138001
MARCO,2024-01-16,59.85,59.85,59.0,59.05,39001
MARCO,2024-01-17,59.0,59.4,57.0,57.0,51001
MARCO,2024-01-18,57.55,57.55,54.95,55.9,144002
MARCO,2024-01-19,56.45,58.85,56.1,58.85,60001
MARCO,2024-01-20,58.9,58.9,57.75,57.75,30001
MARCO,2024-01-23,57.0,57.0,54.5,54.65,84000
MARCO,2024-01-24,54.0,56.5,54.0,55.6,30001
MARCO,2024-01-25,56.5,60.45,56.5,60.45,162001
MARCO,2024-01-29,60.4,60.4,58.15,58.15,57001
MARCO,2024-01-30,58.5,58.5,56.0,56.05,75001
MARCO,2024-01-31,56.05,57.95,56.05,57.95,33001
MARCO,2024-02-01,58.1,58.75,57.0,57.5,33001
MARCO,2024-02-02,56.55,56.55,54.85,56.0,60001
MARCO,2024-02-05,56.95,58.5,56.15,56.15,69001
MARCO,2024-02-06,57.5,57.95,56.6,57.9,39001
MARCO,2024-02-07,58.5,58.5,56.5,57.6,30001
MARCO,2024-02-08,57.3,57.3,57.3,57.3,3001
MARCO,2024-02-09,57.1,57.1,55.1,55.1,36001
MARCO,2024-02-12,55.0,55.0,53.0,53.1,30001
MARCO,2024-02-13,52.5,53.85,52.5,53.85,24001
MARCO,2024-02-14,52.75,54.0,52.75,54.0,6001
MARCO,2024-02-15,54.5,54.9,53.5,53.5,42001
MARCO,2024-02-16,53.2,54.3,53.15,54.3,12002
MARCO,2024-02-19,54.5,54.95,54.45,54.95,18001
MARCO,2024-02-20,53.75,53.75,53.75,53.75,3001
MARCO,2024-02-22,53.8,53.8,53.0,53.0,15001
MARCO,2024-02-23,53.0,55.0,53.0,53.5,27001
