symbol,date,open,high,low,close,volume
MASFIN,2017-10-18,660.0,681.5,625.0,654.4,17942727
MASFIN,2017-10-19,655.0,664.0,653.0,658.9,719867
MASFIN,2017-10-23,659.9,682.0,640.8,674.65,1693246
MASFIN,2017-10-24,670.0,701.95,650.0,670.0,1259959
MASFIN,2017-10-25,675.0,679.0,646.3,655.5,888300
MASFIN,2017-10-26,658.4,665.0,643.1,660.15,309951
MASFIN,2017-10-27,660.0,673.7,660.0,668.55,304034
MASFIN,2017-10-30,668.55,668.55,652.0,659.25,144051
MASFIN,2017-10-31,655.0,663.0,632.0,636.9,222813
MASFIN,2017-11-01,638.0,660.0,631.05,658.25,249850
MASFIN,2017-11-02,655.0,655.0,642.75,645.8,73029
MASFIN,2017-11-03,646.0,656.0,641.0,642.0,58675
MASFIN,2017-11-06,641.0,644.85,629.0,635.5,70049
MASFIN,2017-11-07,638.05,645.0,618.0,619.8,104453
MASFIN,2017-11-08,621.05,632.0,590.6,607.65,182516
MASFIN,2017-11-09,610.0,614.85,585.05,592.75,112162
MASFIN,2017-11-10,593.0,596.0,576.15,580.0,75410
MASFIN,2017-11-13,582.15,589.0,565.05,582.85,60995
MASFIN,2017-11-14,585.0,614.45,585.0,610.25,135153
MASFIN,2017-11-15,613.0,615.0,582.1,588.55,201176
MASFIN,2017-11-16,599.0,604.45,585.0,589.7,115609
MASFIN,2017-11-17,589.7,602.0,585.0,589.6,75332
MASFIN,2017-11-20,589.6,596.4,586.05,589.05,60575
MASFIN,2017-11-21,594.0,608.05,592.0,593.7,151252
MASFIN,2017-11-22,597.0,638.4,595.0,614.25,189555
MASFIN,2017-11-23,615.05,630.05,606.9,614.15,87064
MASFIN,2017-11-24,614.0,626.25,613.95,619.95,318259
MASFIN,2017-11-27,611.0,623.6,608.05,616.4,43534
MASFIN,2017-11-28,618.0,624.0,612.0,617.75,55006
MASFIN,2017-11-29,614.05,653.0,614.05,649.7,271501
MASFIN,2017-11-30,647.9,664.85,641.0,646.75,180199
MASFIN,2017-12-01,648.65,664.0,630.0,639.65,247690
MASFIN,2017-12-04,642.3,642.3,624.0,627.1,34354
MASFIN,2017-12-05,626.0,658.4,616.05,650.75,72791
MASFIN,2017-12-06,650.75,651.1,635.0,636.6,32954
MASFIN,2017-12-07,631.55,649.0,631.55,638.7,87457
MASFIN,2017-12-08,637.0,646.0,622.1,636.55,41527
MASFIN,2017-12-11,636.55,658.75,628.5,639.55,90857
MASFIN,2017-12-12,642.25,645.55,609.4,614.45,97437
MASFIN,2017-12-13,611.0,624.9,609.5,619.0,40655
MASFIN,2017-12-14,628.0,667.7,603.0,649.7,157372
MASFIN,2017-12-15,651.0,656.0,631.4,637.4,39195
MASFIN,2017-12-18,635.5,645.0,610.2,641.2,23248
MASFIN,2017-12-19,646.0,650.0,630.0,641.85,73834
MASFIN,2017-12-20,640.9,645.0,630.0,631.8,37251
MASFIN,2017-12-21,626.8,641.1,626.1,628.15,31921
MASFIN,2017-12-22,633.15,639.8,626.2,629.45,15094
MASFIN,2017-12-26,630.0,632.95,621.1,623.05,23904
MASFIN,2017-12-27,630.0,630.0,621.0,622.95,11769
MASFIN,2017-12-28,623.0,628.95,621.0,625.05,26357
MASFIN,2017-12-29,620.0,630.0,607.6,626.75,51685
MASFIN,2018-01-01,623.0,628.45,620.5,625.3,10218
MASFIN,2018-01-02,620.7,628.0,614.15,615.35,12241
MASFIN,2018-01-03,620.0,623.05,612.0,614.15,15775
MASFIN,2018-01-04,617.1,620.95,607.0,608.55,23366
MASFIN,2018-01-05,604.6,617.6,599.35,609.2,108637
MASFIN,2018-01-08,610.8,619.6,610.8,612.0,18480
MASFIN,2018-01-09,611.0,634.8,611.0,622.4,203266
MASFIN,2018-01-10,623.0,630.15,612.15,627.2,22385
MASFIN,2018-01-11,627.5,630.65,624.1,626.15,23195
MASFIN,2018-01-12,640.0,658.9,639.95,645.8,246756
MASFIN,2018-01-15,655.0,655.45,630.0,637.35,28039
MASFIN,2018-01-16,642.0,645.0,617.0,623.3,57175
MASFIN,2018-01-17,620.0,635.25,610.0,624.65,55185
MASFIN,2018-01-18,634.0,634.0,615.2,623.3,30033
MASFIN,2018-01-19,623.3,640.0,615.0,626.05,80171
MASFIN,2018-01-22,629.0,642.5,619.2,638.7,28898
MASFIN,2018-01-23,640.0,649.0,635.15,647.45,77151
MASFIN,2018-01-24,647.45,657.0,635.1,643.25,188240
MASFIN,2018-01-25,638.0,645.35,630.0,634.5,82953
MASFIN,2018-01-29,635.0,643.95,635.0,640.2,23268
MASFIN,2018-01-30,639.8,642.6,623.0,638.45,35572
MASFIN,2018-01-31,632.95,642.0,611.05,628.9,37947
MASFIN,2018-02-01,629.85,642.0,620.0,638.9,32577
MASFIN,2018-02-02,621.0,631.05,610.05,618.05,28806
MASFIN,2018-02-05,607.0,630.0,600.0,625.0,26262
MASFIN,2018-02-06,624.7,624.7,596.95,607.3,80056
MASFIN,2018-02-07,610.05,615.0,590.5,595.8,48819
MASFIN,2018-02-08,604.75,604.75,595.2,599.3,22930
MASFIN,2018-02-09,598.0,627.0,590.0,614.85,36252
MASFIN,2018-02-12,609.4,620.0,606.2,610.1,125096
MASFIN,2018-02-14,611.3,620.0,611.0,619.2,8516
MASFIN,2018-02-15,615.0,623.35,610.9,615.25,8101
MASFIN,2018-02-16,613.25,621.7,608.5,616.45,12379
MASFIN,2018-02-19,622.0,622.0,607.0,613.4,113199
MASFIN,2018-02-20,612.25,620.05,610.05,617.65,8911
MASFIN,2018-02-21,609.0,619.4,600.55,603.15,32403
MASFIN,2018-02-22,602.0,608.2,597.0,600.8,30554
MASFIN,2018-02-23,602.05,606.0,598.0,601.0,20413
MASFIN,2018-02-26,596.4,606.45,593.05,599.85,15870
MASFIN,2018-02-27,597.65,605.0,594.1,599.7,72833
