symbol,date,open,high,low,close,volume
MASKINVEST,2016-10-14,7.5,7.5,7.5,7.5,800
MASKINVEST,2016-10-21,7.875,7.875,7.875,7.875,2
MASKINVEST,2016-10-27,8.25,8.25,8.25,8.25,2
MASKINVEST,2016-10-28,8.65,8.65,8.65,8.65,2
MASKINVEST,2016-11-02,9.075,9.075,9.075,9.075,2
MASKINVEST,2016-11-03,9.525,9.525,9.525,9.525,792
MASKINVEST,2016-11-10,10.0,10.0,10.0,10.0,4
MASKINVEST,2016-12-20,10.5,10.5,10.5,10.5,200
MASKINVEST,2017-02-06,11.025,11.025,11.025,11.025,156
MASKINVEST,2017-04-11,11.575,11.575,11.575,11.575,400
MASKINVEST,2017-06-13,12.15,12.15,12.15,12.15,600
MASKINVEST,2017-06-16,12.75,12.75,12.75,12.75,360
MASKINVEST,2017-06-21,13.375,13.375,13.375,13.375,200
MASKINVEST,2017-06-23,12.725,12.725,12.725,12.725,400
MASKINVEST,2017-11-22,12.5,12.5,12.5,12.5,444
MASKINVEST,2017-11-27,13.125,13.125,13.125,13.125,404
MASKINVEST,2017-12-04,13.775,13.775,13.775,13.775,204
MASKINVEST,2017-12-08,14.45,14.45,14.45,14.45,44
MASKINVEST,2017-12-11,15.15,15.15,15.0,15.0,74
MASKINVEST,2017-12-12,15.825,15.825,15.8,15.8,504
MASKINVEST,2017-12-13,16.575,16.575,16.575,16.575,8
MASKINVEST,2017-12-14,17.4,17.4,17.4,17.4,44
MASKINVEST,2017-12-20,18.25,18.25,18.25,18.25,60
MASKINVEST,2017-12-21,19.15,19.15,19.15,19.15,6
MASKINVEST,2017-12-22,20.1,20.1,20.1,20.1,6
MASKINVEST,2017-12-27,21.1,21.1,21.1,21.1,2
MASKINVEST,2017-12-29,22.15,22.15,22.15,22.15,6
MASKINVEST,2018-01-01,23.25,23.25,23.25,23.25,6
MASKINVEST,2018-01-05,24.4,24.4,24.4,24.4,6
MASKINVEST,2018-01-08,25.6,25.6,25.6,25.6,6
MASKINVEST,2018-01-09,26.875,26.875,26.875,26.875,6
MASKINVEST,2018-01-10,28.2,28.2,28.2,28.2,104
MASKINVEST,2018-01-11,29.6,29.6,29.6,29.6,6
MASKINVEST,2018-01-12,31.075,31.075,31.075,31.075,6
MASKINVEST,2018-01-17,34.25,34.25,34.25,34.25,80
MASKINVEST,2018-01-19,35.95,35.95,35.95,35.95,164
MASKINVEST,2018-02-01,37.725,37.725,37.725,37.725,404
MASKINVEST,2018-03-07,39.6,39.6,39.6,39.6,6
MASKINVEST,2018-03-08,41.575,41.575,41.575,41.575,6
MASKINVEST,2018-03-09,43.65,43.65,43.65,43.65,6
MASKINVEST,2018-03-12,45.825,45.825,45.825,45.825,18
MASKINVEST,2018-03-13,48.1,48.1,48.1,48.1,24
MASKINVEST,2018-03-14,50.5,50.5,50.5,50.5,10
MASKINVEST,2018-03-16,53.025,53.025,53.025,53.025,8
MASKINVEST,2018-03-19,55.675,55.675,55.675,55.675,2010
MASKINVEST,2018-03-20,58.45,58.45,58.45,58.45,6424
MASKINVEST,2018-03-21,61.35,61.35,61.35,61.35,21004
MASKINVEST,2018-03-22,64.35,64.4,64.35,64.4,28872
MASKINVEST,2018-03-23,67.45,67.6,65.0,67.6,50696
MASKINVEST,2018-03-26,70.875,70.975,64.225,70.975,55690
MASKINVEST,2018-03-27,67.45,74.5,67.45,67.45,11414
MASKINVEST,2018-03-28,64.1,64.1,64.1,64.1,104
MASKINVEST,2018-04-03,60.9,60.9,60.9,60.9,104
MASKINVEST,2018-04-04,57.875,57.875,57.875,57.875,404
MASKINVEST,2018-04-06,55.0,55.0,55.0,55.0,8
MASKINVEST,2018-04-10,52.25,52.25,52.25,52.25,404
MASKINVEST,2018-05-14,49.65,49.65,49.65,49.65,6
MASKINVEST,2018-07-10,47.175,47.175,47.175,47.175,4
MASKINVEST,2018-07-11,44.825,44.825,44.825,44.825,4
MASKINVEST,2018-07-16,42.6,42.6,42.6,42.6,4
MASKINVEST,2018-07-25,40.475,40.475,40.475,40.475,4
MASKINVEST,2018-11-27,38.475,38.475,38.475,38.475,8
MASKINVEST,2018-12-06,36.575,36.575,36.575,36.575,4
MASKINVEST,2019-01-16,34.75,34.75,34.75,34.75,4
MASKINVEST,2019-01-17,33.025,33.025,33.025,33.025,10
MASKINVEST,2019-01-24,31.375,31.375,31.375,31.375,46
MASKINVEST,2019-01-25,29.825,29.825,29.825,29.825,12
MASKINVEST,2019-01-31,28.35,28.35,28.35,28.35,4
MASKINVEST,2019-02-07,26.95,26.95,26.95,26.95,4
MASKINVEST,2019-02-08,25.625,25.625,25.625,25.625,4
MASKINVEST,2019-02-13,24.35,24.35,24.35,24.35,4
MASKINVEST,2019-02-20,23.15,23.15,23.15,23.15,4
MASKINVEST,2019-02-22,22.0,22.0,22.0,22.0,246
MASKINVEST,2019-02-25,20.9,20.9,20.9,20.9,120
MASKINVEST,2019-02-26,19.875,19.875,19.875,19.875,20
MASKINVEST,2019-02-27,18.9,18.9,18.9,18.9,222
MASKINVEST,2019-03-01,17.975,17.975,17.975,17.975,2534
MASKINVEST,2019-03-05,17.1,17.975,17.1,17.975,7676
MASKINVEST,2019-03-06,17.6,17.975,17.125,17.5,772
MASKINVEST,2019-03-07,17.0,17.0,16.625,16.625,992
MASKINVEST,2019-03-08,16.5,16.5,15.8,15.8,944
MASKINVEST,2019-03-11,15.025,15.025,15.025,15.025,246
MASKINVEST,2019-03-13,15.025,15.025,15.025,15.025,332
MASKINVEST,2019-03-14,14.925,14.925,14.275,14.275,374
MASKINVEST,2019-03-20,13.575,13.575,13.575,13.575,2748
MASKINVEST,2019-03-22,12.9,12.9,12.9,12.9,1200
MASKINVEST,2019-03-25,12.5,12.9,12.275,12.275,4482
MASKINVEST,2019-03-26,11.675,11.675,11.675,11.675,148
MASKINVEST,2019-03-27,11.1,11.1,11.1,11.1,910
MASKINVEST,2019-03-28,10.55,10.55,10.55,10.55,1322
MASKINVEST,2019-03-29,10.55,10.55,10.025,10.025,1464
MASKINVEST,2019-04-01,10.025,10.025,9.525,10.025,3912
MASKINVEST,2019-04-02,10.025,10.525,10.025,10.525,586
MASKINVEST,2019-04-03,10.0,11.05,10.0,10.0,3958
MASKINVEST,2019-04-04,10.275,10.275,9.775,10.275,422
MASKINVEST,2019-04-05,10.775,10.775,10.775,10.775,892
MASKINVEST,2019-04-08,11.3,11.3,11.3,11.3,1288
MASKINVEST,2019-04-09,11.85,11.85,11.85,11.85,610
MASKINVEST,2019-04-10,12.425,12.425,12.425,12.425,540
MASKINVEST,2019-04-11,13.025,13.025,13.025,13.025,776
MASKINVEST,2019-04-12,13.675,13.675,13.675,13.675,792
MASKINVEST,2019-04-15,14.35,14.35,14.35,14.35,432
MASKINVEST,2019-04-16,15.05,15.05,15.05,15.05,1300
MASKINVEST,2019-04-18,15.8,15.8,15.8,15.8,1220
MASKINVEST,2019-04-22,16.575,16.575,16.5,16.575,3448
MASKINVEST,2019-04-23,17.4,17.4,17.4,17.4,178
MASKINVEST,2019-04-24,18.25,18.25,18.25,18.25,204
MASKINVEST,2019-04-25,19.15,19.15,19.15,19.15,20
MASKINVEST,2019-04-26,20.1,20.1,20.1,20.1,1724
MASKINVEST,2019-04-30,21.1,21.1,21.1,21.1,688
MASKINVEST,2019-05-02,22.15,22.15,22.15,22.15,366
MASKINVEST,2019-05-03,23.25,23.25,23.25,23.25,290
MASKINVEST,2019-05-06,24.4,24.4,24.4,24.4,1210
MASKINVEST,2019-05-07,25.6,25.6,25.55,25.6,3364
MASKINVEST,2019-05-08,26.875,26.875,26.875,26.875,1302
MASKINVEST,2019-05-09,28.2,28.2,28.2,28.2,4336
MASKINVEST,2019-05-10,29.6,29.6,29.6,29.6,1428
MASKINVEST,2019-05-13,31.075,31.075,31.075,31.075,1858
MASKINVEST,2019-05-14,32.625,32.625,32.625,32.625,740
MASKINVEST,2019-05-15,34.25,34.25,34.25,34.25,4
MASKINVEST,2019-05-16,35.95,35.95,32.55,32.55,2132
MASKINVEST,2019-05-17,30.925,30.925,30.925,30.925,4
MASKINVEST,2019-05-20,29.4,29.4,29.4,29.4,24
MASKINVEST,2019-05-21,27.95,27.95,27.95,27.95,706
MASKINVEST,2019-05-22,26.575,26.575,26.575,26.575,4
MASKINVEST,2019-05-23,25.25,25.25,25.25,25.25,526
MASKINVEST,2019-05-24,24.0,24.0,24.0,24.0,626
MASKINVEST,2019-05-27,22.8,22.8,22.8,22.8,6
MASKINVEST,2019-05-28,21.675,21.675,21.675,21.675,4
MASKINVEST,2019-05-29,20.6,20.6,20.6,20.6,202
MASKINVEST,2019-05-30,19.575,19.575,19.575,19.575,246
MASKINVEST,2019-05-31,18.6,18.6,18.6,18.6,404
MASKINVEST,2019-06-03,17.675,17.675,17.675,17.675,318
MASKINVEST,2019-06-04,16.8,18.55,16.8,18.55,4198
MASKINVEST,2019-06-06,19.425,19.425,19.425,19.425,1234
MASKINVEST,2019-06-07,20.375,20.375,20.375,20.375,246
MASKINVEST,2019-06-10,21.375,21.375,20.475,20.5,2412
MASKINVEST,2019-06-11,20.5,21.525,20.5,21.525,306
MASKINVEST,2019-06-12,20.5,22.6,20.5,22.6,2466
MASKINVEST,2019-06-13,23.65,23.725,21.475,23.475,1700
MASKINVEST,2019-06-14,23.475,24.625,22.5,22.5,622
MASKINVEST,2019-06-17,23.65,23.65,22.525,23.6,34
MASKINVEST,2019-06-18,24.775,24.775,24.775,24.775,210
MASKINVEST,2019-06-19,26.0,26.0,25.5,25.5,116
MASKINVEST,2019-06-20,26.5,26.5,24.25,24.25,1316
MASKINVEST,2019-06-21,23.05,23.05,23.05,23.05,4
MASKINVEST,2019-06-25,21.9,21.9,21.9,21.9,4
MASKINVEST,2019-06-26,20.825,20.825,20.825,20.825,6
MASKINVEST,2019-07-01,20.825,20.825,19.8,19.8,8
MASKINVEST,2019-07-02,18.825,18.825,18.825,18.825,14
MASKINVEST,2019-07-03,18.825,18.825,18.5,18.5,226
MASKINVEST,2019-07-04,17.575,17.575,17.575,17.575,68
MASKINVEST,2019-07-05,16.7,16.7,16.7,16.7,146
MASKINVEST,2019-07-08,15.875,15.875,15.875,15.875,4
MASKINVEST,2019-07-09,16.625,16.625,15.1,16.625,1370
MASKINVEST,2019-07-10,17.4,17.4,17.4,17.4,1288
MASKINVEST,2019-07-11,18.25,18.25,16.55,17.7,858
MASKINVEST,2019-07-12,18.575,18.575,17.5,18.575,950
MASKINVEST,2019-07-15,19.475,19.475,19.475,19.475,846
MASKINVEST,2019-07-16,20.4,20.4,18.525,20.4,1738
MASKINVEST,2019-07-17,20.4,20.4,20.4,20.4,4
MASKINVEST,2019-07-18,20.0,20.0,20.0,20.0,4
MASKINVEST,2019-07-19,19.0,19.95,19.0,19.95,204
MASKINVEST,2019-07-22,18.975,18.975,18.975,18.975,4
MASKINVEST,2019-07-23,19.875,19.875,19.55,19.55,204
MASKINVEST,2019-07-24,20.5,20.5,20.5,20.5,4
MASKINVEST,2019-07-25,20.5,21.5,20.5,21.5,52
MASKINVEST,2019-07-29,22.575,22.575,22.5,22.5,64
MASKINVEST,2019-09-05,23.6,23.6,22.0,22.0,6
MASKINVEST,2019-09-06,22.0,22.0,22.0,22.0,4
MASKINVEST,2019-09-12,23.0,23.0,23.0,23.0,4
MASKINVEST,2019-09-23,23.5,23.5,23.5,23.5,6
MASKINVEST,2019-09-25,22.325,22.325,22.325,22.325,4
MASKINVEST,2019-09-26,21.225,21.225,21.225,21.225,4
MASKINVEST,2019-11-01,21.225,22.25,21.225,22.25,104
MASKINVEST,2019-12-04,23.35,23.35,23.35,23.35,4
MASKINVEST,2019-12-05,23.8,23.8,23.8,23.8,4
MASKINVEST,2019-12-06,24.975,24.975,22.625,22.625,6
MASKINVEST,2019-12-12,21.5,21.5,21.5,21.5,4
MASKINVEST,2019-12-20,21.5,21.5,21.5,21.5,4
MASKINVEST,2019-12-31,20.425,20.425,20.425,20.425,416
MASKINVEST,2020-01-03,19.425,19.425,19.425,19.425,4
MASKINVEST,2020-01-08,18.475,18.475,18.475,18.475,6
MASKINVEST,2020-01-09,17.575,17.575,17.575,17.575,22
