symbol,date,open,high,low,close,volume
MASTEK,2008-06-09,385.0,389.85,378.0,381.2,11609
MASTEK,2008-06-10,380.0,397.0,380.0,392.2,19985
MASTEK,2008-06-11,399.9,399.9,378.0,385.15,4310
MASTEK,2008-06-12,360.1,384.85,357.0,382.2,6653
MASTEK,2008-06-13,387.95,387.95,381.0,385.2,108239
MASTEK,2008-06-16,394.9,394.9,380.15,385.15,7069
MASTEK,2008-06-17,382.25,405.0,382.25,397.3,14170
MASTEK,2008-06-18,392.25,400.0,391.2,395.1,88400
MASTEK,2008-06-19,385.15,398.85,385.15,395.3,6082
MASTEK,2008-06-20,391.0,398.75,388.0,395.5,15960
MASTEK,2008-06-23,351.15,392.5,351.15,389.85,35289
MASTEK,2008-06-24,386.0,396.0,386.0,395.0,14427
MASTEK,2008-06-25,375.0,400.0,369.3,396.1,14427
MASTEK,2008-06-26,394.1,405.0,388.2,400.45,16392
MASTEK,2008-06-27,385.05,400.0,385.0,393.35,15038
MASTEK,2008-06-30,392.0,399.0,351.25,363.7,21936
MASTEK,2008-07-01,358.7,365.0,322.2,358.45,26378
MASTEK,2008-07-02,353.0,390.0,350.6,380.15,32441
MASTEK,2008-07-03,372.0,375.0,356.3,368.4,48398
MASTEK,2008-07-04,357.2,374.9,351.05,355.9,5103
MASTEK,2008-07-07,367.0,380.0,355.0,358.7,4196
MASTEK,2008-07-08,358.0,380.0,347.0,362.55,42028
MASTEK,2008-07-09,399.95,399.95,368.0,373.9,17393
MASTEK,2008-07-10,372.0,372.0,360.0,365.05,12763
MASTEK,2008-07-11,374.8,374.8,350.0,352.45,8071
MASTEK,2008-07-14,348.9,359.9,347.5,349.6,1852
MASTEK,2008-07-15,349.0,358.85,344.35,349.95,16322
MASTEK,2008-07-16,347.0,349.9,331.5,347.2,7606
MASTEK,2008-07-17,351.0,351.0,330.2,347.45,33281
MASTEK,2008-07-18,345.0,348.0,332.4,335.3,5212
MASTEK,2008-07-21,337.0,348.65,329.0,342.25,6456
MASTEK,2008-07-22,348.0,350.0,338.8,344.35,4833
MASTEK,2008-07-23,369.0,369.0,332.1,340.6,52791
MASTEK,2008-07-24,342.0,372.0,339.4,354.65,66417
MASTEK,2008-07-25,345.0,351.0,339.0,349.3,24596
MASTEK,2008-07-28,340.0,352.0,340.0,346.2,12482
MASTEK,2008-07-29,340.0,348.6,338.9,344.9,5293
MASTEK,2008-07-30,352.0,352.0,340.0,347.45,35985
MASTEK,2008-07-31,350.0,350.0,330.5,336.25,3550
MASTEK,2008-08-01,343.5,349.65,333.0,345.8,13196
MASTEK,2008-08-04,349.0,349.5,341.5,349.0,21274
MASTEK,2008-08-05,352.0,352.0,342.6,345.0,45233
MASTEK,2008-08-06,346.0,349.6,345.0,347.4,37548
MASTEK,2008-08-07,356.9,356.9,345.2,349.0,2865
MASTEK,2008-08-08,345.1,355.0,345.1,353.2,4822
MASTEK,2008-08-11,355.0,382.0,354.0,375.35,15760
MASTEK,2008-08-12,374.0,383.0,365.1,377.25,14587
MASTEK,2008-08-13,362.1,375.0,362.1,365.4,1212
MASTEK,2008-08-14,365.0,381.0,355.3,370.3,15773
MASTEK,2008-08-18,365.0,376.0,364.05,370.4,22302
MASTEK,2008-08-19,370.0,378.0,366.0,375.8,4043
MASTEK,2008-08-20,372.0,377.0,351.5,369.55,18942
MASTEK,2008-08-21,365.0,369.0,357.5,361.45,1484
MASTEK,2008-08-22,361.0,364.95,355.6,359.8,1561
MASTEK,2008-08-25,359.5,366.7,357.5,360.05,1765
MASTEK,2008-08-26,361.0,374.5,358.15,368.9,18472
MASTEK,2008-08-27,372.0,375.0,358.3,359.65,3451
MASTEK,2008-08-28,359.1,364.9,359.0,361.85,2883
MASTEK,2008-08-29,375.0,380.0,362.0,365.05,5413
MASTEK,2008-09-01,361.0,368.0,350.0,362.7,8219
MASTEK,2008-09-02,359.0,366.95,354.05,360.25,6441
MASTEK,2008-09-04,366.9,369.45,362.1,365.5,3629
MASTEK,2008-09-05,366.9,370.0,362.3,367.5,6686
MASTEK,2008-09-08,370.0,371.0,364.2,369.15,5602
MASTEK,2008-09-09,369.9,378.95,366.8,376.0,16719
MASTEK,2008-09-10,367.5,379.9,363.65,366.6,4935
MASTEK,2008-09-11,368.0,377.8,366.0,367.05,6494
MASTEK,2008-09-12,370.0,370.0,355.65,359.6,6170
MASTEK,2008-09-15,357.0,357.0,335.0,340.25,52059
MASTEK,2008-09-16,320.0,327.0,310.0,312.55,10816
MASTEK,2008-09-17,314.0,321.9,305.05,314.2,16656
MASTEK,2008-09-18,310.0,320.0,265.05,291.95,89618
MASTEK,2008-09-19,342.0,342.0,300.0,318.95,11817
MASTEK,2008-09-22,313.1,329.65,313.1,322.15,5191
MASTEK,2008-09-23,312.0,320.0,312.0,318.2,1257
MASTEK,2008-09-24,311.0,325.0,311.0,323.25,3114
MASTEK,2008-09-25,320.3,339.0,311.2,331.1,5946
MASTEK,2008-09-26,322.45,329.35,305.0,315.25,4919
MASTEK,2008-09-29,315.0,339.95,290.0,320.95,6845
MASTEK,2008-09-30,295.0,310.7,295.0,301.1,56649
MASTEK,2008-10-01,302.0,314.95,288.0,291.95,7153
MASTEK,2008-10-03,294.85,300.0,283.1,287.7,6790
MASTEK,2008-10-06,270.0,293.0,260.45,271.55,7862
MASTEK,2008-10-07,266.1,285.0,253.0,268.2,8078
MASTEK,2008-10-08,270.0,270.0,221.0,238.25,17019
MASTEK,2008-10-10,206.1,235.0,190.6,207.0,36648
MASTEK,2008-10-13,211.0,242.0,211.0,234.85,44243
MASTEK,2008-10-14,255.0,260.0,215.6,229.3,38687
MASTEK,2008-10-15,230.0,250.0,223.55,243.7,37430
MASTEK,2008-10-16,215.0,228.95,205.0,219.95,42506
MASTEK,2008-10-17,226.95,230.0,212.0,218.0,3151
MASTEK,2008-10-20,210.0,220.0,202.0,209.65,144135
MASTEK,2008-10-21,213.1,220.0,213.1,216.2,1759
MASTEK,2008-10-22,219.95,255.1,210.4,236.2,1439312
MASTEK,2008-10-23,217.5,248.8,210.05,240.2,32621
MASTEK,2008-10-24,229.0,234.4,210.0,215.3,10673
MASTEK,2008-10-27,206.5,224.8,174.0,211.15,17663
MASTEK,2008-10-28,215.05,228.4,211.0,219.7,2280
MASTEK,2008-10-29,225.8,230.0,210.0,212.8,3293
MASTEK,2008-10-31,226.0,228.5,205.1,212.5,30084
MASTEK,2008-11-03,216.0,227.0,215.0,219.45,13243
MASTEK,2008-11-04,216.0,218.85,206.0,213.4,12572
MASTEK,2008-11-05,219.0,219.0,196.3,203.8,18119
MASTEK,2008-11-06,195.1,202.95,195.0,195.7,6584
MASTEK,2008-11-07,197.0,204.95,194.05,196.7,5221
MASTEK,2008-11-10,195.0,204.75,195.0,200.9,15268
MASTEK,2008-11-11,200.9,205.0,196.1,201.0,8373
MASTEK,2008-11-12,196.0,205.9,196.0,198.85,5884
MASTEK,2008-11-14,229.9,229.9,197.6,203.75,5760
MASTEK,2008-11-17,205.0,205.0,193.0,194.85,2419
MASTEK,2008-11-18,193.0,194.0,177.0,182.9,9124
MASTEK,2008-11-19,180.5,188.3,166.2,169.15,9884
MASTEK,2008-11-20,191.0,191.0,160.7,165.1,11784
MASTEK,2008-11-21,160.1,174.05,160.1,164.5,3780
MASTEK,2008-11-24,170.5,175.0,165.0,171.2,6244
MASTEK,2008-11-25,190.0,190.0,164.05,166.1,6024
MASTEK,2008-11-26,164.05,169.0,161.25,166.7,2312
MASTEK,2008-11-28,164.9,167.95,161.9,162.3,2034
MASTEK,2008-12-01,161.0,171.6,160.0,161.25,3700
MASTEK,2008-12-02,155.0,163.0,155.0,161.45,1641
MASTEK,2008-12-03,179.7,179.7,150.0,154.35,131571
MASTEK,2008-12-04,153.0,160.0,152.0,156.15,11668
MASTEK,2008-12-05,158.5,159.6,152.0,153.25,2218
MASTEK,2008-12-08,153.0,171.0,153.0,155.05,2172
MASTEK,2008-12-10,158.6,162.0,154.0,158.95,2384
MASTEK,2008-12-11,160.0,181.0,155.55,163.3,8410
MASTEK,2008-12-12,163.0,167.5,160.0,163.15,5750
MASTEK,2008-12-15,170.0,170.0,162.7,165.9,2394
MASTEK,2008-12-16,164.0,173.25,164.0,169.95,18407
MASTEK,2008-12-17,170.1,176.0,165.5,166.7,20799
MASTEK,2008-12-18,166.0,172.0,165.7,168.8,3530
MASTEK,2008-12-19,169.9,178.7,165.3,168.1,8762
MASTEK,2008-12-22,171.0,174.0,167.0,167.3,5643
MASTEK,2008-12-23,170.0,172.0,164.0,169.5,9353
MASTEK,2008-12-24,168.0,169.95,165.05,168.45,16711
MASTEK,2008-12-26,169.0,170.95,165.0,165.7,2087
MASTEK,2008-12-29,165.0,167.4,160.1,162.05,4863
MASTEK,2008-12-30,160.4,165.8,158.15,160.85,8161
MASTEK,2008-12-31,163.1,164.7,161.0,161.95,2754
MASTEK,2009-01-01,165.0,165.1,162.0,164.95,4228
MASTEK,2009-01-02,168.0,169.0,165.0,167.45,6478
MASTEK,2009-01-05,172.0,174.0,166.0,167.3,14750
MASTEK,2009-01-06,170.85,179.0,170.1,175.5,14855
MASTEK,2009-01-07,177.75,178.45,150.35,163.85,32821
MASTEK,2009-01-09,158.0,172.0,148.15,165.85,52089
MASTEK,2009-01-12,169.0,169.0,153.2,154.45,3105
MASTEK,2009-01-13,158.0,160.0,148.1,156.75,5729
MASTEK,2009-01-14,159.95,160.0,151.0,155.7,8315
MASTEK,2009-01-15,145.1,154.0,134.95,151.65,35888
MASTEK,2009-01-16,150.0,152.0,145.0,150.0,3684
MASTEK,2009-01-19,148.05,152.0,148.05,150.75,2342
MASTEK,2009-01-20,150.0,151.9,147.0,149.95,1243
MASTEK,2009-01-21,145.5,151.0,145.5,147.8,8143
MASTEK,2009-01-22,149.0,149.0,142.5,143.7,4944
MASTEK,2009-01-23,144.0,146.95,141.15,144.2,8798
MASTEK,2009-01-27,147.05,150.5,135.3,139.55,2654
MASTEK,2009-01-28,138.0,146.0,138.0,143.65,3985
MASTEK,2009-01-29,145.95,172.4,135.25,157.85,24084
MASTEK,2009-01-30,163.0,163.05,142.1,144.25,32510
MASTEK,2009-02-02,144.0,146.0,141.25,143.35,5562
MASTEK,2009-02-03,143.35,147.8,143.0,143.85,4556
MASTEK,2009-02-04,142.05,144.9,137.0,140.55,5118
MASTEK,2009-02-05,142.0,142.0,136.1,137.6,8568
MASTEK,2009-02-06,138.8,141.75,137.0,137.65,5551
MASTEK,2009-02-09,140.0,141.9,137.1,137.95,1303
MASTEK,2009-02-10,137.0,139.75,135.2,137.65,2584
MASTEK,2009-02-11,136.05,147.9,136.05,139.65,9268
MASTEK,2009-02-12,142.0,144.3,137.5,138.6,11925
MASTEK,2009-02-13,138.2,141.4,137.5,137.85,4196
