symbol,date,open,high,low,close,volume
MCON,2023-04-05,65.9,65.9,62.5,65.9,231002
MCON,2023-04-06,71.0,79.05,65.1,78.75,483001
MCON,2023-04-10,81.1,89.4,78.65,88.9,162002
MCON,2023-04-11,91.45,96.25,82.85,87.7,225001
MCON,2023-04-12,84.8,92.0,83.0,92.0,117001
MCON,2023-04-13,91.0,91.0,84.0,85.15,63001
MCON,2023-04-17,84.5,84.5,80.05,80.05,45001
MCON,2023-04-18,80.05,80.5,76.1,78.5,54001
MCON,2023-04-19,77.8,78.5,73.3,73.3,57001
MCON,2023-04-20,73.35,82.5,73.1,82.5,120001
MCON,2023-04-21,86.0,90.3,85.5,87.0,114001
MCON,2023-04-24,85.0,85.0,78.3,80.2,129001
MCON,2023-04-25,80.2,80.2,75.6,77.3,39001
MCON,2023-04-26,77.05,77.05,76.1,76.1,6001
MCON,2023-04-27,76.75,79.0,76.75,79.0,12001
MCON,2023-04-28,78.0,79.95,75.1,76.0,36001
MCON,2023-05-02,76.65,79.8,76.65,79.8,39001
MCON,2023-05-03,80.0,80.0,72.1,74.0,108001
MCON,2023-05-04,72.0,75.0,71.3,75.0,42002
MCON,2023-05-05,71.6,77.8,70.2,73.55,66001
MCON,2023-05-08,78.0,80.0,78.0,78.7,30002
MCON,2023-05-09,79.9,84.0,79.9,80.5,54002
MCON,2023-05-10,78.2,83.9,78.2,83.0,39001
MCON,2023-05-11,84.0,86.95,84.0,85.0,27001
MCON,2023-05-12,85.0,85.0,84.0,84.0,18001
MCON,2023-05-15,85.0,93.35,85.0,93.35,54002
MCON,2023-05-16,102.0,102.0,93.35,99.85,48001
MCON,2023-05-17,92.15,98.0,92.15,98.0,24001
MCON,2023-05-18,99.0,99.0,96.0,96.0,24001
MCON,2023-05-19,98.0,99.0,89.9,90.5,42001
MCON,2023-05-22,91.0,91.0,91.0,91.0,3001
MCON,2023-05-23,90.0,96.0,90.0,95.75,30002
MCON,2023-05-24,95.75,100.0,95.75,100.0,12001
