symbol,date,open,high,low,close,volume
MHRIL,2009-07-16,164.45,166.45,138.38,141.09,28679393
MHRIL,2009-07-17,140.0,157.51,136.29,154.8,17146861
MHRIL,2009-07-20,155.8,161.11,148.67,158.55,6872810
MHRIL,2009-07-21,157.62,166.0,152.73,156.65,7048850
MHRIL,2009-07-22,157.93,161.33,154.71,155.8,1914323
MHRIL,2009-07-23,159.11,165.33,157.18,161.71,2488412
MHRIL,2009-07-24,162.93,173.55,157.78,168.18,2441773
MHRIL,2009-07-27,172.45,177.25,168.45,172.27,3035284
MHRIL,2009-07-28,170.67,174.67,168.51,170.18,1022452
MHRIL,2009-07-29,168.89,171.51,160.53,163.02,1509962
MHRIL,2009-07-30,164.0,167.55,158.25,160.05,543490
MHRIL,2009-07-31,161.33,164.33,157.78,159.13,620408
MHRIL,2009-08-03,159.85,159.85,151.11,152.75,609311
MHRIL,2009-08-04,151.11,156.89,151.11,152.22,623746
MHRIL,2009-08-05,153.29,158.62,152.07,155.42,547291
MHRIL,2009-08-06,157.47,163.69,153.6,155.11,690386
MHRIL,2009-08-07,154.6,156.91,150.15,152.07,315361
MHRIL,2009-08-10,155.45,155.45,147.38,148.95,212537
MHRIL,2009-08-11,147.78,154.62,145.78,151.2,322580
MHRIL,2009-08-12,151.11,151.51,145.93,147.31,229727
MHRIL,2009-08-13,149.33,154.67,149.18,153.65,260663
MHRIL,2009-08-14,154.67,154.67,148.13,150.2,88414
MHRIL,2009-08-17,148.0,149.45,143.11,144.78,99043
MHRIL,2009-08-18,146.22,147.73,144.45,146.67,241733
MHRIL,2009-08-19,147.91,148.87,142.67,143.65,85223
MHRIL,2009-08-20,144.49,146.67,143.78,145.49,168737
MHRIL,2009-08-21,144.49,146.67,142.22,144.07,80299
MHRIL,2009-08-24,146.27,156.45,144.89,154.95,645320
MHRIL,2009-08-25,155.55,158.22,149.6,150.51,136270
MHRIL,2009-08-26,149.78,154.22,149.78,150.49,66200
MHRIL,2009-08-27,149.33,156.82,148.49,151.71,162304
MHRIL,2009-08-28,153.09,154.2,149.78,150.2,41879
MHRIL,2009-08-31,149.27,154.65,148.89,153.11,86717
MHRIL,2009-09-01,151.55,154.67,147.98,148.75,89840
MHRIL,2009-09-02,152.0,152.0,147.11,148.4,32389
MHRIL,2009-09-03,149.78,151.0,146.67,147.33,26795
MHRIL,2009-09-04,148.89,150.22,147.55,148.09,33955
MHRIL,2009-09-07,150.13,152.45,149.55,151.27,79574
MHRIL,2009-09-08,150.89,152.89,150.22,150.75,65399
MHRIL,2009-09-09,148.89,151.55,147.55,148.15,22640
MHRIL,2009-09-10,149.82,152.45,146.25,147.09,150377
MHRIL,2009-09-11,147.6,149.67,144.45,145.27,34984
MHRIL,2009-09-14,147.55,147.55,145.6,145.93,17683
MHRIL,2009-09-15,145.38,151.11,145.11,150.62,65000
MHRIL,2009-09-16,151.15,151.15,148.49,150.22,93985
MHRIL,2009-09-17,152.0,152.0,147.55,147.89,25481
MHRIL,2009-09-18,148.45,148.45,145.82,146.98,36097
