symbol,date,open,high,low,close,volume
MIDCAP,2024-03-20,132.85,132.85,130.5,131.85,31198
MIDCAP,2024-03-21,133.27,135.4,132.37,135.4,21479
MIDCAP,2024-03-22,136.7,136.7,134.1,135.9,18665
MIDCAP,2024-03-26,136.49,136.5,134.85,136.19,29694
MIDCAP,2024-03-27,137.2,137.5,136.57,137.0,26449
MIDCAP,2024-03-28,138.44,138.44,134.94,136.03,37533
MIDCAP,2024-04-01,137.49,139.85,137.0,139.84,29782
MIDCAP,2024-04-02,139.5,140.85,139.0,140.58,28613
MIDCAP,2024-04-03,140.59,141.86,140.01,141.49,23215
MIDCAP,2024-04-04,142.99,142.99,140.0,141.52,46219
MIDCAP,2024-04-05,142.0,142.0,140.53,141.5,74909
MIDCAP,2024-04-08,141.4,143.25,140.21,141.74,36292
MIDCAP,2024-04-09,142.99,142.99,141.0,141.08,21975
MIDCAP,2024-04-10,141.51,142.9,141.51,142.51,29966
MIDCAP,2024-04-12,142.52,143.49,142.01,142.43,31154
MIDCAP,2024-04-15,142.55,142.55,137.66,140.57,34868
MIDCAP,2024-04-16,140.49,140.92,139.39,139.6,14797
MIDCAP,2024-04-18,140.99,143.0,139.0,140.69,665933
MIDCAP,2024-04-19,138.5,139.55,136.1,138.87,85700
MIDCAP,2024-04-22,140.47,140.47,138.5,139.48,18803
MIDCAP,2024-04-23,140.44,140.44,138.6,139.61,16638
MIDCAP,2024-04-24,139.81,140.89,139.75,139.95,12323
MIDCAP,2024-04-25,140.0,140.99,139.47,140.52,12176
MIDCAP,2024-04-26,144.95,146.43,140.73,142.02,45059
MIDCAP,2024-04-29,143.99,144.0,142.9,143.2,22912
MIDCAP,2024-04-30,143.98,144.51,143.24,143.6,38674
