symbol,date,open,high,low,close,volume
MIDCAPIWIN,2016-07-25,53.0,53.0,52.78,52.78,51
MIDCAPIWIN,2016-07-26,53.09,53.13,53.09,53.13,77
MIDCAPIWIN,2016-07-27,53.48,53.48,53.48,53.48,6
MIDCAPIWIN,2016-07-28,53.95,53.95,53.95,53.95,99
MIDCAPIWIN,2016-07-29,54.42,54.42,54.42,54.42,112
MIDCAPIWIN,2016-08-01,54.9,54.9,54.05,54.05,2512
MIDCAPIWIN,2016-08-02,54.99,54.99,54.27,54.27,52
MIDCAPIWIN,2016-08-03,53.92,53.92,53.6,53.6,305
MIDCAPIWIN,2016-08-04,53.75,53.75,53.75,53.75,1
MIDCAPIWIN,2016-08-05,54.04,54.08,54.04,54.08,141
MIDCAPIWIN,2016-08-08,54.84,54.88,54.84,54.88,101
MIDCAPIWIN,2016-08-09,55.13,55.25,55.13,55.21,110
MIDCAPIWIN,2016-08-10,54.87,54.87,54.79,54.79,10
MIDCAPIWIN,2016-08-11,54.74,54.74,54.71,54.71,112
MIDCAPIWIN,2016-08-12,55.1,55.5,55.1,55.3,1371
MIDCAPIWIN,2016-08-16,55.7,55.7,55.58,55.61,54
MIDCAPIWIN,2016-08-17,55.88,55.91,55.65,55.65,118
MIDCAPIWIN,2016-08-18,56.16,56.16,56.1,56.16,424
MIDCAPIWIN,2016-08-19,56.33,56.39,56.15,56.15,168
MIDCAPIWIN,2016-08-22,56.53,56.53,56.2,56.2,498
MIDCAPIWIN,2016-08-23,56.0,56.0,55.61,55.61,83
MIDCAPIWIN,2016-08-24,56.36,56.36,56.0,56.0,204
MIDCAPIWIN,2016-08-25,56.5,56.5,56.5,56.5,26
MIDCAPIWIN,2016-08-26,56.07,56.15,55.91,55.91,78
MIDCAPIWIN,2016-08-29,55.89,56.37,55.89,56.37,487
MIDCAPIWIN,2016-08-30,66.5,66.5,56.65,56.65,372
MIDCAPIWIN,2016-08-31,57.21,57.21,57.21,57.21,26
MIDCAPIWIN,2016-09-01,57.2,57.31,57.0,57.0,1000
MIDCAPIWIN,2016-09-02,57.32,57.36,57.32,57.36,43
MIDCAPIWIN,2016-09-06,58.5,58.5,58.13,58.13,225
MIDCAPIWIN,2016-09-07,58.53,58.57,58.15,58.15,154
MIDCAPIWIN,2016-09-08,58.15,58.23,58.15,58.23,65
MIDCAPIWIN,2016-09-09,57.76,57.92,57.66,57.92,281
MIDCAPIWIN,2016-09-12,56.38,56.38,55.87,56.07,370
MIDCAPIWIN,2016-09-14,55.99,55.99,55.99,55.99,1
MIDCAPIWIN,2016-09-15,56.43,56.43,56.39,56.39,36
MIDCAPIWIN,2016-09-16,57.16,57.16,57.0,57.0,35
