symbol,date,open,high,low,close,volume
MILTON,2023-01-11,24.3,24.3,24.3,24.3,13201
MILTON,2023-01-12,25.5,25.5,25.5,25.5,8801
MILTON,2023-01-13,26.55,26.75,26.55,26.75,8801
MILTON,2023-01-16,27.95,27.95,25.35,25.35,22001
MILTON,2023-01-17,26.6,26.6,26.6,26.6,4401
MILTON,2023-01-18,25.3,27.85,25.3,27.85,8801
MILTON,2023-01-19,26.5,28.95,26.5,28.95,13201
MILTON,2023-01-20,29.95,29.95,29.8,29.95,30801
MILTON,2023-01-23,28.35,29.95,28.35,29.95,13201
MILTON,2023-01-24,28.5,28.55,28.5,28.55,8801
MILTON,2023-01-25,29.8,29.8,29.8,29.8,4401
MILTON,2023-01-30,29.6,29.6,29.6,29.6,4401
MILTON,2023-02-01,30.5,30.5,28.15,28.15,13201
MILTON,2023-02-03,26.75,26.75,26.75,26.75,4401
MILTON,2023-02-07,25.45,25.45,25.45,25.45,13201
MILTON,2023-02-10,25.45,25.45,25.45,25.45,4401
MILTON,2023-02-27,24.2,24.2,24.2,24.2,4401
MILTON,2023-02-28,23.0,23.0,23.0,23.0,4401
MILTON,2023-03-03,21.95,21.95,21.95,21.95,4401
MILTON,2023-03-06,23.0,23.0,21.0,21.0,8801
MILTON,2023-03-09,22.05,22.05,22.05,22.05,4401
MILTON,2023-03-13,22.05,22.05,21.0,21.0,13201
MILTON,2023-03-15,22.05,22.05,20.5,20.5,48401
MILTON,2023-03-16,21.75,21.75,19.75,20.35,61601
MILTON,2023-03-17,21.35,21.35,19.35,19.35,48401
MILTON,2023-03-20,20.2,20.2,20.15,20.15,8801
MILTON,2023-03-21,21.15,21.15,21.15,21.15,4401
MILTON,2023-03-22,21.3,21.3,21.3,21.3,4401
MILTON,2023-03-23,21.35,21.35,21.35,21.35,4401
MILTON,2023-03-24,21.05,21.05,21.05,21.05,4401
MILTON,2023-03-29,21.35,21.35,21.05,21.05,13201
MILTON,2023-04-03,22.1,22.1,22.1,22.1,4401
MILTON,2023-04-05,23.2,23.2,23.2,23.2,8801
MILTON,2023-04-06,24.35,24.35,24.35,24.35,4401
MILTON,2023-04-10,23.15,23.15,23.15,23.15,8801
MILTON,2023-04-11,24.3,24.3,24.3,24.3,4401
MILTON,2023-04-13,25.5,25.5,25.5,25.5,4401
MILTON,2023-04-19,26.75,26.75,26.75,26.75,4401
MILTON,2023-04-21,27.8,27.8,27.8,27.8,4401
MILTON,2023-04-24,29.0,29.0,29.0,29.0,4401
MILTON,2023-04-25,27.6,28.9,27.6,28.9,17601
MILTON,2023-05-03,27.5,27.5,27.5,27.5,8801
MILTON,2023-05-05,28.7,28.7,28.7,28.7,4401
MILTON,2023-05-16,29.75,29.75,29.75,29.75,4401
MILTON,2023-05-17,28.3,28.3,28.3,28.3,8801
MILTON,2023-05-18,27.0,27.0,26.95,26.95,8801
MILTON,2023-05-19,28.2,28.2,28.2,28.2,4401
MILTON,2023-05-22,28.15,28.15,28.15,28.15,4401
MILTON,2023-05-23,28.5,28.5,27.25,27.25,13201
MILTON,2023-05-24,27.25,27.25,27.25,27.25,8801
MILTON,2023-05-26,27.95,27.95,27.05,27.05,8801
MILTON,2023-06-07,28.4,28.4,28.3,28.3,8801
MILTON,2023-06-08,29.7,29.7,26.9,26.9,44001
MILTON,2023-06-14,28.5,28.5,28.5,28.5,4401
MILTON,2023-06-21,27.1,27.1,27.1,27.1,4401
MILTON,2023-06-22,25.75,27.9,25.75,27.9,8801
MILTON,2023-06-23,26.5,26.5,26.5,26.5,4401
MILTON,2023-07-06,25.25,25.25,25.25,25.25,4400
MILTON,2023-07-07,24.0,24.0,24.0,24.0,4401
MILTON,2023-07-10,25.2,25.2,25.2,25.2,4401
MILTON,2023-07-17,24.5,24.5,23.95,23.95,17601
MILTON,2023-07-18,24.3,24.3,24.3,24.3,4401
MILTON,2023-07-19,23.95,24.1,23.95,24.1,8802
MILTON,2023-07-20,24.9,24.9,24.9,24.9,4401
MILTON,2023-07-24,24.1,25.4,24.1,25.4,8801
MILTON,2023-07-25,25.9,25.9,25.9,25.9,4401
MILTON,2023-07-26,24.65,24.65,24.65,24.65,4401
MILTON,2023-07-28,23.55,24.25,23.55,24.25,8801
MILTON,2023-08-01,24.15,24.15,24.15,24.15,4401
MILTON,2023-08-02,24.15,24.15,24.15,24.15,8801
MILTON,2023-08-03,23.95,23.95,23.95,23.95,4401
MILTON,2023-08-07,23.5,23.95,22.75,22.75,30801
MILTON,2023-08-08,22.7,22.7,22.05,22.05,8801
MILTON,2023-08-09,22.15,23.15,22.15,23.15,13201
MILTON,2023-08-16,22.95,22.95,22.95,22.95,4401
MILTON,2023-08-17,22.75,22.75,22.75,22.75,4401
MILTON,2023-08-18,22.75,23.75,22.75,23.75,8801
MILTON,2023-08-21,23.75,23.75,23.75,23.75,4401
MILTON,2023-08-23,24.9,24.9,24.9,24.9,4401
MILTON,2023-08-28,24.9,26.1,24.9,26.1,13201
MILTON,2023-08-29,24.65,24.65,24.65,24.65,4401
MILTON,2023-08-30,25.85,25.85,25.85,25.85,4401
MILTON,2023-08-31,25.75,25.75,25.75,25.75,4401
MILTON,2023-09-01,24.5,24.55,24.5,24.55,13201
MILTON,2023-09-04,24.3,25.65,24.3,25.65,17601
MILTON,2023-09-05,25.65,25.95,24.4,25.95,17601
MILTON,2023-09-06,26.95,26.95,26.95,26.95,4401
MILTON,2023-09-07,25.6,25.6,25.6,25.6,4401
MILTON,2023-09-11,24.95,24.95,24.35,24.35,17601
MILTON,2023-09-18,23.2,23.2,23.15,23.15,17601
MILTON,2023-09-21,24.15,24.15,24.15,24.15,4401
MILTON,2023-09-25,25.35,25.35,25.3,25.3,17601
MILTON,2023-09-28,25.0,25.0,25.0,25.0,4401
MILTON,2023-09-29,24.05,25.95,24.05,25.95,8801
MILTON,2023-10-11,24.65,26.95,24.65,26.95,13201
MILTON,2023-10-16,26.95,27.4,26.95,27.4,26401
MILTON,2023-10-17,27.25,27.4,26.15,27.4,17601
MILTON,2023-10-19,27.8,28.75,27.8,28.75,8801
MILTON,2023-10-20,29.1,30.15,29.1,30.15,22001
MILTON,2023-10-23,30.65,30.65,28.65,28.65,13201
MILTON,2023-10-25,27.25,27.25,27.25,27.25,8801
MILTON,2023-10-26,26.05,28.45,26.05,28.45,8801
MILTON,2023-10-27,27.05,28.95,27.05,28.95,17601
MILTON,2023-10-30,29.95,29.95,29.95,29.95,8801
MILTON,2023-10-31,31.4,31.4,31.0,31.4,57201
MILTON,2023-11-01,32.9,32.95,32.4,32.95,61601
MILTON,2023-11-02,34.55,34.55,34.55,34.55,4401
MILTON,2023-11-03,36.25,36.25,36.25,36.25,17601
MILTON,2023-11-06,38.05,38.05,34.45,34.45,48401
MILTON,2023-11-07,32.75,34.9,32.75,34.9,17601
MILTON,2023-11-10,33.15,35.95,33.15,35.95,13201
MILTON,2023-11-12,35.95,37.15,35.95,37.15,13200
MILTON,2023-11-13,35.05,36.4,35.05,36.4,13201
MILTON,2023-11-15,34.05,35.45,34.05,35.45,22001
MILTON,2023-11-16,34.05,34.95,34.05,34.95,8801
MILTON,2023-11-17,33.05,33.95,32.85,33.95,26401
MILTON,2023-11-21,33.25,33.5,32.25,32.25,101201
MILTON,2023-11-22,34.0,34.0,32.25,33.95,22001
MILTON,2023-11-24,33.95,33.95,33.95,33.95,4401
MILTON,2023-12-01,34.45,34.45,34.45,34.45,4401
MILTON,2023-12-08,32.75,32.75,32.75,32.75,8801
MILTON,2023-12-11,31.25,31.25,31.15,31.15,13201
MILTON,2023-12-12,32.05,32.05,32.05,32.05,4401
MILTON,2023-12-14,30.45,32.95,30.45,32.95,8801
MILTON,2023-12-19,31.3,32.7,31.3,31.3,74801
MILTON,2023-12-20,32.0,32.0,31.35,31.35,22001
MILTON,2023-12-26,31.35,31.35,30.1,30.1,17601
MILTON,2023-12-27,31.45,31.45,31.45,31.45,4401
MILTON,2023-12-28,31.45,31.45,31.45,31.45,4401
MILTON,2024-01-02,30.1,30.1,30.1,30.1,4401
MILTON,2024-01-03,31.6,31.6,31.6,31.6,8801
MILTON,2024-01-05,32.45,32.45,32.45,32.45,8801
MILTON,2024-01-08,33.95,33.95,33.95,33.95,4401
MILTON,2024-01-09,34.65,34.65,33.1,33.1,13201
MILTON,2024-01-10,33.45,33.95,33.45,33.95,17602
