symbol,date,open,high,low,close,volume
MODISNME,2021-05-03,52.6,62.7,52.05,62.7,986587
MODISNME,2021-05-04,67.25,67.25,57.45,60.9,800630
MODISNME,2021-05-05,61.1,64.0,58.0,58.65,87257
MODISNME,2021-05-06,60.5,61.35,57.55,59.0,68282
MODISNME,2021-05-07,59.2,60.8,58.0,60.0,77759
MODISNME,2021-05-10,62.25,63.0,58.5,58.55,132195
MODISNME,2021-05-11,58.55,59.0,57.6,58.05,58509
MODISNME,2021-05-12,58.0,58.5,55.05,55.9,53653
MODISNME,2021-05-14,56.25,58.6,52.85,55.05,51506
MODISNME,2021-05-17,56.9,56.9,53.5,54.45,37828
MODISNME,2021-05-18,56.95,56.95,54.2,56.75,21083
MODISNME,2021-05-19,56.9,57.5,55.5,56.25,31156
MODISNME,2021-05-20,57.0,57.0,53.65,54.8,141238
MODISNME,2021-05-21,57.9,57.9,53.5,55.5,58390
MODISNME,2021-05-24,54.65,58.75,54.65,58.0,59816
MODISNME,2021-05-25,57.9,58.95,56.55,58.7,38163
MODISNME,2021-05-26,58.1,60.0,57.5,59.45,61958
MODISNME,2021-05-27,59.9,65.0,59.4,63.4,276159
MODISNME,2021-05-28,65.0,66.0,60.3,62.1,128593
MODISNME,2021-05-31,64.0,66.8,62.15,63.4,335086
MODISNME,2021-06-01,63.4,64.5,58.0,58.9,164688
MODISNME,2021-06-02,58.9,60.3,58.1,60.3,123972
MODISNME,2021-06-03,63.4,63.95,62.0,62.45,214140
MODISNME,2021-06-04,64.8,64.8,61.6,62.0,50674
MODISNME,2021-06-07,64.45,64.45,61.0,62.65,213326
MODISNME,2021-06-08,63.0,63.9,62.5,63.05,65567
MODISNME,2021-06-09,63.65,73.8,62.25,69.35,1269676
MODISNME,2021-06-10,70.3,74.15,68.25,69.7,393390
MODISNME,2021-06-11,71.5,72.75,68.6,70.0,155828
MODISNME,2021-06-14,70.25,70.25,65.7,67.85,135931
MODISNME,2021-06-15,69.85,69.85,67.15,67.7,103157
MODISNME,2021-06-16,68.75,68.75,65.0,65.95,121237
MODISNME,2021-06-17,65.5,69.0,65.45,68.5,160586
MODISNME,2021-06-18,69.3,71.85,65.4,70.9,267983
MODISNME,2021-06-21,68.0,74.9,67.95,72.95,294575
MODISNME,2021-06-22,73.9,81.55,73.9,76.25,712904
MODISNME,2021-06-23,78.3,84.4,77.8,80.8,755763
MODISNME,2021-06-24,83.4,84.0,76.5,78.1,219189
MODISNME,2021-06-25,78.05,81.45,77.0,77.85,166123
MODISNME,2021-06-28,78.0,79.8,75.6,76.0,99693
MODISNME,2021-06-29,77.45,77.9,75.15,76.6,79922
MODISNME,2021-06-30,76.8,82.2,76.8,79.35,289616
MODISNME,2021-07-01,81.4,81.4,78.55,79.0,91806
MODISNME,2021-07-02,80.0,80.15,77.05,78.3,82582
MODISNME,2021-07-05,79.9,82.0,77.8,79.7,97868
MODISNME,2021-07-06,81.9,83.5,80.15,81.65,379491
MODISNME,2021-07-07,83.3,91.0,83.3,89.6,900361
MODISNME,2021-07-08,91.0,95.75,90.3,91.0,898851
MODISNME,2021-07-09,91.25,93.9,89.8,91.25,347981
MODISNME,2021-07-12,92.4,95.4,90.2,93.0,398024
MODISNME,2021-07-13,94.7,95.0,88.3,89.7,275273
MODISNME,2021-07-14,90.0,90.7,87.9,88.3,115950
MODISNME,2021-07-15,88.5,90.6,87.05,88.35,255577
MODISNME,2021-07-16,90.3,90.4,87.0,87.85,143412
MODISNME,2021-07-19,87.65,89.85,87.1,88.95,257985
MODISNME,2021-07-20,90.5,90.5,85.15,85.9,168969
MODISNME,2021-07-22,88.8,91.7,86.55,88.4,215686
MODISNME,2021-07-23,89.75,89.95,86.2,86.65,127288
MODISNME,2021-07-26,87.0,89.35,87.0,88.0,122008
MODISNME,2021-07-27,88.75,94.5,87.75,89.9,558891
MODISNME,2021-07-28,91.0,91.0,87.0,88.95,113785
MODISNME,2021-07-29,89.8,94.5,88.25,93.0,531418
MODISNME,2021-07-30,93.5,94.0,89.85,90.8,297487
MODISNME,2021-08-02,91.5,93.2,91.0,91.35,122313
MODISNME,2021-08-03,91.85,96.25,90.3,94.3,392815
MODISNME,2021-08-04,94.85,97.25,90.55,91.4,447541
MODISNME,2021-08-05,91.9,91.95,86.5,90.05,203786
MODISNME,2021-08-06,90.0,93.55,86.5,87.15,257365
MODISNME,2021-08-09,87.0,87.0,80.0,81.25,407704
MODISNME,2021-08-10,82.0,83.3,70.3,74.8,413524
MODISNME,2021-08-11,75.0,76.0,69.6,75.7,433090
MODISNME,2021-08-12,76.0,79.5,75.85,79.05,264366
MODISNME,2021-08-13,80.6,81.7,77.5,77.9,282495
MODISNME,2021-08-16,78.0,78.6,73.15,75.6,326888
MODISNME,2021-08-17,77.4,77.4,74.0,75.3,202864
MODISNME,2021-08-18,78.0,78.0,73.55,75.5,168346
MODISNME,2021-08-20,75.0,75.0,70.5,71.9,75207
MODISNME,2021-08-23,73.9,73.95,66.95,68.8,108836
MODISNME,2021-08-24,68.0,71.0,67.05,70.55,74108
MODISNME,2021-08-25,73.35,74.0,70.55,72.8,66372
MODISNME,2021-08-26,74.35,74.35,72.0,72.95,34967
MODISNME,2021-08-27,72.0,74.75,71.5,73.5,24290
