symbol,date,open,high,low,close,volume
MONNETISPA,2016-01-01,35.15,35.15,33.0,33.8,437943
MONNETISPA,2016-01-04,33.5,34.4,33.05,33.4,131917
MONNETISPA,2016-01-05,33.55,34.95,33.0,34.2,361828
MONNETISPA,2016-01-06,34.75,35.1,33.65,33.9,225707
MONNETISPA,2016-01-07,33.5,33.55,31.5,32.0,179488
MONNETISPA,2016-01-08,32.4,32.85,31.8,32.0,98169
MONNETISPA,2016-01-11,31.55,32.4,31.0,31.75,100719
MONNETISPA,2016-01-12,31.85,32.4,31.25,31.5,48726
MONNETISPA,2016-01-13,31.95,32.0,28.1,29.45,188268
MONNETISPA,2016-01-14,28.5,29.55,28.2,28.7,87320
MONNETISPA,2016-01-15,29.5,29.5,23.6,25.4,241890
MONNETISPA,2016-01-18,25.0,25.0,23.85,24.0,139650
MONNETISPA,2016-01-19,24.1,25.6,23.3,25.6,130601
MONNETISPA,2016-01-20,24.9,24.9,23.8,23.9,171768
MONNETISPA,2016-01-21,24.75,25.05,23.4,23.6,104086
MONNETISPA,2016-01-22,24.45,25.8,24.0,25.75,170227
MONNETISPA,2016-01-25,25.95,26.65,25.7,26.3,92303
MONNETISPA,2016-01-27,26.15,26.5,25.8,26.15,40987
MONNETISPA,2016-01-28,26.2,26.4,25.65,25.95,44893
MONNETISPA,2016-01-29,25.6,26.25,25.4,25.7,38052
MONNETISPA,2016-02-01,26.0,26.15,25.05,25.75,29430
MONNETISPA,2016-02-02,26.15,26.15,24.8,24.8,28251
MONNETISPA,2016-02-03,24.8,25.25,24.2,24.4,57631
MONNETISPA,2016-02-04,25.0,25.45,23.3,24.05,156548
MONNETISPA,2016-02-05,24.0,24.85,23.0,24.55,148069
MONNETISPA,2016-02-08,25.25,25.8,24.7,25.35,138072
MONNETISPA,2016-02-09,25.0,25.35,24.3,24.8,50519
MONNETISPA,2016-02-10,24.6,25.0,23.5,24.0,45458
MONNETISPA,2016-02-11,23.6,23.9,20.65,21.55,111846
MONNETISPA,2016-02-12,22.5,23.8,20.45,22.0,184298
MONNETISPA,2016-02-15,22.55,23.2,21.2,22.5,85117
MONNETISPA,2016-02-16,22.35,22.95,21.6,22.45,41156
MONNETISPA,2016-02-17,22.05,22.6,21.3,22.6,69397
MONNETISPA,2016-02-18,22.5,22.85,21.75,21.95,38020
MONNETISPA,2016-02-19,22.0,22.45,21.75,22.15,19443
MONNETISPA,2016-02-22,22.5,23.0,22.2,22.6,18625
MONNETISPA,2016-02-23,22.55,22.6,21.8,22.2,40887
MONNETISPA,2016-02-24,22.05,22.2,21.5,21.75,38114
MONNETISPA,2016-02-25,21.75,21.9,20.6,20.75,97623
MONNETISPA,2016-02-26,21.0,21.25,19.55,19.9,118902
MONNETISPA,2016-02-29,19.8,20.2,19.5,19.55,71740
MONNETISPA,2016-03-01,19.9,20.15,19.25,19.85,56259
MONNETISPA,2016-03-02,20.4,21.75,20.4,21.3,81346
MONNETISPA,2016-03-03,21.5,23.25,21.3,22.8,182445
MONNETISPA,2016-03-04,23.0,24.0,22.5,22.95,117401
MONNETISPA,2016-03-08,23.05,24.45,23.0,23.5,132590
MONNETISPA,2016-03-09,23.0,23.8,22.8,23.65,58316
MONNETISPA,2016-03-10,24.05,24.65,23.4,23.5,76846
MONNETISPA,2016-03-11,23.75,23.95,22.65,22.95,57380
MONNETISPA,2016-03-14,23.7,23.7,22.55,22.6,59841
MONNETISPA,2016-03-15,22.8,22.85,22.15,22.15,41802
MONNETISPA,2016-03-16,22.2,22.45,21.85,22.0,22667
MONNETISPA,2016-03-17,23.6,23.7,22.25,22.95,297369
MONNETISPA,2016-03-18,23.3,23.3,22.35,22.75,117382
MONNETISPA,2016-03-21,23.15,23.2,22.5,22.9,143906
MONNETISPA,2016-03-22,22.7,23.1,22.65,22.75,49559
MONNETISPA,2016-03-23,23.0,23.4,22.6,22.9,68009
MONNETISPA,2016-03-28,24.65,25.3,22.8,23.0,234865
