symbol,date,open,high,low,close,volume
MONQ50,2021-12-29,66.0,73.99,66.0,66.94,58233
MONQ50,2021-12-30,70.0,70.0,65.4,67.12,29438
MONQ50,2021-12-31,72.5,72.5,65.8,66.67,23188
MONQ50,2022-01-03,67.01,69.2,66.67,67.24,31522
MONQ50,2022-01-04,67.2,78.0,66.55,70.18,177754
MONQ50,2022-01-05,68.88,68.99,65.25,66.2,81005
MONQ50,2022-01-06,63.76,66.86,62.4,63.46,96729
MONQ50,2022-01-07,63.95,63.95,62.06,63.23,22529
MONQ50,2022-01-10,64.0,64.0,49.05,62.23,39854
MONQ50,2022-01-11,63.98,63.98,61.11,62.22,21489
MONQ50,2022-01-12,64.19,64.19,62.0,63.23,22637
MONQ50,2022-01-13,64.98,64.98,62.2,62.48,18409
MONQ50,2022-01-14,62.99,62.99,60.75,61.04,38014
MONQ50,2022-01-17,62.99,62.99,60.98,61.12,14548
MONQ50,2022-01-18,61.8,62.2,59.93,60.24,13381
MONQ50,2022-01-19,60.99,61.29,59.75,60.44,15990
MONQ50,2022-01-20,60.98,60.98,59.1,59.95,27754
MONQ50,2022-01-21,60.49,61.3,58.4,58.74,35968
MONQ50,2022-01-24,59.89,59.89,54.15,56.43,57809
MONQ50,2022-01-25,56.99,59.5,56.5,58.86,31905
MONQ50,2022-01-27,59.99,65.0,55.15,57.48,17065
MONQ50,2022-01-28,57.4,59.4,55.1,55.72,53168
MONQ50,2022-01-31,59.98,59.98,55.91,57.54,19049
MONQ50,2022-02-01,59.48,61.0,57.2,58.12,23205
MONQ50,2022-02-02,59.3,59.8,58.14,58.99,15167
MONQ50,2022-02-03,59.0,59.7,57.0,57.99,9144
MONQ50,2022-02-04,58.99,58.99,55.15,58.03,18373
MONQ50,2022-02-07,58.03,59.28,57.0,58.5,8531
MONQ50,2022-02-08,59.49,59.5,57.0,59.19,7459
MONQ50,2022-02-09,58.0,60.38,58.0,59.22,8533
MONQ50,2022-02-10,60.98,60.98,59.11,60.2,9266
MONQ50,2022-02-11,60.2,60.2,57.8,58.75,10653
MONQ50,2022-02-14,59.0,59.0,56.33,57.37,12408
MONQ50,2022-02-15,58.17,58.99,56.55,58.15,6299
MONQ50,2022-02-16,59.51,59.51,58.26,59.17,3387
MONQ50,2022-02-17,59.98,59.98,58.33,58.89,4373
MONQ50,2022-02-18,56.2,59.8,56.2,58.45,17625
MONQ50,2022-02-21,58.8,58.8,57.1,57.51,7728
MONQ50,2022-02-22,57.99,57.99,57.0,57.97,6547
MONQ50,2022-02-23,57.25,58.5,55.26,57.85,25324
MONQ50,2022-02-24,60.7,60.7,54.3,56.33,26879
MONQ50,2022-02-25,57.95,59.5,55.4,56.78,17564
MONQ50,2022-02-28,57.95,57.95,55.93,57.45,6460
MONQ50,2022-03-02,58.49,59.7,56.2,57.87,7729
MONQ50,2022-03-03,59.7,59.7,57.5,58.31,5829
MONQ50,2022-03-04,59.0,59.0,57.1,57.29,7103
MONQ50,2022-03-07,57.98,57.98,56.11,57.16,8878
MONQ50,2022-03-08,57.0,57.55,56.3,57.49,12278
MONQ50,2022-03-09,59.7,59.7,55.0,56.32,50810
MONQ50,2022-03-10,60.0,60.0,56.0,56.39,34500
MONQ50,2022-03-11,59.7,59.7,55.41,56.14,10217
MONQ50,2022-03-14,57.59,57.8,53.2,54.07,48418
MONQ50,2022-03-15,54.07,54.99,51.83,52.33,78698
MONQ50,2022-03-16,56.7,56.7,52.5,54.29,18864
MONQ50,2022-03-17,56.7,56.7,54.01,55.43,9214
MONQ50,2022-03-21,45.0,57.7,45.0,56.12,8122
MONQ50,2022-03-22,56.95,58.1,55.33,57.06,25012
MONQ50,2022-03-23,56.33,58.45,56.33,57.42,11137
MONQ50,2022-03-24,57.99,57.99,56.01,56.34,6944
MONQ50,2022-03-25,56.63,57.72,56.0,56.34,9711
MONQ50,2022-03-28,56.0,59.98,56.0,57.98,17765
MONQ50,2022-03-29,58.01,58.2,56.85,56.98,7688
MONQ50,2022-03-30,57.03,58.7,56.9,57.17,12592
MONQ50,2022-03-31,58.49,58.49,56.21,56.62,5952
MONQ50,2022-04-01,58.7,58.7,55.65,57.84,11262
MONQ50,2022-04-04,58.88,58.88,56.5,57.23,11812
MONQ50,2022-04-05,59.7,59.7,56.5,57.53,14076
MONQ50,2022-04-06,56.7,57.7,54.5,57.37,4775
MONQ50,2022-04-07,59.7,59.7,55.5,55.73,36739
MONQ50,2022-04-08,56.98,56.98,55.6,55.92,7482
MONQ50,2022-04-11,57.49,57.49,55.12,55.49,8174
MONQ50,2022-04-12,56.0,56.2,54.49,55.32,11859
MONQ50,2022-04-13,56.3,56.3,55.3,55.47,7039
MONQ50,2022-04-18,55.0,55.4,54.5,54.99,8144
MONQ50,2022-04-19,55.7,55.77,54.1,55.41,5271
MONQ50,2022-04-20,55.4,56.5,55.4,55.85,5566
MONQ50,2022-04-21,57.0,57.0,55.01,55.37,4160
MONQ50,2022-04-22,54.98,55.3,53.85,53.88,18609
MONQ50,2022-04-25,53.88,53.88,52.5,52.67,22314
MONQ50,2022-04-26,54.25,54.25,53.0,53.48,10995
MONQ50,2022-04-27,53.98,53.98,52.1,52.47,17915
MONQ50,2022-04-28,52.8,53.05,52.1,52.94,4217
MONQ50,2022-04-29,55.48,55.48,52.1,52.29,32124
MONQ50,2022-05-02,52.29,53.35,51.0,51.65,10461
MONQ50,2022-05-04,53.48,53.48,51.66,52.46,10097
MONQ50,2022-05-05,53.85,53.85,52.0,53.11,5694
MONQ50,2022-05-06,54.7,54.7,49.5,51.24,41012
MONQ50,2022-05-09,51.75,52.48,49.5,50.35,18466
MONQ50,2022-05-10,49.9,49.9,49.0,49.46,22804
MONQ50,2022-05-11,50.0,50.49,49.1,49.8,7526
MONQ50,2022-05-12,50.8,50.8,46.61,47.23,60419
MONQ50,2022-05-13,48.0,49.63,48.0,48.71,16364
MONQ50,2022-05-16,50.97,51.79,49.0,51.35,6028
MONQ50,2022-05-17,52.0,52.0,50.81,51.57,5018
MONQ50,2022-05-18,51.6,52.49,51.6,52.13,5947
MONQ50,2022-05-19,51.0,51.9,47.5,50.66,14529
MONQ50,2022-05-20,51.09,52.05,50.0,51.91,7520
MONQ50,2022-05-23,51.91,51.98,50.0,51.69,6268
MONQ50,2022-05-24,51.5,52.4,50.6,51.64,2950
MONQ50,2022-05-25,50.9,51.5,48.4,49.08,23018
MONQ50,2022-05-26,50.48,50.88,48.13,48.9,7423
MONQ50,2022-05-27,50.98,51.7,49.21,51.42,8716
MONQ50,2022-05-30,53.7,53.7,51.45,52.81,8195
MONQ50,2022-05-31,51.85,53.4,51.85,52.97,4640
MONQ50,2022-06-01,53.98,53.98,50.52,51.4,14025
MONQ50,2022-06-02,52.45,52.45,50.5,51.64,4392
MONQ50,2022-06-03,52.95,52.98,52.05,52.87,6667
MONQ50,2022-06-06,52.1,53.47,51.78,52.36,11539
MONQ50,2022-06-07,52.36,52.95,51.0,52.57,3852
MONQ50,2022-06-08,53.2,53.5,51.57,53.02,4269
MONQ50,2022-06-09,53.2,53.2,52.1,52.93,1781
MONQ50,2022-06-10,52.6,52.85,51.75,52.39,3544
MONQ50,2022-06-13,52.98,54.5,49.7,52.02,13715
MONQ50,2022-06-14,52.98,53.06,50.8,52.1,17847
MONQ50,2022-06-15,52.5,53.3,51.4,51.87,5499
MONQ50,2022-06-16,53.88,53.88,50.0,50.59,13023
MONQ50,2022-06-17,54.71,54.71,49.2,50.27,6600
MONQ50,2022-06-20,51.3,52.5,49.51,52.05,20030
MONQ50,2022-06-21,53.1,53.1,51.4,52.46,5754
MONQ50,2022-06-22,53.2,53.2,51.5,51.96,2501
MONQ50,2022-06-23,52.2,53.0,51.3,52.0,2090
MONQ50,2022-06-24,52.2,53.39,51.01,52.67,5860
MONQ50,2022-06-27,53.5,53.88,49.9,52.91,20882
MONQ50,2022-06-28,52.5,53.49,50.8,52.47,13110
MONQ50,2022-06-29,52.45,52.99,51.25,52.96,3810
MONQ50,2022-06-30,53.9,53.9,51.75,53.27,2106
MONQ50,2022-07-01,53.98,53.98,51.75,53.23,3727
MONQ50,2022-07-04,54.48,54.48,52.12,53.64,4808
MONQ50,2022-07-05,54.2,54.2,52.53,52.86,2554
MONQ50,2022-07-06,54.48,54.48,51.4,52.86,5227
MONQ50,2022-07-07,53.7,54.0,52.2,53.85,3720
MONQ50,2022-07-08,53.31,54.5,53.31,54.01,4031
MONQ50,2022-07-11,54.01,54.66,52.2,54.38,6411
MONQ50,2022-07-12,54.38,54.5,52.82,54.03,5334
