symbol,date,open,high,low,close,volume
MOSMALL250,2024-03-21,14.24,14.24,14.0,14.1,35741
MOSMALL250,2024-03-22,14.11,14.22,14.1,14.22,26271
MOSMALL250,2024-03-26,14.82,14.82,14.05,14.18,35767
MOSMALL250,2024-03-27,14.55,14.55,14.25,14.4,50270
MOSMALL250,2024-03-28,14.5,15.0,14.4,14.6,183040
MOSMALL250,2024-04-01,14.8,14.9,14.66,14.9,91909
MOSMALL250,2024-04-02,15.1,15.1,14.88,14.93,93384
MOSMALL250,2024-04-03,15.1,15.54,15.0,15.13,244759
MOSMALL250,2024-04-04,15.18,15.25,15.16,15.21,176370
MOSMALL250,2024-04-05,16.0,16.0,15.2,15.31,147245
MOSMALL250,2024-04-08,15.75,15.99,15.29,15.3,129314
MOSMALL250,2024-04-09,15.8,15.8,15.2,15.38,178058
MOSMALL250,2024-04-10,15.67,15.67,15.34,15.46,188881
MOSMALL250,2024-04-12,15.8,15.85,15.23,15.42,330610
MOSMALL250,2024-04-15,15.95,15.95,13.0,15.18,455178
MOSMALL250,2024-04-16,15.37,15.38,15.07,15.25,94531
MOSMALL250,2024-04-18,15.48,15.48,15.24,15.26,221529
MOSMALL250,2024-04-19,15.44,15.44,14.95,15.2,137004
MOSMALL250,2024-04-22,15.48,15.48,15.1,15.3,122315
MOSMALL250,2024-04-23,15.34,15.65,15.13,15.43,176878
MOSMALL250,2024-04-24,15.21,15.71,15.21,15.66,181407
MOSMALL250,2024-04-25,15.34,15.74,15.33,15.73,130578
MOSMALL250,2024-04-26,15.99,15.99,15.45,15.88,115976
MOSMALL250,2024-04-29,16.59,16.59,15.72,15.91,232333
MOSMALL250,2024-04-30,15.89,16.47,15.89,15.93,262638
