symbol,date,open,high,low,close,volume
MOTILALOFS,2008-06-09,145.54,146.2,141.03,142.29,39865
MOTILALOFS,2008-06-10,142.38,143.99,138.02,138.7,28705
MOTILALOFS,2008-06-11,140.0,143.4,138.02,139.31,30375
MOTILALOFS,2008-06-12,135.0,138.0,133.72,137.05,22600
MOTILALOFS,2008-06-13,132.6,143.6,132.25,134.1,39415
MOTILALOFS,2008-06-16,138.96,138.96,132.02,132.92,37165
MOTILALOFS,2008-06-17,134.98,137.8,132.23,133.63,87125
MOTILALOFS,2008-06-18,135.0,136.0,127.11,128.6,82905
MOTILALOFS,2008-06-19,126.6,130.6,124.8,129.13,127845
MOTILALOFS,2008-06-20,128.0,129.8,119.99,121.75,110720
MOTILALOFS,2008-06-23,118.0,130.0,114.0,128.01,86005
MOTILALOFS,2008-06-24,120.2,127.0,120.2,124.72,67170
MOTILALOFS,2008-06-25,119.8,122.2,118.0,120.27,22910
MOTILALOFS,2008-06-26,122.0,124.0,116.02,116.83,58045
MOTILALOFS,2008-06-27,113.0,123.0,112.0,120.17,93340
MOTILALOFS,2008-06-30,121.98,121.98,115.0,119.98,60900
MOTILALOFS,2008-07-01,116.4,123.9,106.4,108.56,40175
MOTILALOFS,2008-07-02,109.0,113.0,100.49,111.29,47800
MOTILALOFS,2008-07-03,105.0,109.4,104.27,105.81,17505
MOTILALOFS,2008-07-04,101.0,111.0,100.8,108.34,30545
MOTILALOFS,2008-07-07,108.45,116.0,108.45,110.44,42050
MOTILALOFS,2008-07-08,111.0,113.4,103.6,110.96,177890
MOTILALOFS,2008-07-09,111.82,119.0,111.82,113.74,112510
MOTILALOFS,2008-07-10,113.0,113.0,108.0,108.42,77605
MOTILALOFS,2008-07-11,108.0,111.0,103.34,105.51,30100
MOTILALOFS,2008-07-14,104.0,105.8,98.6,99.84,127425
MOTILALOFS,2008-07-15,99.84,101.99,97.0,97.82,35435
MOTILALOFS,2008-07-16,99.76,103.4,92.54,93.5,49630
MOTILALOFS,2008-07-17,97.0,98.98,91.4,92.31,64890
MOTILALOFS,2008-07-18,93.0,94.8,88.01,90.49,126000
MOTILALOFS,2008-07-21,89.0,101.2,88.47,96.3,209565
MOTILALOFS,2008-07-22,98.0,99.7,96.0,96.7,89135
MOTILALOFS,2008-07-23,102.0,104.8,99.74,101.69,348425
MOTILALOFS,2008-07-24,104.94,108.86,102.6,105.24,399335
MOTILALOFS,2008-07-25,104.4,109.7,103.0,105.0,354277
MOTILALOFS,2008-07-28,105.0,107.0,101.1,101.65,152383
MOTILALOFS,2008-07-29,100.0,101.5,98.0,99.35,65030
MOTILALOFS,2008-07-30,100.0,101.25,99.1,99.35,71899
MOTILALOFS,2008-07-31,100.4,104.9,97.65,99.45,120670
MOTILALOFS,2008-08-01,99.5,102.0,96.35,97.95,116220
MOTILALOFS,2008-08-04,98.9,101.8,98.0,101.0,184611
MOTILALOFS,2008-08-05,101.0,102.7,98.9,101.85,147143
MOTILALOFS,2008-08-06,103.8,106.0,102.5,104.5,266277
MOTILALOFS,2008-08-07,100.0,106.7,100.0,105.35,172442
MOTILALOFS,2008-08-08,105.5,107.0,101.5,105.3,155422
MOTILALOFS,2008-08-11,108.0,115.5,105.1,113.55,583085
MOTILALOFS,2008-08-12,115.0,118.0,102.0,113.25,308467
MOTILALOFS,2008-08-13,112.5,117.35,111.35,113.6,100018
MOTILALOFS,2008-08-14,111.2,116.0,105.1,107.75,79697
MOTILALOFS,2008-08-18,107.05,108.0,104.7,106.7,77513
MOTILALOFS,2008-08-19,106.95,109.5,104.1,107.8,47327
MOTILALOFS,2008-08-20,109.35,123.9,106.5,118.1,281905
MOTILALOFS,2008-08-21,118.75,118.75,110.1,115.6,199766
MOTILALOFS,2008-08-22,112.5,115.0,111.3,113.1,47945
MOTILALOFS,2008-08-25,114.0,116.9,114.0,116.05,87991
MOTILALOFS,2008-08-26,115.0,122.0,112.5,119.4,245016
MOTILALOFS,2008-08-27,119.0,121.0,114.0,114.85,54572
MOTILALOFS,2008-08-28,113.65,116.95,109.4,110.45,43265
MOTILALOFS,2008-08-29,114.6,118.45,110.0,115.4,100180
MOTILALOFS,2008-09-01,114.2,115.5,112.0,113.8,50474
MOTILALOFS,2008-09-02,112.35,117.0,112.3,115.05,54017
MOTILALOFS,2008-09-04,115.0,116.0,113.0,113.35,24980
MOTILALOFS,2008-09-05,114.8,114.8,110.1,110.65,33207
MOTILALOFS,2008-09-08,115.0,116.9,110.6,111.1,42974
MOTILALOFS,2008-09-09,111.0,112.55,109.15,110.0,21877
MOTILALOFS,2008-09-10,110.0,113.0,106.5,107.25,64515
MOTILALOFS,2008-09-11,107.25,107.25,104.9,105.25,22441
MOTILALOFS,2008-09-12,105.5,106.55,102.25,102.9,26467
MOTILALOFS,2008-09-15,98.1,100.5,88.6,95.55,105602
MOTILALOFS,2008-09-16,92.1,101.9,91.15,99.35,63761
MOTILALOFS,2008-09-17,100.0,104.0,94.0,96.0,38225
MOTILALOFS,2008-09-18,92.0,101.8,87.0,100.75,88064
MOTILALOFS,2008-09-19,101.5,107.0,99.5,101.0,41935
MOTILALOFS,2008-09-22,104.0,104.8,101.0,103.4,31026
MOTILALOFS,2008-09-23,101.0,104.8,100.0,102.85,77026
MOTILALOFS,2008-09-24,102.0,108.4,101.5,106.6,82469
MOTILALOFS,2008-09-25,107.0,107.0,102.0,104.1,985396
MOTILALOFS,2008-09-26,102.6,104.0,97.05,98.45,87637
MOTILALOFS,2008-09-29,98.5,100.1,90.5,96.55,57855
MOTILALOFS,2008-09-30,90.25,102.95,90.25,101.4,59523
MOTILALOFS,2008-10-01,104.0,104.0,97.0,98.75,19136
MOTILALOFS,2008-10-03,91.0,98.9,91.0,93.0,16594
MOTILALOFS,2008-10-06,90.05,92.6,86.0,86.65,27467
MOTILALOFS,2008-10-07,92.5,93.05,88.0,90.4,42487
MOTILALOFS,2008-10-08,84.2,88.0,74.5,78.15,35109
MOTILALOFS,2008-10-10,75.0,78.45,68.05,76.5,64291
MOTILALOFS,2008-10-13,76.0,84.45,75.0,82.35,34875
MOTILALOFS,2008-10-14,84.8,98.0,76.4,79.6,63917
MOTILALOFS,2008-10-15,78.0,80.0,73.0,75.15,32701
MOTILALOFS,2008-10-16,71.4,73.8,65.1,72.05,37216
MOTILALOFS,2008-10-17,77.05,77.05,71.5,72.15,24906
MOTILALOFS,2008-10-20,74.0,74.0,68.0,68.6,21787
MOTILALOFS,2008-10-21,70.0,75.5,69.35,73.0,15160
MOTILALOFS,2008-10-22,71.4,71.45,69.0,70.2,7939
MOTILALOFS,2008-10-23,64.1,72.0,64.0,70.55,20426
MOTILALOFS,2008-10-24,67.3,68.85,63.5,64.45,20672
MOTILALOFS,2008-10-27,62.5,64.0,51.6,56.5,44138
MOTILALOFS,2008-10-28,58.5,64.7,55.1,59.3,24757
MOTILALOFS,2008-10-29,62.0,66.8,59.0,65.0,20609
MOTILALOFS,2008-10-31,68.0,70.9,65.55,69.0,28401
MOTILALOFS,2008-11-03,73.0,78.0,71.1,76.5,121224
MOTILALOFS,2008-11-04,73.75,76.0,73.3,74.95,19799
MOTILALOFS,2008-11-05,82.8,82.8,72.2,73.05,39472
MOTILALOFS,2008-11-06,70.0,71.0,66.0,66.8,24762
