symbol,date,open,high,low,close,volume
MOTOGENFIN,2016-01-01,19.8,20.0,19.8,20.0,202
MOTOGENFIN,2016-01-04,20.5,20.825,19.625,20.825,462
MOTOGENFIN,2016-01-05,21.0,21.0,19.8,20.475,4972
MOTOGENFIN,2016-01-06,20.8,20.8,19.5,20.75,952
MOTOGENFIN,2016-01-07,21.375,21.375,21.375,21.375,2
MOTOGENFIN,2016-01-11,21.375,21.375,21.325,21.325,520
MOTOGENFIN,2016-01-12,20.275,20.275,20.275,20.275,400
MOTOGENFIN,2016-01-13,19.525,19.95,19.5,19.95,11318
MOTOGENFIN,2016-01-14,19.5,19.5,19.5,19.5,2002
MOTOGENFIN,2016-01-15,19.25,19.5,18.65,19.5,10898
MOTOGENFIN,2016-01-18,19.5,19.5,19.5,19.5,3400
MOTOGENFIN,2016-01-19,20.4,20.4,19.5,19.5,14002
MOTOGENFIN,2016-01-20,20.45,20.45,19.5,19.5,602
MOTOGENFIN,2016-01-21,18.525,19.5,18.525,19.5,6600
MOTOGENFIN,2016-01-22,20.475,20.475,18.675,19.5,3314
MOTOGENFIN,2016-01-27,20.0,20.0,19.5,19.5,8202
MOTOGENFIN,2016-01-28,19.5,19.525,19.5,19.5,3080
MOTOGENFIN,2016-01-29,18.525,20.475,18.525,20.475,220
MOTOGENFIN,2016-02-01,21.475,21.475,19.95,20.0,2206
MOTOGENFIN,2016-02-02,20.5,20.5,19.975,19.975,1000
MOTOGENFIN,2016-02-03,20.0,20.0,20.0,20.0,796
MOTOGENFIN,2016-02-05,19.95,19.95,19.95,19.95,2
MOTOGENFIN,2016-02-09,20.0,20.0,19.85,19.85,6
MOTOGENFIN,2016-02-10,18.875,18.875,18.875,18.875,1596
MOTOGENFIN,2016-02-11,19.5,19.5,17.95,17.95,4810
MOTOGENFIN,2016-02-12,18.375,18.375,18.375,18.375,2
MOTOGENFIN,2016-02-15,17.5,19.25,17.5,19.25,404
MOTOGENFIN,2016-02-16,20.2,20.2,18.3,18.3,2042
MOTOGENFIN,2016-02-17,17.4,18.975,17.4,18.975,2958
MOTOGENFIN,2016-02-18,18.05,19.8,18.05,19.8,5164
MOTOGENFIN,2016-02-19,18.825,18.825,18.825,18.825,188
MOTOGENFIN,2016-02-22,18.4,19.7,18.4,19.5,2816
MOTOGENFIN,2016-02-23,19.025,19.025,18.525,18.525,14
MOTOGENFIN,2016-02-24,18.0,18.5,18.0,18.5,5992
MOTOGENFIN,2016-02-26,19.425,19.425,18.5,18.5,400
MOTOGENFIN,2016-02-29,19.425,19.425,18.0,19.4,3018
MOTOGENFIN,2016-03-01,18.9,18.9,18.0,18.0,130
MOTOGENFIN,2016-03-02,18.75,18.75,18.75,18.75,2
MOTOGENFIN,2016-03-03,19.225,19.225,18.025,18.025,1002
MOTOGENFIN,2016-03-04,18.9,18.9,18.9,18.9,2
MOTOGENFIN,2016-03-08,19.2,19.2,19.2,19.2,2
