symbol,date,open,high,low,close,volume
MOVALUE,2022-08-26,40.8,48.63,40.8,48.63,2664
MOVALUE,2022-08-29,48.63,58.35,40.6,58.35,7655
MOVALUE,2022-08-30,50.79,50.79,50.79,50.79,389
MOVALUE,2022-09-01,50.26,50.26,50.26,50.26,1
MOVALUE,2022-09-02,50.26,51.22,42.65,47.48,1262
MOVALUE,2022-09-05,48.1,50.9,43.07,47.96,1724
MOVALUE,2022-09-06,49.39,50.3,45.1,47.44,293
MOVALUE,2022-09-07,48.86,48.86,45.1,46.0,131
MOVALUE,2022-09-08,50.5,51.28,48.99,51.0,637
MOVALUE,2022-09-09,51.42,51.42,49.25,49.25,163
MOVALUE,2022-09-12,49.0,49.0,46.2,49.0,2006
MOVALUE,2022-09-13,51.6,51.6,48.75,50.56,1167
MOVALUE,2022-09-14,51.6,52.0,49.0,51.86,1731
MOVALUE,2022-09-15,52.0,52.0,50.0,52.0,286
MOVALUE,2022-09-16,52.0,52.52,50.01,52.01,400
MOVALUE,2022-09-19,52.47,52.47,50.6,51.33,225
MOVALUE,2022-09-20,50.51,51.39,50.51,51.36,115
MOVALUE,2022-09-21,50.5,51.12,50.5,51.12,346
MOVALUE,2022-09-22,51.57,51.57,42.1,42.8,11224
MOVALUE,2022-09-23,51.0,51.0,42.0,42.21,15129
MOVALUE,2022-09-26,46.5,46.5,39.03,39.98,17172
MOVALUE,2022-09-27,41.0,42.32,40.2,40.93,3841
MOVALUE,2022-09-28,47.75,47.95,39.0,39.78,76191
MOVALUE,2022-09-29,41.8,43.0,38.7,39.46,15760
MOVALUE,2022-09-30,42.8,42.8,39.79,40.68,10798
MOVALUE,2022-10-03,40.96,40.96,40.51,40.51,1826
MOVALUE,2022-10-04,40.51,41.75,39.75,41.73,2766
MOVALUE,2022-10-06,46.0,46.0,40.1,42.3,5906
MOVALUE,2022-10-07,42.41,42.41,41.1,41.65,3127
MOVALUE,2022-10-10,44.85,44.85,39.63,41.95,4189
MOVALUE,2022-10-11,45.85,45.85,40.1,41.7,1235
MOVALUE,2022-10-12,41.5,41.65,40.4,40.94,3473
MOVALUE,2022-10-13,41.4,41.4,41.4,41.4,207
MOVALUE,2022-10-14,41.7,41.7,41.63,41.63,1560
MOVALUE,2022-10-17,41.3,41.8,41.3,41.65,70
MOVALUE,2022-10-18,41.8,42.3,40.9,41.75,1657
MOVALUE,2022-10-19,42.1,43.0,42.1,42.45,87
MOVALUE,2022-10-20,42.3,42.39,41.71,42.05,1072
MOVALUE,2022-10-21,42.4,43.4,42.4,42.5,397
MOVALUE,2022-10-24,43.0,44.9,42.85,42.85,367
MOVALUE,2022-10-25,42.5,43.5,41.7,43.24,533
MOVALUE,2022-10-27,43.0,43.49,42.0,42.0,2729
MOVALUE,2022-10-28,42.17,43.49,42.17,43.48,344
MOVALUE,2022-10-31,43.0,44.0,42.3,43.58,3807
MOVALUE,2022-11-01,43.9,44.05,43.1,43.67,2735
MOVALUE,2022-11-02,44.0,45.2,44.0,44.5,3020
MOVALUE,2022-11-03,45.9,45.9,43.7,44.25,3491
MOVALUE,2022-11-04,44.25,45.05,44.25,45.05,1151
MOVALUE,2022-11-07,45.1,45.8,45.1,45.58,3291
MOVALUE,2022-11-09,45.5,46.05,45.5,46.05,404
MOVALUE,2022-11-10,45.9,45.9,45.15,45.15,745
MOVALUE,2022-11-11,45.15,46.9,45.15,46.01,1536
MOVALUE,2022-11-14,45.9,46.6,45.3,46.15,1596
MOVALUE,2022-11-15,46.1,46.25,45.51,45.91,260
MOVALUE,2022-11-16,45.9,45.9,45.3,45.85,186
MOVALUE,2022-11-17,45.7,46.8,45.25,45.85,571
MOVALUE,2022-11-18,45.95,45.95,45.95,45.95,10
MOVALUE,2022-11-21,46.0,46.0,45.61,45.76,6
MOVALUE,2022-11-22,45.7,46.09,45.5,45.9,955
MOVALUE,2022-11-23,46.0,46.58,46.0,46.18,3013
MOVALUE,2022-11-24,46.4,47.02,46.4,46.69,578
MOVALUE,2022-11-25,45.53,47.72,45.53,47.41,1533
MOVALUE,2022-11-28,47.41,47.69,47.38,47.69,232
MOVALUE,2022-11-29,47.9,47.98,47.62,47.79,14
MOVALUE,2022-11-30,47.9,48.16,47.9,48.06,62
MOVALUE,2022-12-01,48.1,48.9,48.1,48.74,109
MOVALUE,2022-12-02,48.74,53.0,48.57,49.41,1036
MOVALUE,2022-12-05,49.3,50.0,48.5,49.6,1201
MOVALUE,2022-12-06,49.5,53.0,48.5,49.13,1823
MOVALUE,2022-12-07,49.2,53.0,48.75,49.72,93
MOVALUE,2022-12-08,49.22,49.65,49.11,49.3,1199
MOVALUE,2022-12-09,49.4,50.2,48.56,48.72,4567
MOVALUE,2022-12-12,53.0,53.0,48.27,49.63,1627
MOVALUE,2022-12-13,48.6,49.77,48.03,49.45,913
MOVALUE,2022-12-14,49.73,50.47,49.7,50.43,37
MOVALUE,2022-12-15,50.02,50.42,49.54,49.94,996
MOVALUE,2022-12-16,49.85,49.85,48.87,49.17,105
MOVALUE,2022-12-19,49.1,49.38,48.6,49.01,68
MOVALUE,2022-12-20,49.1,49.1,48.87,49.0,118
MOVALUE,2022-12-21,49.2,50.2,48.0,48.58,41449
MOVALUE,2022-12-22,48.5,48.5,47.46,47.48,4020
MOVALUE,2022-12-23,47.5,47.5,45.5,45.77,613
MOVALUE,2022-12-26,45.5,47.54,45.5,47.5,282
MOVALUE,2022-12-27,47.6,48.48,47.6,48.48,1008
MOVALUE,2022-12-28,48.1,48.3,48.1,48.3,7
MOVALUE,2022-12-29,49.7,49.7,46.83,48.56,32
MOVALUE,2022-12-30,56.0,56.0,47.35,49.69,3245
MOVALUE,2023-01-02,50.7,50.7,49.63,50.45,198
MOVALUE,2023-01-03,50.3,50.68,50.16,50.68,664
MOVALUE,2023-01-04,50.5,50.5,49.31,49.82,523
MOVALUE,2023-01-05,49.86,49.86,49.86,49.86,65
MOVALUE,2023-01-06,50.19,52.86,49.0,49.46,973
MOVALUE,2023-01-09,50.0,50.4,50.0,50.4,22
MOVALUE,2023-01-10,50.5,50.5,49.4,49.69,206
MOVALUE,2023-01-11,50.2,50.66,50.2,50.21,112
MOVALUE,2023-01-12,50.2,50.2,49.84,49.89,3312
MOVALUE,2023-01-13,48.53,51.7,48.53,50.7,30454
MOVALUE,2023-01-16,50.74,50.74,50.27,50.29,2453
MOVALUE,2023-01-17,50.29,51.78,49.91,50.0,570
MOVALUE,2023-01-18,50.5,51.74,50.47,50.64,1612
MOVALUE,2023-01-19,50.64,50.75,50.64,50.75,529
MOVALUE,2023-01-20,50.9,51.4,50.81,50.91,208
MOVALUE,2023-01-23,51.0,51.6,50.96,51.36,25
MOVALUE,2023-01-24,51.3,54.1,50.7,50.7,302
MOVALUE,2023-01-25,52.22,52.22,49.33,50.01,1372
MOVALUE,2023-01-27,51.36,56.0,48.0,50.76,805
MOVALUE,2023-01-30,52.28,52.28,48.54,48.97,1950
MOVALUE,2023-01-31,50.76,50.76,47.3,49.9,261
MOVALUE,2023-02-01,50.0,50.8,47.3,47.3,572
MOVALUE,2023-02-02,48.68,49.0,47.3,48.6,1850
MOVALUE,2023-02-03,48.6,48.84,47.7,48.77,902
MOVALUE,2023-02-06,48.5,48.89,48.5,48.79,186
MOVALUE,2023-02-07,48.79,48.79,48.09,48.09,354
MOVALUE,2023-02-08,48.19,48.69,48.19,48.69,844
MOVALUE,2023-02-09,48.5,48.5,48.3,48.3,508
MOVALUE,2023-02-10,48.33,49.8,48.21,48.23,191
MOVALUE,2023-02-13,48.3,48.42,47.91,47.91,163
MOVALUE,2023-02-14,47.9,48.16,47.3,48.16,199
MOVALUE,2023-02-15,48.35,48.35,48.19,48.23,31169
MOVALUE,2023-02-16,48.77,50.2,48.6,48.91,1550
MOVALUE,2023-02-17,48.9,50.0,47.9,48.67,431
MOVALUE,2023-02-20,48.9,48.9,48.21,48.21,149
MOVALUE,2023-02-21,48.3,48.3,48.04,48.29,34
MOVALUE,2023-02-22,48.29,48.29,47.38,47.63,2425
MOVALUE,2023-02-23,47.52,47.52,47.51,47.51,25
MOVALUE,2023-02-24,47.51,47.6,47.45,47.45,117
MOVALUE,2023-02-27,47.33,47.37,46.85,47.21,200
MOVALUE,2023-02-28,47.1,47.11,46.71,46.74,752
MOVALUE,2023-03-01,47.3,47.9,47.3,47.85,18
MOVALUE,2023-03-02,47.99,48.05,47.7,47.96,269
MOVALUE,2023-03-03,48.2,49.53,48.17,48.81,212
MOVALUE,2023-03-06,49.0,50.6,49.0,49.24,959
MOVALUE,2023-03-08,49.26,49.3,49.2,49.28,1225
MOVALUE,2023-03-09,49.3,49.74,49.15,49.34,1458
MOVALUE,2023-03-10,49.1,49.3,48.38,49.12,221
MOVALUE,2023-03-13,48.9,48.9,48.06,48.15,349
MOVALUE,2023-03-14,48.1,48.1,47.88,47.88,15
MOVALUE,2023-03-15,48.15,48.4,48.12,48.4,925
MOVALUE,2023-03-16,47.83,47.9,47.34,47.81,951
MOVALUE,2023-03-17,47.9,48.39,47.81,48.39,61
MOVALUE,2023-03-20,48.13,48.13,47.42,47.72,5701
MOVALUE,2023-03-22,48.1,48.39,48.1,48.2,904
MOVALUE,2023-03-23,48.16,48.16,47.59,47.67,24
MOVALUE,2023-03-24,47.7,47.7,46.74,46.99,683
MOVALUE,2023-03-27,47.2,47.3,46.75,46.79,869
MOVALUE,2023-03-28,46.8,46.8,46.33,46.5,383
MOVALUE,2023-03-29,46.7,47.49,46.67,47.49,539
MOVALUE,2023-03-31,47.8,48.1,47.56,47.79,1185
MOVALUE,2023-04-03,48.0,48.28,47.99,47.99,173
MOVALUE,2023-04-05,47.99,48.15,47.8,48.11,353
MOVALUE,2023-04-10,48.1,49.01,47.3,48.73,4772
MOVALUE,2023-04-11,48.79,49.0,48.79,48.99,1053
MOVALUE,2023-04-12,49.0,49.2,48.92,49.2,2361
MOVALUE,2023-04-13,48.7,48.73,48.3,48.73,3600
MOVALUE,2023-04-17,49.4,49.8,48.94,49.33,169
MOVALUE,2023-04-18,49.4,49.9,49.4,49.77,38
MOVALUE,2023-04-19,49.8,50.02,49.6,49.79,112
MOVALUE,2023-04-20,50.0,50.0,49.57,49.87,518
MOVALUE,2023-04-21,49.76,49.76,49.15,49.2,308
MOVALUE,2023-04-24,49.64,49.95,49.5,49.95,1621
MOVALUE,2023-04-25,50.0,50.32,50.0,50.32,972
MOVALUE,2023-04-26,50.1,50.11,49.83,50.01,670
MOVALUE,2023-04-27,50.14,50.21,50.14,50.21,131
MOVALUE,2023-04-28,50.4,50.73,50.38,50.43,54
MOVALUE,2023-05-02,50.5,52.87,50.5,51.94,840
MOVALUE,2023-05-03,51.71,51.71,51.14,51.24,798
MOVALUE,2023-05-04,51.51,55.0,51.51,53.9,42
MOVALUE,2023-05-05,52.05,52.1,51.15,51.26,5247
MOVALUE,2023-05-08,51.15,51.56,51.14,51.2,498
MOVALUE,2023-05-09,51.62,51.8,51.0,51.0,820
MOVALUE,2023-05-10,51.24,51.38,50.72,51.38,1374
MOVALUE,2023-05-11,52.66,52.66,51.09,51.09,34
MOVALUE,2023-05-12,52.0,52.0,50.5,50.5,215
MOVALUE,2023-05-15,50.5,51.33,50.19,50.78,13747
MOVALUE,2023-05-16,51.26,55.0,50.7,51.75,22376
MOVALUE,2023-05-17,51.31,51.55,50.9,50.99,2728
MOVALUE,2023-05-18,51.42,51.42,50.76,50.79,93
MOVALUE,2023-05-19,50.7,50.7,50.24,50.52,4984
MOVALUE,2023-05-22,50.51,50.56,48.63,48.78,3437
MOVALUE,2023-05-23,51.0,51.36,50.99,51.18,1336
MOVALUE,2023-05-24,52.2,52.2,50.81,50.9,527
MOVALUE,2023-05-25,51.02,51.14,50.73,51.14,10232
MOVALUE,2023-05-26,50.15,51.39,50.13,50.65,982
MOVALUE,2023-05-29,51.05,51.73,51.05,51.67,1984
MOVALUE,2023-05-30,51.55,51.76,51.26,51.39,340
MOVALUE,2023-05-31,51.35,51.49,51.1,51.16,50
MOVALUE,2023-06-01,51.41,51.41,51.17,51.31,1009
MOVALUE,2023-06-02,51.38,51.82,51.38,51.75,1082
MOVALUE,2023-06-05,51.9,51.93,51.48,51.55,183
MOVALUE,2023-06-06,51.73,51.73,51.65,51.66,466
MOVALUE,2023-06-07,52.0,52.32,51.69,52.23,444
MOVALUE,2023-06-08,52.48,52.48,51.94,51.94,493
MOVALUE,2023-06-09,52.13,52.16,51.7,51.72,236
MOVALUE,2023-06-12,51.72,52.51,51.72,52.51,72
MOVALUE,2023-06-13,52.5,52.73,52.5,52.67,546
MOVALUE,2023-06-14,52.8,52.93,52.8,52.88,1015
MOVALUE,2023-06-15,52.7,52.77,52.5,52.51,634
MOVALUE,2023-06-16,52.9,53.0,52.9,53.0,181
MOVALUE,2023-06-19,53.0,53.2,52.9,53.11,1071
MOVALUE,2023-06-20,53.7,54.17,52.81,53.25,1850
MOVALUE,2023-06-21,53.4,53.94,53.4,53.88,791
MOVALUE,2023-06-22,53.7,53.79,52.94,53.25,735
MOVALUE,2023-06-23,53.16,53.16,52.41,52.41,2083
MOVALUE,2023-06-26,52.51,52.57,52.31,52.57,49
MOVALUE,2023-06-27,53.62,53.62,52.76,53.06,3490
MOVALUE,2023-06-28,52.94,53.48,52.94,53.48,338
MOVALUE,2023-06-30,53.6,53.7,53.56,53.7,363
MOVALUE,2023-07-03,53.7,54.95,53.7,54.95,794
MOVALUE,2023-07-04,54.67,55.06,54.31,54.94,6411
MOVALUE,2023-07-06,55.76,55.95,55.5,55.95,435
MOVALUE,2023-07-07,58.48,58.48,55.28,55.7,1100
MOVALUE,2023-07-10,55.7,56.0,55.2,55.57,2678
MOVALUE,2023-07-11,55.83,56.0,55.83,56.0,3486
MOVALUE,2023-07-12,55.97,56.27,55.87,55.91,1559
MOVALUE,2023-07-13,55.91,56.27,55.09,55.36,748
MOVALUE,2023-07-14,55.45,55.95,55.45,55.95,363
MOVALUE,2023-07-17,56.05,56.11,55.65,56.02,456
MOVALUE,2023-07-18,56.06,56.06,55.55,55.8,1277
MOVALUE,2023-07-20,56.2,56.62,56.2,56.54,8883
MOVALUE,2023-07-21,56.66,56.79,56.25,56.59,519
MOVALUE,2023-07-24,56.6,57.25,56.6,56.98,687
MOVALUE,2023-07-25,56.9,57.4,56.9,57.37,6764
MOVALUE,2023-07-26,57.59,57.76,57.44,57.57,211
MOVALUE,2023-07-27,57.76,58.2,57.76,58.04,607
MOVALUE,2023-07-28,57.96,58.18,57.96,58.18,468
MOVALUE,2023-07-31,58.95,58.95,58.72,58.87,394
MOVALUE,2023-08-01,58.9,59.74,58.9,59.6,2021
MOVALUE,2023-08-02,59.56,60.4,57.8,58.26,6836
MOVALUE,2023-08-03,58.11,58.3,57.51,57.58,16441
MOVALUE,2023-08-04,58.0,58.43,57.81,57.81,1125
MOVALUE,2023-08-07,58.26,58.26,57.93,58.22,878
MOVALUE,2023-08-08,58.26,58.87,57.87,58.22,24007
MOVALUE,2023-08-09,59.67,59.67,56.83,56.83,1025
