symbol,date,open,high,low,close,volume
MTNL,2008-06-09,95.5,96.0,92.75,94.75,1753613
MTNL,2008-06-10,96.0,96.0,93.25,94.0,519115
MTNL,2008-06-11,94.95,95.8,94.25,95.15,472866
MTNL,2008-06-12,93.95,94.8,92.55,94.45,601161
MTNL,2008-06-13,95.4,95.4,94.1,94.5,429572
MTNL,2008-06-16,95.45,96.75,94.9,95.25,340695
MTNL,2008-06-17,95.8,96.5,95.1,95.6,671194
MTNL,2008-06-18,96.0,98.65,95.1,95.5,683492
MTNL,2008-06-19,96.5,99.1,95.0,97.3,1544793
MTNL,2008-06-20,100.0,100.0,93.55,94.55,1217102
MTNL,2008-06-23,94.6,95.8,93.0,94.1,789352
MTNL,2008-06-24,94.2,94.9,89.65,91.35,1154037
MTNL,2008-06-25,91.0,93.0,89.1,92.7,1286400
MTNL,2008-06-26,93.5,94.8,91.7,92.2,2570612
MTNL,2008-06-27,90.0,93.8,90.0,91.55,1467874
MTNL,2008-06-30,91.55,91.95,89.6,90.3,797693
MTNL,2008-07-01,90.0,90.25,86.2,87.45,999420
MTNL,2008-07-02,87.6,88.55,83.15,87.85,636858
MTNL,2008-07-03,87.0,88.05,84.5,85.1,820319
MTNL,2008-07-04,86.3,88.4,86.0,87.0,558221
MTNL,2008-07-07,87.7,89.9,87.7,89.0,302258
MTNL,2008-07-08,87.1,90.7,87.0,89.85,259168
MTNL,2008-07-09,91.9,92.2,89.9,91.05,323423
MTNL,2008-07-10,89.2,94.55,89.2,93.6,488075
MTNL,2008-07-11,93.7,93.9,91.45,92.05,707255
MTNL,2008-07-14,90.55,92.5,90.55,92.0,204949
MTNL,2008-07-15,90.25,91.8,90.0,91.0,371507
MTNL,2008-07-16,90.5,92.75,89.05,91.1,334326
MTNL,2008-07-17,92.55,94.35,91.55,93.2,237454
MTNL,2008-07-18,93.0,93.95,91.15,92.35,647059
MTNL,2008-07-21,93.05,93.6,91.5,93.0,503071
MTNL,2008-07-22,93.4,94.8,92.05,93.8,399653
MTNL,2008-07-23,96.6,98.25,95.1,96.8,1509520
MTNL,2008-07-24,98.0,104.7,97.2,103.7,1681292
MTNL,2008-07-25,103.7,105.95,101.55,102.35,1541035
MTNL,2008-07-28,103.1,108.15,103.1,103.75,1886529
MTNL,2008-07-29,103.0,103.9,100.75,101.55,667369
MTNL,2008-07-30,102.6,108.5,102.1,107.35,3171643
MTNL,2008-07-31,109.0,109.0,102.55,103.65,2283074
MTNL,2008-08-01,104.0,111.75,101.6,107.75,5118850
MTNL,2008-08-04,108.0,111.4,106.5,107.4,1846399
MTNL,2008-08-05,108.9,109.45,105.1,107.3,987865
MTNL,2008-08-06,108.0,109.0,104.5,105.05,1400219
MTNL,2008-08-07,105.25,113.2,105.0,109.75,7185939
MTNL,2008-08-08,109.0,112.0,108.0,108.5,2138914
MTNL,2008-08-11,110.0,110.85,108.1,108.65,1093267
MTNL,2008-08-12,108.0,109.4,105.85,106.35,860973
MTNL,2008-08-13,106.8,110.8,105.8,109.45,2145693
MTNL,2008-08-14,108.95,109.95,106.55,107.05,1472353
MTNL,2008-08-18,106.0,108.0,102.6,104.05,1451305
MTNL,2008-08-19,103.0,104.9,102.2,104.45,1149334
MTNL,2008-08-20,105.0,106.0,103.25,103.65,1235436
MTNL,2008-08-21,103.65,104.5,100.15,100.5,977818
MTNL,2008-08-22,100.0,102.3,100.0,101.65,653156
MTNL,2008-08-25,102.15,103.5,101.25,101.7,1367859
MTNL,2008-08-26,101.0,102.9,101.0,102.2,767775
MTNL,2008-08-27,102.75,103.8,101.25,101.65,583392
MTNL,2008-08-28,99.0,102.3,96.9,97.7,1609194
MTNL,2008-08-29,98.5,100.0,98.5,99.0,833957
MTNL,2008-09-01,99.3,99.4,97.1,97.5,468808
MTNL,2008-09-02,98.25,99.4,97.5,98.9,583920
MTNL,2008-09-04,99.7,99.7,98.0,98.3,181177
MTNL,2008-09-05,98.4,98.4,96.25,97.0,153752
MTNL,2008-09-08,98.0,100.4,97.0,98.55,384377
MTNL,2008-09-09,98.9,100.4,97.5,99.6,497743
MTNL,2008-09-10,99.35,100.0,98.1,98.65,359179
MTNL,2008-09-11,98.05,99.2,96.75,97.5,554879
MTNL,2008-09-12,96.3,99.0,96.15,96.6,191927
MTNL,2008-09-15,95.5,95.5,91.0,91.7,434882
MTNL,2008-09-16,90.0,93.0,88.2,92.45,483572
MTNL,2008-09-17,93.0,93.3,89.4,90.05,476809
MTNL,2008-09-18,88.0,88.0,81.0,86.9,557626
MTNL,2008-09-19,90.0,91.95,89.35,90.45,684137
MTNL,2008-09-22,90.95,90.95,89.0,89.9,391400
MTNL,2008-09-23,89.9,91.2,88.1,89.95,701384
MTNL,2008-09-24,90.0,93.0,90.0,91.15,542549
MTNL,2008-09-25,90.9,91.9,88.25,89.15,1427951
MTNL,2008-09-26,90.1,91.4,85.7,86.45,483279
MTNL,2008-09-29,87.05,87.05,83.6,84.3,549588
MTNL,2008-09-30,83.5,87.0,79.6,84.45,479663
MTNL,2008-10-01,86.0,86.6,84.25,85.5,200919
MTNL,2008-10-03,84.5,85.9,83.4,83.95,201792
MTNL,2008-10-06,83.0,83.0,80.5,81.0,1562052
MTNL,2008-10-07,82.0,82.8,76.4,76.95,867394
MTNL,2008-10-08,74.2,76.25,69.55,70.5,1201990
MTNL,2008-10-10,68.9,72.0,62.1,62.85,1392154
MTNL,2008-10-13,65.5,68.3,65.0,67.75,609378
MTNL,2008-10-14,71.85,72.0,69.05,69.75,672750
MTNL,2008-10-15,69.35,70.0,65.5,65.75,317297
MTNL,2008-10-16,62.0,67.9,60.4,66.4,637388
MTNL,2008-10-17,68.8,71.4,62.0,62.9,615338
MTNL,2008-10-20,63.1,66.7,63.0,65.95,493417
MTNL,2008-10-21,66.0,68.7,66.0,67.35,323107
MTNL,2008-10-22,65.2,67.5,65.2,66.9,474647
MTNL,2008-10-23,63.65,67.8,63.6,65.05,421619
MTNL,2008-10-24,64.05,65.4,58.5,60.15,919311
MTNL,2008-10-27,60.2,60.8,51.0,58.55,2045113
MTNL,2008-10-28,61.4,63.9,60.2,62.4,264373
MTNL,2008-10-29,60.15,64.8,58.05,59.6,1940202
MTNL,2008-10-31,58.15,68.5,57.5,65.95,5026813
MTNL,2008-11-03,68.3,69.8,67.0,69.0,966493
MTNL,2008-11-04,68.85,72.4,66.7,71.9,726637
MTNL,2008-11-05,72.0,75.0,68.5,69.9,1012014
MTNL,2008-11-06,65.2,69.95,65.2,68.2,329584
MTNL,2008-11-07,67.05,71.5,67.05,70.15,375508
MTNL,2008-11-10,71.8,75.55,70.25,74.75,855920
MTNL,2008-11-11,73.75,73.75,67.65,70.65,706471
MTNL,2008-11-12,67.55,71.55,67.1,69.8,522746
MTNL,2008-11-14,69.05,73.9,69.05,71.75,389021
MTNL,2008-11-17,72.0,75.85,71.55,73.95,1004071
MTNL,2008-11-18,72.3,75.0,70.85,71.35,1167494
MTNL,2008-11-19,71.0,74.8,70.5,72.1,471687
MTNL,2008-11-20,71.0,71.0,68.7,69.4,518577
MTNL,2008-11-21,68.75,71.0,67.6,69.15,867531
MTNL,2008-11-24,69.6,71.4,68.15,69.7,770952
MTNL,2008-11-25,70.5,72.4,69.7,71.2,736055
MTNL,2008-11-26,70.1,73.3,70.1,72.5,485451
MTNL,2008-11-28,71.7,74.8,71.6,74.2,564849
MTNL,2008-12-01,70.25,74.8,70.25,73.45,720588
MTNL,2008-12-02,72.2,72.5,70.0,70.95,816421
MTNL,2008-12-03,71.75,72.5,70.5,71.05,696313
MTNL,2008-12-04,71.0,74.15,71.0,73.4,868403
MTNL,2008-12-05,73.3,76.3,72.25,73.45,502912
MTNL,2008-12-08,74.25,75.8,72.35,73.05,361266
MTNL,2008-12-10,76.9,76.9,73.65,75.2,435264
MTNL,2008-12-11,76.5,78.5,75.3,76.8,1093891
MTNL,2008-12-12,76.0,76.0,74.0,74.8,372578
MTNL,2008-12-15,75.25,82.8,75.25,81.1,2210583
MTNL,2008-12-16,83.0,83.0,77.75,78.25,577650
MTNL,2008-12-17,78.35,80.8,77.1,77.65,663986
MTNL,2008-12-18,77.2,79.5,77.2,79.15,236835
MTNL,2008-12-19,79.0,81.1,78.5,80.05,351844
MTNL,2008-12-22,81.0,83.9,80.1,80.6,1039161
MTNL,2008-12-23,79.1,81.95,79.1,80.5,672498
MTNL,2008-12-24,82.4,82.4,78.7,79.6,1899021
MTNL,2008-12-26,80.1,81.6,78.45,79.4,481266
MTNL,2008-12-29,79.5,79.5,76.4,78.5,222737
MTNL,2008-12-30,79.0,80.55,77.05,79.95,609451
MTNL,2008-12-31,80.5,81.5,78.3,79.15,395167
MTNL,2009-01-01,79.75,80.85,79.55,80.2,214316
MTNL,2009-01-02,81.15,83.25,78.0,81.8,572480
MTNL,2009-01-05,82.85,83.5,81.95,82.95,781366
MTNL,2009-01-06,83.25,83.5,79.8,81.1,421881
MTNL,2009-01-07,83.95,83.95,75.15,77.45,539082
MTNL,2009-01-09,75.0,77.3,73.0,74.9,423521
MTNL,2009-01-12,74.0,75.1,72.05,73.75,215855
MTNL,2009-01-13,75.0,75.0,72.0,72.8,207638
MTNL,2009-01-14,73.0,75.0,72.1,74.3,305907
MTNL,2009-01-15,72.05,72.85,71.05,71.95,123735
MTNL,2009-01-16,72.5,75.7,71.95,74.35,454104
MTNL,2009-01-19,74.35,75.0,72.35,73.35,191428
MTNL,2009-01-20,72.75,72.95,72.05,72.45,67439
MTNL,2009-01-21,72.0,73.8,70.55,71.35,254018
MTNL,2009-01-22,72.8,72.85,70.9,71.15,123877
MTNL,2009-01-23,71.8,71.8,69.0,69.5,255710
MTNL,2009-01-27,70.5,70.8,68.5,69.15,303236
MTNL,2009-01-28,70.0,71.4,69.15,70.9,344310
MTNL,2009-01-29,72.8,74.45,69.6,72.7,2519713
MTNL,2009-01-30,71.5,72.75,71.0,72.3,737199
MTNL,2009-02-02,71.65,72.3,68.1,68.75,633945
MTNL,2009-02-03,69.05,70.2,67.7,68.4,410807
MTNL,2009-02-04,69.7,69.95,68.0,68.35,224569
MTNL,2009-02-05,69.05,69.6,67.8,68.4,412745
MTNL,2009-02-06,69.0,70.0,67.5,67.95,580653
MTNL,2009-02-09,68.25,68.75,66.6,68.15,366107
MTNL,2009-02-10,70.0,71.5,67.85,70.75,572914
MTNL,2009-02-11,70.5,71.5,69.05,69.65,350743
MTNL,2009-02-12,69.5,70.85,68.75,69.15,214037
MTNL,2009-02-13,69.5,70.7,69.5,70.05,468996
MTNL,2009-02-16,69.9,70.45,68.05,68.25,198735
MTNL,2009-02-17,68.25,68.3,66.85,67.0,201591
MTNL,2009-02-18,66.0,67.35,65.1,66.1,349153
MTNL,2009-02-19,65.75,66.5,65.7,66.0,207891
MTNL,2009-02-20,66.8,68.95,65.0,65.2,285219
MTNL,2009-02-24,65.0,65.3,63.6,64.7,295970
MTNL,2009-02-25,65.0,66.0,64.8,65.55,226612
MTNL,2009-02-26,65.0,66.0,63.5,64.1,850674
MTNL,2009-02-27,64.1,65.25,63.3,64.3,215081
MTNL,2009-03-02,64.5,65.8,63.55,64.15,170501
MTNL,2009-03-03,64.0,65.5,62.6,64.1,211365
MTNL,2009-03-04,64.25,64.75,63.25,63.7,126406
MTNL,2009-03-05,64.0,64.45,62.4,62.6,55687
MTNL,2009-03-06,62.25,62.7,60.1,61.25,245704
MTNL,2009-03-09,61.5,61.95,59.45,59.7,80724
MTNL,2009-03-12,60.25,61.6,59.45,59.6,152733
MTNL,2009-03-13,60.0,61.55,59.6,61.4,127664
MTNL,2009-03-16,61.4,63.55,60.75,62.9,163584
MTNL,2009-03-17,65.0,69.7,64.0,65.0,1382746
MTNL,2009-03-18,65.5,66.9,65.0,65.2,446700
MTNL,2009-03-19,65.05,66.35,64.4,64.6,230397
MTNL,2009-03-20,64.9,65.65,63.55,64.25,214417
MTNL,2009-03-23,64.0,66.05,63.0,65.45,594599
MTNL,2009-03-24,67.1,69.4,66.05,68.0,2892602
MTNL,2009-03-25,68.0,69.5,67.4,68.95,832678
MTNL,2009-03-26,69.7,69.7,67.5,68.3,1476922
MTNL,2009-03-27,72.3,74.8,68.55,72.0,1908329
MTNL,2009-03-30,72.0,73.8,68.85,69.5,1142831
MTNL,2009-03-31,70.9,71.0,68.3,69.0,589969
MTNL,2009-04-01,69.5,70.65,68.1,69.75,285117
MTNL,2009-04-02,70.05,72.5,70.05,71.05,677344
MTNL,2009-04-06,71.9,73.45,68.75,70.15,943466
MTNL,2009-04-08,69.4,72.25,67.1,71.45,1083017
MTNL,2009-04-09,72.3,75.3,71.0,73.15,1365537
MTNL,2009-04-13,74.0,76.2,74.0,74.95,946248
MTNL,2009-04-15,74.05,77.0,73.5,75.85,1021731
MTNL,2009-04-16,76.8,78.85,73.5,74.45,1160701
MTNL,2009-04-17,75.0,77.15,74.3,74.7,928153
MTNL,2009-04-20,75.0,77.15,74.5,75.1,559544
MTNL,2009-04-21,73.5,75.75,73.0,74.15,434423
MTNL,2009-04-22,74.25,75.45,71.55,71.8,801139
MTNL,2009-04-23,72.5,73.4,71.05,73.0,429426
MTNL,2009-04-24,73.5,74.4,72.65,73.6,772260
MTNL,2009-04-27,73.95,74.55,72.25,73.25,341182
MTNL,2009-04-28,73.75,74.0,71.7,72.05,455233
MTNL,2009-04-29,72.8,75.0,70.6,72.0,607030
MTNL,2009-05-04,72.25,73.45,69.05,69.25,2654281
MTNL,2009-05-05,70.1,70.8,68.5,70.25,1262293
MTNL,2009-05-06,70.95,73.5,70.1,71.95,1517545
MTNL,2009-05-07,72.1,74.65,72.1,72.7,828704
MTNL,2009-05-08,72.2,73.2,71.25,72.05,604383
MTNL,2009-05-11,73.9,73.9,71.1,71.45,426334
MTNL,2009-05-12,71.0,71.75,70.4,71.15,503012
MTNL,2009-05-13,71.75,77.45,71.25,74.3,2300458
MTNL,2009-05-14,74.0,78.25,72.75,76.2,1581552
MTNL,2009-05-15,77.7,79.5,75.7,76.2,3225100
MTNL,2009-05-18,84.8,91.0,84.8,88.8,73155
MTNL,2009-05-19,90.0,90.5,80.15,82.6,3828224
MTNL,2009-05-20,82.0,89.2,82.0,88.45,2252443
MTNL,2009-05-21,88.75,96.8,88.0,92.15,3090307
MTNL,2009-05-22,93.95,95.5,90.6,93.3,1472414
MTNL,2009-05-25,95.1,102.5,92.85,99.3,2312671
MTNL,2009-05-26,102.5,103.7,93.6,95.3,1977332
MTNL,2009-05-27,97.0,106.5,96.55,105.0,4037400
MTNL,2009-05-28,106.0,106.0,100.35,101.6,2523685
MTNL,2009-05-29,103.0,107.7,102.3,104.2,2786089
MTNL,2009-06-01,105.0,110.2,105.0,108.55,2813587
MTNL,2009-06-02,109.0,112.0,104.7,107.0,1832158
MTNL,2009-06-03,107.5,112.7,107.3,110.9,2429408
MTNL,2009-06-04,110.0,121.0,108.05,117.8,5069031
MTNL,2009-06-05,119.0,123.7,114.5,117.65,2736611
MTNL,2009-06-08,118.0,119.4,106.45,108.45,1504694
MTNL,2009-06-09,109.7,115.2,104.4,112.1,1941790
MTNL,2009-06-10,114.0,116.4,109.9,111.15,1146565
MTNL,2009-06-11,112.0,117.95,109.15,116.0,2779475
MTNL,2009-06-12,120.9,120.9,108.45,109.55,3260306
MTNL,2009-06-15,108.9,110.55,106.0,106.55,881573
MTNL,2009-06-16,105.0,110.3,102.6,109.1,1142874
MTNL,2009-06-17,108.1,111.4,102.3,103.3,1375022
MTNL,2009-06-18,104.2,105.65,96.55,98.15,1460427
MTNL,2009-06-19,100.25,104.9,97.6,100.85,3183148
MTNL,2009-06-22,102.9,103.4,94.5,95.45,1497134
MTNL,2009-06-23,92.25,98.4,92.25,97.05,1228826
MTNL,2009-06-24,99.0,99.85,96.55,99.0,1057434
MTNL,2009-06-25,100.7,104.1,98.2,99.2,3028379
MTNL,2009-06-26,101.0,101.75,99.1,100.4,1085444
MTNL,2009-06-29,101.0,102.7,100.15,100.8,904286
MTNL,2009-06-30,102.8,102.9,96.5,97.45,1293521
MTNL,2009-07-01,97.95,103.2,96.65,101.85,1033609
MTNL,2009-07-02,103.6,108.3,102.75,107.15,3128327
MTNL,2009-07-03,106.25,108.45,104.05,107.3,1149107
MTNL,2009-07-06,108.55,108.55,93.5,96.2,1466060
MTNL,2009-07-07,97.5,97.5,94.1,95.2,1088103
MTNL,2009-07-08,94.0,95.0,90.5,91.0,2055092
MTNL,2009-07-09,91.0,92.95,89.9,90.75,858871
MTNL,2009-07-10,91.4,91.8,87.5,88.35,1067775
MTNL,2009-07-13,87.0,87.95,86.2,87.05,634879
MTNL,2009-07-14,88.0,91.9,87.7,90.95,714351
MTNL,2009-07-15,92.0,95.5,91.05,94.9,1475023
MTNL,2009-07-16,96.1,97.4,93.0,93.45,823888
MTNL,2009-07-17,94.05,96.35,94.05,95.6,695815
MTNL,2009-07-20,95.6,99.0,95.1,96.7,1019903
MTNL,2009-07-21,98.0,99.5,95.55,97.45,1174090
MTNL,2009-07-22,98.0,98.85,95.35,96.05,747288
MTNL,2009-07-23,98.0,99.0,96.4,97.7,795440
MTNL,2009-07-24,98.2,102.5,97.0,101.35,1713576
MTNL,2009-07-27,103.4,107.8,102.05,106.2,2409238
MTNL,2009-07-28,107.0,109.35,104.8,107.35,1255368
MTNL,2009-07-29,106.35,107.95,100.55,103.75,1254625
MTNL,2009-07-30,102.9,104.4,100.4,102.0,922159
MTNL,2009-07-31,103.1,104.75,102.1,102.6,781938
MTNL,2009-08-03,101.9,102.4,98.55,99.45,3497486
MTNL,2009-08-04,100.35,102.4,99.35,101.3,2065148
MTNL,2009-08-05,101.5,102.8,99.5,99.9,1599987
MTNL,2009-08-06,99.5,102.3,96.3,97.25,1403454
MTNL,2009-08-07,97.2,99.15,95.65,96.2,777080
MTNL,2009-08-10,97.0,98.4,94.2,94.85,452057
MTNL,2009-08-11,94.75,96.0,93.1,94.45,754378
MTNL,2009-08-12,93.9,97.0,92.75,96.65,709924
MTNL,2009-08-13,98.0,100.0,97.0,99.45,688745
MTNL,2009-08-14,100.85,101.3,97.3,97.9,1187870
MTNL,2009-08-17,96.6,96.95,93.35,93.95,464605
MTNL,2009-08-18,93.5,96.2,92.1,94.85,539990
MTNL,2009-08-19,95.0,95.7,92.5,92.9,431193
MTNL,2009-08-20,93.6,94.8,93.45,93.75,279365
MTNL,2009-08-21,93.75,94.5,93.0,94.25,694984
MTNL,2009-08-24,95.5,95.9,94.8,95.15,894947
MTNL,2009-08-25,94.8,95.3,93.5,95.0,529292
MTNL,2009-08-26,94.8,97.2,94.8,95.3,1039636
