symbol,date,open,high,low,close,volume
NAGAAGRI,2017-04-07,31.95,32.45,30.15,31.35,77509
NAGAAGRI,2017-04-10,32.0,32.0,29.8,30.6,16137
NAGAAGRI,2017-04-11,30.8,31.05,29.05,30.0,24814
NAGAAGRI,2017-04-12,30.0,30.5,28.6,28.65,10328
NAGAAGRI,2017-04-13,27.1,29.5,27.1,29.45,3396
NAGAAGRI,2017-04-17,29.25,30.0,27.5,28.6,17556
NAGAAGRI,2017-04-18,28.0,29.2,28.0,28.3,16950
NAGAAGRI,2017-04-19,28.95,30.8,27.9,29.05,80409
NAGAAGRI,2017-04-20,30.25,30.5,28.2,29.45,40700
NAGAAGRI,2017-04-21,28.35,29.35,28.35,28.75,20140
NAGAAGRI,2017-04-24,28.15,29.7,28.15,28.35,23051
NAGAAGRI,2017-04-25,28.85,28.85,28.0,28.2,12479
NAGAAGRI,2017-04-26,28.6,29.5,27.85,28.3,30399
NAGAAGRI,2017-04-27,28.35,28.95,27.4,27.9,40201
NAGAAGRI,2017-04-28,27.95,27.95,26.1,27.7,22152
NAGAAGRI,2017-05-02,27.5,28.45,27.1,27.25,20109
NAGAAGRI,2017-05-03,27.6,27.85,27.05,27.2,92845
NAGAAGRI,2017-05-04,27.3,28.0,27.2,27.6,60522
NAGAAGRI,2017-05-05,27.8,27.8,26.7,27.0,14004
NAGAAGRI,2017-05-08,28.2,28.2,26.1,27.5,16028
NAGAAGRI,2017-05-09,27.45,29.9,26.9,29.3,154983
NAGAAGRI,2017-05-10,29.5,29.8,28.8,28.8,36330
NAGAAGRI,2017-05-11,30.0,30.4,28.15,28.5,99068
NAGAAGRI,2017-05-12,27.55,28.9,27.45,28.2,37549
NAGAAGRI,2017-05-15,28.25,28.25,27.5,28.0,92235
NAGAAGRI,2017-05-16,28.5,28.75,27.5,28.15,37431
NAGAAGRI,2017-05-17,28.8,28.8,27.8,28.1,33823
NAGAAGRI,2017-05-18,27.3,29.0,27.3,28.5,26622
NAGAAGRI,2017-05-19,27.75,29.0,27.25,27.25,28034
NAGAAGRI,2017-05-22,28.0,28.4,26.5,26.5,36853
NAGAAGRI,2017-05-23,26.9,27.3,25.9,26.5,25647
NAGAAGRI,2017-05-24,26.3,27.2,26.0,26.35,14764
NAGAAGRI,2017-05-25,26.15,27.2,26.0,26.7,19784
NAGAAGRI,2017-05-26,27.0,28.2,26.3,28.2,45255
NAGAAGRI,2017-05-29,29.6,32.1,28.5,30.0,447943
NAGAAGRI,2017-05-30,29.75,29.8,28.2,29.2,53012
NAGAAGRI,2017-05-31,29.0,30.4,28.6,29.2,58112
NAGAAGRI,2017-06-01,29.5,29.85,28.75,29.85,25262
NAGAAGRI,2017-06-02,29.7,29.7,28.6,29.0,55651
NAGAAGRI,2017-06-05,29.75,29.75,28.5,28.85,25408
NAGAAGRI,2017-06-06,29.5,31.0,28.5,30.3,181163
NAGAAGRI,2017-06-07,30.2,31.8,30.2,31.0,121391
NAGAAGRI,2017-06-08,30.9,36.0,30.9,33.85,715970
NAGAAGRI,2017-06-09,33.75,35.35,33.75,34.4,308599
NAGAAGRI,2017-06-12,34.1,35.15,34.0,34.5,153534
NAGAAGRI,2017-06-13,34.3,34.85,33.2,34.0,79247
NAGAAGRI,2017-06-14,34.0,35.4,33.55,34.85,191163
NAGAAGRI,2017-06-15,34.9,35.05,33.65,33.9,74039
NAGAAGRI,2017-06-16,33.6,34.75,33.4,33.6,46331
NAGAAGRI,2017-06-19,34.45,34.45,33.2,33.4,36506
NAGAAGRI,2017-06-20,33.9,33.95,31.9,32.75,65644
NAGAAGRI,2017-06-21,32.4,33.95,32.4,32.8,38883
NAGAAGRI,2017-06-22,33.0,33.95,32.85,33.5,75172
NAGAAGRI,2017-06-23,33.0,33.0,30.0,31.25,200350
NAGAAGRI,2017-06-27,31.6,31.85,30.55,31.3,52407
NAGAAGRI,2017-06-28,31.65,32.85,30.55,31.5,130973
NAGAAGRI,2017-06-29,32.8,32.95,31.65,31.8,18404
NAGAAGRI,2017-06-30,31.55,32.5,31.1,31.6,35893
NAGAAGRI,2017-07-03,32.45,32.45,31.0,32.0,56572
NAGAAGRI,2017-07-04,32.4,32.4,31.5,32.0,25866
NAGAAGRI,2017-07-05,32.0,32.6,31.65,32.6,102546
NAGAAGRI,2017-07-06,33.0,34.1,32.5,33.1,105562
NAGAAGRI,2017-07-07,33.1,33.45,32.0,32.6,73193
NAGAAGRI,2017-07-10,34.4,34.4,32.75,34.0,37773
NAGAAGRI,2017-07-11,34.0,38.6,33.65,37.35,982943
NAGAAGRI,2017-07-12,37.05,39.4,36.1,38.1,390812
NAGAAGRI,2017-07-13,39.75,39.75,37.5,37.9,209047
NAGAAGRI,2017-07-14,38.0,38.5,36.1,36.35,176694
NAGAAGRI,2017-07-17,36.15,37.6,36.15,36.45,49534
NAGAAGRI,2017-07-18,36.8,38.2,36.8,37.9,150590
NAGAAGRI,2017-07-19,36.9,38.7,36.9,38.5,135528
NAGAAGRI,2017-07-20,37.65,38.5,37.5,38.0,51305
NAGAAGRI,2017-07-21,38.6,38.65,37.65,37.95,68488
NAGAAGRI,2017-07-24,38.0,38.65,37.4,37.7,50850
NAGAAGRI,2017-07-25,37.7,37.8,36.8,37.65,35528
NAGAAGRI,2017-07-26,37.6,38.35,37.6,37.9,47774
NAGAAGRI,2017-07-27,39.7,39.7,37.95,38.0,136197
NAGAAGRI,2017-07-28,37.85,38.55,37.8,38.0,40251
NAGAAGRI,2017-07-31,38.25,39.05,37.7,38.65,98752
NAGAAGRI,2017-08-01,38.1,38.75,37.65,38.0,57942
NAGAAGRI,2017-08-02,37.65,37.95,36.9,37.0,99011
NAGAAGRI,2017-08-03,37.0,37.8,36.95,36.95,67646
NAGAAGRI,2017-08-04,36.75,37.75,36.75,37.6,63327
NAGAAGRI,2017-08-07,37.1,37.1,33.5,36.0,179438
NAGAAGRI,2017-08-08,35.6,36.1,34.35,35.0,49750
NAGAAGRI,2017-08-09,34.75,34.9,32.0,34.0,94582
NAGAAGRI,2017-08-10,33.1,33.25,29.9,31.5,249397
NAGAAGRI,2017-08-11,29.5,34.4,29.0,31.9,158229
NAGAAGRI,2017-08-14,32.2,33.25,31.0,32.2,55428
NAGAAGRI,2017-08-16,33.0,37.7,32.6,36.4,192847
NAGAAGRI,2017-08-17,34.2,37.8,34.2,36.85,136450
NAGAAGRI,2017-08-18,36.7,37.5,35.5,35.5,88796
NAGAAGRI,2017-08-21,37.5,38.0,34.3,34.55,45959
NAGAAGRI,2017-08-22,35.45,36.0,33.1,33.95,28345
NAGAAGRI,2017-08-23,33.45,35.0,33.4,34.3,14726
NAGAAGRI,2017-08-24,35.0,35.45,33.75,33.75,18700
NAGAAGRI,2017-08-28,34.0,35.9,33.8,35.75,28317
NAGAAGRI,2017-08-29,35.35,36.65,34.6,35.3,46465
NAGAAGRI,2017-08-30,35.55,36.7,35.25,35.25,22601
NAGAAGRI,2017-08-31,35.25,36.3,35.0,35.65,48971
NAGAAGRI,2017-09-01,35.55,41.5,35.55,40.85,436731
NAGAAGRI,2017-09-04,41.2,45.0,41.0,44.0,575206
NAGAAGRI,2017-09-05,43.7,48.65,43.0,47.5,741567
NAGAAGRI,2017-09-06,47.35,50.0,46.3,47.55,501636
NAGAAGRI,2017-09-07,48.75,49.0,43.2,44.65,219661
NAGAAGRI,2017-09-08,44.5,47.4,43.7,46.3,164228
NAGAAGRI,2017-09-11,47.0,50.7,47.0,49.05,358959
NAGAAGRI,2017-09-12,49.1,49.6,47.5,48.35,147696
NAGAAGRI,2017-09-13,48.6,49.8,46.2,46.95,167237
NAGAAGRI,2017-09-14,46.85,48.65,46.15,48.2,109574
NAGAAGRI,2017-09-15,48.15,48.45,45.55,46.1,173358
NAGAAGRI,2017-09-18,46.5,49.0,46.5,48.0,147658
NAGAAGRI,2017-09-19,48.0,48.85,46.35,46.55,74618
NAGAAGRI,2017-09-20,47.05,47.8,44.8,45.1,129743
NAGAAGRI,2017-09-21,45.6,46.0,44.0,45.55,110435
NAGAAGRI,2017-09-22,44.8,44.8,42.8,43.25,84676
NAGAAGRI,2017-09-25,44.35,44.35,39.5,40.7,102096
NAGAAGRI,2017-09-26,40.2,44.9,40.2,44.7,116017
NAGAAGRI,2017-09-27,46.45,46.45,43.0,43.9,77007
NAGAAGRI,2017-09-28,44.3,44.3,41.05,43.0,59537
