symbol,date,open,high,low,close,volume
NAGREEKEXP,2008-06-09,23.5,23.5,22.05,22.05,715
NAGREEKEXP,2008-06-10,23.5,24.5,23.05,23.75,2652
NAGREEKEXP,2008-06-11,23.15,24.7,23.15,24.55,1415
NAGREEKEXP,2008-06-12,23.35,24.75,23.3,24.7,3608
NAGREEKEXP,2008-06-13,24.25,24.25,24.25,24.25,58
NAGREEKEXP,2008-06-16,25.0,26.0,24.9,25.1,2044
NAGREEKEXP,2008-06-17,26.9,26.9,24.45,24.95,872
NAGREEKEXP,2008-06-18,24.45,25.45,23.35,25.45,228
NAGREEKEXP,2008-06-19,24.1,26.0,24.1,24.15,472
NAGREEKEXP,2008-06-20,23.35,23.4,23.0,23.05,560
NAGREEKEXP,2008-06-23,23.5,23.5,21.0,22.45,913
NAGREEKEXP,2008-06-24,21.5,22.5,21.1,21.2,525
NAGREEKEXP,2008-06-25,20.0,22.0,20.0,21.5,548
NAGREEKEXP,2008-06-26,24.3,25.0,22.0,23.65,2544
NAGREEKEXP,2008-06-27,22.05,23.9,19.25,21.6,4545
NAGREEKEXP,2008-06-30,20.1,23.0,20.1,21.3,1442
NAGREEKEXP,2008-07-01,20.95,22.5,19.9,20.35,1841
NAGREEKEXP,2008-07-02,19.1,21.5,19.1,21.35,380
NAGREEKEXP,2008-07-03,20.0,20.0,20.0,20.0,502
NAGREEKEXP,2008-07-04,20.5,23.45,19.35,23.45,1130
NAGREEKEXP,2008-07-07,22.0,23.5,21.1,22.35,678
NAGREEKEXP,2008-07-08,21.05,23.2,21.05,22.0,62
NAGREEKEXP,2008-07-09,21.55,23.8,21.55,23.45,1674
NAGREEKEXP,2008-07-10,21.75,23.9,21.15,22.5,2750
NAGREEKEXP,2008-07-11,22.75,23.45,21.4,22.5,795
NAGREEKEXP,2008-07-15,21.95,23.5,21.95,23.5,1209
NAGREEKEXP,2008-07-16,22.5,22.5,21.5,21.5,749
NAGREEKEXP,2008-07-17,22.0,22.1,22.0,22.1,700
NAGREEKEXP,2008-07-18,23.95,23.95,21.8,21.95,3799
NAGREEKEXP,2008-07-21,22.75,23.25,21.25,22.25,527
