symbol,date,open,high,low,close,volume
NAVA,2008-06-09,134.0,137.5,127.03,135.57,212344
NAVA,2008-06-10,135.0,136.2,129.75,131.73,87600
NAVA,2008-06-11,131.85,140.0,131.85,133.07,36538
NAVA,2008-06-12,125.05,134.5,125.05,134.13,62644
NAVA,2008-06-13,125.53,135.2,125.53,132.95,20516
NAVA,2008-06-16,126.0,137.4,126.0,133.68,187436
NAVA,2008-06-17,120.13,142.0,120.13,140.7,213776
NAVA,2008-06-18,132.63,145.95,132.63,140.07,225234
NAVA,2008-06-19,132.5,141.93,132.5,135.5,126654
NAVA,2008-06-20,135.0,138.4,123.88,127.88,290188
NAVA,2008-06-23,127.5,130.4,116.68,119.85,158698
NAVA,2008-06-24,117.5,124.25,117.5,122.72,146062
NAVA,2008-06-25,110.03,129.0,110.03,127.13,117472
NAVA,2008-06-26,124.05,135.0,124.05,131.65,82156
NAVA,2008-06-27,125.25,129.25,124.05,125.78,123450
NAVA,2008-06-30,120.05,131.02,120.05,122.85,117596
NAVA,2008-07-01,120.05,127.3,112.38,116.03,164050
NAVA,2008-07-02,111.05,122.25,111.05,119.88,110186
NAVA,2008-07-03,115.0,122.5,113.5,120.82,88218
NAVA,2008-07-04,105.5,126.25,105.5,125.13,113528
NAVA,2008-07-07,125.1,131.0,125.1,129.68,123346
NAVA,2008-07-08,124.0,129.35,124.0,127.57,107710
NAVA,2008-07-09,127.0,149.5,127.0,131.98,44590
NAVA,2008-07-10,127.5,133.5,127.5,131.15,30078
NAVA,2008-07-11,130.02,133.5,127.5,129.88,110210
NAVA,2008-07-14,126.6,133.5,126.6,131.65,52918
NAVA,2008-07-15,115.03,129.95,115.03,124.97,178222
NAVA,2008-07-16,125.0,128.5,120.1,123.78,88240
NAVA,2008-07-17,112.53,131.5,112.53,125.95,39036
NAVA,2008-07-18,125.0,128.63,124.3,125.78,71984
NAVA,2008-07-21,115.03,126.93,115.03,125.13,60590
NAVA,2008-07-22,120.1,132.0,120.1,130.5,91442
NAVA,2008-07-23,117.53,139.5,117.53,138.07,300102
NAVA,2008-07-24,138.77,147.5,138.77,141.68,282288
NAVA,2008-07-25,135.05,144.0,135.05,140.55,349222
NAVA,2008-07-28,139.25,139.25,131.75,132.55,224908
NAVA,2008-07-29,134.9,136.0,130.0,132.02,147372
NAVA,2008-07-30,134.0,134.75,130.82,131.38,65782
