symbol,date,open,high,low,close,volume
NDRAUTO,2020-07-30,110.0,115.5,110.0,115.5,925
NDRAUTO,2020-07-31,121.25,121.25,121.25,121.25,116
NDRAUTO,2020-08-03,127.3,127.3,120.0,126.55,13341
NDRAUTO,2020-08-04,127.0,127.0,120.25,120.25,7403
NDRAUTO,2020-08-05,121.3,121.3,114.25,114.4,2681
NDRAUTO,2020-08-06,110.0,120.1,108.7,120.1,5559
NDRAUTO,2020-08-07,120.0,124.95,114.1,120.35,2226
NDRAUTO,2020-08-10,115.1,126.35,115.05,126.35,2385
NDRAUTO,2020-08-11,126.05,132.65,126.05,132.65,620
NDRAUTO,2020-08-12,139.0,139.25,133.0,139.25,781
NDRAUTO,2020-08-13,161.0,167.1,150.25,167.1,38698
NDRAUTO,2020-08-14,188.8,200.5,180.25,200.5,85926
NDRAUTO,2020-08-17,214.8,220.55,205.0,220.55,63185
NDRAUTO,2020-08-18,230.0,242.6,230.0,242.6,73191
NDRAUTO,2020-08-19,263.95,266.85,257.0,266.85,28183
NDRAUTO,2020-08-20,280.15,280.15,280.15,280.15,6960
NDRAUTO,2020-08-21,284.7,284.95,266.15,266.15,35841
NDRAUTO,2020-08-24,252.85,252.85,252.85,252.85,2666
NDRAUTO,2020-08-25,240.25,240.25,240.25,240.25,2770
NDRAUTO,2020-08-26,228.25,228.25,228.25,228.25,1763
NDRAUTO,2020-08-27,216.85,216.85,216.85,216.85,1763
NDRAUTO,2020-08-28,206.05,227.65,206.05,206.55,148607
NDRAUTO,2020-08-31,197.6,214.4,196.25,196.25,20875
NDRAUTO,2020-09-01,188.2,191.95,186.45,186.45,4119
NDRAUTO,2020-09-02,177.15,183.95,177.15,177.15,9237
NDRAUTO,2020-09-03,171.65,186.0,170.0,180.85,54115
NDRAUTO,2020-09-04,172.1,179.0,171.85,171.95,16154
NDRAUTO,2020-09-07,172.7,172.7,164.2,166.5,7906
NDRAUTO,2020-09-08,166.35,166.35,158.2,158.2,10070
NDRAUTO,2020-09-09,150.3,157.3,150.3,151.3,6509
NDRAUTO,2020-09-10,153.9,153.9,143.75,144.45,14918
NDRAUTO,2020-09-11,143.35,148.0,140.15,143.85,7160
NDRAUTO,2020-09-14,141.2,149.0,141.2,145.2,10449
NDRAUTO,2020-09-15,152.45,152.45,146.2,152.45,11618
NDRAUTO,2020-09-16,158.85,160.05,158.8,160.05,4574
NDRAUTO,2020-09-17,168.05,168.05,168.05,168.05,1073
NDRAUTO,2020-09-18,174.9,176.45,161.55,170.05,48263
NDRAUTO,2020-09-21,168.45,168.45,161.55,161.55,6704
NDRAUTO,2020-09-22,153.5,153.5,153.5,153.5,1544
NDRAUTO,2020-09-23,147.05,151.0,145.85,145.85,5445
NDRAUTO,2020-09-24,138.6,138.6,138.6,138.6,677
NDRAUTO,2020-09-25,134.1,143.7,131.7,139.6,11608
NDRAUTO,2020-09-28,139.6,145.9,133.55,144.65,9013
NDRAUTO,2020-09-29,144.65,146.9,138.05,139.85,3367
NDRAUTO,2020-09-30,135.0,141.75,132.9,133.7,4673
NDRAUTO,2020-10-01,133.7,139.95,127.1,129.55,7456
NDRAUTO,2020-10-05,135.0,135.0,130.15,131.8,3742
NDRAUTO,2020-10-06,133.1,135.0,128.35,133.0,6215
NDRAUTO,2020-10-07,134.0,134.0,129.0,129.8,2451
NDRAUTO,2020-10-08,125.05,131.95,125.05,127.4,4581
NDRAUTO,2020-10-09,131.1,131.55,125.0,126.7,4863
NDRAUTO,2020-10-12,132.0,134.75,125.0,125.75,5256
NDRAUTO,2020-10-13,122.05,133.0,120.0,127.3,3603
NDRAUTO,2020-10-14,131.2,131.2,122.0,126.35,3308
NDRAUTO,2020-10-15,123.45,129.8,122.0,124.9,2902
NDRAUTO,2020-10-16,124.95,129.4,122.0,124.85,1244
NDRAUTO,2020-10-19,128.45,128.45,120.55,123.3,1196
NDRAUTO,2020-10-20,122.95,126.0,121.1,123.05,2268
NDRAUTO,2020-10-21,126.55,128.0,121.0,125.35,2642
