symbol,date,open,high,low,close,volume
NETFMID150,2019-10-30,62.0,63.3,60.85,61.5,30319
NETFMID150,2019-10-31,62.0,63.0,61.5,62.0,46828
NETFMID150,2019-11-01,62.0,62.74,61.71,61.71,36445
NETFMID150,2019-11-04,62.8,63.0,62.18,62.32,7082
NETFMID150,2019-11-05,63.0,63.0,61.52,62.0,36795
NETFMID150,2019-11-06,61.28,62.49,61.28,61.32,119584
NETFMID150,2019-11-07,61.54,62.36,61.54,62.36,21439
NETFMID150,2019-11-08,62.26,62.39,61.77,61.88,13906
NETFMID150,2019-11-11,62.03,62.21,61.5,61.8,502325
NETFMID150,2019-11-13,62.2,62.2,60.81,61.48,318398
NETFMID150,2019-11-14,61.4,61.81,61.25,61.41,113830
NETFMID150,2019-11-15,61.37,62.1,61.37,61.87,120545
NETFMID150,2019-11-18,62.21,62.41,61.6,62.32,86166
NETFMID150,2019-11-19,62.31,62.46,61.92,62.46,283023
NETFMID150,2019-11-20,62.17,62.67,62.15,62.5,446778
NETFMID150,2019-11-21,62.5,62.66,61.8,61.8,324180
NETFMID150,2019-11-22,61.77,62.38,61.42,62.38,8656090
NETFMID150,2019-11-25,62.3,62.72,62.0,62.72,483640
NETFMID150,2019-11-26,62.68,62.96,62.02,62.02,201567
NETFMID150,2019-11-27,62.4,62.55,62.05,62.38,469342
NETFMID150,2019-11-28,62.5,63.25,62.5,63.25,434148
NETFMID150,2019-11-29,63.5,63.63,62.85,63.44,663909
NETFMID150,2019-12-02,66.51,66.51,62.66,62.66,2248217
NETFMID150,2019-12-03,62.85,63.0,62.1,62.41,181606
NETFMID150,2019-12-04,62.05,62.85,62.05,62.47,540198
NETFMID150,2019-12-05,62.86,62.95,62.27,62.27,144541
NETFMID150,2019-12-06,62.7,62.71,61.43,61.56,34128
NETFMID150,2019-12-09,61.82,62.33,61.58,61.64,64482
NETFMID150,2019-12-10,61.87,61.87,61.17,61.17,41800
NETFMID150,2019-12-11,66.51,66.51,60.95,61.25,164543
NETFMID150,2019-12-12,62.99,64.4,60.1,61.99,259112
NETFMID150,2019-12-13,62.16,62.47,62.16,62.45,132553
NETFMID150,2019-12-16,62.61,62.61,62.25,62.28,22481
NETFMID150,2019-12-17,62.4,62.64,62.32,62.64,53410
NETFMID150,2019-12-18,62.6,62.6,62.16,62.42,40778
