symbol,date,open,high,low,close,volume
NETFNIF100,2019-10-30,120.0,128.0,117.7,123.07,2499
NETFNIF100,2019-10-31,124.0,124.0,123.33,123.33,1703
NETFNIF100,2019-11-01,124.7,124.7,123.5,123.62,687
NETFNIF100,2019-11-04,125.0,125.42,124.24,125.42,254
NETFNIF100,2019-11-05,125.0,125.0,123.45,123.45,203
NETFNIF100,2019-11-06,124.38,125.41,123.19,124.42,69
NETFNIF100,2019-11-07,125.0,131.0,123.01,124.6,299
NETFNIF100,2019-11-08,125.0,125.46,124.18,124.76,49
NETFNIF100,2019-11-11,124.59,124.59,123.41,123.41,14
NETFNIF100,2019-11-13,125.0,128.0,123.3,123.3,65
NETFNIF100,2019-11-14,123.71,123.71,123.03,123.03,30
NETFNIF100,2019-11-15,124.62,124.62,123.5,123.55,3755
NETFNIF100,2019-11-18,124.28,124.38,124.08,124.08,60
NETFNIF100,2019-11-19,124.15,124.55,124.15,124.55,16
NETFNIF100,2019-11-20,125.0,125.31,125.0,125.31,4
NETFNIF100,2019-11-21,125.0,125.21,124.13,124.13,81
NETFNIF100,2019-11-22,124.0,124.55,123.17,123.37,724
NETFNIF100,2019-11-25,123.94,125.22,123.94,125.03,1286
NETFNIF100,2019-11-26,125.01,126.58,124.57,124.57,236
NETFNIF100,2019-11-27,125.14,126.04,124.94,124.94,656
NETFNIF100,2019-11-28,125.36,126.55,125.36,126.55,14
NETFNIF100,2019-11-29,126.38,126.38,125.88,125.88,36
NETFNIF100,2019-12-02,125.17,125.96,125.17,125.86,17
NETFNIF100,2019-12-03,125.0,125.43,124.02,124.02,495
NETFNIF100,2019-12-04,125.28,125.28,124.78,124.78,16
NETFNIF100,2019-12-05,125.82,125.82,125.82,125.82,64
NETFNIF100,2019-12-06,125.55,125.55,123.34,123.34,391
NETFNIF100,2019-12-09,124.0,124.3,123.3,124.3,316
NETFNIF100,2019-12-10,123.17,124.75,122.64,122.64,142
NETFNIF100,2019-12-11,123.9,123.9,122.49,122.49,46
NETFNIF100,2019-12-12,124.45,124.45,124.45,124.45,21
NETFNIF100,2019-12-13,124.32,125.5,124.32,125.5,30
NETFNIF100,2019-12-16,125.17,125.17,124.67,124.87,505
NETFNIF100,2019-12-17,125.0,126.19,125.0,126.19,15
NETFNIF100,2019-12-18,125.73,126.63,125.73,126.63,180
NETFNIF100,2019-12-19,126.27,126.37,126.22,126.22,1781
NETFNIF100,2019-12-20,127.0,127.0,126.62,126.62,525
NETFNIF100,2019-12-23,127.73,127.73,126.73,126.73,938
NETFNIF100,2019-12-24,127.58,127.58,126.38,126.38,516
NETFNIF100,2019-12-26,127.07,127.07,125.27,125.27,53
NETFNIF100,2019-12-27,126.86,127.0,126.86,127.0,51
NETFNIF100,2019-12-30,127.75,127.75,126.25,126.25,27
NETFNIF100,2019-12-31,127.22,127.32,126.02,126.62,121
