symbol,date,open,high,low,close,volume
NEWJAISA,2023-10-19,94.0,102.7,89.25,97.5,321001
NEWJAISA,2023-10-20,97.05,119.7,97.05,110.0,705001
NEWJAISA,2023-10-23,118.0,122.0,104.2,104.2,264001
NEWJAISA,2023-10-25,114.0,120.7,108.5,114.4,306001
NEWJAISA,2023-10-26,115.9,118.0,109.0,117.5,126001
NEWJAISA,2023-10-27,121.8,140.85,121.0,136.8,690001
NEWJAISA,2023-10-30,139.0,162.95,139.0,162.95,813001
NEWJAISA,2023-10-31,164.2,171.0,146.65,152.8,441002
NEWJAISA,2023-11-01,154.95,156.95,138.35,143.0,225001
NEWJAISA,2023-11-02,142.3,142.3,127.35,127.35,141001
NEWJAISA,2023-11-03,128.3,134.7,124.1,134.7,525001
NEWJAISA,2023-11-06,135.0,141.2,131.5,141.2,81001
NEWJAISA,2023-11-07,148.25,148.25,139.0,148.25,201001
NEWJAISA,2023-11-08,152.35,155.65,151.8,153.85,231001
NEWJAISA,2023-11-09,157.8,161.45,146.15,146.7,267001
NEWJAISA,2023-11-10,141.5,143.5,139.4,139.4,120002
NEWJAISA,2023-11-12,134.0,137.6,132.45,137.6,165000
NEWJAISA,2023-11-13,136.0,141.2,134.5,141.2,129001
NEWJAISA,2023-11-15,144.7,146.9,144.65,146.9,144001
NEWJAISA,2023-11-16,151.9,154.2,151.9,154.2,87002
NEWJAISA,2023-11-17,161.9,161.9,157.0,157.0,309001
NEWJAISA,2023-11-20,152.05,153.2,149.95,149.95,93001
NEWJAISA,2023-11-21,147.5,157.35,145.3,154.0,120001
NEWJAISA,2023-11-22,160.8,161.7,155.05,160.3,219001
NEWJAISA,2023-11-23,163.3,165.2,159.1,165.2,96001
NEWJAISA,2023-11-24,160.2,170.2,160.2,163.0,147001
NEWJAISA,2023-11-28,166.5,171.5,165.0,171.5,327001
NEWJAISA,2023-11-29,174.4,175.0,165.0,165.05,69001
NEWJAISA,2023-11-30,165.0,169.8,161.4,161.45,36001
NEWJAISA,2023-12-01,160.1,166.95,153.4,166.95,201001
NEWJAISA,2023-12-04,167.6,167.65,159.0,162.95,69001
NEWJAISA,2023-12-05,162.5,167.0,160.0,166.0,60001
NEWJAISA,2023-12-06,160.25,164.0,158.25,158.25,69001
NEWJAISA,2023-12-07,159.0,164.0,157.5,157.5,57001
NEWJAISA,2023-12-08,163.0,164.9,157.5,164.9,48001
NEWJAISA,2023-12-11,161.0,161.0,150.0,154.8,51001
NEWJAISA,2023-12-12,158.5,168.0,155.0,159.1,135001
NEWJAISA,2023-12-13,163.0,163.0,158.0,161.0,18001
NEWJAISA,2023-12-14,171.9,172.85,164.05,165.0,42001
NEWJAISA,2023-12-15,163.0,167.0,160.6,161.4,42001
NEWJAISA,2023-12-18,160.0,162.0,158.7,158.7,60001
NEWJAISA,2023-12-19,156.0,158.0,156.0,158.0,18001
NEWJAISA,2023-12-20,165.0,165.0,158.0,158.0,12001
NEWJAISA,2023-12-21,150.15,158.0,150.15,158.0,33001
NEWJAISA,2023-12-22,159.0,159.0,159.0,159.0,3001
NEWJAISA,2023-12-26,155.0,155.0,155.0,155.0,6001
NEWJAISA,2023-12-27,152.55,156.6,148.0,148.0,36001
NEWJAISA,2023-12-28,141.85,152.0,141.85,146.0,57001
NEWJAISA,2023-12-29,146.0,146.0,145.0,145.0,9001
NEWJAISA,2024-01-01,137.75,140.0,136.15,140.0,33001
NEWJAISA,2024-01-02,142.0,147.5,137.0,137.0,48001
NEWJAISA,2024-01-03,137.0,140.0,130.25,138.6,150001
NEWJAISA,2024-01-04,142.0,142.0,138.5,138.5,15001
NEWJAISA,2024-01-05,134.6,137.0,132.2,133.5,42001
NEWJAISA,2024-01-08,133.55,139.8,133.5,139.7,42001
NEWJAISA,2024-01-09,141.0,141.0,126.5,133.0,75001
NEWJAISA,2024-01-10,133.0,137.0,133.0,135.35,60001
NEWJAISA,2024-01-11,142.0,142.0,133.0,133.0,66001
NEWJAISA,2024-01-12,126.55,137.8,126.55,127.2,45001
NEWJAISA,2024-01-15,128.85,134.0,128.85,129.3,21001
NEWJAISA,2024-01-16,133.0,143.05,130.25,143.0,393001
NEWJAISA,2024-01-17,140.65,151.8,140.0,144.0,114001
NEWJAISA,2024-01-18,144.0,156.8,144.0,150.95,93001
NEWJAISA,2024-01-19,151.0,154.9,149.05,149.05,204001
NEWJAISA,2024-01-20,150.0,150.0,146.0,146.0,12001
NEWJAISA,2024-01-23,141.9,141.9,131.4,131.4,120000
NEWJAISA,2024-01-24,135.45,135.45,128.5,128.5,18001
