symbol,date,open,high,low,close,volume
NIF100IETF,2023-12-20,244.75,244.75,232.23,233.6,19152
NIF100IETF,2023-12-21,233.01,235.42,231.75,235.42,10091
NIF100IETF,2023-12-22,235.11,236.49,234.68,235.15,28502
NIF100IETF,2023-12-26,242.5,242.5,235.58,236.84,10584
NIF100IETF,2023-12-27,241.5,241.5,236.16,239.02,7368
NIF100IETF,2023-12-28,243.05,243.05,239.24,240.29,7591
NIF100IETF,2023-12-29,240.45,240.99,239.5,240.99,4970
NIF100IETF,2024-01-01,240.41,241.98,239.95,240.0,7744
NIF100IETF,2024-01-02,245.15,245.15,238.7,240.5,7051
NIF100IETF,2024-01-03,247.55,247.55,238.53,240.1,8339
NIF100IETF,2024-01-04,239.39,241.09,239.39,240.28,7817
NIF100IETF,2024-01-05,240.29,242.0,240.2,241.0,5546
NIF100IETF,2024-01-08,240.99,243.88,238.16,240.0,15961
NIF100IETF,2024-01-09,239.71,241.53,239.26,239.97,25072
NIF100IETF,2024-01-10,239.64,240.58,238.6,240.58,6742
NIF100IETF,2024-01-11,240.66,241.99,240.48,240.56,5924
NIF100IETF,2024-01-12,233.75,246.0,233.75,243.3,4610
NIF100IETF,2024-01-15,247.0,247.0,235.35,245.05,15055
NIF100IETF,2024-01-16,247.0,247.0,243.91,244.02,29073
NIF100IETF,2024-01-17,242.95,242.98,239.9,240.15,16407
NIF100IETF,2024-01-18,240.11,240.11,236.0,238.8,20794
NIF100IETF,2024-01-19,245.8,245.8,239.36,240.86,6020
NIF100IETF,2024-01-20,240.38,241.64,239.66,239.66,8043
NIF100IETF,2024-01-23,240.51,242.88,236.0,236.65,31777
NIF100IETF,2024-01-24,235.13,239.1,235.0,238.22,59150
NIF100IETF,2024-01-25,238.47,245.75,236.51,245.75,4180
NIF100IETF,2024-01-29,245.4,245.4,236.17,243.0,14306
NIF100IETF,2024-01-30,243.97,243.97,239.17,240.51,4374
NIF100IETF,2024-01-31,240.02,242.39,238.68,242.39,5457
NIF100IETF,2024-02-01,242.01,243.49,241.51,242.31,19815
NIF100IETF,2024-02-02,244.68,246.99,243.01,243.98,31545
NIF100IETF,2024-02-05,247.0,247.0,240.06,243.49,14187
NIF100IETF,2024-02-06,247.0,247.0,242.25,244.94,38415
NIF100IETF,2024-02-07,249.41,249.59,244.51,245.0,6825
NIF100IETF,2024-02-08,247.98,247.98,242.0,242.0,18216
NIF100IETF,2024-02-09,243.8,245.67,242.15,244.2,16780
NIF100IETF,2024-02-12,244.23,244.95,242.0,242.6,8350
NIF100IETF,2024-02-13,249.5,249.5,241.31,243.88,21422
NIF100IETF,2024-02-14,241.8,245.0,241.31,244.46,5114
NIF100IETF,2024-02-15,251.8,251.8,244.47,246.67,5486
NIF100IETF,2024-02-16,245.82,248.23,243.16,246.95,3597
NIF100IETF,2024-02-19,240.05,249.6,240.05,248.89,6177
NIF100IETF,2024-02-20,254.1,254.1,247.4,248.82,2991
NIF100IETF,2024-02-21,248.78,250.49,246.7,246.7,15395
NIF100IETF,2024-02-22,247.49,249.49,245.8,247.5,24830
NIF100IETF,2024-02-23,248.66,250.68,248.49,250.0,4581
NIF100IETF,2024-02-26,251.97,251.97,248.37,248.97,5336
NIF100IETF,2024-02-27,248.55,250.3,248.44,249.98,6142
NIF100IETF,2024-02-28,249.3,249.99,246.6,247.12,12274
NIF100IETF,2024-02-29,247.13,248.4,245.31,248.4,5499
NIF100IETF,2024-03-01,248.41,251.42,248.4,250.65,7429
NIF100IETF,2024-03-02,251.33,259.0,250.95,251.35,1913
NIF100IETF,2024-03-04,259.2,259.2,251.11,252.29,9367
NIF100IETF,2024-03-05,252.29,254.0,250.17,252.02,2855
NIF100IETF,2024-03-06,251.57,252.9,249.61,252.9,7495
NIF100IETF,2024-03-07,257.1,257.1,251.99,252.67,6514
NIF100IETF,2024-03-11,259.7,259.7,251.61,252.75,17105
NIF100IETF,2024-03-12,253.01,253.01,250.06,251.5,11289
NIF100IETF,2024-03-13,251.31,253.0,245.27,246.5,31376
NIF100IETF,2024-03-14,253.4,253.4,245.45,247.76,9638
NIF100IETF,2024-03-15,255.4,255.4,243.91,248.01,13458
NIF100IETF,2024-03-18,249.71,249.98,246.28,248.6,6995
NIF100IETF,2024-03-19,247.97,247.99,244.26,245.13,13895
NIF100IETF,2024-03-20,244.99,246.12,243.35,245.6,5674
NIF100IETF,2024-03-21,245.42,248.98,245.42,248.33,5810
NIF100IETF,2024-03-22,247.5,249.29,243.82,249.15,3835
NIF100IETF,2024-03-26,249.03,251.48,247.4,248.95,15403
NIF100IETF,2024-03-27,248.75,250.97,245.16,250.25,4060
NIF100IETF,2024-03-28,250.25,253.74,249.76,250.95,7111
NIF100IETF,2024-04-01,255.5,255.5,251.52,253.0,10406
NIF100IETF,2024-04-02,253.83,254.65,251.31,254.65,4973
NIF100IETF,2024-04-03,262.15,262.15,253.38,254.33,8035
