symbol,date,open,high,low,close,volume
NIFTY ENERGY,2023-03-20,22529.90039,22655.44922,22405.55078,22585.69922,964200.0
NIFTY ENERGY,2023-03-21,22715.25,22826.5,22589.15039,22792.90039,895600.0
NIFTY ENERGY,2023-03-22,22930.25,22940.34961,22785.94922,22835.75,0.0
NIFTY ENERGY,2023-03-23,22841.84961,22918.55078,22739.44922,22821.75,648700.0
NIFTY ENERGY,2023-03-24,22905.09961,22947.75,22580.44922,22613.40039,837100.0
NIFTY ENERGY,2023-03-27,22718.05078,22811.5,22466.5,22514.55078,893200.0
NIFTY ENERGY,2023-03-28,22452.55078,22473.44922,22300.0,22388.84961,620700.0
NIFTY ENERGY,2023-03-29,22260.59961,22494.80078,22205.44922,22373.05078,1211500.0
NIFTY ENERGY,2023-03-31,22552.65039,22948.84961,22550.34961,22814.44922,856800.0
NIFTY ENERGY,2023-04-03,22937.65039,22952.90039,22734.30078,22805.90039,867400.0
NIFTY ENERGY,2023-04-05,22907.34961,22942.55078,22622.40039,22707.90039,734600.0
NIFTY ENERGY,2023-04-06,22763.15039,22887.40039,22683.05078,22816.05078,542900.0
NIFTY ENERGY,2023-04-10,22930.0,23122.15039,22904.59961,23060.05078,598500.0
NIFTY ENERGY,2023-04-11,23181.5,23321.30078,23162.84961,23297.19922,461000.0
NIFTY ENERGY,2023-04-12,23396.69922,23435.40039,23181.40039,23233.09961,604200.0
NIFTY ENERGY,2023-04-13,23266.84961,23350.69922,23117.75,23215.65039,597100.0
NIFTY ENERGY,2023-04-17,23494.59961,23494.59961,23272.05078,23363.75,745100.0
NIFTY ENERGY,2023-04-18,23426.80078,23431.94922,23124.59961,23211.84961,611300.0
NIFTY ENERGY,2023-04-19,23160.19922,23236.30078,23076.55078,23159.40039,680900.0
NIFTY ENERGY,2023-04-20,23182.5,23225.15039,23116.05078,23185.25,503200.0
NIFTY ENERGY,2023-04-21,23227.44922,23250.15039,23095.59961,23185.44922,332200.0
NIFTY ENERGY,2023-04-24,23248.55078,23279.94922,23133.0,23207.40039,439100.0
NIFTY ENERGY,2023-04-25,23206.75,23431.59961,23195.65039,23385.75,476500.0
NIFTY ENERGY,2023-04-26,23397.84961,23419.25,23230.44922,23365.80078,492900.0
NIFTY ENERGY,2023-04-27,23401.94922,23470.34961,23323.40039,23443.65039,572600.0
NIFTY ENERGY,2023-04-28,23528.40039,23764.19922,23376.34961,23734.55078,811000.0
NIFTY ENERGY,2023-05-02,23876.30078,24104.05078,23862.44922,24046.94922,668400.0
NIFTY ENERGY,2023-05-03,24049.0,24067.65039,23877.5,23901.15039,582300.0
NIFTY ENERGY,2023-05-04,23910.55078,24072.25,23855.40039,24042.40039,645300.0
NIFTY ENERGY,2023-05-05,24036.80078,24091.15039,23901.5,23946.75,488700.0
NIFTY ENERGY,2023-05-08,23896.34961,24166.30078,23863.5,24129.65039,554500.0
NIFTY ENERGY,2023-05-09,24107.59961,24254.15039,24028.94922,24099.09961,561000.0
NIFTY ENERGY,2023-05-10,24156.34961,24281.80078,24088.75,24268.94922,527300.0
NIFTY ENERGY,2023-05-11,24284.40039,24458.34961,24253.25,24316.5,539900.0
NIFTY ENERGY,2023-05-12,24254.0,24263.90039,23963.84961,24040.19922,608200.0
NIFTY ENERGY,2023-05-15,24092.40039,24132.80078,23932.80078,24040.19922,518400.0
NIFTY ENERGY,2023-05-16,24128.40039,24193.44922,23994.90039,24027.80078,1074500.0
NIFTY ENERGY,2023-05-17,24118.0,24118.0,23835.90039,23901.15039,682600.0
NIFTY ENERGY,2023-05-18,24011.55078,24014.05078,23663.34961,23692.15039,626900.0
NIFTY ENERGY,2023-05-19,23653.15039,23754.84961,23458.34961,23723.34961,566400.0
NIFTY ENERGY,2023-05-22,23782.65039,24019.80078,23775.90039,23898.19922,538700.0
NIFTY ENERGY,2023-05-23,24046.19922,24124.80078,24009.34961,24028.44922,726400.0
NIFTY ENERGY,2023-05-24,24117.94922,24220.34961,24043.94922,24085.25,669800.0
NIFTY ENERGY,2023-05-25,24113.55078,24144.40039,23899.55078,24071.69922,601300.0
NIFTY ENERGY,2023-05-26,24164.05078,24270.44922,24098.30078,24238.90039,586300.0
NIFTY ENERGY,2023-05-29,24258.40039,24314.0,24150.59961,24261.30078,1027600.0
NIFTY ENERGY,2023-05-30,24319.69922,24384.44922,24189.5,24218.15039,716800.0
NIFTY ENERGY,2023-05-31,24154.44922,24181.44922,23734.15039,23875.55078,2623100.0
NIFTY ENERGY,2023-06-01,23880.94922,23915.59961,23755.84961,23825.30078,1029800.0
NIFTY ENERGY,2023-06-02,23916.05078,23927.69922,23746.09961,23785.69922,879100.0
NIFTY ENERGY,2023-06-05,23902.40039,23927.15039,23845.0,23901.69922,1001400.0
NIFTY ENERGY,2023-06-06,23968.69922,23984.34961,23745.25,23867.30078,572900.0
NIFTY ENERGY,2023-06-07,23961.5,24167.19922,23915.75,24125.15039,869700.0
NIFTY ENERGY,2023-06-08,24195.05078,24415.59961,24159.40039,24215.0,1172600.0
NIFTY ENERGY,2023-06-09,24338.34961,24341.0,24139.80078,24169.5,619100.0
NIFTY ENERGY,2023-06-12,24192.0,24299.30078,24091.80078,24269.05078,648400.0
NIFTY ENERGY,2023-06-13,24356.05078,24420.34961,24301.65039,24399.19922,650300.0
