symbol,date,open,high,low,close,volume
NIFTY MIDSML 400,2019-01-14,5916.75,5918.45,5878.65,5897.7,0
NIFTY MIDSML 400,2019-01-15,5912.95,5941.15,5912.3,5936.55,0
NIFTY MIDSML 400,2019-01-16,5942.45,5970.55,5925.75,5933.7,0
NIFTY MIDSML 400,2019-01-17,5945.45,5957.0,5900.6,5917.5,0
NIFTY MIDSML 400,2019-01-18,5930.65,5930.8,5875.6,5879.85,0
NIFTY MIDSML 400,2019-01-21,5887.0,5892.85,5829.45,5837.85,0
NIFTY MIDSML 400,2019-01-22,5831.3,5833.45,5783.05,5821.55,0
NIFTY MIDSML 400,2019-01-23,5827.2,5846.6,5805.0,5809.7,0
NIFTY MIDSML 400,2019-01-24,5818.6,5823.25,5782.75,5791.05,0
NIFTY MIDSML 400,2019-01-25,5805.4,5819.85,5702.1,5712.6,0
NIFTY MIDSML 400,2019-01-28,5706.6,5707.45,5595.15,5613.7,0
NIFTY MIDSML 400,2019-01-29,5599.3,5639.8,5583.5,5624.35,0
NIFTY MIDSML 400,2019-01-30,5641.35,5658.35,5618.8,5654.1,0
NIFTY MIDSML 400,2019-01-31,5671.4,5689.45,5640.35,5684.3,0
NIFTY MIDSML 400,2019-02-01,5705.6,5750.75,5666.2,5705.55,0
NIFTY MIDSML 400,2019-02-04,5702.2,5702.2,5625.6,5653.4,0
NIFTY MIDSML 400,2019-02-05,5653.25,5673.25,5592.6,5608.5,0
NIFTY MIDSML 400,2019-02-06,5615.75,5623.75,5556.5,5616.6,0
NIFTY MIDSML 400,2019-02-07,5619.0,5672.45,5615.3,5654.15,0
NIFTY MIDSML 400,2019-02-08,5642.2,5649.85,5584.4,5589.4,0
NIFTY MIDSML 400,2019-02-11,5584.35,5584.8,5497.6,5502.45,0
NIFTY MIDSML 400,2019-02-12,5500.45,5520.15,5481.45,5491.15,0
NIFTY MIDSML 400,2019-02-13,5507.35,5522.35,5462.85,5471.35,0
NIFTY MIDSML 400,2019-02-14,5463.1,5490.4,5433.0,5485.5,0
NIFTY MIDSML 400,2019-02-15,5484.35,5485.1,5414.25,5440.55,0
NIFTY MIDSML 400,2019-02-18,5443.9,5448.05,5379.2,5386.25,0
NIFTY MIDSML 400,2019-02-19,5390.1,5441.85,5388.55,5409.95,0
NIFTY MIDSML 400,2019-02-20,5429.25,5465.0,5427.5,5459.2,0
NIFTY MIDSML 400,2019-02-21,5475.6,5515.35,5460.15,5512.05,0
NIFTY MIDSML 400,2019-02-22,5514.85,5546.2,5511.1,5543.35,0
NIFTY MIDSML 400,2019-02-25,5562.1,5575.7,5553.7,5571.2,0
