symbol,date,open,high,low,close,volume
NIFTYBETF,2024-01-29,250.0,257.14,216.0,218.04,4888
NIFTYBETF,2024-01-30,222.98,222.99,215.04,215.05,1656
NIFTYBETF,2024-01-31,216.99,221.6,215.41,216.12,453499
NIFTYBETF,2024-02-01,221.98,221.98,215.65,217.0,3604
NIFTYBETF,2024-02-02,218.53,220.95,218.31,219.1,4614
NIFTYBETF,2024-02-05,219.01,219.44,216.64,216.64,665
NIFTYBETF,2024-02-06,217.21,219.8,217.21,218.52,548
NIFTYBETF,2024-02-07,219.01,223.6,217.73,219.83,183
NIFTYBETF,2024-02-08,222.98,222.98,216.8,217.53,2094
NIFTYBETF,2024-02-09,215.5,218.99,215.5,218.0,689
NIFTYBETF,2024-02-12,219.0,223.5,215.99,216.97,992
NIFTYBETF,2024-02-13,216.97,218.18,215.51,218.18,234367
NIFTYBETF,2024-02-14,216.55,219.08,215.51,219.08,1545
NIFTYBETF,2024-02-15,219.0,220.19,217.56,220.19,505
NIFTYBETF,2024-02-16,220.19,220.87,219.8,220.03,547
NIFTYBETF,2024-02-19,220.35,222.06,219.66,220.5,6323
NIFTYBETF,2024-02-20,220.8,221.99,220.47,221.99,914
NIFTYBETF,2024-02-21,221.99,222.32,219.8,220.0,920
NIFTYBETF,2024-02-22,220.6,222.34,218.81,222.34,1655
NIFTYBETF,2024-02-23,221.82,222.8,221.82,221.82,2974
NIFTYBETF,2024-02-26,221.71,221.74,220.65,221.13,2581
NIFTYBETF,2024-02-27,221.07,221.64,220.52,221.33,299
NIFTYBETF,2024-02-28,221.98,223.0,219.0,220.05,1980
NIFTYBETF,2024-02-29,219.53,221.48,218.95,220.89,10632
NIFTYBETF,2024-03-01,221.99,229.0,221.99,223.81,8440
NIFTYBETF,2024-03-02,225.11,225.24,222.86,222.87,40
NIFTYBETF,2024-03-04,223.85,224.42,222.95,223.07,803
NIFTYBETF,2024-03-05,223.98,224.23,222.12,223.91,729
NIFTYBETF,2024-03-06,223.91,224.79,221.99,224.54,2502
NIFTYBETF,2024-03-07,224.55,225.75,224.55,225.36,890
NIFTYBETF,2024-03-11,225.01,226.0,223.0,226.0,6714
NIFTYBETF,2024-03-12,223.07,224.67,223.02,224.01,90243
NIFTYBETF,2024-03-13,223.33,224.93,219.9,220.42,7349
NIFTYBETF,2024-03-14,220.42,221.99,219.22,221.01,1380
NIFTYBETF,2024-03-15,221.23,221.45,219.26,220.87,2456
NIFTYBETF,2024-03-18,221.0,226.0,219.31,220.09,370
NIFTYBETF,2024-03-19,220.27,220.3,218.0,218.53,2495
NIFTYBETF,2024-03-20,218.4,219.37,217.21,218.07,184
NIFTYBETF,2024-03-21,219.55,221.02,219.55,219.97,253
NIFTYBETF,2024-03-22,219.29,221.8,219.29,221.78,921
NIFTYBETF,2024-03-26,220.77,221.18,219.4,220.86,475
NIFTYBETF,2024-03-27,222.05,222.7,220.68,220.92,621
NIFTYBETF,2024-03-28,222.46,224.45,222.43,223.86,1552
NIFTYBETF,2024-04-01,224.05,235.0,224.03,224.03,1125
NIFTYBETF,2024-04-02,224.8,225.01,224.2,225.01,601478
NIFTYBETF,2024-04-03,224.08,225.39,223.39,224.32,1637
NIFTYBETF,2024-04-04,225.28,225.91,223.53,225.75,783
NIFTYBETF,2024-04-05,224.84,226.4,224.0,226.4,4532
NIFTYBETF,2024-04-08,226.57,227.07,225.73,227.0,4324
NIFTYBETF,2024-04-09,227.95,228.08,226.35,227.14,775
NIFTYBETF,2024-04-10,226.93,227.6,226.93,227.6,324
NIFTYBETF,2024-04-12,233.29,233.29,224.0,226.96,1900
NIFTYBETF,2024-04-15,225.33,225.35,222.91,223.7,2085
NIFTYBETF,2024-04-16,223.0,223.0,221.17,222.27,1974
NIFTYBETF,2024-04-18,222.27,223.4,220.67,221.22,1526
NIFTYBETF,2024-04-19,220.82,221.7,217.56,220.96,29422
NIFTYBETF,2024-04-22,222.12,224.57,221.88,224.57,1698
NIFTYBETF,2024-04-23,224.56,224.57,223.94,224.08,107
NIFTYBETF,2024-04-24,224.18,225.0,223.76,224.61,510
NIFTYBETF,2024-04-25,223.94,225.5,223.41,225.5,1314
NIFTYBETF,2024-04-26,225.23,226.39,224.0,225.19,6197
NIFTYBETF,2024-04-29,225.52,226.59,224.85,225.88,3650
NIFTYBETF,2024-04-30,227.2,227.2,225.96,225.96,298
