symbol,date,open,high,low,close,volume
NITINFIRE,2016-01-01,11.15,11.35,10.875,11.05,2724740
NITINFIRE,2016-01-04,11.0,11.2125,10.75,10.925,2542432
NITINFIRE,2016-01-05,11.0625,11.675,10.8375,11.3875,6527100
NITINFIRE,2016-01-06,11.45,11.8625,11.2125,11.2875,6012216
NITINFIRE,2016-01-07,11.0,11.1,10.55,10.5875,1974692
NITINFIRE,2016-01-08,10.8125,10.95,10.6375,10.8375,1836176
NITINFIRE,2016-01-11,10.65,10.7375,10.525,10.625,1115496
NITINFIRE,2016-01-12,10.525,11.025,10.4875,10.55,2013716
NITINFIRE,2016-01-13,10.725,10.825,9.375,10.1125,3448156
NITINFIRE,2016-01-14,9.75,10.025,9.425,9.75,1469140
NITINFIRE,2016-01-15,10.0,10.0875,9.3625,9.4875,1141140
NITINFIRE,2016-01-18,9.375,9.65,8.525,8.6875,1772332
NITINFIRE,2016-01-19,8.925,9.075,8.45,8.9375,1539408
NITINFIRE,2016-01-20,8.625,8.7375,8.5,8.625,1051244
NITINFIRE,2016-01-21,8.8125,9.0125,8.5,8.7375,689000
NITINFIRE,2016-01-22,8.9625,9.4,8.8,9.225,1389896
NITINFIRE,2016-01-25,9.4,10.45,9.325,10.2875,5613792
NITINFIRE,2016-01-27,10.4625,10.5,9.6875,9.75,2657248
NITINFIRE,2016-01-28,9.875,9.9,9.625,9.675,1016164
NITINFIRE,2016-01-29,9.65,9.975,9.65,9.875,877728
NITINFIRE,2016-02-01,9.9625,10.1375,9.875,10.0375,1070052
NITINFIRE,2016-02-02,10.0375,10.225,9.6125,9.725,1447404
NITINFIRE,2016-02-03,9.6375,9.6375,9.3625,9.4875,896528
NITINFIRE,2016-02-04,9.7,9.825,9.3375,9.5,1005844
NITINFIRE,2016-02-05,9.7625,9.875,9.5,9.5375,2406152
NITINFIRE,2016-02-08,9.55,9.6,9.35,9.475,806540
NITINFIRE,2016-02-09,9.2625,9.325,9.0,9.1125,861136
NITINFIRE,2016-02-10,9.0,9.025,8.75,8.7625,809184
NITINFIRE,2016-02-11,8.875,8.975,8.2375,8.25,1070504
NITINFIRE,2016-02-12,8.25,8.45,7.625,7.75,1972944
NITINFIRE,2016-02-15,7.975,8.475,7.9375,8.325,966672
NITINFIRE,2016-02-16,8.5125,8.6,8.125,8.2375,1152520
NITINFIRE,2016-02-17,8.2,8.2,7.675,7.975,1379244
NITINFIRE,2016-02-18,8.0875,8.3125,8.0125,8.1125,579076
NITINFIRE,2016-02-19,8.125,8.4125,8.0,8.4,749852
NITINFIRE,2016-02-22,8.4875,8.6,8.3375,8.4875,862040
NITINFIRE,2016-02-23,8.5,8.5625,8.25,8.2875,582908
NITINFIRE,2016-02-24,8.2625,8.3125,8.125,8.15,462592
NITINFIRE,2016-02-25,8.3,8.475,8.0375,8.15,1124932
NITINFIRE,2016-02-26,8.2,8.3375,7.6,7.7,981628
NITINFIRE,2016-02-29,7.8,7.9125,7.425,7.5375,901712
NITINFIRE,2016-03-01,7.6625,7.9875,7.6625,7.9,718332
NITINFIRE,2016-03-02,8.175,8.675,8.0,8.4375,1618348
NITINFIRE,2016-03-03,8.575,8.6,8.35,8.5125,920732
NITINFIRE,2016-03-04,8.5,8.75,8.375,8.5625,862852
NITINFIRE,2016-03-08,8.55,9.1,8.4375,9.025,2238868
NITINFIRE,2016-03-09,8.95,9.15,8.7875,9.0125,1044936
NITINFIRE,2016-03-10,8.9375,9.3125,8.9,9.1875,1051240
NITINFIRE,2016-03-11,9.0,9.3,8.9,8.9875,621824
NITINFIRE,2016-03-14,9.0625,9.1375,8.8,8.825,553424
NITINFIRE,2016-03-15,8.875,8.875,8.5875,8.625,731364
NITINFIRE,2016-03-16,8.6625,8.725,8.45,8.5,420644
NITINFIRE,2016-03-17,8.6375,8.875,8.575,8.575,1017904
NITINFIRE,2016-03-18,8.675,8.775,8.5625,8.6125,480400
NITINFIRE,2016-03-21,8.725,8.8625,8.5875,8.7625,629804
NITINFIRE,2016-03-22,8.825,8.875,8.6625,8.725,458036
NITINFIRE,2016-03-23,8.75,8.8,8.625,8.625,780964
NITINFIRE,2016-03-28,8.6875,8.725,8.3125,8.3625,1209964
NITINFIRE,2016-03-29,8.3375,8.35,7.95,8.0125,1590964
NITINFIRE,2016-03-30,8.125,8.5125,8.125,8.4125,557552
NITINFIRE,2016-03-31,8.4,8.575,8.275,8.35,412040
NITINFIRE,2016-04-01,8.3875,8.4875,8.3,8.375,390600
NITINFIRE,2016-04-04,8.475,8.7,8.4375,8.5,671360
NITINFIRE,2016-04-05,8.45,8.4875,8.1375,8.25,619444
NITINFIRE,2016-04-06,8.2,8.4875,8.1375,8.2875,705400
NITINFIRE,2016-04-07,8.325,8.4375,8.2375,8.325,463172
NITINFIRE,2016-04-08,8.3375,8.4625,8.1875,8.2625,455476
NITINFIRE,2016-04-11,8.275,8.3375,8.1875,8.2125,600064
NITINFIRE,2016-04-12,8.2375,8.3375,8.225,8.2875,649448
NITINFIRE,2016-04-13,8.3875,8.55,8.325,8.425,1102124
NITINFIRE,2016-04-18,8.4625,8.6,8.3375,8.3875,659196
NITINFIRE,2016-04-20,8.475,8.925,8.375,8.675,1432104
NITINFIRE,2016-04-21,8.75,9.0375,8.6625,8.7875,1285052
NITINFIRE,2016-04-22,8.875,8.975,8.7125,8.7375,600440
NITINFIRE,2016-04-25,8.7,8.8375,8.5875,8.675,360056
NITINFIRE,2016-04-26,8.6125,8.75,8.5625,8.6625,501300
NITINFIRE,2016-04-27,8.6375,9.8625,8.6125,9.35,6466792
NITINFIRE,2016-04-28,9.425,9.6125,9.025,9.075,2320892
NITINFIRE,2016-04-29,8.8375,9.1625,8.7375,8.9,1324564
NITINFIRE,2016-05-02,8.85,9.0875,8.8125,8.9375,684608
NITINFIRE,2016-05-03,8.925,9.1125,8.8125,8.85,661140
NITINFIRE,2016-05-04,8.8,8.85,8.675,8.7625,507704
NITINFIRE,2016-05-05,8.8625,9.3375,8.675,9.1875,2149160
NITINFIRE,2016-05-06,9.375,9.575,8.7,8.7375,5264092
NITINFIRE,2016-05-09,8.7875,8.875,8.45,8.475,3462460
NITINFIRE,2016-05-10,8.55,8.575,8.2,8.225,2871348
NITINFIRE,2016-05-11,8.1125,8.2125,7.9375,8.125,1022532
NITINFIRE,2016-05-12,8.125,8.6,8.1125,8.1625,13737512
NITINFIRE,2016-05-13,8.2125,8.4,8.0,8.0375,14281752
NITINFIRE,2016-05-16,8.2875,8.35,7.85,7.85,28666060
NITINFIRE,2016-05-17,8.05,8.2875,7.775,7.9125,14021120
NITINFIRE,2016-05-18,7.7875,7.925,7.5875,7.625,7197484
NITINFIRE,2016-05-19,7.65,8.3,7.525,8.125,9472344
NITINFIRE,2016-05-20,8.2375,8.2375,7.8375,7.95,2731948
NITINFIRE,2016-05-23,8.0125,8.025,7.75,7.7625,1642440
NITINFIRE,2016-05-24,7.85,7.85,7.6375,7.75,1196328
NITINFIRE,2016-05-25,7.925,7.925,7.75,7.8125,911472
NITINFIRE,2016-05-26,7.8125,7.8875,7.7,7.725,1039032
NITINFIRE,2016-05-27,7.775,7.8125,7.6875,7.7375,1412804
NITINFIRE,2016-05-30,7.775,7.925,7.75,7.775,1089476
