symbol,date,open,high,low,close,volume
NOCIL,2008-06-09,22.5,22.6,21.55,22.25,341416
NOCIL,2008-06-10,22.25,23.5,22.05,22.65,379285
NOCIL,2008-06-11,23.2,23.65,22.8,23.1,203624
NOCIL,2008-06-12,22.1,23.75,22.0,23.5,224891
NOCIL,2008-06-13,23.8,25.15,23.3,24.65,512767
NOCIL,2008-06-16,24.8,25.25,24.05,24.2,395573
NOCIL,2008-06-17,23.85,24.55,23.85,24.4,170181
NOCIL,2008-06-18,24.4,25.6,24.2,24.35,517388
NOCIL,2008-06-19,24.15,24.15,23.25,23.65,137719
NOCIL,2008-06-20,23.05,24.3,22.45,22.65,263232
NOCIL,2008-06-23,22.65,22.65,21.5,21.65,216241
NOCIL,2008-06-24,21.8,22.2,21.15,21.4,217343
NOCIL,2008-06-25,20.75,21.85,20.75,21.65,242549
NOCIL,2008-06-26,22.15,22.55,21.7,21.95,219917
NOCIL,2008-06-27,21.15,21.5,20.6,21.1,174155
NOCIL,2008-06-30,21.0,21.4,19.5,19.95,237774
NOCIL,2008-07-01,20.1,20.2,19.0,19.15,248792
NOCIL,2008-07-02,19.4,19.85,17.7,19.45,348815
NOCIL,2008-07-03,19.6,19.6,18.5,18.95,192742
NOCIL,2008-07-04,18.9,19.45,18.0,19.25,191590
NOCIL,2008-07-07,19.75,20.7,19.75,20.3,228851
NOCIL,2008-07-08,19.55,20.15,19.05,19.85,124326
NOCIL,2008-07-09,20.0,21.25,20.0,20.85,333070
NOCIL,2008-07-10,20.0,21.1,19.85,20.6,165348
NOCIL,2008-07-11,20.1,22.55,20.1,20.55,808400
NOCIL,2008-07-14,20.9,22.0,20.0,20.75,287203
NOCIL,2008-07-15,20.3,20.65,19.85,19.95,161056
NOCIL,2008-07-16,19.9,20.5,18.7,18.85,297583
NOCIL,2008-07-17,19.25,19.75,18.9,19.0,187849
NOCIL,2008-07-18,19.25,19.65,19.0,19.35,195483
NOCIL,2008-07-21,19.4,22.35,19.0,21.65,1388309
NOCIL,2008-07-22,22.1,22.75,20.6,21.15,952148
NOCIL,2008-07-23,23.3,24.9,22.95,24.35,2040774
NOCIL,2008-07-24,24.7,25.25,23.65,23.9,691652
NOCIL,2008-07-25,23.0,25.3,22.95,24.05,945280
NOCIL,2008-07-28,24.1,25.0,23.75,24.2,413636
NOCIL,2008-07-29,22.5,26.15,22.5,24.35,1162410
NOCIL,2008-07-30,25.0,25.25,23.85,24.0,405204
NOCIL,2008-07-31,24.15,24.65,23.75,23.95,194759
NOCIL,2008-08-01,23.4,24.6,23.4,24.1,572316
NOCIL,2008-08-04,24.0,25.25,24.0,24.65,644824
NOCIL,2008-08-05,24.7,26.2,24.7,25.45,993704
NOCIL,2008-08-06,26.6,26.6,25.3,25.45,1014267
NOCIL,2008-08-07,25.6,26.75,24.8,25.7,639343
NOCIL,2008-08-08,25.9,27.25,25.5,26.2,1291817
NOCIL,2008-08-11,27.7,28.75,26.5,27.75,2813219
NOCIL,2008-08-12,27.9,28.4,26.5,27.4,1735734
NOCIL,2008-08-13,27.0,28.8,26.5,28.1,1658156
NOCIL,2008-08-14,28.3,29.5,27.25,27.5,1278649
NOCIL,2008-08-18,27.5,28.2,26.3,26.55,485403
NOCIL,2008-08-19,26.3,26.6,25.75,26.05,431637
NOCIL,2008-08-20,26.75,26.8,26.1,26.3,389450
NOCIL,2008-08-21,26.1,26.3,25.1,25.2,330397
NOCIL,2008-08-22,24.65,25.45,24.6,25.15,700969
NOCIL,2008-08-25,25.25,25.8,24.8,24.9,353369
NOCIL,2008-08-26,24.2,25.55,24.2,24.9,319341
NOCIL,2008-08-27,25.3,25.35,24.3,24.45,216192
NOCIL,2008-08-28,24.3,24.6,24.2,24.2,166654
