symbol,date,open,high,low,close,volume
NTL,2017-02-17,2.1375,2.25,1.825,1.975,500316
NTL,2017-02-20,1.9,2.075,1.9,2.025,180580
NTL,2017-02-21,1.975,2.075,1.975,2.05,134940
NTL,2017-02-22,1.975,2.1,1.975,2.025,211156
NTL,2017-02-23,2.0625,2.075,2.025,2.025,69708
NTL,2017-02-27,2.075,2.075,2.0,2.0,171064
NTL,2017-02-28,1.9875,2.125,1.9875,2.1125,152804
NTL,2017-03-01,2.125,2.125,2.0125,2.0625,280304
NTL,2017-03-02,2.0625,2.1,2.025,2.05,91108
NTL,2017-03-03,2.075,2.075,2.0,2.0125,62164
NTL,2017-03-06,2.0125,2.05,2.0,2.025,146760
NTL,2017-03-07,1.9875,2.0375,1.975,1.975,148808
NTL,2017-03-08,2.025,2.025,1.95,2.0,130128
NTL,2017-03-09,2.0,2.0,1.925,1.9875,129096
NTL,2017-03-10,1.9875,2.0,1.95,2.0,82184
NTL,2017-03-14,1.9625,2.025,1.9625,1.9875,78008
NTL,2017-03-15,1.8375,2.0,1.8375,1.9625,330956
NTL,2017-03-16,1.9375,1.95,1.8875,1.9375,190664
NTL,2017-03-17,1.9375,1.9375,1.9125,1.925,100404
NTL,2017-03-20,1.975,1.9875,1.9125,1.9625,114796
NTL,2017-03-21,1.925,1.975,1.9125,1.9375,43964
NTL,2017-03-22,1.9625,1.9625,1.6875,1.7,1215884
NTL,2017-03-23,1.75,1.75,1.4125,1.45,3095164
NTL,2017-03-24,1.475,1.475,1.4,1.45,1318692
NTL,2017-03-27,1.45,1.45,1.35,1.35,1039128
NTL,2017-03-28,1.225,1.3375,1.225,1.225,3296176
NTL,2017-03-29,1.225,1.225,1.1125,1.1125,1358060
NTL,2017-03-30,1.2375,1.2375,1.0625,1.2375,1279320
NTL,2017-03-31,1.3375,1.35,1.2375,1.25,1681476
NTL,2017-04-03,1.25,1.375,1.25,1.2625,572828
NTL,2017-04-05,1.275,1.325,1.2625,1.325,612708
NTL,2017-04-06,1.3375,1.375,1.3,1.375,567884
NTL,2017-04-07,1.375,1.425,1.325,1.35,477892
NTL,2017-04-10,1.3625,1.3625,1.3125,1.35,161628
NTL,2017-04-11,1.3375,1.3375,1.275,1.3,368320
NTL,2017-04-12,1.2875,1.2875,1.225,1.275,522228
NTL,2017-04-13,1.25,1.325,1.25,1.2875,130916
NTL,2017-04-17,1.3125,1.325,1.2375,1.2625,405872
NTL,2017-04-18,1.275,1.3,1.25,1.2625,239024
NTL,2017-04-19,1.25,1.2875,1.2375,1.2625,280236
NTL,2017-04-20,1.275,1.275,1.225,1.275,133000
NTL,2017-04-21,1.2875,1.2875,1.2375,1.2625,310224
NTL,2017-04-24,1.275,1.2875,1.2625,1.2875,145992
NTL,2017-04-25,1.2875,1.3125,1.2625,1.275,218980
NTL,2017-04-26,1.2625,1.3,1.25,1.25,239400
NTL,2017-04-27,1.2625,1.2625,1.2375,1.2625,218240
NTL,2017-04-28,1.2375,1.2625,1.2125,1.2625,205544
NTL,2017-05-02,1.275,1.275,1.2,1.225,244620
NTL,2017-05-03,1.25,1.25,1.15,1.2375,229728
NTL,2017-05-04,1.2,1.3375,1.2,1.2625,156224
NTL,2017-05-05,1.275,1.2875,1.225,1.25,102000
NTL,2017-05-08,1.25,1.25,1.2125,1.2125,47836
NTL,2017-05-09,1.325,1.325,1.2,1.25,251964
NTL,2017-05-10,1.225,1.275,1.2125,1.25,103452
NTL,2017-05-11,1.3125,1.3125,1.2125,1.25,31708
NTL,2017-05-12,1.2625,1.2875,1.225,1.2375,61408
NTL,2017-05-15,1.2375,1.25,1.2,1.2375,45840
NTL,2017-05-16,1.2125,1.2625,1.2,1.25,140792
NTL,2017-05-17,1.2375,1.2375,1.1875,1.2125,63720
NTL,2017-05-18,1.15,1.2375,1.15,1.225,123380
NTL,2017-05-19,1.25,1.25,1.175,1.2,271312
NTL,2017-05-22,1.175,1.2375,1.175,1.2,220788
NTL,2017-05-23,1.175,1.175,1.0875,1.125,314780
NTL,2017-05-24,1.125,1.2125,1.075,1.2125,507872
NTL,2017-05-25,1.1375,1.2125,1.125,1.125,136180
