symbol,date,open,high,low,close,volume
ORIENTHOT,2008-06-09,25.2,26.77,25.2,26.13,4640
ORIENTHOT,2008-06-10,26.5,27.1,25.8,26.2,4480
ORIENTHOT,2008-06-11,27.99,27.99,26.1,26.23,7520
ORIENTHOT,2008-06-12,25.7,26.93,25.6,25.94,2510
ORIENTHOT,2008-06-13,27.97,27.97,25.58,26.8,1100
ORIENTHOT,2008-06-16,26.8,26.99,26.1,26.1,610
ORIENTHOT,2008-06-17,27.0,27.49,25.75,26.35,5650
ORIENTHOT,2008-06-18,26.67,27.3,26.23,26.38,1980
ORIENTHOT,2008-06-19,26.5,27.0,26.5,26.74,2570
ORIENTHOT,2008-06-20,26.33,27.25,26.13,26.13,8090
ORIENTHOT,2008-06-23,26.0,26.49,25.51,26.45,3970
ORIENTHOT,2008-06-24,26.89,26.89,26.05,26.05,9680
ORIENTHOT,2008-06-25,26.0,26.4,25.0,26.05,9380
ORIENTHOT,2008-06-26,25.58,26.8,25.58,26.75,4970
ORIENTHOT,2008-06-27,25.7,27.7,25.6,27.47,8480
ORIENTHOT,2008-06-30,25.5,27.0,25.5,26.13,15830
ORIENTHOT,2008-07-01,26.5,26.5,23.12,24.55,6990
ORIENTHOT,2008-07-02,26.6,26.6,23.0,24.1,2960
ORIENTHOT,2008-07-03,26.79,26.79,24.0,24.0,8760
ORIENTHOT,2008-07-04,24.0,24.0,23.06,24.0,4210
ORIENTHOT,2008-07-07,24.0,25.19,23.86,25.0,3330
ORIENTHOT,2008-07-08,24.5,24.7,23.61,24.07,4060
ORIENTHOT,2008-07-09,24.3,25.5,24.0,24.27,3910
ORIENTHOT,2008-07-10,25.2,25.2,24.1,24.16,6110
ORIENTHOT,2008-07-11,24.0,25.88,23.82,24.11,10740
ORIENTHOT,2008-07-14,24.0,25.05,23.68,23.81,10700
ORIENTHOT,2008-07-15,23.1,24.9,23.1,23.51,11660
ORIENTHOT,2008-07-16,24.45,24.45,23.85,23.86,7030
ORIENTHOT,2008-07-17,28.63,28.63,23.4,24.7,1040
ORIENTHOT,2008-07-18,29.5,29.5,23.0,24.52,7770
ORIENTHOT,2008-07-21,28.99,28.99,24.2,24.54,4140
ORIENTHOT,2008-07-22,22.7,24.4,22.7,24.24,7900
ORIENTHOT,2008-07-23,21.94,24.89,21.94,24.02,3420
ORIENTHOT,2008-07-24,24.0,24.1,23.01,23.19,7480
ORIENTHOT,2008-07-25,21.71,23.5,21.71,23.38,1320
ORIENTHOT,2008-07-28,23.4,24.3,23.4,24.06,1140
ORIENTHOT,2008-07-29,24.0,24.4,23.01,23.3,2990
ORIENTHOT,2008-07-30,21.7,24.0,21.7,23.4,4820
ORIENTHOT,2008-07-31,23.01,24.0,23.01,23.11,1840
