symbol,date,open,high,low,close,volume
ORISSAMINE,2010-09-29,3344.49,3344.49,3344.49,3344.49,540
ORISSAMINE,2010-09-30,3511.72,3511.72,3511.72,3511.72,1670
ORISSAMINE,2010-10-01,3687.31,3687.31,3336.14,3687.31,105200
ORISSAMINE,2010-10-04,3850.0,3871.68,3700.1,3871.68,26960
ORISSAMINE,2010-10-05,3964.0,4065.26,3910.4,4065.26,23430
ORISSAMINE,2010-10-06,4259.9,4268.53,4190.0,4268.53,22290
ORISSAMINE,2010-10-07,4481.96,4481.96,4055.11,4058.51,32760
ORISSAMINE,2010-10-08,4261.44,4261.44,4070.0,4261.44,11320
ORISSAMINE,2010-10-11,4474.52,4474.52,4450.0,4474.52,23980
ORISSAMINE,2010-10-12,4674.33,4698.25,4674.33,4698.25,3040
ORISSAMINE,2010-10-13,4933.16,4933.16,4933.16,4933.16,1480
ORISSAMINE,2010-10-14,5179.82,5179.82,5179.82,5179.82,5700
ORISSAMINE,2010-10-15,5438.81,5438.81,4920.83,5428.56,117390
ORISSAMINE,2010-10-18,5490.1,5690.0,5202.5,5632.02,17460
ORISSAMINE,2010-10-19,5850.0,5913.63,5670.0,5913.63,11090
ORISSAMINE,2010-10-20,6209.31,6209.31,5755.2,5810.74,32930
ORISSAMINE,2010-10-21,5950.0,6101.27,5820.0,6101.27,19170
ORISSAMINE,2010-10-22,6344.44,6406.34,6250.0,6406.34,5780
ORISSAMINE,2010-10-25,6726.66,6726.66,6726.66,6726.66,500
ORISSAMINE,2010-10-26,7059.0,7063.0,6561.0,7063.0,61120
ORISSAMINE,2010-10-27,7240.0,7416.15,7200.0,7388.56,38460
ORISSAMINE,2010-10-28,7320.0,7645.0,7019.14,7070.29,30580
ORISSAMINE,2010-10-29,7110.0,7240.0,6716.77,6738.31,26990
ORISSAMINE,2010-11-01,6890.0,6975.0,6430.0,6620.0,17970
ORISSAMINE,2010-11-02,6720.0,6720.0,6410.0,6484.86,11270
ORISSAMINE,2010-11-03,6484.8,6809.11,6355.5,6809.11,15250
ORISSAMINE,2010-11-04,6988.8,7149.57,6988.8,7149.57,4120
ORISSAMINE,2010-11-05,7507.05,7507.05,7507.05,7507.05,1360
ORISSAMINE,2010-11-08,7882.4,7882.4,7882.4,7882.4,1670
ORISSAMINE,2010-11-09,8276.53,8276.53,7800.0,8276.53,41820
ORISSAMINE,2010-11-10,8588.8,8690.35,8300.0,8690.35,28710
ORISSAMINE,2010-11-11,8691.0,9060.0,8310.1,8485.65,24690
ORISSAMINE,2010-11-12,8501.0,8909.94,8310.03,8909.94,48830
ORISSAMINE,2010-11-15,8949.9,9220.0,8500.0,8739.96,22230
ORISSAMINE,2010-11-16,8760.1,8939.7,8302.97,8302.97,16270
ORISSAMINE,2010-11-18,8100.0,8299.0,7887.83,8163.45,36080
ORISSAMINE,2010-11-19,8200.0,8200.0,7755.29,7755.29,11140
ORISSAMINE,2010-11-22,7900.0,7900.0,7367.52,7498.5,30660
