symbol,date,open,high,low,close,volume
PANACEABIO,2008-06-09,380.0,380.0,358.0,365.1,79938
PANACEABIO,2008-06-10,379.85,379.85,355.1,362.25,75896
PANACEABIO,2008-06-11,364.0,373.15,356.0,360.3,79117
PANACEABIO,2008-06-12,361.6,375.65,358.15,373.55,82346
PANACEABIO,2008-06-13,370.5,371.1,346.25,349.9,62663
PANACEABIO,2008-06-16,365.0,365.0,341.25,343.65,102688
PANACEABIO,2008-06-17,357.0,357.0,330.0,331.05,91811
PANACEABIO,2008-06-18,340.0,349.0,335.0,342.2,90475
PANACEABIO,2008-06-19,339.3,347.15,332.0,344.15,93760
PANACEABIO,2008-06-20,347.0,360.0,333.1,350.6,78797
PANACEABIO,2008-06-23,350.0,354.9,340.0,349.35,67865
PANACEABIO,2008-06-24,350.0,368.85,350.0,359.95,110814
PANACEABIO,2008-06-25,360.0,365.95,329.0,332.85,110867
PANACEABIO,2008-06-26,340.0,377.0,321.0,330.1,29858
PANACEABIO,2008-06-27,301.0,319.9,297.0,301.55,52479
PANACEABIO,2008-06-30,312.9,320.0,295.0,302.0,71194
PANACEABIO,2008-07-01,300.0,308.0,280.0,282.55,68101
PANACEABIO,2008-07-02,300.0,300.0,279.2,284.45,101158
PANACEABIO,2008-07-03,285.5,286.35,274.0,276.75,91722
PANACEABIO,2008-07-04,283.95,307.8,281.55,303.0,96286
PANACEABIO,2008-07-07,307.4,363.6,305.1,322.75,62897
PANACEABIO,2008-07-08,318.0,332.0,310.0,323.15,62078
PANACEABIO,2008-07-09,334.1,334.35,305.1,316.3,86323
PANACEABIO,2008-07-10,323.9,323.95,300.0,304.6,85931
PANACEABIO,2008-07-11,307.7,311.0,295.0,307.2,85710
PANACEABIO,2008-07-14,311.0,317.9,305.05,312.9,84284
PANACEABIO,2008-07-15,307.4,311.25,303.0,307.9,80658
PANACEABIO,2008-07-16,315.0,318.0,301.2,308.9,89931
PANACEABIO,2008-07-17,319.0,319.0,306.0,310.9,104595
PANACEABIO,2008-07-18,315.0,315.0,305.25,308.25,105188
PANACEABIO,2008-07-21,307.0,312.9,305.6,311.55,90449
PANACEABIO,2008-07-22,313.5,314.5,297.75,298.65,81713
PANACEABIO,2008-07-23,301.15,307.1,285.25,294.7,153675
PANACEABIO,2008-07-24,296.0,304.2,294.0,295.1,78648
PANACEABIO,2008-07-25,292.25,302.5,288.15,296.2,67704
PANACEABIO,2008-07-28,296.0,303.5,295.0,300.2,78886
PANACEABIO,2008-07-29,299.0,301.6,295.05,298.15,88363
PANACEABIO,2008-07-30,303.95,304.95,285.0,288.55,167502
PANACEABIO,2008-07-31,287.5,289.5,270.25,276.5,78707
PANACEABIO,2008-08-01,273.55,276.0,269.0,270.2,71920
PANACEABIO,2008-08-04,275.0,288.8,273.15,286.85,86772
PANACEABIO,2008-08-05,288.0,302.0,288.0,300.65,97293
PANACEABIO,2008-08-06,307.5,313.0,298.2,299.1,119179
PANACEABIO,2008-08-07,305.0,306.9,297.2,299.4,94948
PANACEABIO,2008-08-08,303.5,304.0,291.2,300.4,107103
PANACEABIO,2008-08-11,303.5,308.85,302.1,304.75,98707
PANACEABIO,2008-08-12,307.95,365.0,300.35,305.4,191787
PANACEABIO,2008-08-13,295.4,315.0,295.4,304.05,133314
PANACEABIO,2008-08-14,301.1,303.5,288.2,289.0,183749
PANACEABIO,2008-08-18,289.95,305.0,289.9,297.8,112976
PANACEABIO,2008-08-19,298.1,301.0,295.25,297.35,104470
PANACEABIO,2008-08-20,299.9,302.75,295.1,301.0,80440
PANACEABIO,2008-08-21,319.0,319.0,295.0,298.45,71623
PANACEABIO,2008-08-22,299.0,303.0,291.0,296.45,99350
PANACEABIO,2008-08-25,294.0,299.95,291.0,292.85,106011
PANACEABIO,2008-08-26,292.0,300.8,292.0,294.65,109417
PANACEABIO,2008-08-27,295.0,295.0,286.5,287.6,136928
PANACEABIO,2008-08-28,290.0,293.0,285.0,285.75,118454
PANACEABIO,2008-08-29,289.0,292.0,288.1,290.15,134977
PANACEABIO,2008-09-01,287.0,292.45,287.0,291.45,106998
PANACEABIO,2008-09-02,292.9,301.0,292.9,299.95,141112
PANACEABIO,2008-09-04,298.7,310.0,298.5,301.05,119014
PANACEABIO,2008-09-05,300.0,302.0,297.5,298.95,45658
PANACEABIO,2008-09-08,308.0,308.0,299.5,300.15,93369
PANACEABIO,2008-09-09,299.95,300.85,298.8,299.55,92137
PANACEABIO,2008-09-10,299.75,300.0,293.0,294.35,87355
PANACEABIO,2008-09-11,297.0,299.75,269.25,272.2,103047
PANACEABIO,2008-09-12,275.2,285.0,273.2,280.8,82499
PANACEABIO,2008-09-15,281.0,281.0,269.55,275.55,95038
PANACEABIO,2008-09-16,271.9,274.8,255.0,267.9,71573
PANACEABIO,2008-09-17,275.0,275.0,248.5,251.75,115053
PANACEABIO,2008-09-18,251.0,255.0,246.15,249.85,83857
PANACEABIO,2008-09-19,255.0,264.0,226.25,236.9,136632
PANACEABIO,2008-09-22,269.8,269.8,221.25,225.85,160070
PANACEABIO,2008-09-23,225.0,235.4,220.25,230.1,447778
PANACEABIO,2008-09-24,235.0,245.0,235.0,238.15,122483
PANACEABIO,2008-09-25,249.0,254.9,236.0,246.75,140344
PANACEABIO,2008-09-26,242.0,246.75,239.0,241.5,121859
PANACEABIO,2008-09-29,243.0,243.0,217.25,226.75,120644
PANACEABIO,2008-09-30,218.1,242.0,216.1,239.8,610684
PANACEABIO,2008-10-01,240.0,248.0,238.05,243.3,123369
PANACEABIO,2008-10-03,242.4,248.5,223.3,230.45,103768
PANACEABIO,2008-10-06,230.0,233.75,222.0,224.2,133049
PANACEABIO,2008-10-07,220.25,242.3,215.0,217.9,145373
PANACEABIO,2008-10-08,215.0,229.9,193.9,195.95,128256
PANACEABIO,2008-10-10,195.0,202.05,189.75,193.85,102046
PANACEABIO,2008-10-13,202.35,220.85,202.35,215.05,194051
PANACEABIO,2008-10-14,220.0,231.5,212.05,218.2,1309962
PANACEABIO,2008-10-15,221.0,221.0,200.0,204.9,111540
PANACEABIO,2008-10-16,211.0,230.0,200.0,225.1,134612
PANACEABIO,2008-10-17,225.0,229.8,200.1,210.0,138974
PANACEABIO,2008-10-20,222.05,222.05,191.0,199.95,108754
PANACEABIO,2008-10-21,204.0,212.0,196.6,209.75,145030
PANACEABIO,2008-10-22,210.05,218.7,208.0,216.55,103987
PANACEABIO,2008-10-23,206.0,206.0,173.25,173.25,89191
PANACEABIO,2008-10-24,170.0,170.0,141.0,148.7,76244
PANACEABIO,2008-10-27,153.25,158.0,151.3,153.3,75675
PANACEABIO,2008-10-28,162.1,166.5,150.0,157.6,10838
PANACEABIO,2008-10-29,168.6,189.15,157.1,187.75,121437
PANACEABIO,2008-10-31,204.8,204.8,150.2,150.2,141320
PANACEABIO,2008-11-03,150.3,164.9,146.4,156.4,134590
PANACEABIO,2008-11-04,155.5,179.0,155.0,174.45,127703
PANACEABIO,2008-11-05,180.0,198.0,180.0,192.35,137822
PANACEABIO,2008-11-06,182.75,186.0,165.0,169.95,173772
PANACEABIO,2008-11-07,170.0,174.0,155.15,158.15,130270
PANACEABIO,2008-11-10,160.0,178.0,157.0,171.6,149563
PANACEABIO,2008-11-11,171.0,178.0,153.0,154.05,91978
PANACEABIO,2008-11-12,155.5,155.5,144.95,145.9,131495
PANACEABIO,2008-11-14,159.5,159.5,135.0,138.6,164731
PANACEABIO,2008-11-17,135.8,145.0,127.0,129.65,187511
PANACEABIO,2008-11-18,129.4,132.95,125.0,130.6,98200
PANACEABIO,2008-11-19,130.0,135.8,126.0,130.15,139654
PANACEABIO,2008-11-20,134.5,134.5,127.0,129.1,109723
PANACEABIO,2008-11-21,130.0,130.0,125.0,127.65,120755
PANACEABIO,2008-11-24,126.0,132.0,123.45,124.55,143035
PANACEABIO,2008-11-25,128.75,129.1,125.0,127.4,126728
PANACEABIO,2008-11-26,129.1,134.0,125.0,130.25,174939
PANACEABIO,2008-11-28,150.0,150.0,125.1,126.85,54349
PANACEABIO,2008-12-01,130.05,132.0,126.35,130.4,122914
PANACEABIO,2008-12-02,125.0,130.0,125.0,126.45,78966
PANACEABIO,2008-12-03,129.1,132.9,129.1,131.0,87652
PANACEABIO,2008-12-04,130.2,132.0,127.5,129.85,97662
PANACEABIO,2008-12-05,138.15,138.25,126.0,128.0,89768
PANACEABIO,2008-12-08,126.0,140.0,126.0,130.15,115645
PANACEABIO,2008-12-10,132.05,133.8,128.55,132.8,139832
PANACEABIO,2008-12-11,132.8,134.95,130.8,133.65,132423
PANACEABIO,2008-12-12,127.25,134.6,126.6,128.05,102962
PANACEABIO,2008-12-15,132.35,137.95,128.15,129.4,118840
PANACEABIO,2008-12-16,127.05,136.9,127.05,135.0,126431
PANACEABIO,2008-12-17,137.25,147.0,136.1,142.5,135817
PANACEABIO,2008-12-18,145.0,145.0,141.75,143.5,125908
PANACEABIO,2008-12-19,146.9,146.95,141.15,144.45,115329
PANACEABIO,2008-12-22,142.1,146.55,141.0,142.3,128549
PANACEABIO,2008-12-23,137.15,144.5,136.25,137.85,121072
PANACEABIO,2008-12-24,135.15,141.4,131.3,134.3,104328
PANACEABIO,2008-12-26,124.2,139.8,124.2,133.7,120841
PANACEABIO,2008-12-29,130.0,136.55,128.1,130.55,100837
PANACEABIO,2008-12-30,132.45,133.95,129.5,131.1,94895
PANACEABIO,2008-12-31,130.0,133.5,129.9,131.5,128530
PANACEABIO,2009-01-01,133.85,139.5,132.1,133.75,101138
PANACEABIO,2009-01-02,136.0,137.0,133.5,134.7,105157
PANACEABIO,2009-01-05,136.1,137.65,133.05,134.3,114381
PANACEABIO,2009-01-06,134.95,136.5,125.5,126.6,105940
PANACEABIO,2009-01-07,133.25,133.25,104.35,107.4,111050
PANACEABIO,2009-01-09,109.0,111.8,89.05,92.8,115767
PANACEABIO,2009-01-12,98.8,98.8,77.1,79.55,157765
PANACEABIO,2009-01-13,80.0,86.0,77.0,77.8,103133
PANACEABIO,2009-01-14,81.0,84.6,78.0,83.45,125550
PANACEABIO,2009-01-15,81.3,84.0,81.3,82.95,112518
PANACEABIO,2009-01-16,84.35,85.9,83.05,84.8,141092
PANACEABIO,2009-01-19,86.8,86.8,82.5,83.15,154289
PANACEABIO,2009-01-20,81.5,83.85,79.55,81.55,91495
