symbol,date,open,high,low,close,volume
PARAPRINT,2016-01-01,0.6,0.6,0.6,0.6,1
PARAPRINT,2016-01-07,0.65,0.65,0.65,0.65,825
PARAPRINT,2016-01-08,0.7,0.7,0.7,0.7,1
PARAPRINT,2016-01-12,0.8,0.8,0.8,0.8,5000
PARAPRINT,2016-01-13,0.8,0.8,0.8,0.8,2500
PARAPRINT,2016-01-19,0.85,0.85,0.85,0.85,20
PARAPRINT,2016-01-22,0.9,0.9,0.9,0.9,100
PARAPRINT,2016-01-28,0.9,0.9,0.9,0.9,2000
PARAPRINT,2016-01-29,0.95,0.95,0.95,0.95,50
PARAPRINT,2016-02-05,1.0,1.0,1.0,1.0,9200
PARAPRINT,2016-02-09,1.05,1.05,1.05,1.05,800
PARAPRINT,2016-03-11,1.0,1.0,1.0,1.0,150
PARAPRINT,2016-03-18,0.95,0.95,0.95,0.95,30
PARAPRINT,2016-04-21,1.0,1.0,1.0,1.0,317
PARAPRINT,2016-04-22,1.0,1.0,1.0,1.0,365
PARAPRINT,2016-04-25,1.0,1.0,1.0,1.0,3000
PARAPRINT,2016-04-26,1.0,1.0,1.0,1.0,12000
PARAPRINT,2016-04-27,1.0,1.0,1.0,1.0,135
PARAPRINT,2016-04-28,1.0,1.0,1.0,1.0,500
PARAPRINT,2016-04-29,0.95,0.95,0.95,0.95,5000
PARAPRINT,2016-05-02,1.0,1.0,1.0,1.0,876
PARAPRINT,2016-05-11,1.05,1.05,1.05,1.05,4000
PARAPRINT,2016-05-12,1.0,1.0,1.0,1.0,4000
PARAPRINT,2016-05-19,1.0,1.0,1.0,1.0,14721
PARAPRINT,2016-05-20,1.0,1.0,1.0,1.0,5001
PARAPRINT,2016-05-23,1.0,1.0,1.0,1.0,5000
PARAPRINT,2016-05-25,1.0,1.0,1.0,1.0,2000
PARAPRINT,2016-05-26,1.0,1.0,1.0,1.0,2000
PARAPRINT,2016-05-27,1.0,1.0,1.0,1.0,4000
PARAPRINT,2016-05-30,1.0,1.0,1.0,1.0,7000
PARAPRINT,2016-05-31,0.95,0.95,0.95,0.95,5300
PARAPRINT,2016-06-03,0.95,0.95,0.95,0.95,2000
PARAPRINT,2016-06-08,0.95,0.95,0.95,0.95,30
PARAPRINT,2016-06-09,0.95,0.95,0.95,0.95,1000
PARAPRINT,2016-06-21,0.9,0.9,0.9,0.9,1
PARAPRINT,2016-07-07,0.9,0.9,0.9,0.9,150
PARAPRINT,2016-07-15,0.85,0.85,0.85,0.85,100
PARAPRINT,2016-08-03,0.9,0.9,0.9,0.9,10
PARAPRINT,2016-08-04,0.95,0.95,0.95,0.95,100
PARAPRINT,2016-08-05,1.0,1.0,1.0,1.0,20
PARAPRINT,2016-08-08,1.05,1.05,1.05,1.05,3600
PARAPRINT,2016-08-09,1.0,1.1,1.0,1.05,4540
PARAPRINT,2016-08-10,1.0,1.1,1.0,1.1,6900
PARAPRINT,2016-08-11,1.05,1.05,1.05,1.05,3000
PARAPRINT,2016-08-16,1.05,1.05,1.05,1.05,20
PARAPRINT,2016-08-24,1.0,1.0,1.0,1.0,20000
PARAPRINT,2016-08-31,1.0,1.0,1.0,1.0,50
PARAPRINT,2016-09-14,1.0,1.0,1.0,1.0,100
PARAPRINT,2016-09-19,1.0,1.0,1.0,1.0,100
PARAPRINT,2016-09-21,1.0,1.0,1.0,1.0,100
PARAPRINT,2016-09-22,1.0,1.0,1.0,1.0,100
PARAPRINT,2016-09-23,1.0,1.0,1.0,1.0,100
PARAPRINT,2016-09-26,0.95,0.95,0.95,0.95,50
PARAPRINT,2016-09-27,0.95,0.95,0.95,0.95,100
PARAPRINT,2016-09-30,0.9,0.9,0.9,0.9,1117
