symbol,date,open,high,low,close,volume
PARIN,2023-01-24,110.5,110.5,110.5,110.5,2001
PARIN,2023-03-28,99.45,99.45,99.45,99.45,18001
PARIN,2023-04-24,94.5,94.5,94.5,94.5,4001
PARIN,2023-04-27,89.8,90.1,89.8,89.8,68001
PARIN,2023-04-28,88.95,88.95,85.35,85.4,28001
PARIN,2023-05-02,81.15,81.15,81.15,81.15,28001
PARIN,2023-05-03,77.1,77.1,77.1,77.1,26001
PARIN,2023-05-04,73.25,73.25,73.25,73.25,12001
PARIN,2023-05-05,76.9,76.9,76.9,76.9,6001
PARIN,2023-05-08,80.7,80.7,80.7,80.7,4001
PARIN,2023-05-09,84.7,84.7,84.7,84.7,2001
PARIN,2023-05-10,88.9,88.9,88.9,88.9,2001
PARIN,2023-05-11,92.0,93.3,89.0,92.45,36001
PARIN,2023-05-12,93.5,94.45,93.5,94.45,6001
PARIN,2023-05-15,89.3,89.3,89.25,89.25,4001
PARIN,2023-05-16,89.25,89.25,89.25,89.25,2001
PARIN,2023-05-18,89.0,89.0,89.0,89.0,2001
PARIN,2023-05-19,93.45,93.45,93.45,93.45,2001
PARIN,2023-05-23,89.0,89.0,89.0,89.0,2001
PARIN,2023-05-24,89.0,89.0,89.0,89.0,2001
PARIN,2023-05-30,86.0,86.0,86.0,86.0,2001
PARIN,2023-06-01,85.1,85.1,81.75,81.75,4001
PARIN,2023-06-06,78.95,78.95,78.95,78.95,2001
PARIN,2023-06-07,75.0,75.0,75.0,75.0,24001
PARIN,2023-06-08,71.25,71.25,71.25,71.25,14001
PARIN,2023-06-09,67.7,67.7,67.7,67.7,10001
PARIN,2023-06-12,71.05,71.05,71.05,71.05,2001
PARIN,2023-06-15,71.5,71.5,71.5,71.5,2001
PARIN,2023-06-16,75.05,75.05,75.05,75.05,2001
PARIN,2023-06-19,78.0,78.0,77.0,77.0,40001
PARIN,2023-06-20,78.0,78.0,78.0,78.0,40001
PARIN,2023-06-22,80.0,80.0,78.0,78.0,20001
PARIN,2023-06-28,76.0,76.0,76.0,76.0,2001
PARIN,2023-06-30,77.5,77.5,77.5,77.5,2001
PARIN,2023-07-04,78.0,78.0,78.0,78.0,2001
PARIN,2023-07-05,80.5,80.55,80.5,80.55,6001
PARIN,2023-07-07,80.55,80.55,80.55,80.55,2001
PARIN,2023-07-10,84.55,84.55,84.55,84.55,2001
PARIN,2023-07-18,80.35,80.35,80.35,80.35,2001
PARIN,2023-07-19,76.35,76.35,76.35,76.35,2001
PARIN,2023-08-03,72.55,72.55,72.55,72.55,2001
PARIN,2023-08-16,75.5,75.5,75.5,75.5,46001
PARIN,2023-08-17,75.5,75.5,75.5,75.5,44001
PARIN,2023-08-18,75.5,75.5,75.5,75.5,30001
PARIN,2023-08-28,75.45,75.45,75.45,75.45,2001
PARIN,2023-08-29,72.45,72.45,72.45,72.45,2001
PARIN,2023-08-31,76.05,76.05,76.05,76.05,4001
PARIN,2023-09-01,74.0,74.0,72.5,72.5,6002
PARIN,2023-09-05,72.5,72.5,72.5,72.5,2001
PARIN,2023-09-27,71.0,71.0,71.0,71.0,2001
PARIN,2023-10-04,71.0,71.0,71.0,71.0,2001
PARIN,2023-10-10,70.5,70.5,68.0,68.0,4001
PARIN,2023-10-12,68.0,68.0,68.0,68.0,4001
PARIN,2023-10-13,68.0,68.0,68.0,68.0,2001
