symbol,date,open,high,low,close,volume
PDUMJEIND,2016-01-01,19.85,20.7,19.85,20.7,123
PDUMJEIND,2016-01-04,18.95,21.8,18.95,20.65,1384
PDUMJEIND,2016-01-05,20.95,20.95,20.1,20.25,2763
PDUMJEIND,2016-01-06,19.85,21.4,19.85,21.3,2443
PDUMJEIND,2016-01-07,21.5,21.5,19.55,19.55,7675
PDUMJEIND,2016-01-08,19.1,19.1,19.1,19.1,185
PDUMJEIND,2016-01-11,20.0,21.0,19.5,21.0,8144
PDUMJEIND,2016-01-12,22.9,23.1,22.9,23.1,2439
PDUMJEIND,2016-01-13,25.3,25.4,20.8,22.6,30724
PDUMJEIND,2016-01-14,21.45,24.15,21.45,23.95,10443
PDUMJEIND,2016-01-15,23.9,23.9,21.6,21.6,6111
PDUMJEIND,2016-01-18,19.45,22.5,19.45,21.0,4974
PDUMJEIND,2016-01-19,22.6,22.6,19.65,20.1,5096
PDUMJEIND,2016-01-20,20.45,20.5,18.65,19.75,3959
PDUMJEIND,2016-01-21,19.95,21.7,19.75,21.2,4514
PDUMJEIND,2016-01-22,20.55,22.3,20.55,21.75,7196
PDUMJEIND,2016-01-25,23.5,23.5,21.0,21.0,3372
PDUMJEIND,2016-01-27,19.15,22.55,19.15,21.25,6713
PDUMJEIND,2016-01-28,19.35,21.3,19.35,20.0,4056
PDUMJEIND,2016-01-29,20.35,20.55,19.85,20.5,968
PDUMJEIND,2016-02-01,21.5,21.5,19.95,21.1,585
PDUMJEIND,2016-02-02,21.2,21.5,19.8,20.0,4222
PDUMJEIND,2016-02-03,19.75,19.75,19.75,19.75,100
PDUMJEIND,2016-02-04,19.5,19.5,17.8,18.0,22775
PDUMJEIND,2016-02-05,18.0,18.0,17.55,18.0,6674
PDUMJEIND,2016-02-08,18.0,19.65,16.2,19.65,14204
PDUMJEIND,2016-02-09,18.2,18.2,17.5,17.95,10251
PDUMJEIND,2016-02-10,16.3,17.7,15.4,15.5,16039
PDUMJEIND,2016-02-11,14.9,14.9,14.9,14.9,400
PDUMJEIND,2016-02-12,15.35,15.35,14.6,14.6,4001
PDUMJEIND,2016-02-15,13.9,13.9,13.9,13.9,505
PDUMJEIND,2016-02-16,13.25,13.25,13.25,13.25,1
PDUMJEIND,2016-02-17,12.6,12.6,12.6,12.6,500
PDUMJEIND,2016-02-19,12.0,12.0,12.0,12.0,51
PDUMJEIND,2016-02-22,11.4,12.6,11.4,11.4,219
PDUMJEIND,2016-02-26,9.35,13.0,9.35,10.0,12418
PDUMJEIND,2016-02-29,10.0,10.5,9.6,9.8,2645
PDUMJEIND,2016-03-01,9.8,10.45,9.45,10.45,1012
PDUMJEIND,2016-03-02,10.4,10.45,10.0,10.35,2893
PDUMJEIND,2016-03-03,10.35,12.4,10.35,12.3,21177
PDUMJEIND,2016-03-04,11.0,12.4,11.0,11.45,3751
PDUMJEIND,2016-03-08,11.4,12.8,11.4,11.75,2801
PDUMJEIND,2016-03-09,11.0,14.0,11.0,13.05,3794
PDUMJEIND,2016-03-10,14.45,15.25,12.45,14.7,8247
PDUMJEIND,2016-03-11,14.6,15.65,14.6,14.95,2362
PDUMJEIND,2016-03-14,16.3,16.3,14.15,14.8,12565
PDUMJEIND,2016-03-15,14.8,14.8,14.0,14.25,2565
PDUMJEIND,2016-03-16,14.0,14.8,13.9,13.9,1202
PDUMJEIND,2016-03-17,14.85,14.85,12.55,12.95,6680
PDUMJEIND,2016-03-18,13.0,13.3,13.0,13.0,617
PDUMJEIND,2016-03-21,12.0,12.2,12.0,12.2,111
PDUMJEIND,2016-03-22,12.25,13.3,12.25,13.3,51
PDUMJEIND,2016-03-23,12.1,13.35,12.1,12.85,4361
PDUMJEIND,2016-03-28,12.85,12.95,11.75,11.75,3422
PDUMJEIND,2016-03-29,11.0,11.85,10.9,11.8,2308
PDUMJEIND,2016-03-30,11.2,11.65,10.65,10.65,4241
PDUMJEIND,2016-03-31,11.1,11.1,10.15,10.15,2382
PDUMJEIND,2016-04-01,10.15,10.6,9.7,10.0,1110
PDUMJEIND,2016-04-04,9.8,10.45,9.6,10.45,552
PDUMJEIND,2016-04-05,10.45,10.6,9.8,9.8,2206
PDUMJEIND,2016-04-06,10.05,10.05,10.05,10.05,1678
PDUMJEIND,2016-04-07,10.55,10.55,9.55,9.9,8327
PDUMJEIND,2016-04-08,9.9,10.2,9.6,9.6,4425
PDUMJEIND,2016-04-11,9.2,9.65,9.15,9.15,5693
PDUMJEIND,2016-04-12,9.3,9.6,9.25,9.25,6313
PDUMJEIND,2016-04-13,9.0,9.7,9.0,9.4,9340
PDUMJEIND,2016-04-18,9.35,10.1,9.35,10.0,2940
PDUMJEIND,2016-04-20,10.45,10.5,9.8,10.5,2411
PDUMJEIND,2016-04-21,10.5,10.5,10.0,10.0,2091
PDUMJEIND,2016-04-22,10.4,10.4,9.85,9.85,1104
PDUMJEIND,2016-04-25,9.8,9.8,9.6,9.65,3569
PDUMJEIND,2016-04-26,9.85,9.85,9.25,9.6,4673
PDUMJEIND,2016-04-27,10.05,10.05,10.05,10.05,4369
PDUMJEIND,2016-04-28,9.7,10.4,9.7,10.4,1855
PDUMJEIND,2016-04-29,10.8,10.8,9.85,9.85,4205
PDUMJEIND,2016-05-02,9.85,10.05,9.5,10.05,3724
PDUMJEIND,2016-05-03,10.0,10.0,9.55,9.95,4545
PDUMJEIND,2016-05-04,9.95,9.95,9.55,9.9,5255
PDUMJEIND,2016-05-05,10.35,10.35,10.2,10.35,999
PDUMJEIND,2016-05-06,10.6,10.65,9.6,10.35,1352
PDUMJEIND,2016-05-09,10.0,10.0,10.0,10.0,16
PDUMJEIND,2016-05-10,10.3,10.3,10.25,10.25,3
PDUMJEIND,2016-05-11,10.0,10.2,10.0,10.2,506
PDUMJEIND,2016-05-12,10.15,10.15,9.65,10.0,1440
PDUMJEIND,2016-05-13,9.4,10.35,9.4,10.25,146
PDUMJEIND,2016-05-16,10.45,10.45,9.5,9.95,1810
PDUMJEIND,2016-05-17,9.95,9.95,9.05,9.7,11215
PDUMJEIND,2016-05-18,9.15,9.9,9.15,9.75,3314
PDUMJEIND,2016-05-19,9.35,9.8,9.35,9.8,859
PDUMJEIND,2016-05-20,9.25,10.4,9.25,10.4,5955
PDUMJEIND,2016-05-23,10.85,10.85,9.5,9.85,11962
PDUMJEIND,2016-05-24,10.7,10.7,9.2,9.65,16551
PDUMJEIND,2016-05-25,10.4,10.4,10.3,10.3,4
PDUMJEIND,2016-05-26,9.8,10.3,9.55,10.3,71
PDUMJEIND,2016-05-27,10.1,10.1,10.1,10.1,99
PDUMJEIND,2016-05-30,9.4,10.35,9.4,10.35,5
PDUMJEIND,2016-05-31,9.4,9.95,9.4,9.9,3901
