symbol,date,open,high,low,close,volume
PILITA,2013-11-27,0.84,0.84,0.84,0.84,12360
PILITA,2013-11-28,0.81,0.85,0.81,0.85,38904
PILITA,2013-11-29,0.89,0.89,0.89,0.89,10000
PILITA,2013-12-02,0.89,0.93,0.89,0.93,24000
PILITA,2013-12-03,0.93,0.93,0.93,0.93,16000
PILITA,2013-12-04,0.93,0.96,0.93,0.96,20000
PILITA,2013-12-05,0.96,1.0,0.95,1.0,22000
PILITA,2013-12-06,1.05,1.05,1.0,1.0,16000
PILITA,2013-12-09,0.95,1.02,0.95,1.02,9400
PILITA,2013-12-10,1.08,1.08,1.08,1.08,15000
PILITA,2013-12-11,1.02,1.02,1.02,1.02,19000
PILITA,2013-12-12,1.02,1.02,0.98,0.98,19000
PILITA,2013-12-16,1.01,1.01,1.01,1.01,20000
PILITA,2013-12-17,1.06,1.06,1.06,1.06,23340
PILITA,2013-12-18,1.11,1.11,1.11,1.11,23300
PILITA,2013-12-19,1.1,1.1,1.1,1.1,23300
PILITA,2013-12-20,1.06,1.06,1.06,1.06,20040
PILITA,2013-12-23,1.1,1.1,1.1,1.1,20040
PILITA,2013-12-24,1.08,1.11,1.08,1.08,34220
PILITA,2013-12-26,1.1,1.1,1.08,1.08,36000
PILITA,2013-12-27,1.13,1.13,1.08,1.08,32560
PILITA,2013-12-30,1.09,1.09,1.09,1.09,32360
PILITA,2013-12-31,1.08,1.09,1.08,1.09,32360
PILITA,2014-01-01,1.08,1.11,1.08,1.11,32360
PILITA,2014-01-02,1.11,1.11,1.11,1.11,32360
PILITA,2014-01-03,1.11,1.13,1.11,1.13,32364
PILITA,2014-01-06,1.13,1.14,1.11,1.14,32400
PILITA,2014-01-07,1.13,1.14,1.13,1.14,32400
PILITA,2014-01-08,1.14,1.14,1.14,1.14,32400
PILITA,2014-01-09,1.11,1.11,1.11,1.11,33200
PILITA,2014-01-10,1.08,1.08,1.08,1.08,33200
PILITA,2014-01-13,1.08,1.1,1.08,1.08,39240
PILITA,2014-01-14,1.13,1.13,1.06,1.09,16032
PILITA,2014-01-15,1.08,1.14,1.08,1.13,38344
PILITA,2014-01-16,1.13,1.15,1.11,1.14,42280
PILITA,2014-01-17,1.1,1.13,1.09,1.13,60400
PILITA,2014-01-20,1.15,1.16,1.09,1.09,47168
PILITA,2014-01-21,1.11,1.13,1.06,1.09,54216
PILITA,2014-01-22,1.11,1.13,1.09,1.13,51796
PILITA,2014-01-23,1.13,1.16,1.11,1.15,39316
PILITA,2014-01-24,1.16,1.19,1.11,1.13,70320
PILITA,2014-01-27,1.15,1.17,1.14,1.14,39272
PILITA,2014-01-28,1.15,1.16,1.15,1.16,36436
PILITA,2014-01-29,1.2,1.21,1.2,1.21,21400
PILITA,2014-01-30,1.2,1.23,1.2,1.23,40916
PILITA,2014-01-31,1.26,1.27,1.24,1.26,42944
PILITA,2014-02-03,1.33,1.33,1.31,1.31,38708
PILITA,2014-02-04,1.35,1.36,1.29,1.34,52604
PILITA,2014-02-05,1.35,1.4,1.34,1.4,68120
PILITA,2014-02-06,1.45,1.45,1.44,1.44,8480
PILITA,2014-02-07,1.5,1.5,1.5,1.5,19000
PILITA,2014-02-10,1.58,1.58,1.48,1.48,20004
PILITA,2014-02-11,1.48,1.54,1.48,1.54,12040
PILITA,2014-02-12,1.54,1.58,1.51,1.51,22640
PILITA,2014-02-13,1.52,1.52,1.48,1.49,23640
PILITA,2014-02-14,1.5,1.52,1.48,1.52,18400
PILITA,2014-02-17,1.5,1.51,1.5,1.51,50900
PILITA,2014-02-18,1.5,1.51,1.5,1.5,28484
PILITA,2014-02-19,1.55,1.55,1.5,1.51,25800
PILITA,2014-02-20,1.5,1.51,1.5,1.5,31064
PILITA,2014-02-21,1.5,1.5,1.5,1.5,2004
PILITA,2014-02-24,1.5,1.5,1.49,1.49,11604
PILITA,2014-02-25,1.5,1.51,1.45,1.48,29116
PILITA,2014-02-26,1.5,1.51,1.49,1.51,18956
PILITA,2014-02-28,1.5,1.51,1.48,1.5,39368
PILITA,2014-03-03,1.5,1.52,1.49,1.49,19464
PILITA,2014-03-04,1.48,1.51,1.48,1.49,28532
PILITA,2014-03-05,1.5,1.5,1.45,1.49,39140
PILITA,2014-03-06,1.5,1.51,1.44,1.5,36572
PILITA,2014-03-07,1.5,1.5,1.48,1.5,23880
PILITA,2014-03-10,1.5,1.5,1.48,1.49,29196
PILITA,2014-03-11,1.5,1.5,1.42,1.49,40568
PILITA,2014-03-12,1.49,1.5,1.48,1.49,35724
PILITA,2014-03-13,1.5,1.5,1.46,1.49,22240
PILITA,2014-03-14,1.49,1.5,1.45,1.5,19556
PILITA,2014-03-18,1.5,1.5,1.45,1.46,32300
PILITA,2014-03-19,1.48,1.49,1.42,1.48,27280
PILITA,2014-03-20,1.49,1.49,1.46,1.46,17680
PILITA,2014-03-21,1.5,1.5,1.41,1.46,22568
PILITA,2014-03-22,1.46,1.46,1.46,1.46,2220
PILITA,2014-03-24,1.48,1.48,1.42,1.42,25004
PILITA,2014-03-25,1.44,1.44,1.39,1.39,29308
PILITA,2014-03-26,1.4,1.4,1.35,1.36,40648
PILITA,2014-03-27,1.36,1.38,1.35,1.35,28780
PILITA,2014-03-28,1.36,1.39,1.35,1.35,26608
PILITA,2014-03-31,1.34,1.36,1.33,1.35,11884
PILITA,2014-04-01,1.36,1.36,1.29,1.3,29456
PILITA,2014-04-02,1.3,1.3,1.29,1.29,2720
PILITA,2014-04-03,1.3,1.31,1.29,1.3,15200
PILITA,2014-04-04,1.25,1.25,1.25,1.25,10440
PILITA,2014-04-09,1.25,1.25,1.25,1.25,2800
PILITA,2014-04-10,1.31,1.31,1.25,1.26,16400
PILITA,2014-04-11,1.26,1.33,1.26,1.33,6800
PILITA,2014-04-15,1.29,1.33,1.29,1.33,6416
PILITA,2014-04-17,1.27,1.39,1.27,1.31,3376
PILITA,2014-04-21,1.33,1.33,1.33,1.33,12200
PILITA,2014-04-22,1.31,1.38,1.31,1.36,6780
PILITA,2014-04-23,1.38,1.4,1.38,1.4,1040
PILITA,2014-04-25,1.38,1.38,1.35,1.35,2000
PILITA,2014-04-28,1.36,1.39,1.35,1.39,25780
PILITA,2014-04-30,1.36,1.36,1.36,1.36,8000
PILITA,2014-05-02,1.4,1.4,1.4,1.4,3280
PILITA,2014-05-05,1.36,1.36,1.34,1.36,8000
PILITA,2014-05-06,1.33,1.33,1.33,1.33,5320
PILITA,2014-05-07,1.33,1.33,1.33,1.33,2000
PILITA,2014-05-09,1.29,1.3,1.29,1.3,2400
PILITA,2014-05-12,1.3,1.35,1.3,1.34,7360
PILITA,2014-05-13,1.33,1.33,1.3,1.3,2400
PILITA,2014-05-14,1.3,1.3,1.26,1.26,5680
PILITA,2014-05-15,1.26,1.3,1.26,1.26,6340
PILITA,2014-05-16,1.27,1.27,1.2,1.2,42584
PILITA,2014-05-19,1.24,1.24,1.23,1.23,5000
PILITA,2014-05-20,1.21,1.21,1.21,1.21,400
PILITA,2014-05-21,1.25,1.26,1.25,1.26,6260
PILITA,2014-05-22,1.27,1.31,1.27,1.31,3400
PILITA,2014-05-23,1.35,1.35,1.35,1.35,948
PILITA,2014-05-26,1.41,1.41,1.41,1.41,400
PILITA,2014-05-27,1.46,1.46,1.4,1.44,20804
PILITA,2014-05-28,1.39,1.5,1.39,1.5,6060
PILITA,2014-05-29,1.5,1.5,1.5,1.5,1200
PILITA,2014-05-30,1.48,1.48,1.46,1.46,6000
PILITA,2014-06-02,1.5,1.5,1.45,1.46,21400
PILITA,2014-06-03,1.48,1.5,1.48,1.49,6296
PILITA,2014-06-04,1.49,1.55,1.49,1.55,4800
PILITA,2014-06-05,1.5,1.63,1.5,1.63,15480
PILITA,2014-06-06,1.66,1.7,1.66,1.7,8404
PILITA,2014-06-09,1.7,1.77,1.7,1.76,35372
PILITA,2014-06-10,1.77,1.85,1.75,1.81,47940
PILITA,2014-06-11,1.79,1.9,1.79,1.9,16400
PILITA,2014-06-12,1.85,1.99,1.85,1.99,16912
PILITA,2014-06-13,1.99,2.08,1.9,1.9,46040
PILITA,2014-06-16,1.88,1.98,1.81,1.83,64000
PILITA,2014-06-17,1.85,1.91,1.85,1.88,10876
PILITA,2014-06-18,1.88,1.92,1.85,1.92,12800
PILITA,2014-06-19,1.91,1.91,1.89,1.89,9080
PILITA,2014-06-20,1.91,1.96,1.88,1.96,9440
PILITA,2014-06-23,1.92,1.92,1.9,1.91,16220
PILITA,2014-06-24,1.86,1.9,1.86,1.9,3204
PILITA,2014-06-25,1.89,1.92,1.89,1.92,14080
PILITA,2014-06-26,1.98,1.98,1.88,1.88,6240
PILITA,2014-06-27,1.88,1.94,1.88,1.94,17600
PILITA,2014-06-30,1.88,1.9,1.88,1.88,16520
PILITA,2014-07-01,1.92,1.96,1.85,1.96,52768
PILITA,2014-07-02,1.94,2.05,1.94,2.05,52168
PILITA,2014-07-03,2.01,2.06,2.0,2.04,8608
PILITA,2014-07-04,2.0,2.08,2.0,2.03,2896
PILITA,2014-07-07,2.05,2.05,2.0,2.05,11980
PILITA,2014-07-08,2.05,2.11,1.95,1.98,21764
PILITA,2014-07-09,1.96,2.03,1.91,2.03,6828
PILITA,2014-07-10,2.0,2.1,1.92,2.05,14304
PILITA,2014-07-11,2.0,2.04,1.95,1.96,4608
PILITA,2014-07-14,1.92,1.92,1.88,1.92,3116
PILITA,2014-07-15,1.89,1.91,1.84,1.9,6560
PILITA,2014-07-16,1.86,1.94,1.81,1.91,47096
PILITA,2014-07-17,1.94,1.96,1.94,1.96,78688
PILITA,2014-07-18,2.03,2.04,1.94,2.03,94352
PILITA,2014-07-21,2.06,2.09,2.05,2.08,11220
PILITA,2014-07-22,2.09,2.15,2.05,2.13,27744
PILITA,2014-07-23,2.17,2.21,2.14,2.2,58180
PILITA,2014-07-24,2.24,2.3,2.16,2.24,22908
PILITA,2014-07-25,2.19,2.26,2.19,2.25,9576
PILITA,2014-07-28,2.24,2.26,2.16,2.17,10772
PILITA,2014-07-30,2.2,2.25,2.15,2.25,4888
PILITA,2014-07-31,2.25,2.25,2.17,2.22,10136
PILITA,2014-08-01,2.28,2.28,2.15,2.19,13800
PILITA,2014-08-04,2.25,2.25,2.17,2.22,5700
PILITA,2014-08-05,2.17,2.17,2.15,2.15,2000
PILITA,2014-08-06,2.2,2.25,2.15,2.15,11740
PILITA,2014-08-07,2.19,2.19,2.16,2.16,6800
PILITA,2014-08-08,2.17,2.26,2.06,2.14,24568
PILITA,2014-08-11,2.19,2.24,2.17,2.19,2816
PILITA,2014-08-12,2.17,2.22,2.15,2.17,7604
PILITA,2014-08-13,2.21,2.21,2.08,2.11,30324
PILITA,2014-08-14,2.11,2.19,2.08,2.14,39840
PILITA,2014-08-18,2.19,2.19,2.1,2.19,1520
PILITA,2014-08-19,2.2,2.2,2.13,2.15,18260
PILITA,2014-08-20,2.11,2.19,2.1,2.15,12772
PILITA,2014-08-21,2.19,2.25,2.14,2.17,24592
PILITA,2014-08-22,2.21,2.22,2.16,2.22,10976
PILITA,2014-08-25,2.22,2.26,2.16,2.25,89276
PILITA,2014-08-26,2.29,2.36,2.29,2.35,120904
PILITA,2014-08-27,2.4,2.46,2.4,2.45,263040
PILITA,2014-08-28,2.54,2.54,2.44,2.5,86744
PILITA,2014-09-01,2.51,2.63,2.51,2.6,172180
PILITA,2014-09-02,2.65,2.67,2.54,2.65,80040
PILITA,2014-09-03,2.72,2.75,2.65,2.71,380084
PILITA,2014-09-04,2.69,2.84,2.67,2.78,214328
PILITA,2014-09-05,2.86,2.86,2.78,2.81,75148
PILITA,2014-09-08,2.83,2.95,2.83,2.94,339220
PILITA,2014-09-09,2.97,3.03,2.95,2.99,130804
