symbol,date,open,high,low,close,volume
PNEUMATIC,2016-01-04,624.5,624.5,586.0,621.0,237
PNEUMATIC,2016-01-05,600.0,690.0,600.0,690.0,1010
PNEUMATIC,2016-01-06,824.0,824.0,680.0,682.0,741
PNEUMATIC,2016-01-07,682.0,700.0,671.15,677.1,11
PNEUMATIC,2016-01-08,676.05,690.0,671.05,671.15,537
PNEUMATIC,2016-01-11,712.0,712.0,670.0,677.0,150
PNEUMATIC,2016-01-12,650.0,793.7,650.0,780.0,1358
PNEUMATIC,2016-01-13,789.0,789.0,750.15,759.0,101
PNEUMATIC,2016-01-14,710.0,715.05,710.0,715.05,36
PNEUMATIC,2016-01-15,750.0,750.0,675.0,689.95,104
PNEUMATIC,2016-01-18,672.0,699.0,670.0,699.0,245
PNEUMATIC,2016-01-19,672.1,740.0,670.0,740.0,148
PNEUMATIC,2016-01-20,671.0,739.0,670.0,671.4,164
PNEUMATIC,2016-01-21,735.0,750.0,735.0,750.0,3
PNEUMATIC,2016-01-22,673.05,729.95,673.05,680.1,14
PNEUMATIC,2016-01-25,779.0,779.0,674.25,680.15,21
PNEUMATIC,2016-01-27,729.0,831.0,722.0,831.0,611
PNEUMATIC,2016-01-28,850.0,850.0,810.0,810.0,352
PNEUMATIC,2016-01-29,800.0,800.0,757.0,779.9,30
PNEUMATIC,2016-02-01,744.0,780.0,741.6,742.0,209
PNEUMATIC,2016-02-02,742.0,742.0,715.5,730.0,63
PNEUMATIC,2016-02-03,755.0,789.9,755.0,789.9,12
PNEUMATIC,2016-02-04,797.35,797.35,681.05,700.0,38
PNEUMATIC,2016-02-05,760.0,760.0,670.0,681.3,129
PNEUMATIC,2016-02-08,728.5,728.5,670.0,670.05,113
PNEUMATIC,2016-02-09,700.0,700.0,675.0,675.0,26
PNEUMATIC,2016-02-10,705.0,739.95,675.0,739.95,78
PNEUMATIC,2016-02-11,670.0,740.0,670.0,697.0,559
PNEUMATIC,2016-02-12,670.0,700.0,670.0,670.0,559
PNEUMATIC,2016-02-15,740.0,740.0,700.0,714.9,675
PNEUMATIC,2016-02-16,710.0,714.0,710.0,714.0,2
PNEUMATIC,2016-02-17,692.6,692.6,680.0,685.0,306
PNEUMATIC,2016-02-18,678.0,685.0,670.0,670.0,273
PNEUMATIC,2016-02-19,670.0,712.0,670.0,690.0,677
PNEUMATIC,2016-02-22,699.9,725.0,663.6,725.0,308
PNEUMATIC,2016-02-23,700.0,700.0,700.0,700.0,40
PNEUMATIC,2016-02-24,700.0,720.0,655.85,720.0,102
PNEUMATIC,2016-02-25,722.85,722.85,661.0,662.1,23
PNEUMATIC,2016-02-26,652.9,690.0,652.9,690.0,115
PNEUMATIC,2016-02-29,662.0,665.0,662.0,664.05,3
PNEUMATIC,2016-03-01,660.0,660.05,620.0,635.0,821
PNEUMATIC,2016-03-02,650.0,650.1,620.0,620.0,778
PNEUMATIC,2016-03-03,644.5,644.5,619.95,643.0,10
PNEUMATIC,2016-03-04,639.75,639.75,602.05,602.05,86
PNEUMATIC,2016-03-08,605.0,612.1,605.0,612.1,62
PNEUMATIC,2016-03-09,581.0,620.0,581.0,620.0,14
PNEUMATIC,2016-03-10,615.0,615.0,600.1,600.1,61
PNEUMATIC,2016-03-11,622.0,637.95,600.0,600.0,292
PNEUMATIC,2016-03-14,600.0,600.0,591.0,591.0,32
PNEUMATIC,2016-03-15,585.0,585.0,562.0,562.1,308
PNEUMATIC,2016-03-16,550.0,574.4,550.0,572.0,12
PNEUMATIC,2016-03-17,560.05,560.05,551.0,554.0,9
PNEUMATIC,2016-03-18,595.0,595.0,570.0,570.0,72
PNEUMATIC,2016-03-21,544.05,544.05,544.05,544.05,1
PNEUMATIC,2016-03-22,580.0,623.9,580.0,600.05,443
PNEUMATIC,2016-03-23,620.0,626.0,600.0,626.0,159
PNEUMATIC,2016-03-28,591.0,594.55,590.0,594.0,49
PNEUMATIC,2016-03-31,600.0,605.0,600.0,605.0,117
PNEUMATIC,2016-04-01,610.0,610.0,586.0,586.0,42
PNEUMATIC,2016-04-04,609.8,609.8,590.1,590.2,5
PNEUMATIC,2016-04-05,590.0,590.0,590.0,590.0,40
PNEUMATIC,2016-04-06,590.0,593.75,590.0,593.75,240
PNEUMATIC,2016-04-07,595.05,622.0,595.05,622.0,122
PNEUMATIC,2016-04-12,601.0,601.0,601.0,601.0,80
PNEUMATIC,2016-04-13,610.1,638.0,610.1,638.0,47
PNEUMATIC,2016-04-18,615.1,699.0,615.1,699.0,393
PNEUMATIC,2016-04-20,701.0,717.9,701.0,717.9,209
PNEUMATIC,2016-04-21,710.0,710.0,700.0,700.0,31
PNEUMATIC,2016-04-22,728.95,777.0,728.95,759.9,273
PNEUMATIC,2016-04-25,720.0,720.0,720.0,720.0,16
PNEUMATIC,2016-04-26,700.15,725.0,700.15,725.0,201
PNEUMATIC,2016-04-27,725.0,725.0,725.0,725.0,5
PNEUMATIC,2016-04-28,800.0,819.95,785.0,799.95,983
PNEUMATIC,2016-04-29,770.05,771.0,770.0,770.0,86
PNEUMATIC,2016-05-02,751.0,789.0,751.0,789.0,502
PNEUMATIC,2016-05-03,719.0,750.0,719.0,729.0,5
PNEUMATIC,2016-05-04,729.0,729.0,702.05,704.65,8
PNEUMATIC,2016-05-05,724.25,724.25,701.0,701.0,156
PNEUMATIC,2016-05-06,662.0,701.0,662.0,701.0,102
PNEUMATIC,2016-05-09,677.6,677.6,677.6,677.6,1
PNEUMATIC,2016-05-10,700.0,700.0,677.6,677.6,187
PNEUMATIC,2016-05-11,628.5,685.0,628.5,670.0,2407
PNEUMATIC,2016-05-12,688.0,688.0,680.0,680.0,6
PNEUMATIC,2016-05-13,659.0,699.9,659.0,699.9,10
PNEUMATIC,2016-05-16,681.05,690.0,681.0,690.0,33
PNEUMATIC,2016-05-17,690.0,719.0,681.0,685.0,155
PNEUMATIC,2016-05-18,680.1,690.05,680.05,690.0,20
PNEUMATIC,2016-05-19,675.0,701.0,675.0,701.0,133
PNEUMATIC,2016-05-23,799.95,799.95,710.0,711.0,164
PNEUMATIC,2016-05-24,765.0,770.0,727.0,732.05,422
PNEUMATIC,2016-05-25,720.05,769.0,720.05,730.0,1431
PNEUMATIC,2016-05-26,760.0,800.0,725.2,770.0,530
PNEUMATIC,2016-05-27,750.0,750.0,750.0,750.0,1112
PNEUMATIC,2016-05-30,753.5,778.9,731.0,760.0,326
PNEUMATIC,2016-06-01,750.0,780.0,750.0,750.0,59
PNEUMATIC,2016-06-02,760.0,760.0,760.0,760.0,1
PNEUMATIC,2016-06-03,751.0,765.0,750.05,750.05,301
PNEUMATIC,2016-06-06,675.0,755.0,675.0,750.05,318
PNEUMATIC,2016-06-07,770.0,770.0,770.0,770.0,10
PNEUMATIC,2016-06-08,750.05,790.0,750.05,790.0,170
PNEUMATIC,2016-06-09,750.05,760.0,750.0,756.0,611
PNEUMATIC,2016-06-10,760.0,761.05,760.0,760.1,24
PNEUMATIC,2016-06-13,740.0,750.0,740.0,750.0,101
PNEUMATIC,2016-06-14,750.0,770.0,750.0,770.0,106
