symbol,date,open,high,low,close,volume
POKARNA,2016-07-07,190.0,190.0,185.04,187.26,8535
POKARNA,2016-07-08,185.03,186.01,182.24,185.72,16435
POKARNA,2016-07-11,186.0,194.8,181.2,189.92,20295
POKARNA,2016-07-12,187.6,194.2,187.6,191.41,13240
POKARNA,2016-07-13,195.99,195.99,186.82,189.01,18310
POKARNA,2016-07-14,192.98,192.98,183.2,183.66,18040
POKARNA,2016-07-15,186.0,189.39,181.6,181.95,44630
POKARNA,2016-07-18,188.98,188.98,175.02,180.19,9755
POKARNA,2016-07-19,181.78,182.0,176.41,178.36,4270
POKARNA,2016-07-20,177.02,182.4,177.02,177.85,23075
POKARNA,2016-07-21,177.02,178.0,175.01,175.74,4605
POKARNA,2016-07-22,185.98,185.98,173.0,174.4,13795
POKARNA,2016-07-25,177.8,177.8,169.2,170.75,79465
POKARNA,2016-07-26,174.0,177.0,164.6,165.67,24170
POKARNA,2016-07-27,167.2,171.8,166.02,166.62,26515
POKARNA,2016-07-28,174.34,174.34,164.21,169.17,17110
POKARNA,2016-07-29,166.72,174.76,166.0,170.43,9625
POKARNA,2016-08-01,172.0,176.0,170.0,171.95,44200
POKARNA,2016-08-02,174.88,174.88,168.0,169.45,19010
POKARNA,2016-08-03,171.0,171.0,166.0,167.14,7615
POKARNA,2016-08-04,167.2,169.0,165.2,166.18,5740
POKARNA,2016-08-05,165.0,173.58,162.0,165.79,18065
POKARNA,2016-08-08,174.0,174.0,165.0,170.56,59860
POKARNA,2016-08-09,173.88,174.0,169.0,169.87,50600
POKARNA,2016-08-10,173.8,173.8,165.01,167.88,15310
POKARNA,2016-08-11,161.6,165.0,160.6,160.91,66485
POKARNA,2016-08-12,161.2,164.96,160.0,163.02,32895
POKARNA,2016-08-16,161.07,163.6,160.0,161.75,21515
POKARNA,2016-08-17,161.0,167.78,160.2,163.22,30355
POKARNA,2016-08-18,161.4,166.8,156.0,156.41,89605
POKARNA,2016-08-19,159.06,159.06,154.0,155.97,20090
POKARNA,2016-08-22,154.8,156.88,148.2,152.05,72875
POKARNA,2016-08-23,152.22,153.0,149.0,149.22,34445
POKARNA,2016-08-24,147.0,155.8,140.45,145.88,65850
POKARNA,2016-08-25,147.0,157.99,146.01,155.23,53590
POKARNA,2016-08-26,164.8,165.0,155.14,160.07,57295
POKARNA,2016-08-29,163.98,163.98,154.0,156.73,31110
POKARNA,2016-08-30,161.8,163.8,157.0,157.63,19160
POKARNA,2016-08-31,160.0,161.0,154.8,156.03,22915
POKARNA,2016-09-01,159.44,162.0,156.0,161.16,30220
POKARNA,2016-09-02,163.79,165.8,158.0,159.21,58960
POKARNA,2016-09-06,167.78,170.0,157.6,159.81,45630
POKARNA,2016-09-07,162.0,162.6,155.0,161.51,29250
POKARNA,2016-09-08,159.97,163.67,157.99,158.96,7335
POKARNA,2016-09-09,162.59,162.59,155.1,156.16,10440
POKARNA,2016-09-12,155.0,158.0,152.02,153.85,19240
POKARNA,2016-09-14,152.2,157.59,152.2,153.94,12555
POKARNA,2016-09-15,156.98,157.0,154.2,156.0,8200
POKARNA,2016-09-16,156.0,158.6,154.98,154.99,7205
POKARNA,2016-09-19,158.0,162.0,154.0,157.68,10645
POKARNA,2016-09-20,159.6,159.6,153.8,153.99,21825
POKARNA,2016-09-21,152.81,157.0,152.21,154.54,20775
POKARNA,2016-09-22,157.6,159.2,155.01,158.75,10540
POKARNA,2016-09-23,159.0,166.6,157.04,164.68,33770
POKARNA,2016-09-26,165.33,167.46,161.12,163.26,12605
POKARNA,2016-09-27,160.01,164.01,158.4,159.81,11005
POKARNA,2016-09-28,166.79,166.79,157.4,164.68,18475
POKARNA,2016-09-29,165.9,165.9,153.0,158.48,30430
POKARNA,2016-09-30,160.0,161.6,154.41,157.95,25780
POKARNA,2016-10-03,154.44,162.94,152.0,158.17,19530
POKARNA,2016-10-04,161.0,161.0,158.0,159.2,3520
POKARNA,2016-10-05,160.8,160.8,155.0,155.59,10780
POKARNA,2016-10-06,156.0,161.0,151.0,154.51,11630
POKARNA,2016-10-07,157.03,157.04,151.0,154.49,6650
POKARNA,2016-10-10,159.0,159.0,153.6,154.01,10580
POKARNA,2016-10-13,159.0,159.0,148.0,150.22,27240
POKARNA,2016-10-14,155.77,155.77,150.2,151.87,2645
POKARNA,2016-10-17,155.6,155.6,152.25,152.63,17265
POKARNA,2016-10-18,156.78,156.78,151.0,152.14,13135
POKARNA,2016-10-19,152.2,155.73,151.2,154.27,26175
POKARNA,2016-10-20,155.79,185.12,155.35,177.61,861580
POKARNA,2016-10-21,167.02,179.6,167.02,176.42,90655
POKARNA,2016-10-24,175.0,180.8,175.0,177.44,55455
POKARNA,2016-10-25,178.9,181.8,174.0,179.94,71300
POKARNA,2016-10-26,178.0,179.72,173.99,177.44,51450
POKARNA,2016-10-27,174.02,179.57,164.4,174.12,13145
POKARNA,2016-10-28,177.19,177.35,169.21,175.23,24695
POKARNA,2016-10-30,175.2,177.36,174.0,175.77,5590
POKARNA,2016-11-01,180.23,190.0,177.35,186.59,128800
