symbol,date,open,high,low,close,volume
POONAWALLA,2008-06-09,77.0,80.0,71.08,76.0,415
POONAWALLA,2008-06-10,75.0,75.0,69.03,70.73,10595
POONAWALLA,2008-06-11,73.85,73.85,68.01,68.63,970
POONAWALLA,2008-06-12,63.0,77.0,63.0,76.95,3260
POONAWALLA,2008-06-13,80.0,80.0,74.42,75.0,390
POONAWALLA,2008-06-16,78.8,78.8,75.8,76.0,2150
POONAWALLA,2008-06-17,77.39,77.39,74.4,76.94,575
POONAWALLA,2008-06-18,79.5,79.5,73.1,76.78,2295
POONAWALLA,2008-06-19,77.0,77.0,71.8,74.37,2970
POONAWALLA,2008-06-20,75.99,76.0,71.05,71.41,1065
POONAWALLA,2008-06-23,74.65,74.79,69.01,72.82,3105
POONAWALLA,2008-06-24,74.98,74.98,68.0,69.01,3365
POONAWALLA,2008-06-25,71.96,71.96,66.78,70.9,380
POONAWALLA,2008-06-26,71.8,72.0,66.99,70.09,4115
POONAWALLA,2008-06-27,73.4,73.57,68.0,70.17,3995
POONAWALLA,2008-06-30,69.98,69.98,60.61,63.04,7045
POONAWALLA,2008-07-01,57.81,65.56,57.81,63.41,1935
POONAWALLA,2008-07-02,60.6,64.0,57.2,63.24,7115
POONAWALLA,2008-07-03,58.38,62.9,56.0,58.54,1820
POONAWALLA,2008-07-04,56.0,62.78,56.0,59.37,595
POONAWALLA,2008-07-07,69.6,69.6,57.01,61.47,625
POONAWALLA,2008-07-08,62.96,62.96,58.8,61.0,80
POONAWALLA,2008-07-09,71.6,71.6,57.14,58.16,1385
POONAWALLA,2008-07-10,57.34,61.88,57.0,60.41,1330
POONAWALLA,2008-07-11,67.9,67.9,57.6,62.1,2070
POONAWALLA,2008-07-14,63.8,63.99,59.4,62.93,620
POONAWALLA,2008-07-15,66.98,66.98,58.16,62.0,100
POONAWALLA,2008-07-16,66.94,66.94,62.38,62.39,85
POONAWALLA,2008-07-17,69.0,69.0,56.2,61.0,180
POONAWALLA,2008-07-18,65.79,65.79,58.2,60.5,575
POONAWALLA,2008-07-21,64.79,64.79,60.6,62.4,60
POONAWALLA,2008-07-22,63.6,63.6,58.1,61.32,5135
POONAWALLA,2008-07-23,61.0,64.0,60.2,61.12,2020
POONAWALLA,2008-07-24,64.0,64.0,60.4,60.4,125
POONAWALLA,2008-07-25,57.6,65.38,57.6,63.0,110
POONAWALLA,2008-07-28,66.78,66.78,57.9,64.11,565
POONAWALLA,2008-07-29,61.2,63.7,57.2,63.7,1610
POONAWALLA,2008-07-30,60.8,63.8,60.8,61.34,240
POONAWALLA,2008-07-31,63.5,63.7,63.5,63.7,800
POONAWALLA,2008-08-01,64.0,65.8,63.6,63.6,730
POONAWALLA,2008-08-04,64.2,65.0,63.0,63.7,5140
POONAWALLA,2008-08-05,60.8,65.9,57.42,64.03,1750
POONAWALLA,2008-08-06,63.8,64.4,63.6,63.8,2045
POONAWALLA,2008-08-07,64.2,64.2,63.65,63.65,115
POONAWALLA,2008-08-08,64.2,64.4,63.9,64.37,735
POONAWALLA,2008-08-11,64.6,65.8,63.0,63.0,2170
POONAWALLA,2008-08-12,63.0,64.0,63.0,64.0,525
POONAWALLA,2008-08-13,64.4,66.8,62.6,64.18,315
POONAWALLA,2008-08-14,61.4,66.3,61.4,63.77,10415
POONAWALLA,2008-08-18,61.0,62.2,60.6,60.6,180
POONAWALLA,2008-08-19,59.0,62.8,58.01,58.21,1235
POONAWALLA,2008-08-20,56.42,62.98,56.42,62.54,75
POONAWALLA,2008-08-21,62.9,62.9,61.8,61.8,50
POONAWALLA,2008-08-22,59.0,63.79,59.0,62.16,50
POONAWALLA,2008-08-27,63.0,63.0,63.0,63.0,50
POONAWALLA,2008-08-28,60.0,60.0,54.0,55.18,23445
POONAWALLA,2008-08-29,58.6,58.6,54.0,55.76,1455
POONAWALLA,2008-09-01,57.38,57.38,54.0,55.1,1120
POONAWALLA,2008-09-02,55.0,56.2,52.3,55.66,740
