symbol,date,open,high,low,close,volume
PRAKASH,2008-06-09,219.5,219.5,206.1,209.05,88020
PRAKASH,2008-06-10,215.0,215.0,207.05,210.05,71805
PRAKASH,2008-06-11,213.9,217.95,211.25,213.75,47554
PRAKASH,2008-06-12,208.1,217.0,204.0,214.55,43250
PRAKASH,2008-06-13,211.0,218.0,208.0,210.3,26344
PRAKASH,2008-06-16,215.5,218.0,212.25,214.7,33580
PRAKASH,2008-06-17,214.0,226.0,210.1,220.95,50888
PRAKASH,2008-06-18,224.0,224.0,214.3,216.15,47672
PRAKASH,2008-06-19,212.1,216.8,208.85,214.4,26336
PRAKASH,2008-06-20,216.5,217.45,209.5,211.6,74995
PRAKASH,2008-06-23,208.15,211.0,187.0,190.75,95378
PRAKASH,2008-06-24,190.05,193.8,184.0,187.8,403867
PRAKASH,2008-06-25,183.05,193.0,183.05,190.25,197893
PRAKASH,2008-06-26,189.5,202.0,188.8,199.6,62472
PRAKASH,2008-06-27,188.9,198.0,186.0,193.0,50423
PRAKASH,2008-06-30,189.15,199.4,177.0,180.05,57885
PRAKASH,2008-07-01,177.55,181.0,158.0,159.4,125126
PRAKASH,2008-07-02,164.45,166.0,127.7,164.7,410120
PRAKASH,2008-07-03,162.0,170.0,145.2,146.8,106210
PRAKASH,2008-07-04,146.0,159.9,141.5,149.0,65709
PRAKASH,2008-07-07,148.7,157.85,148.1,150.4,36120
PRAKASH,2008-07-08,147.0,149.9,142.95,147.65,25579
PRAKASH,2008-07-09,152.9,156.0,151.2,153.7,33484
PRAKASH,2008-07-10,153.0,159.95,151.0,152.8,38424
PRAKASH,2008-07-11,153.0,154.25,138.05,140.65,46765
PRAKASH,2008-07-14,143.95,143.95,135.8,137.65,22496
PRAKASH,2008-07-15,138.95,138.95,125.15,125.95,37431
PRAKASH,2008-07-16,132.0,134.0,125.0,126.05,50947
PRAKASH,2008-07-17,130.9,135.0,122.5,127.15,41175
PRAKASH,2008-07-18,129.95,132.0,125.5,127.55,28534
PRAKASH,2008-07-21,128.1,128.1,123.1,125.2,43303
PRAKASH,2008-07-22,127.0,134.4,126.2,129.15,50128
PRAKASH,2008-07-23,138.7,142.0,133.2,140.5,103723
PRAKASH,2008-07-24,144.0,148.5,142.2,143.35,75905
PRAKASH,2008-07-25,136.5,142.0,136.5,138.35,28661
PRAKASH,2008-07-28,139.0,146.0,138.0,139.75,61845
PRAKASH,2008-07-29,137.95,144.0,135.2,137.6,56525
PRAKASH,2008-07-30,139.85,144.9,139.0,142.45,79637
PRAKASH,2008-07-31,146.9,151.0,140.1,145.4,116131
PRAKASH,2008-08-01,142.0,171.0,142.0,163.6,227720
PRAKASH,2008-08-04,165.2,173.95,165.2,170.7,125758
PRAKASH,2008-08-05,171.8,182.5,169.1,177.15,113718
PRAKASH,2008-08-06,184.4,187.0,161.0,162.5,108544
PRAKASH,2008-08-07,169.0,169.0,163.1,164.9,26547
PRAKASH,2008-08-08,165.0,173.0,163.0,166.25,45431
PRAKASH,2008-08-11,169.4,172.0,166.15,168.9,26247
PRAKASH,2008-08-12,170.2,171.0,162.0,163.3,22831
PRAKASH,2008-08-13,165.4,165.4,162.0,163.85,21948
PRAKASH,2008-08-14,163.1,163.45,155.6,156.35,22293
PRAKASH,2008-08-18,155.0,156.25,151.6,152.2,8451
PRAKASH,2008-08-19,149.5,152.8,147.0,149.05,19999
PRAKASH,2008-08-20,149.0,163.0,149.0,155.85,43296
PRAKASH,2008-08-21,154.2,159.0,153.0,155.25,32989
PRAKASH,2008-08-22,152.0,156.0,151.5,154.35,22255
PRAKASH,2008-08-25,156.0,163.0,154.1,160.1,85480
PRAKASH,2008-08-26,158.1,158.2,156.2,157.55,25751
PRAKASH,2008-08-27,159.0,159.0,156.15,157.0,24331
PRAKASH,2008-08-28,157.5,158.0,156.0,156.9,44213
PRAKASH,2008-08-29,157.0,168.8,157.0,164.3,58924
PRAKASH,2008-09-01,161.0,163.0,160.0,161.45,26948
PRAKASH,2008-09-02,161.55,165.0,160.5,161.7,31312
PRAKASH,2008-09-04,157.0,161.5,157.0,159.3,44228
PRAKASH,2008-09-05,153.1,162.0,153.1,159.95,29148
PRAKASH,2008-09-08,162.1,162.8,161.0,162.1,25383
