symbol,date,open,high,low,close,volume
PRATHAM,2024-04-03,117.0,124.9,111.6,113.95,224002
PRATHAM,2024-04-04,117.9,120.0,111.0,112.1,91201
PRATHAM,2024-04-05,111.05,116.9,108.65,113.6,80001
PRATHAM,2024-04-08,112.3,116.0,111.0,112.2,64001
PRATHAM,2024-04-09,112.4,112.4,108.0,108.5,67201
PRATHAM,2024-04-10,106.1,113.95,106.1,113.95,68801
PRATHAM,2024-04-12,113.9,136.25,110.0,136.25,1139201
PRATHAM,2024-04-15,158.0,163.5,150.25,163.5,942402
PRATHAM,2024-04-16,179.85,179.85,172.0,179.85,224001
PRATHAM,2024-04-18,197.8,197.8,197.0,197.8,156802
PRATHAM,2024-04-19,217.55,217.55,187.0,217.55,576002
PRATHAM,2024-04-22,228.4,228.4,228.4,228.4,65601
PRATHAM,2024-04-23,239.8,239.8,239.8,239.8,35201
PRATHAM,2024-04-24,251.75,251.75,227.85,248.9,1217601
PRATHAM,2024-04-25,255.0,255.15,236.45,236.45,328002
PRATHAM,2024-04-26,238.0,240.0,227.3,227.3,112001
PRATHAM,2024-04-29,216.6,238.65,216.6,238.65,113602
PRATHAM,2024-04-30,250.55,250.55,250.55,250.55,28801
