symbol,date,open,high,low,close,volume
PRECISION,2023-01-11,38.45,38.5,38.45,38.5,6002
PRECISION,2023-01-12,39.0,39.0,38.1,38.1,10001
PRECISION,2023-01-13,39.0,39.0,38.1,38.85,16001
PRECISION,2023-01-16,39.0,39.0,38.05,38.05,4001
PRECISION,2023-01-17,38.1,38.1,37.5,37.5,8001
PRECISION,2023-01-18,37.25,37.95,37.0,37.95,10001
PRECISION,2023-01-19,37.2,37.75,36.6,37.75,12002
PRECISION,2023-01-20,37.75,38.0,37.1,37.1,10001
PRECISION,2023-01-23,36.05,37.85,36.05,37.15,8001
PRECISION,2023-01-25,36.7,37.6,36.5,36.5,22001
PRECISION,2023-01-27,36.5,37.75,34.2,35.0,106001
PRECISION,2023-01-30,34.05,37.65,34.0,36.75,82001
PRECISION,2023-01-31,37.35,38.45,36.95,37.45,66001
PRECISION,2023-02-01,37.45,39.8,37.25,37.25,40001
PRECISION,2023-02-02,37.0,39.7,37.0,39.7,32001
PRECISION,2023-02-03,38.5,39.65,37.75,37.85,18001
PRECISION,2023-02-06,37.8,40.65,37.75,39.7,122001
PRECISION,2023-02-07,40.5,43.0,40.05,40.1,242001
PRECISION,2023-02-08,41.95,42.45,40.0,41.0,154001
PRECISION,2023-02-09,41.4,41.4,37.25,37.25,48001
PRECISION,2023-02-10,37.95,40.95,37.5,38.25,86002
PRECISION,2023-02-13,38.2,38.95,35.5,35.5,104001
PRECISION,2023-02-14,35.5,35.5,35.5,35.5,2001
PRECISION,2023-02-15,35.5,35.85,35.25,35.85,12001
PRECISION,2023-02-16,35.5,35.95,35.0,35.0,28001
PRECISION,2023-02-17,34.35,37.4,34.35,36.35,60001
PRECISION,2023-02-20,36.6,39.45,35.5,38.95,68001
PRECISION,2023-02-21,38.75,39.4,37.0,37.0,78001
PRECISION,2023-02-22,38.0,38.0,34.1,34.1,50001
PRECISION,2023-02-23,34.95,35.0,34.55,34.55,10001
PRECISION,2023-02-24,34.5,34.5,34.25,34.25,4001
