symbol,date,open,high,low,close,volume
PSL,2016-01-01,5.85,6.1,5.8,6.0,194584
PSL,2016-01-04,6.1,6.15,5.75,5.825,219728
PSL,2016-01-05,5.9,6.375,5.85,6.175,404878
PSL,2016-01-06,6.25,6.4,6.0,6.125,268050
PSL,2016-01-07,5.975,5.975,5.725,5.725,142496
PSL,2016-01-08,6.15,6.15,5.75,5.8,85132
PSL,2016-01-11,5.8,5.875,5.575,5.8,155026
PSL,2016-01-12,5.925,5.925,5.5,5.575,118680
PSL,2016-01-13,5.725,5.75,4.75,5.25,160880
PSL,2016-01-14,5.025,5.3,4.925,5.075,130132
PSL,2016-01-15,5.3,5.3,4.875,4.875,96382
PSL,2016-01-18,5.3,5.3,4.35,4.6,158546
PSL,2016-01-19,4.525,5.0,4.525,4.9,117690
PSL,2016-01-20,4.75,4.775,4.6,4.65,61224
PSL,2016-01-21,4.75,4.9,4.525,4.625,62156
PSL,2016-01-22,4.85,4.85,4.65,4.75,23558
PSL,2016-01-25,4.925,4.95,4.775,4.875,48168
PSL,2016-01-27,4.9,4.925,4.7,4.875,10810
PSL,2016-01-28,4.575,4.925,4.575,4.675,55702
PSL,2016-01-29,4.7,4.75,4.65,4.725,37094
PSL,2016-02-01,4.7,4.975,4.7,4.8,40298
PSL,2016-02-02,4.65,5.15,4.6,4.85,99066
PSL,2016-02-03,4.85,5.375,4.5,5.05,194526
PSL,2016-02-04,5.0,5.2,4.675,4.8,50768
PSL,2016-02-05,5.1,5.1,4.7,4.825,25916
PSL,2016-02-08,4.575,4.975,4.575,4.725,50362
PSL,2016-02-09,4.75,4.775,4.65,4.75,15990
PSL,2016-02-10,4.575,4.75,4.525,4.525,34990
PSL,2016-02-11,4.55,4.675,3.95,4.15,82726
PSL,2016-02-12,4.375,4.375,3.675,4.0,141814
PSL,2016-02-15,4.075,4.675,4.075,4.275,106576
PSL,2016-02-16,4.3,4.65,4.2,4.475,49370
PSL,2016-02-17,4.2,4.4,4.175,4.275,32454
PSL,2016-02-18,4.375,4.7,4.025,4.225,61682
PSL,2016-02-19,4.25,4.625,4.25,4.375,18020
PSL,2016-02-22,4.65,4.775,4.3,4.425,44666
PSL,2016-02-23,4.675,4.675,4.175,4.25,66788
PSL,2016-02-24,4.15,4.375,4.1,4.175,22462
PSL,2016-02-25,4.125,4.35,4.125,4.25,15500
PSL,2016-02-26,4.1,4.25,4.075,4.1,33474
PSL,2016-02-29,4.125,4.175,3.575,3.825,150558
PSL,2016-03-01,3.925,4.05,3.9,4.025,46320
PSL,2016-03-02,4.2,4.25,4.0,4.175,45178
PSL,2016-03-03,4.3,4.3,4.125,4.175,61692
PSL,2016-03-04,4.2,4.6,4.2,4.35,49530
PSL,2016-03-08,4.35,4.6,4.225,4.325,36620
PSL,2016-03-09,4.25,4.5,4.1,4.2,36570
PSL,2016-03-10,4.175,4.275,4.175,4.175,30646
PSL,2016-03-11,4.3,4.3,4.05,4.15,77696
PSL,2016-03-14,4.475,4.475,4.025,4.1,48496
PSL,2016-03-15,4.1,4.15,4.0,4.075,63798
PSL,2016-03-16,4.125,4.125,3.95,4.0,55808
PSL,2016-03-17,4.05,4.05,3.85,3.925,141716
PSL,2016-03-18,4.175,4.175,3.85,3.9,37740
PSL,2016-03-21,4.1,4.125,3.825,3.9,69568
PSL,2016-03-22,4.0,4.025,3.825,3.875,78038
PSL,2016-03-23,4.0,4.0,3.85,3.875,52338
PSL,2016-03-28,3.75,3.975,3.675,3.675,137046
PSL,2016-03-29,3.675,3.75,3.625,3.65,37362
PSL,2016-03-30,3.75,3.9,3.625,3.8,90544
PSL,2016-03-31,3.7,3.85,3.7,3.75,19506
PSL,2016-04-01,3.625,3.95,3.625,3.85,16384
PSL,2016-04-04,3.875,3.95,3.125,3.825,100480
PSL,2016-04-05,3.85,3.9,3.625,3.75,50032
PSL,2016-04-06,3.775,3.95,3.775,3.875,26088
PSL,2016-04-07,3.975,3.975,3.8,3.875,29752
PSL,2016-04-08,3.8,3.975,3.725,3.95,61666
PSL,2016-04-11,4.2,4.25,3.8,3.85,418030
PSL,2016-04-12,3.95,4.05,3.8,3.8,258420
PSL,2016-04-13,3.925,4.0,3.775,3.775,212606
PSL,2016-04-18,3.95,3.95,3.7,3.8,25648
PSL,2016-04-20,3.875,3.9,3.725,3.725,136620
PSL,2016-04-21,3.9,3.9,3.75,3.775,82924
