symbol,date,open,high,low,close,volume
PSUBANKADD,2024-02-15,69.8,78.0,69.47,73.0,20666
PSUBANKADD,2024-02-16,73.27,73.82,71.2,71.49,197329
PSUBANKADD,2024-02-19,73.7,73.7,70.7,70.9,39592
PSUBANKADD,2024-02-20,71.17,71.5,70.57,70.96,10195
PSUBANKADD,2024-02-21,71.32,72.19,70.88,71.84,28474
PSUBANKADD,2024-02-22,71.66,71.66,70.16,71.5,8478
PSUBANKADD,2024-02-23,71.6,72.19,70.5,70.8,15932
PSUBANKADD,2024-02-26,71.67,71.68,70.1,70.35,38935
PSUBANKADD,2024-02-27,70.4,70.5,69.21,70.39,12482
PSUBANKADD,2024-02-28,69.55,70.06,67.58,68.8,25290
PSUBANKADD,2024-02-29,69.6,69.61,67.5,69.61,7847
PSUBANKADD,2024-03-01,69.61,70.5,69.34,70.42,9639
PSUBANKADD,2024-03-02,70.44,71.34,70.13,71.08,2670
PSUBANKADD,2024-03-04,71.12,71.5,70.7,71.27,10844
PSUBANKADD,2024-03-05,71.1,73.0,70.86,71.83,64585
PSUBANKADD,2024-03-06,72.74,73.25,71.29,72.73,29532
PSUBANKADD,2024-03-07,72.79,73.64,72.78,73.2,27038
PSUBANKADD,2024-03-11,74.24,74.3,71.95,73.75,17845
PSUBANKADD,2024-03-12,72.41,73.05,70.16,71.24,34989
PSUBANKADD,2024-03-13,70.97,70.98,66.85,67.24,23837
PSUBANKADD,2024-03-14,67.01,68.36,66.38,67.77,9103
PSUBANKADD,2024-03-15,69.06,69.06,65.69,67.7,12257
PSUBANKADD,2024-03-18,68.38,70.0,66.65,70.0,7629
PSUBANKADD,2024-03-19,67.8,68.9,66.41,68.9,5665
PSUBANKADD,2024-03-20,69.25,69.7,65.43,69.0,9609
PSUBANKADD,2024-03-21,68.48,68.51,67.75,68.22,5829
PSUBANKADD,2024-03-22,68.22,70.6,67.82,70.6,4745
PSUBANKADD,2024-03-26,69.81,69.81,68.3,68.88,2312
PSUBANKADD,2024-03-27,68.97,69.19,68.2,69.0,4666
PSUBANKADD,2024-03-28,68.8,70.41,67.83,69.07,652805
PSUBANKADD,2024-04-01,69.07,70.81,69.07,70.6,30215
PSUBANKADD,2024-04-02,70.57,71.7,70.53,71.7,1237744
PSUBANKADD,2024-04-03,71.47,73.0,70.9,72.9,37511
PSUBANKADD,2024-04-04,72.64,73.62,71.99,72.25,14773
PSUBANKADD,2024-04-05,72.97,73.03,72.0,72.95,25923
PSUBANKADD,2024-04-08,72.99,73.11,71.83,72.73,19568
PSUBANKADD,2024-04-09,72.26,72.67,71.16,71.78,17753
PSUBANKADD,2024-04-10,71.66,72.99,71.46,72.6,10668
PSUBANKADD,2024-04-12,72.49,72.91,71.8,72.6,12721
PSUBANKADD,2024-04-15,73.46,73.46,68.98,70.46,13489
PSUBANKADD,2024-04-16,70.46,70.98,69.21,70.98,12696
PSUBANKADD,2024-04-18,70.1,70.66,69.18,70.26,4034
PSUBANKADD,2024-04-19,69.67,70.0,67.8,70.0,26300
PSUBANKADD,2024-04-22,69.36,71.6,69.36,71.6,7566
PSUBANKADD,2024-04-23,71.3,71.84,71.05,71.36,10247
PSUBANKADD,2024-04-24,71.35,71.5,70.9,71.5,2458
PSUBANKADD,2024-04-25,71.3,74.1,71.3,73.83,43152
PSUBANKADD,2024-04-26,73.99,74.3,73.28,73.88,15483
PSUBANKADD,2024-04-29,75.58,75.65,73.0,74.5,20808
PSUBANKADD,2024-04-30,75.36,76.55,74.87,76.0,15273
