symbol,date,open,high,low,close,volume
PTL,2008-06-09,15.85,15.85,13.1,13.1,48870
PTL,2008-06-10,12.5,12.8,12.27,12.5,28066
PTL,2008-06-11,12.75,12.88,12.25,12.55,20906
PTL,2008-06-12,12.25,13.15,12.0,12.68,18562
PTL,2008-06-13,12.15,13.0,12.15,12.68,1716
PTL,2008-06-16,12.52,12.7,12.5,12.6,102
PTL,2008-06-17,12.85,12.88,12.27,12.38,428610
PTL,2008-06-18,12.7,13.13,12.27,12.9,15590
PTL,2008-06-19,12.5,13.0,12.15,12.75,409428
PTL,2008-06-20,12.5,12.5,12.15,12.5,16
PTL,2008-06-23,12.73,12.73,11.25,11.7,5448
PTL,2008-06-24,12.5,12.65,10.73,11.45,23952
PTL,2008-06-25,11.32,11.75,11.02,11.5,223924
PTL,2008-06-26,11.5,12.48,11.3,12.2,248568
PTL,2008-06-27,11.75,11.88,11.5,11.55,5270
PTL,2008-06-30,11.55,11.55,10.4,10.57,410724
PTL,2008-07-01,9.7,10.48,9.52,9.55,5786
PTL,2008-07-02,9.25,9.75,8.65,9.18,1256
PTL,2008-07-03,8.68,9.75,8.68,9.7,15606
PTL,2008-07-04,9.25,10.68,9.1,10.3,321506
PTL,2008-07-07,10.0,10.38,9.6,9.8,6900
PTL,2008-07-08,9.5,10.73,9.5,10.38,4272
PTL,2008-07-09,10.07,10.98,10.07,10.5,1666
PTL,2008-07-10,10.63,10.93,10.0,10.63,241828
PTL,2008-07-11,10.25,11.45,10.02,10.15,574
PTL,2008-07-14,10.13,10.98,9.82,10.13,468
PTL,2008-07-15,10.13,10.5,9.8,10.0,5410
PTL,2008-07-16,10.0,10.0,9.4,9.57,21508
PTL,2008-07-17,9.73,9.75,9.1,9.23,2820
PTL,2008-07-18,10.0,10.0,9.25,9.48,14900
PTL,2008-07-21,9.25,9.98,9.25,9.75,1520
PTL,2008-07-22,9.5,9.5,9.25,9.27,23196
PTL,2008-07-23,9.3,9.6,8.65,8.93,191732
PTL,2008-07-24,9.0,9.25,9.0,9.0,838
PTL,2008-07-25,9.0,9.13,8.75,9.02,57278
PTL,2008-07-28,9.4,9.9,9.3,9.55,13600
PTL,2008-07-29,9.0,9.7,9.0,9.23,10858
PTL,2008-07-30,9.5,10.15,9.05,9.98,448872
PTL,2008-07-31,10.95,10.98,9.52,10.85,168324
PTL,2008-08-01,10.5,11.4,10.5,10.95,136920
PTL,2008-08-04,11.0,11.0,10.5,10.7,171008
PTL,2008-08-05,11.2,11.2,10.18,10.18,536450
PTL,2008-08-06,9.75,10.25,9.7,9.75,407382
PTL,2008-08-07,10.0,10.0,9.5,9.9,61246
PTL,2008-08-08,9.5,10.0,9.5,9.85,125602
PTL,2008-08-11,9.85,10.35,9.38,10.07,243002
PTL,2008-08-12,10.6,10.6,10.1,10.32,169978
PTL,2008-08-13,10.5,10.75,9.82,9.88,120274
