symbol,date,open,high,low,close,volume
PULZ,2023-01-12,56.3,56.3,56.3,56.3,8000
PULZ,2023-01-17,59.075,59.075,53.5,53.5,16002
PULZ,2023-01-18,51.025,51.025,51.0,51.0,16002
PULZ,2023-01-19,48.45,48.45,48.45,48.45,8002
PULZ,2023-01-20,46.5,50.0,46.5,46.55,40002
PULZ,2023-01-23,48.75,48.9,48.75,48.9,16002
PULZ,2023-01-24,51.325,51.325,51.325,51.325,48002
PULZ,2023-01-25,51.325,53.8,51.325,53.8,16002
PULZ,2023-01-27,53.8,53.8,53.8,53.8,8002
PULZ,2023-02-03,53.8,53.8,52.5,52.5,16002
PULZ,2023-02-06,52.5,52.5,50.025,50.025,32002
PULZ,2023-02-07,50.0,50.0,50.0,50.0,8002
PULZ,2023-02-08,47.625,47.625,47.625,47.625,8002
PULZ,2023-02-14,45.25,45.25,45.25,45.25,8002
PULZ,2023-02-15,43.25,47.5,43.0,43.0,40002
PULZ,2023-02-16,43.0,43.0,43.0,43.0,8002
PULZ,2023-02-20,45.0,45.0,45.0,45.0,16002
PULZ,2023-02-22,47.25,47.25,47.25,47.25,16002
PULZ,2023-02-24,49.6,49.6,49.6,49.6,8002
PULZ,2023-02-28,52.075,52.075,51.0,52.075,176002
PULZ,2023-03-01,54.7,54.7,54.7,54.7,16001
PULZ,2023-03-02,57.4,57.4,57.4,57.4,16001
PULZ,2023-03-03,60.25,60.25,60.25,60.25,24001
PULZ,2023-03-06,63.25,63.25,63.25,63.25,16001
PULZ,2023-03-08,66.4,66.4,66.4,66.4,8001
PULZ,2023-03-09,63.1,63.1,63.1,63.1,8001
PULZ,2023-03-10,59.95,59.95,59.95,59.95,8001
PULZ,2023-03-13,56.95,56.95,56.95,56.95,8001
PULZ,2023-03-14,54.1,54.1,54.1,54.1,8001
PULZ,2023-03-15,51.4,51.4,51.4,51.4,8001
PULZ,2023-03-16,48.85,48.85,48.85,48.85,8001
PULZ,2023-03-17,46.4,46.4,46.4,46.4,8001
PULZ,2023-03-20,44.1,44.1,44.1,44.1,8001
PULZ,2023-03-21,46.3,46.3,46.2,46.2,16001
PULZ,2023-03-27,43.9,43.9,43.9,43.9,16001
PULZ,2023-03-28,41.7,41.7,41.7,41.7,8001
PULZ,2023-03-29,43.75,43.75,43.75,43.75,16001
PULZ,2023-04-06,45.9,45.9,45.9,45.9,8001
PULZ,2023-04-11,48.15,48.15,48.15,48.15,8001
PULZ,2023-04-12,50.55,50.55,50.55,50.55,8001
PULZ,2023-04-20,52.15,53.05,52.15,53.05,16002
PULZ,2023-05-03,51.0,51.0,50.4,50.4,16001
PULZ,2023-05-09,49.9,49.9,49.9,49.9,8001
PULZ,2023-05-10,49.9,52.35,49.9,51.45,24001
PULZ,2023-05-11,54.0,54.0,54.0,54.0,6001
PULZ,2023-05-12,56.7,56.7,56.7,56.7,6001
PULZ,2023-05-15,59.5,59.5,59.5,59.5,10001
PULZ,2023-05-17,58.55,58.55,58.55,58.55,2001
PULZ,2023-05-19,57.0,57.0,57.0,57.0,2001
PULZ,2023-05-22,58.8,58.8,57.5,57.5,6001
PULZ,2023-05-23,60.3,60.3,57.5,57.5,10001
PULZ,2023-05-24,54.65,57.0,54.65,57.0,4001
PULZ,2023-05-25,59.85,59.85,59.0,59.85,138001
PULZ,2023-05-26,62.8,62.8,62.7,62.8,50001
PULZ,2023-05-29,65.9,65.9,65.9,65.9,16001
PULZ,2023-05-30,69.0,69.15,68.9,69.15,74001
PULZ,2023-05-31,72.6,72.6,70.0,72.6,122001
PULZ,2023-06-01,72.6,76.2,70.5,76.15,48001
PULZ,2023-06-02,79.65,79.95,77.0,79.0,22001
PULZ,2023-06-05,79.25,81.45,79.0,81.0,18001
PULZ,2023-06-06,81.0,81.0,76.95,76.95,16001
PULZ,2023-06-07,73.1,75.0,73.1,75.0,34001
PULZ,2023-06-08,69.45,69.5,69.45,69.5,18001
PULZ,2023-06-09,69.0,72.9,69.0,69.0,20001
PULZ,2023-06-12,66.2,72.45,66.2,72.45,28001
PULZ,2023-06-13,76.05,76.05,73.5,76.05,32001
PULZ,2023-06-14,79.85,79.85,78.0,79.85,30001
PULZ,2023-06-15,77.1,77.1,75.85,75.85,10001
PULZ,2023-06-16,75.1,75.1,75.1,75.1,2001
PULZ,2023-06-19,72.8,72.8,71.4,71.4,12001
PULZ,2023-06-20,74.9,74.95,74.9,74.95,10001
PULZ,2023-06-21,72.75,73.0,71.2,71.2,14001
PULZ,2023-06-22,69.0,69.0,67.7,67.7,14001
PULZ,2023-06-23,64.75,65.0,64.65,65.0,10001
PULZ,2023-06-26,68.4,68.55,68.0,68.55,16001
PULZ,2023-06-27,71.95,71.95,71.95,71.95,4001
PULZ,2023-06-28,72.0,75.0,72.0,75.0,10001
PULZ,2023-06-30,77.75,77.75,75.5,75.5,6001
PULZ,2023-07-03,78.0,78.0,77.7,77.7,8001
PULZ,2023-07-04,74.6,74.6,73.95,73.95,12001
PULZ,2023-07-05,71.0,71.0,70.85,70.85,12001
PULZ,2023-07-06,71.1,71.1,71.0,71.0,4001
PULZ,2023-07-07,71.6,71.6,71.6,71.6,2001
PULZ,2023-07-10,73.5,73.5,73.5,73.5,2001
PULZ,2023-07-11,76.0,76.0,72.0,72.0,8001
PULZ,2023-07-12,75.6,75.6,75.6,75.6,10001
PULZ,2023-07-13,75.6,75.8,75.6,75.8,6001
PULZ,2023-07-14,73.0,73.0,72.0,72.0,6002
PULZ,2023-07-17,68.4,69.0,68.4,69.0,14001
PULZ,2023-07-18,69.0,69.0,69.0,69.0,2001
PULZ,2023-07-25,65.55,67.0,65.55,66.0,20001
PULZ,2023-07-26,66.0,66.0,66.0,66.0,4001
PULZ,2023-07-27,65.0,65.0,65.0,65.0,2001
PULZ,2023-07-28,62.0,62.0,61.75,62.0,8002
PULZ,2023-07-31,62.0,62.0,62.0,62.0,8001
PULZ,2023-08-01,62.0,62.0,60.0,60.0,8001
PULZ,2023-08-02,57.7,61.0,57.1,57.15,38001
PULZ,2023-08-03,57.0,61.15,56.0,61.15,44001
PULZ,2023-08-04,64.0,64.2,64.0,64.2,8001
PULZ,2023-08-07,67.4,67.4,67.4,67.4,6001
PULZ,2023-08-08,70.75,70.75,70.7,70.7,14001
PULZ,2023-08-09,74.25,74.25,73.0,73.0,6001
PULZ,2023-08-10,75.8,76.65,75.8,76.65,44002
PULZ,2023-08-11,80.35,80.4,75.6,79.0,48002
PULZ,2023-08-14,80.45,80.45,78.8,79.8,36001
PULZ,2023-08-16,78.8,78.8,75.85,76.0,12001
