symbol,date,open,high,low,close,volume
QUADPRO,2023-01-12,5.5,5.6,5.5,5.6,72001
QUADPRO,2023-01-13,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-01-16,5.85,5.85,5.75,5.75,36001
QUADPRO,2023-01-17,5.8,5.8,5.8,5.8,24001
QUADPRO,2023-01-18,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-01-20,6.0,6.1,5.95,6.1,84001
QUADPRO,2023-01-23,6.1,6.1,5.9,5.9,24001
QUADPRO,2023-01-24,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-01-25,5.85,5.85,5.85,5.85,12001
QUADPRO,2023-01-27,5.8,5.8,5.75,5.75,48001
QUADPRO,2023-01-30,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-02-01,5.85,5.85,5.85,5.85,12001
QUADPRO,2023-02-02,5.5,5.5,5.5,5.5,12001
QUADPRO,2023-02-03,5.5,5.5,5.2,5.2,36001
QUADPRO,2023-02-09,5.5,5.5,5.5,5.5,12001
QUADPRO,2023-02-13,5.6,5.6,5.55,5.55,24001
QUADPRO,2023-02-15,5.5,5.5,5.5,5.5,36001
QUADPRO,2023-02-21,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-02-23,5.7,5.7,5.7,5.7,24001
QUADPRO,2023-02-27,5.4,5.4,5.4,5.4,12001
QUADPRO,2023-02-28,5.45,5.45,5.45,5.45,12001
QUADPRO,2023-03-03,5.3,5.3,5.3,5.3,12001
QUADPRO,2023-03-08,5.35,5.65,5.35,5.65,24001
QUADPRO,2023-03-09,5.7,5.85,5.7,5.75,84001
QUADPRO,2023-03-10,5.75,5.75,5.5,5.5,60001
QUADPRO,2023-03-13,5.5,5.5,5.3,5.3,36001
QUADPRO,2023-03-14,5.3,5.3,5.1,5.1,24001
QUADPRO,2023-03-15,5.0,5.05,4.8,4.9,108001
QUADPRO,2023-03-16,5.3,5.3,5.3,5.3,24001
QUADPRO,2023-03-17,5.3,5.3,5.3,5.3,24001
QUADPRO,2023-03-20,5.2,5.3,5.2,5.3,36001
QUADPRO,2023-03-21,5.0,5.35,5.0,5.35,36001
QUADPRO,2023-03-23,5.05,5.05,5.0,5.0,24001
QUADPRO,2023-03-24,5.0,5.0,4.5,4.5,132001
QUADPRO,2023-03-27,5.0,5.35,5.0,5.05,108001
QUADPRO,2023-03-28,5.0,5.0,5.0,5.0,12001
QUADPRO,2023-03-31,5.0,5.0,5.0,5.0,12000
QUADPRO,2023-04-03,5.05,5.05,5.05,5.05,24001
QUADPRO,2023-04-05,5.0,5.1,5.0,5.1,24001
QUADPRO,2023-04-06,5.3,5.3,5.3,5.3,12001
QUADPRO,2023-04-10,5.05,5.05,5.0,5.0,24001
QUADPRO,2023-04-11,5.1,5.1,5.05,5.05,36001
QUADPRO,2023-04-12,5.0,5.0,5.0,5.0,12001
QUADPRO,2023-04-13,5.0,5.0,5.0,5.0,12001
QUADPRO,2023-04-18,5.0,5.4,5.0,5.4,60001
QUADPRO,2023-04-19,5.2,5.4,5.2,5.4,60001
QUADPRO,2023-04-20,5.1,5.4,5.1,5.4,36001
QUADPRO,2023-04-21,5.0,5.0,4.55,4.8,108001
QUADPRO,2023-04-24,4.5,4.8,4.5,4.6,120001
QUADPRO,2023-04-25,4.8,4.8,4.65,4.65,48001
QUADPRO,2023-04-27,5.0,5.0,5.0,5.0,12001
QUADPRO,2023-04-28,5.25,5.3,5.25,5.3,24001
QUADPRO,2023-05-03,5.0,5.0,5.0,5.0,12001
QUADPRO,2023-05-04,5.3,5.3,5.15,5.15,48001
QUADPRO,2023-05-05,5.1,5.1,5.1,5.1,12001
QUADPRO,2023-05-08,4.7,5.1,4.7,5.1,36001
QUADPRO,2023-05-09,5.1,5.1,4.8,4.8,36001
QUADPRO,2023-05-10,4.7,4.7,4.7,4.7,24001
QUADPRO,2023-05-15,4.8,4.8,4.8,4.8,12001
QUADPRO,2023-05-18,5.05,5.05,5.05,5.05,12001
QUADPRO,2023-05-22,5.05,5.05,5.05,5.05,36001
QUADPRO,2023-05-23,5.05,5.05,4.7,4.7,60001
QUADPRO,2023-05-24,5.1,5.45,5.1,5.45,96001
QUADPRO,2023-05-25,5.4,5.45,5.4,5.45,24001
QUADPRO,2023-05-26,5.6,6.5,5.6,6.0,756001
QUADPRO,2023-05-29,6.25,6.45,6.0,6.2,240001
QUADPRO,2023-05-30,6.25,6.25,6.25,6.25,12001
QUADPRO,2023-05-31,6.0,6.7,6.0,6.4,420001
QUADPRO,2023-06-01,6.35,6.35,6.0,6.0,108001
QUADPRO,2023-06-02,6.1,6.3,6.1,6.15,156001
QUADPRO,2023-06-05,6.2,6.2,6.15,6.15,48001
QUADPRO,2023-06-06,6.1,6.1,5.85,5.85,72001
QUADPRO,2023-06-07,5.95,5.95,5.95,5.95,12001
QUADPRO,2023-06-08,5.95,5.95,5.85,5.85,48001
QUADPRO,2023-06-09,5.7,5.7,5.7,5.7,24001
QUADPRO,2023-06-12,6.05,6.1,5.9,5.9,144001
QUADPRO,2023-06-13,5.7,5.7,5.7,5.7,12001
QUADPRO,2023-06-14,5.85,5.85,5.85,5.85,48001
QUADPRO,2023-06-15,6.0,6.75,5.5,5.75,468001
QUADPRO,2023-06-16,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-06-19,5.85,5.85,5.85,5.85,12001
QUADPRO,2023-06-20,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-06-21,5.95,6.0,5.85,6.0,72001
QUADPRO,2023-06-22,5.85,6.0,5.85,6.0,36001
QUADPRO,2023-06-23,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-06-26,6.15,6.15,6.15,6.15,12001
QUADPRO,2023-06-27,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-06-28,5.85,5.85,5.65,5.65,60001
QUADPRO,2023-07-05,5.9,5.95,5.9,5.95,36001
QUADPRO,2023-07-06,5.65,5.65,5.65,5.65,12001
QUADPRO,2023-07-10,5.0,5.6,5.0,5.6,24001
QUADPRO,2023-07-11,5.6,5.6,5.25,5.25,36001
QUADPRO,2023-07-12,5.8,5.8,5.8,5.8,12001
QUADPRO,2023-07-18,5.5,5.5,5.25,5.25,36001
QUADPRO,2023-07-19,5.7,5.8,5.7,5.8,48001
QUADPRO,2023-07-21,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-07-24,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-07-25,6.0,6.0,5.75,5.95,60001
QUADPRO,2023-07-26,5.95,5.95,5.8,5.8,24001
QUADPRO,2023-07-31,5.9,5.9,5.9,5.9,12001
QUADPRO,2023-08-01,5.9,6.55,5.9,6.35,144001
QUADPRO,2023-08-02,6.4,7.3,6.15,6.15,132001
QUADPRO,2023-08-03,6.5,6.5,6.5,6.5,12001
QUADPRO,2023-08-04,6.0,6.0,6.0,6.0,24001
QUADPRO,2023-08-07,6.0,6.0,5.75,5.75,36001
QUADPRO,2023-08-08,5.95,6.0,5.95,6.0,36001
QUADPRO,2023-08-09,5.75,5.95,5.75,5.95,36001
QUADPRO,2023-08-10,5.75,5.9,5.75,5.9,24001
QUADPRO,2023-08-11,5.55,5.55,5.55,5.55,12001
QUADPRO,2023-08-14,5.95,5.95,5.95,5.95,12001
QUADPRO,2023-08-16,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-08-18,5.9,6.0,5.9,6.0,60001
QUADPRO,2023-08-23,6.05,6.1,6.05,6.1,24001
QUADPRO,2023-08-24,6.1,6.1,5.8,5.8,24001
QUADPRO,2023-08-25,5.8,6.15,5.8,6.15,60001
QUADPRO,2023-08-28,6.2,6.35,6.1,6.35,84001
QUADPRO,2023-08-29,6.5,6.5,6.2,6.25,168001
QUADPRO,2023-08-30,6.1,6.1,6.1,6.1,12001
QUADPRO,2023-08-31,5.95,5.95,5.95,5.95,12001
QUADPRO,2023-09-04,5.85,5.95,5.85,5.95,36001
QUADPRO,2023-09-05,5.85,6.2,5.85,6.2,36001
QUADPRO,2023-09-06,6.25,6.5,6.0,6.45,228001
QUADPRO,2023-09-07,6.75,6.75,6.4,6.4,108001
QUADPRO,2023-09-08,6.5,6.5,6.5,6.5,12001
QUADPRO,2023-09-11,6.45,6.45,6.45,6.45,12001
QUADPRO,2023-09-12,5.9,5.9,5.8,5.8,36001
QUADPRO,2023-09-13,5.8,5.8,5.8,5.8,12001
QUADPRO,2023-09-15,5.9,5.9,5.9,5.9,12001
QUADPRO,2023-09-18,5.95,5.95,5.75,5.75,48001
QUADPRO,2023-09-21,5.75,5.85,5.3,5.3,72001
QUADPRO,2023-09-25,5.85,6.05,5.85,6.05,36001
QUADPRO,2023-09-26,5.95,5.95,5.9,5.95,84001
QUADPRO,2023-09-27,5.95,5.95,5.95,5.95,12001
QUADPRO,2023-09-28,5.95,5.95,5.95,5.95,24001
QUADPRO,2023-09-29,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-10-03,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-10-06,5.95,5.95,5.95,5.95,12001
QUADPRO,2023-10-09,5.8,6.1,5.8,6.1,48001
QUADPRO,2023-10-12,6.15,6.4,6.15,6.25,60001
QUADPRO,2023-10-13,6.0,6.1,6.0,6.1,36001
QUADPRO,2023-10-17,5.8,5.8,5.8,5.8,12001
QUADPRO,2023-10-18,5.9,5.9,5.9,5.9,12001
QUADPRO,2023-10-19,5.8,5.8,5.75,5.75,24001
QUADPRO,2023-10-20,5.55,5.65,5.5,5.65,60001
QUADPRO,2023-10-23,5.6,5.6,5.6,5.6,12001
QUADPRO,2023-10-25,5.65,5.65,5.0,5.05,72001
QUADPRO,2023-10-30,5.6,6.05,5.6,6.05,168001
QUADPRO,2023-10-31,6.25,6.9,6.25,6.85,300002
QUADPRO,2023-11-01,6.7,6.85,6.65,6.85,132001
QUADPRO,2023-11-02,6.7,6.95,6.1,6.5,216001
QUADPRO,2023-11-03,6.2,6.2,6.2,6.2,12001
QUADPRO,2023-11-06,6.1,6.1,6.1,6.1,24001
QUADPRO,2023-11-13,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-11-15,5.7,6.1,5.45,6.1,72001
QUADPRO,2023-11-16,5.85,6.0,5.85,6.0,24001
QUADPRO,2023-11-17,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-11-20,5.75,5.75,5.75,5.75,12001
QUADPRO,2023-11-21,5.75,5.9,5.75,5.9,36001
QUADPRO,2023-11-28,5.55,5.55,5.55,5.55,12001
QUADPRO,2023-11-29,6.0,6.0,6.0,6.0,12001
QUADPRO,2023-11-30,5.75,5.75,5.75,5.75,24001
QUADPRO,2023-12-01,6.05,6.05,6.05,6.05,36001
QUADPRO,2023-12-04,6.05,6.05,6.05,6.05,12001
QUADPRO,2023-12-05,6.45,6.45,5.75,5.75,60001
QUADPRO,2023-12-06,6.1,6.1,6.1,6.1,12001
QUADPRO,2023-12-07,6.15,6.15,5.75,5.75,36001
QUADPRO,2023-12-08,5.8,5.8,5.8,5.8,12001
QUADPRO,2023-12-11,6.0,6.3,5.9,6.3,96001
QUADPRO,2023-12-12,6.25,6.25,5.85,5.85,24001
QUADPRO,2023-12-13,5.9,5.9,5.9,5.9,12001
QUADPRO,2023-12-14,5.9,5.9,5.85,5.85,24001
QUADPRO,2023-12-15,5.8,5.8,5.7,5.7,36001
QUADPRO,2023-12-18,5.7,5.7,5.7,5.7,12001
QUADPRO,2023-12-19,5.6,5.75,5.6,5.75,24001
QUADPRO,2023-12-20,5.75,5.75,5.7,5.7,24001
QUADPRO,2023-12-22,5.7,5.7,5.7,5.7,12001
QUADPRO,2023-12-26,5.55,5.55,5.55,5.55,24001
QUADPRO,2023-12-27,5.95,6.2,5.95,6.2,84001
QUADPRO,2023-12-28,6.2,6.2,5.85,6.2,72001
QUADPRO,2023-12-29,6.25,6.25,6.0,6.2,96001
QUADPRO,2024-01-01,6.3,6.3,6.05,6.25,84001
QUADPRO,2024-01-02,6.75,6.75,5.85,5.85,48001
QUADPRO,2024-01-03,6.0,6.0,5.9,5.95,36002
QUADPRO,2024-01-04,5.95,6.2,5.95,6.2,60001
QUADPRO,2024-01-05,6.0,6.2,6.0,6.0,48001
QUADPRO,2024-01-08,6.0,6.25,6.0,6.25,36001
QUADPRO,2024-01-09,6.15,6.5,5.95,6.25,264001
QUADPRO,2024-01-10,6.25,6.4,6.25,6.35,120001
QUADPRO,2024-01-11,6.35,6.4,6.25,6.25,72001
QUADPRO,2024-01-12,6.2,7.15,6.2,6.9,696001
QUADPRO,2024-01-15,7.25,7.35,7.0,7.3,396001
QUADPRO,2024-01-16,7.4,7.75,7.25,7.3,288001
QUADPRO,2024-01-17,7.25,7.55,7.2,7.45,168001
QUADPRO,2024-01-18,7.95,7.95,7.15,7.6,264001
QUADPRO,2024-01-19,8.0,8.8,7.5,8.15,492001
QUADPRO,2024-01-20,8.15,8.45,8.0,8.0,144001
QUADPRO,2024-01-23,8.2,8.4,7.5,7.5,156000
QUADPRO,2024-01-24,7.8,7.85,7.35,7.85,60001
QUADPRO,2024-01-25,8.45,8.45,7.65,8.2,156001
QUADPRO,2024-01-29,8.3,8.4,8.3,8.4,72001
QUADPRO,2024-01-30,7.9,7.9,7.75,7.75,60001
QUADPRO,2024-04-23,5.35,5.35,5.35,5.35,12001
QUADPRO,2024-04-25,5.35,5.35,5.2,5.2,24001
QUADPRO,2024-04-26,5.2,5.2,5.2,5.2,12001
QUADPRO,2024-04-29,5.2,5.2,5.05,5.05,48001
QUADPRO,2024-04-30,5.05,5.05,4.95,4.95,36001
