symbol,date,open,high,low,close,volume
RADICO,2008-06-09,104.0,105.6,103.5,104.05,32989
RADICO,2008-06-10,104.0,104.4,103.2,103.8,22902
RADICO,2008-06-11,104.0,105.8,103.5,103.85,12202
RADICO,2008-06-12,101.75,103.9,101.75,102.9,6139
RADICO,2008-06-13,103.45,104.5,102.05,102.85,12062
RADICO,2008-06-16,103.05,105.75,102.1,103.05,27481
RADICO,2008-06-17,103.25,105.9,103.0,103.5,20485
RADICO,2008-06-18,104.45,104.5,90.1,103.15,30503
RADICO,2008-06-19,103.1,104.5,103.0,103.15,18911
RADICO,2008-06-20,103.1,104.0,97.5,101.55,48716
RADICO,2008-06-23,98.0,101.5,95.6,96.25,11608
RADICO,2008-06-24,100.0,100.0,81.55,84.1,78747
RADICO,2008-06-25,90.0,100.95,88.05,95.55,71235
RADICO,2008-06-26,101.25,109.9,100.5,102.1,160991
RADICO,2008-06-27,97.05,98.8,93.05,95.25,60342
RADICO,2008-06-30,95.95,96.7,93.1,94.5,29961
RADICO,2008-07-01,93.0,95.85,89.9,90.1,40682
RADICO,2008-07-02,88.05,95.0,88.05,93.0,52560
RADICO,2008-07-03,93.0,93.0,88.75,89.25,31950
RADICO,2008-07-04,88.0,94.0,88.0,91.35,15433
RADICO,2008-07-07,92.0,93.0,89.75,90.0,41219
RADICO,2008-07-08,88.3,91.5,83.5,88.8,77312
RADICO,2008-07-09,91.35,91.95,86.5,88.6,43662
RADICO,2008-07-10,87.7,91.0,87.7,88.45,12732
RADICO,2008-07-11,90.0,90.4,85.1,86.2,24224
RADICO,2008-07-14,87.5,87.5,82.25,83.35,55686
RADICO,2008-07-15,80.1,83.45,77.5,81.95,44019
RADICO,2008-07-16,82.0,85.0,75.05,78.8,60256
RADICO,2008-07-17,88.0,88.0,78.0,80.95,84299
RADICO,2008-07-18,82.0,82.0,78.45,81.25,42467
RADICO,2008-07-21,81.0,82.0,77.0,78.85,87158
RADICO,2008-07-22,78.05,84.0,77.2,79.05,128673
RADICO,2008-07-23,81.0,82.75,78.5,79.35,160008
RADICO,2008-07-24,80.5,82.0,76.1,77.6,139081
RADICO,2008-07-25,75.25,79.5,75.25,76.45,852107
