symbol,date,open,high,low,close,volume
RAJRILTD,2022-03-16,1.35,1.35,1.35,1.35,371
RAJRILTD,2022-03-17,1.4,1.4,1.4,1.4,1120
RAJRILTD,2022-03-21,1.45,1.45,1.45,1.45,315
RAJRILTD,2022-03-22,1.5,1.5,1.5,1.5,170
RAJRILTD,2022-03-23,1.55,1.55,1.55,1.55,21
RAJRILTD,2022-03-24,1.6,1.6,1.6,1.6,663
RAJRILTD,2022-03-25,1.65,1.65,1.65,1.65,53
RAJRILTD,2022-03-28,1.7,1.7,1.7,1.7,2557
RAJRILTD,2022-03-29,1.75,1.75,1.75,1.75,385
RAJRILTD,2022-03-30,1.8,1.8,1.8,1.8,72
RAJRILTD,2022-04-01,1.95,1.95,1.95,1.95,481
RAJRILTD,2022-04-04,2.1,2.1,2.1,2.1,74
RAJRILTD,2022-04-05,2.2,2.2,2.2,2.2,2031
RAJRILTD,2022-04-06,2.3,2.3,2.3,2.3,48
RAJRILTD,2022-04-07,2.4,2.4,2.4,2.4,4046
RAJRILTD,2022-04-08,2.5,2.5,2.5,2.5,73
RAJRILTD,2022-04-11,2.6,2.6,2.6,2.6,31
RAJRILTD,2022-04-12,2.7,2.7,2.7,2.7,172
RAJRILTD,2022-04-13,2.8,2.8,2.8,2.8,2197
RAJRILTD,2022-04-18,2.9,2.9,2.9,2.9,233
RAJRILTD,2022-04-19,3.0,3.0,3.0,3.0,28
RAJRILTD,2022-04-20,3.15,3.15,3.15,3.15,1632
RAJRILTD,2022-04-21,3.3,3.3,3.3,3.3,29
RAJRILTD,2022-04-22,3.45,3.45,3.45,3.45,384
RAJRILTD,2022-04-25,3.6,3.6,3.6,3.6,59
RAJRILTD,2022-04-26,3.75,3.75,3.75,3.75,137
RAJRILTD,2022-04-27,3.9,3.9,3.9,3.9,32
RAJRILTD,2022-04-28,4.05,4.05,4.05,4.05,62
RAJRILTD,2022-04-29,4.25,4.25,4.25,4.25,756
RAJRILTD,2022-05-09,5.05,5.05,5.05,5.05,204
RAJRILTD,2022-05-10,5.3,5.3,5.3,5.3,51
RAJRILTD,2022-05-11,5.55,5.55,5.55,5.55,48
RAJRILTD,2022-05-12,5.8,5.8,5.8,5.8,338
RAJRILTD,2022-05-13,6.05,6.05,6.05,6.05,114
RAJRILTD,2022-05-16,6.35,6.35,6.35,6.35,175
RAJRILTD,2022-05-17,6.65,6.65,6.65,6.65,124
RAJRILTD,2022-05-18,6.95,6.95,6.95,6.95,58
RAJRILTD,2022-05-19,7.25,7.25,7.25,7.25,7
RAJRILTD,2022-05-20,7.6,7.6,7.6,7.6,79
RAJRILTD,2022-05-23,7.95,7.95,7.95,7.95,24
RAJRILTD,2022-05-24,8.3,8.3,8.3,8.3,106
RAJRILTD,2022-05-25,8.45,8.45,8.45,8.45,5046
RAJRILTD,2022-05-26,8.6,8.6,8.6,8.6,5
RAJRILTD,2022-05-27,8.75,8.75,8.75,8.75,108
RAJRILTD,2022-05-30,8.9,8.9,8.9,8.9,103
RAJRILTD,2022-05-31,9.05,9.05,9.05,9.05,209
RAJRILTD,2022-06-01,9.2,9.2,9.2,9.2,180
RAJRILTD,2022-06-02,9.35,9.35,9.35,9.35,270
RAJRILTD,2022-06-06,9.5,9.5,9.5,9.5,289
RAJRILTD,2022-06-13,9.65,9.65,9.65,9.65,1043
RAJRILTD,2022-06-20,9.8,9.8,9.8,9.8,599
RAJRILTD,2022-06-27,9.95,9.95,9.95,9.95,754
RAJRILTD,2022-07-04,10.1,10.1,10.1,10.1,2074
RAJRILTD,2022-07-11,10.3,10.3,10.3,10.3,1504
RAJRILTD,2022-07-18,10.5,10.5,10.5,10.5,705
RAJRILTD,2022-07-25,10.7,10.7,10.7,10.7,8524
RAJRILTD,2022-08-01,10.9,10.9,10.9,10.9,2034
RAJRILTD,2022-08-08,11.1,11.1,11.1,11.1,545
RAJRILTD,2022-08-16,11.3,11.3,11.3,11.3,550
RAJRILTD,2022-08-22,11.5,11.5,11.5,11.5,419
RAJRILTD,2022-08-29,11.7,11.7,11.7,11.7,499
RAJRILTD,2022-09-01,11.9,11.9,11.9,11.9,479
RAJRILTD,2022-09-02,12.1,12.1,12.1,12.1,9196
RAJRILTD,2022-09-05,12.3,12.3,12.3,12.3,515
RAJRILTD,2022-09-06,12.5,12.5,12.5,12.5,115
RAJRILTD,2022-09-07,12.75,12.75,12.75,12.75,114
RAJRILTD,2022-09-08,13.0,13.0,13.0,13.0,121
RAJRILTD,2022-09-09,13.25,13.25,13.25,13.25,88
RAJRILTD,2022-09-12,13.5,13.5,13.5,13.5,277
RAJRILTD,2022-09-13,13.75,13.75,13.75,13.75,111
RAJRILTD,2022-09-14,14.0,14.0,14.0,14.0,974
RAJRILTD,2022-09-15,14.25,14.25,14.25,14.25,81
RAJRILTD,2022-09-16,14.5,14.5,14.5,14.5,555
RAJRILTD,2022-09-19,14.75,14.75,14.75,14.75,5796
