symbol,date,open,high,low,close,volume
RAMSARUP,2016-01-04,0.4625,0.4625,0.4625,0.4625,4280
RAMSARUP,2016-01-05,0.475,0.475,0.475,0.475,52192
RAMSARUP,2016-01-06,0.4875,0.4875,0.4875,0.4875,28876
RAMSARUP,2016-01-07,0.5,0.5,0.5,0.5,14496
RAMSARUP,2016-01-08,0.525,0.525,0.525,0.525,10800
RAMSARUP,2016-01-11,0.55,0.55,0.55,0.55,11448
RAMSARUP,2016-01-12,0.575,0.575,0.575,0.575,644
RAMSARUP,2016-01-13,0.6,0.6,0.6,0.6,30700
RAMSARUP,2016-01-14,0.625,0.625,0.625,0.625,9200
RAMSARUP,2016-01-15,0.65,0.65,0.65,0.65,21944
RAMSARUP,2016-01-18,0.65,0.675,0.625,0.675,87704
RAMSARUP,2016-01-19,0.625,0.675,0.625,0.625,12280
RAMSARUP,2016-01-20,0.65,0.65,0.65,0.65,6824
RAMSARUP,2016-01-21,0.625,0.675,0.625,0.675,23216
RAMSARUP,2016-01-22,0.65,0.7,0.65,0.7,19204
RAMSARUP,2016-01-25,0.725,0.725,0.725,0.725,5216
RAMSARUP,2016-01-27,0.75,0.75,0.75,0.75,460
RAMSARUP,2016-01-28,0.7875,0.7875,0.7875,0.7875,12664
RAMSARUP,2016-01-29,0.825,0.825,0.825,0.825,500
RAMSARUP,2016-02-01,0.8625,0.8625,0.8625,0.8625,2800
RAMSARUP,2016-02-02,0.9,0.9,0.85,0.8625,80924
RAMSARUP,2016-02-03,0.85,0.85,0.8125,0.8375,20412
RAMSARUP,2016-02-04,0.8625,0.8625,0.8,0.8,5044
RAMSARUP,2016-02-05,0.825,0.8375,0.825,0.8375,8920
RAMSARUP,2016-02-08,0.875,0.875,0.8,0.8,11284
RAMSARUP,2016-02-10,0.8375,0.8375,0.7625,0.7625,8000
RAMSARUP,2016-02-12,0.7375,0.75,0.7375,0.75,6400
RAMSARUP,2016-02-16,0.7125,0.7125,0.7125,0.7125,3200
RAMSARUP,2016-02-17,0.6875,0.7375,0.6875,0.6875,10400
RAMSARUP,2016-02-18,0.6625,0.6625,0.6625,0.6625,888
RAMSARUP,2016-02-22,0.6375,0.6375,0.6375,0.6375,200
RAMSARUP,2016-02-26,0.6125,0.6125,0.6125,0.6125,4
RAMSARUP,2016-03-01,0.5875,0.5875,0.5875,0.5875,400
RAMSARUP,2016-03-04,0.5625,0.6,0.5625,0.575,26792
RAMSARUP,2016-03-08,0.575,0.575,0.575,0.575,80
RAMSARUP,2016-03-09,0.6,0.6,0.55,0.55,9200
RAMSARUP,2016-03-10,0.525,0.525,0.525,0.525,1200
RAMSARUP,2016-03-11,0.5,0.5,0.5,0.5,12400
RAMSARUP,2016-03-14,0.5,0.525,0.4875,0.5125,11800
RAMSARUP,2016-03-15,0.4875,0.5375,0.4875,0.5375,1200
RAMSARUP,2016-03-16,0.5625,0.5625,0.525,0.5625,13500
RAMSARUP,2016-03-18,0.55,0.55,0.5375,0.5375,3600
RAMSARUP,2016-03-21,0.5125,0.5125,0.5125,0.5125,8100
RAMSARUP,2016-03-22,0.4875,0.5,0.4875,0.5,1400
RAMSARUP,2016-03-23,0.5,0.5,0.5,0.5,1360
RAMSARUP,2016-03-28,0.4875,0.4875,0.4875,0.4875,4000
RAMSARUP,2016-03-29,0.4875,0.4875,0.475,0.475,8300
RAMSARUP,2016-03-30,0.4625,0.4625,0.4625,0.4625,9296
RAMSARUP,2016-03-31,0.45,0.45,0.45,0.45,640
RAMSARUP,2016-04-05,0.4375,0.4375,0.4375,0.4375,1148
RAMSARUP,2016-04-06,0.425,0.425,0.425,0.425,800
RAMSARUP,2016-04-07,0.4125,0.4125,0.4125,0.4125,404
RAMSARUP,2016-04-08,0.4125,0.4125,0.4125,0.4125,12540
RAMSARUP,2016-04-11,0.4,0.4,0.4,0.4,780
RAMSARUP,2016-04-12,0.3875,0.3875,0.3875,0.3875,620
RAMSARUP,2016-04-13,0.3875,0.3875,0.3875,0.3875,1000
RAMSARUP,2016-04-20,0.4,0.4,0.4,0.4,224
RAMSARUP,2016-04-21,0.4125,0.4125,0.4125,0.4125,664
RAMSARUP,2016-04-25,0.4,0.4,0.4,0.4,4484
RAMSARUP,2016-04-26,0.3875,0.3875,0.3875,0.3875,21288
RAMSARUP,2016-04-28,0.4,0.4,0.4,0.4,808
RAMSARUP,2016-04-29,0.4125,0.4125,0.4125,0.4125,2712
RAMSARUP,2016-05-04,0.425,0.425,0.425,0.425,1740
RAMSARUP,2016-05-05,0.425,0.4375,0.425,0.4375,4400
RAMSARUP,2016-05-06,0.4375,0.4375,0.4375,0.4375,7584
RAMSARUP,2016-05-09,0.4375,0.4375,0.4375,0.4375,4000
RAMSARUP,2016-05-10,0.425,0.425,0.425,0.425,3188
RAMSARUP,2016-05-11,0.4125,0.4125,0.4125,0.4125,400
RAMSARUP,2016-05-16,0.4125,0.4125,0.4125,0.4125,1200
RAMSARUP,2016-05-17,0.4125,0.4125,0.4125,0.4125,2000
RAMSARUP,2016-05-19,0.4125,0.4125,0.4125,0.4125,300
RAMSARUP,2016-05-20,0.4125,0.4125,0.4125,0.4125,20
RAMSARUP,2016-05-26,0.4,0.4125,0.4,0.4125,9532
RAMSARUP,2016-05-27,0.4,0.425,0.4,0.425,20888
RAMSARUP,2016-06-01,0.4125,0.4125,0.4125,0.4125,1200
RAMSARUP,2016-06-03,0.4125,0.425,0.4,0.4,27400
RAMSARUP,2016-06-06,0.4125,0.4125,0.3875,0.3875,26752
RAMSARUP,2016-06-07,0.3875,0.3875,0.375,0.375,6440
RAMSARUP,2016-06-08,0.3625,0.375,0.3625,0.375,2028
RAMSARUP,2016-06-10,0.3625,0.3875,0.3625,0.3625,14260
RAMSARUP,2016-06-13,0.35,0.35,0.35,0.35,3272
RAMSARUP,2016-06-14,0.35,0.35,0.35,0.35,4
RAMSARUP,2016-06-15,0.35,0.35,0.35,0.35,2840
RAMSARUP,2016-06-16,0.3625,0.3625,0.3375,0.3375,22444
RAMSARUP,2016-06-17,0.3375,0.35,0.325,0.35,19308
RAMSARUP,2016-06-20,0.3375,0.3625,0.3375,0.3625,52460
RAMSARUP,2016-06-22,0.35,0.375,0.35,0.375,21528
RAMSARUP,2016-06-23,0.3875,0.3875,0.375,0.375,800
RAMSARUP,2016-06-27,0.375,0.3875,0.375,0.375,22320
RAMSARUP,2016-06-28,0.3875,0.3875,0.3875,0.3875,16772
RAMSARUP,2016-06-29,0.4,0.4,0.3875,0.3875,344228
RAMSARUP,2016-06-30,0.3875,0.4,0.3875,0.4,143076
RAMSARUP,2016-07-01,0.4125,0.4125,0.4,0.4,56200
RAMSARUP,2016-07-04,0.4,0.4,0.4,0.4,40
RAMSARUP,2016-07-05,0.4,0.4125,0.3875,0.3875,22000
RAMSARUP,2016-07-07,0.3875,0.4,0.3875,0.4,169048
RAMSARUP,2016-07-08,0.4125,0.4125,0.4125,0.4125,2276
RAMSARUP,2016-07-11,0.4125,0.425,0.4125,0.425,1676
RAMSARUP,2016-07-12,0.4375,0.4375,0.4375,0.4375,1600
RAMSARUP,2016-07-13,0.45,0.45,0.45,0.45,1296
RAMSARUP,2016-07-14,0.4625,0.4625,0.4625,0.4625,100
RAMSARUP,2016-07-15,0.475,0.475,0.475,0.475,2040
RAMSARUP,2016-07-18,0.4875,0.4875,0.4875,0.4875,568780
RAMSARUP,2016-07-19,0.5,0.5,0.5,0.5,37112
RAMSARUP,2016-07-20,0.525,0.525,0.525,0.525,500
RAMSARUP,2016-07-21,0.55,0.55,0.55,0.55,8340
RAMSARUP,2016-07-22,0.575,0.575,0.575,0.575,47800
RAMSARUP,2016-07-25,0.6,0.6,0.6,0.6,21472
