symbol,date,open,high,low,close,volume
RBA,2020-12-14,112.5,135.0,108.4,135.0,186792834
RBA,2020-12-15,147.0,162.0,145.0,162.0,60070880
RBA,2020-12-16,184.0,194.4,178.9,194.4,21103499
RBA,2020-12-17,213.8,213.8,175.0,175.0,20515521
RBA,2020-12-18,158.0,161.2,157.5,157.5,5185618
RBA,2020-12-21,151.1,173.25,145.35,158.3,65599552
RBA,2020-12-22,165.0,174.1,155.25,173.35,28942709
RBA,2020-12-23,177.95,190.65,176.85,189.45,27824176
RBA,2020-12-24,192.85,196.5,178.0,180.9,25703631
RBA,2020-12-28,184.45,186.0,176.0,178.4,7940387
RBA,2020-12-29,180.8,180.8,170.15,172.9,6886656
RBA,2020-12-30,173.85,181.5,168.8,175.6,9613637
RBA,2020-12-31,176.7,178.7,174.2,175.5,3011296
RBA,2021-01-01,174.9,176.9,173.1,173.35,2475468
RBA,2021-01-04,174.85,175.05,170.2,171.25,3961867
RBA,2021-01-05,170.0,174.45,166.0,170.2,5910562
RBA,2021-01-06,171.15,171.9,167.0,168.2,2756322
RBA,2021-01-07,169.5,169.85,165.0,165.25,2336566
RBA,2021-01-08,166.25,169.75,164.0,166.8,3554211
RBA,2021-01-11,164.9,165.0,150.15,150.15,14877440
RBA,2021-01-12,140.2,154.8,140.2,147.9,23039034
RBA,2021-01-13,151.0,152.85,143.7,144.95,7660500
RBA,2021-01-14,145.0,147.4,143.7,144.8,3868716
RBA,2021-01-15,146.4,148.8,142.05,143.9,4747121
RBA,2021-01-18,144.05,145.0,140.0,141.6,2702460
RBA,2021-01-19,142.15,146.5,142.15,144.75,2538971
RBA,2021-01-20,146.45,147.0,144.25,145.1,2287118
RBA,2021-01-21,145.7,145.9,140.65,141.7,2005259
RBA,2021-01-22,142.5,142.5,137.0,138.75,2718125
RBA,2021-01-25,140.0,140.15,128.5,135.2,4532119
RBA,2021-01-27,135.0,143.5,132.5,139.95,4339182
RBA,2021-01-28,138.0,141.9,135.0,138.95,2049403
RBA,2021-01-29,140.65,142.5,135.5,137.6,1721136
RBA,2021-02-01,139.35,139.35,135.25,136.95,1577215
RBA,2021-02-02,137.5,142.2,137.1,138.95,3962413
RBA,2021-02-03,140.0,147.8,138.2,141.8,4483184
RBA,2021-02-04,142.4,150.3,141.8,147.9,5449231
RBA,2021-02-05,153.0,153.9,144.6,146.0,5167373
RBA,2021-02-08,147.25,152.4,147.25,150.7,5152174
RBA,2021-02-09,152.5,157.5,151.5,154.1,8507818
RBA,2021-02-10,148.0,154.3,146.0,152.45,6953228
RBA,2021-02-11,152.9,152.95,149.35,151.05,1767751
RBA,2021-02-12,151.95,152.7,148.05,149.55,2380053
RBA,2021-02-15,150.5,150.75,145.65,146.0,1667354
RBA,2021-02-16,146.0,146.6,143.0,143.85,1633445
RBA,2021-02-17,142.55,144.3,141.1,143.1,1734142
RBA,2021-02-18,143.6,148.0,143.3,144.45,2061443
RBA,2021-02-19,144.4,146.75,142.0,143.25,1407518
RBA,2021-02-22,144.35,144.5,138.55,141.25,1402070
RBA,2021-02-23,142.0,144.3,140.3,141.5,1179517
RBA,2021-02-24,142.1,144.8,140.1,142.15,897952
RBA,2021-02-25,143.5,146.35,143.05,144.25,1346245
RBA,2021-02-26,143.7,143.8,140.0,141.5,2036429
RBA,2021-03-01,143.0,143.2,140.5,141.45,762981
RBA,2021-03-02,142.4,144.2,140.5,141.2,1434131
RBA,2021-03-03,142.0,153.6,141.7,147.8,7879543
RBA,2021-03-04,145.25,152.5,145.0,148.15,3919785
RBA,2021-03-05,147.6,149.4,143.0,143.9,1480383
RBA,2021-03-08,145.0,147.2,143.0,143.5,1293811
