symbol,date,open,high,low,close,volume
RELAXO,2011-06-20,13.6,13.6,13.1,13.11,10080
RELAXO,2011-06-21,12.9,13.23,12.51,12.88,7980
RELAXO,2011-06-22,11.6,13.4,11.6,12.25,180
RELAXO,2011-06-23,12.0,12.95,12.0,12.5,1900
RELAXO,2011-06-24,12.0,12.94,12.0,12.89,1180
RELAXO,2011-06-27,12.9,14.07,12.45,13.56,19120
RELAXO,2011-06-28,13.0,13.85,12.8,13.75,4460
RELAXO,2011-06-29,13.93,13.94,13.55,13.88,1560
RELAXO,2011-06-30,14.44,15.1,12.85,14.99,2236580
RELAXO,2011-07-01,14.99,15.0,14.14,14.54,4400
RELAXO,2011-07-04,14.55,14.75,14.55,14.63,5200
RELAXO,2011-07-05,14.4,14.6,13.79,13.86,440
RELAXO,2011-07-06,15.0,15.0,14.05,14.15,1460
RELAXO,2011-07-07,14.9,15.0,13.75,14.85,12040
RELAXO,2011-07-08,14.05,15.0,14.05,14.39,506260
RELAXO,2011-07-11,14.06,14.25,13.72,13.8,4220
RELAXO,2011-07-12,13.3,13.95,13.3,13.75,5620
RELAXO,2011-07-13,13.75,15.0,13.75,14.79,596120
RELAXO,2011-07-14,14.8,15.0,14.77,15.0,20080
RELAXO,2011-07-15,14.5,15.0,14.5,15.0,634800
RELAXO,2011-07-18,15.5,15.75,15.2,15.69,78300
RELAXO,2011-07-19,16.2,16.5,15.75,16.3,58960
RELAXO,2011-07-20,16.52,16.52,15.88,16.05,35540
RELAXO,2011-07-21,15.8,15.88,15.11,15.34,516140
RELAXO,2011-07-22,15.05,15.44,14.85,15.01,14100
RELAXO,2011-07-25,15.05,15.05,14.85,15.0,11520
RELAXO,2011-07-26,15.06,15.06,14.25,14.49,570740
RELAXO,2011-07-27,14.98,15.04,14.6,15.0,457400
RELAXO,2011-07-28,15.02,15.02,14.75,15.0,29680
RELAXO,2011-07-29,15.0,15.0,15.0,15.0,29920
RELAXO,2011-08-01,15.05,15.4,14.8,14.85,23840
RELAXO,2011-08-02,14.8,15.2,14.8,14.91,15100
RELAXO,2011-08-03,15.5,15.5,14.77,15.0,74800
RELAXO,2011-08-04,14.5,16.0,14.35,15.84,20420
RELAXO,2011-08-05,15.5,15.5,14.75,15.25,71800
RELAXO,2011-08-08,14.08,14.85,13.75,14.27,31200
RELAXO,2011-08-09,13.79,15.89,13.5,14.69,37380
RELAXO,2011-08-10,14.75,15.1,14.5,14.88,15060
RELAXO,2011-08-11,14.35,15.5,14.35,14.75,5120
RELAXO,2011-08-12,14.6,14.78,14.3,14.3,6860
RELAXO,2011-08-16,17.12,17.12,13.76,14.29,11340
RELAXO,2011-08-17,14.25,14.25,13.75,13.81,12040
RELAXO,2011-08-18,13.2,13.7,13.2,13.5,11480
RELAXO,2011-08-19,12.9,13.5,12.77,13.2,12960
RELAXO,2011-08-22,12.6,14.0,12.6,14.0,4380
RELAXO,2011-08-23,12.84,13.9,12.81,13.22,10720
RELAXO,2011-08-24,13.39,14.14,13.39,13.92,35420
RELAXO,2011-08-25,15.05,15.33,13.76,13.98,6720
RELAXO,2011-08-26,13.81,15.0,13.81,14.28,12540
RELAXO,2011-08-29,16.0,16.0,13.9,14.48,60880
RELAXO,2011-08-30,15.01,16.25,15.01,16.0,342100
RELAXO,2011-09-02,15.15,16.3,15.1,15.75,3880
RELAXO,2011-09-05,15.8,16.75,15.8,16.08,29440
RELAXO,2011-09-06,16.25,17.5,16.21,17.33,156300
RELAXO,2011-09-07,17.7,19.24,17.55,18.32,53460
RELAXO,2011-09-08,18.5,18.7,17.5,17.67,32420
RELAXO,2011-09-09,18.45,18.5,17.18,17.67,16960
