symbol,date,open,high,low,close,volume
RICOAUTO,2008-06-09,22.0,22.0,21.05,21.25,87864
RICOAUTO,2008-06-10,21.0,22.45,21.0,22.1,127956
RICOAUTO,2008-06-11,21.3,22.45,21.3,22.2,55652
RICOAUTO,2008-06-12,21.35,21.9,21.3,21.7,58244
RICOAUTO,2008-06-13,21.7,22.2,21.3,21.7,66818
RICOAUTO,2008-06-16,21.7,22.2,21.3,22.0,67773
RICOAUTO,2008-06-17,22.45,22.45,21.8,22.15,36185
RICOAUTO,2008-06-18,22.25,23.15,22.25,22.8,70485
RICOAUTO,2008-06-19,22.3,22.85,21.7,22.55,77920
RICOAUTO,2008-06-20,22.05,22.7,21.75,21.95,93191
RICOAUTO,2008-06-23,21.0,21.6,20.0,20.5,59264
RICOAUTO,2008-06-24,20.25,21.2,20.25,20.9,56497
RICOAUTO,2008-06-25,20.3,21.1,20.2,20.55,62562
RICOAUTO,2008-06-26,20.25,21.25,20.25,20.85,34509
RICOAUTO,2008-06-27,20.35,20.5,20.0,20.15,61247
RICOAUTO,2008-06-30,20.5,20.5,18.6,19.05,97736
RICOAUTO,2008-07-01,18.55,19.3,18.05,18.4,159173
RICOAUTO,2008-07-02,18.5,18.85,17.05,18.25,88637
RICOAUTO,2008-07-03,18.0,18.1,17.55,17.85,37445
RICOAUTO,2008-07-04,17.85,18.35,17.3,18.05,75144
RICOAUTO,2008-07-07,18.35,19.15,17.9,18.65,77424
RICOAUTO,2008-07-08,18.1,18.3,17.6,18.15,28476
RICOAUTO,2008-07-09,18.5,19.0,18.3,18.8,31981
RICOAUTO,2008-07-10,18.65,19.4,18.6,19.2,46333
RICOAUTO,2008-07-11,19.35,20.4,18.7,19.05,70215
RICOAUTO,2008-07-14,19.0,19.3,18.1,18.2,44379
RICOAUTO,2008-07-15,18.4,18.45,17.3,17.5,37188
RICOAUTO,2008-07-16,17.15,17.85,16.45,16.75,42818
RICOAUTO,2008-07-17,17.45,17.55,17.0,17.2,39728
RICOAUTO,2008-07-18,17.5,18.2,17.3,17.95,30852
RICOAUTO,2008-07-21,18.1,18.4,17.55,18.0,20656
RICOAUTO,2008-07-22,17.5,19.0,17.5,18.7,36694
RICOAUTO,2008-07-23,18.75,19.95,18.75,19.45,572262
RICOAUTO,2008-07-24,19.9,19.95,18.3,18.45,122615
RICOAUTO,2008-07-25,18.05,18.05,17.6,17.8,83392
RICOAUTO,2008-07-28,17.3,19.0,17.3,18.7,71942
RICOAUTO,2008-07-29,18.0,19.0,17.5,18.3,55633
RICOAUTO,2008-07-30,18.75,18.95,17.8,17.9,63291
RICOAUTO,2008-07-31,18.0,18.2,17.55,17.95,52032
RICOAUTO,2008-08-01,17.55,18.95,17.5,18.35,124217
RICOAUTO,2008-08-04,18.45,19.0,18.0,18.7,152705
RICOAUTO,2008-08-05,18.7,19.6,18.7,19.0,365364
RICOAUTO,2008-08-06,19.45,19.8,18.75,18.95,684304
RICOAUTO,2008-08-07,19.1,19.9,18.8,19.0,140750
RICOAUTO,2008-08-08,18.9,19.2,18.8,18.95,43402
RICOAUTO,2008-08-11,19.4,19.85,18.9,19.05,83998
RICOAUTO,2008-08-12,18.95,19.2,18.9,19.05,58370
RICOAUTO,2008-08-13,19.0,19.0,18.65,18.7,102675
RICOAUTO,2008-08-14,18.55,19.15,18.1,18.3,47104
RICOAUTO,2008-08-18,18.1,18.55,17.15,17.3,155741
RICOAUTO,2008-08-19,17.65,18.35,17.0,17.35,262281
RICOAUTO,2008-08-20,17.3,17.6,16.9,17.0,226974
RICOAUTO,2008-08-21,17.0,19.2,16.95,17.85,575168
RICOAUTO,2008-08-22,17.55,18.45,17.35,17.95,302927
RICOAUTO,2008-08-25,18.15,18.7,18.05,18.3,124775
RICOAUTO,2008-08-26,18.0,18.0,17.45,17.9,181137
RICOAUTO,2008-08-27,18.0,18.25,17.6,17.7,120988
RICOAUTO,2008-08-28,18.0,18.1,17.1,17.2,121484
RICOAUTO,2008-08-29,17.45,18.5,17.4,18.25,127023
RICOAUTO,2008-09-01,18.2,18.45,17.65,18.0,59892
RICOAUTO,2008-09-02,18.15,18.5,18.05,18.2,79116
RICOAUTO,2008-09-04,18.0,18.9,17.85,18.6,94292
RICOAUTO,2008-09-05,18.3,19.2,18.3,18.85,179172
RICOAUTO,2008-09-08,19.0,20.0,19.0,19.25,243556
RICOAUTO,2008-09-09,19.45,19.5,19.0,19.1,54386
RICOAUTO,2008-09-10,19.0,19.9,19.0,19.05,74665
RICOAUTO,2008-09-11,19.0,19.45,18.6,18.95,106868
RICOAUTO,2008-09-12,18.8,18.8,17.5,17.65,173559
RICOAUTO,2008-09-15,17.5,17.6,16.0,17.15,223594
RICOAUTO,2008-09-16,16.5,17.2,16.2,17.0,73431
RICOAUTO,2008-09-17,17.1,17.4,16.85,17.0,59129
RICOAUTO,2008-09-18,16.9,16.9,15.5,16.5,134587
RICOAUTO,2008-09-19,17.0,17.3,16.8,17.05,68476
RICOAUTO,2008-09-22,17.45,17.45,16.65,16.85,46636
RICOAUTO,2008-09-23,16.5,16.85,16.1,16.7,186411
RICOAUTO,2008-09-24,16.8,16.9,16.15,16.2,42095
RICOAUTO,2008-09-25,16.25,16.25,16.0,16.15,30461
RICOAUTO,2008-09-26,16.35,16.35,15.75,16.05,70521
RICOAUTO,2008-09-29,16.45,16.9,15.15,15.35,77536
RICOAUTO,2008-09-30,15.3,15.65,14.05,15.45,82811
RICOAUTO,2008-10-01,15.55,15.55,14.95,15.45,35457
RICOAUTO,2008-10-03,15.15,16.45,15.0,16.1,76898
RICOAUTO,2008-10-06,16.1,16.5,13.7,15.65,227288
RICOAUTO,2008-10-07,16.45,16.45,15.55,16.1,108133
RICOAUTO,2008-10-08,15.05,15.3,14.1,14.65,74276
RICOAUTO,2008-10-10,14.0,14.75,13.6,13.85,90749
RICOAUTO,2008-10-13,13.4,14.35,13.4,14.15,79605
RICOAUTO,2008-10-14,14.85,15.2,14.2,14.4,81291
RICOAUTO,2008-10-15,14.4,14.4,13.3,13.55,67907
RICOAUTO,2008-10-16,13.55,16.3,12.5,14.9,129572
RICOAUTO,2008-10-17,14.8,15.9,13.5,13.85,84509
RICOAUTO,2008-10-20,13.75,14.0,13.3,13.35,133668
RICOAUTO,2008-10-21,13.15,14.1,13.15,13.95,65359
RICOAUTO,2008-10-22,13.5,14.0,13.3,13.4,124430
RICOAUTO,2008-10-23,13.0,13.7,12.55,12.8,39446
RICOAUTO,2008-10-24,12.5,12.5,10.75,11.15,186742
RICOAUTO,2008-10-27,11.0,11.8,9.3,10.6,101875
RICOAUTO,2008-10-28,10.9,11.35,10.55,11.0,14949
RICOAUTO,2008-10-29,11.5,11.5,10.4,10.8,53139
RICOAUTO,2008-10-31,10.6,11.25,10.0,10.85,122323
RICOAUTO,2008-11-03,11.75,12.85,11.1,12.4,145769
RICOAUTO,2008-11-04,12.3,12.3,10.95,12.1,101027
RICOAUTO,2008-11-05,12.75,12.75,11.1,11.35,113334
RICOAUTO,2008-11-06,11.0,11.35,11.0,11.15,68835
RICOAUTO,2008-11-07,11.15,11.3,11.0,11.25,30456
RICOAUTO,2008-11-10,11.0,12.05,11.0,11.75,44604
RICOAUTO,2008-11-11,11.5,11.65,11.0,11.15,30126
RICOAUTO,2008-11-12,11.45,11.85,11.0,11.55,88763
RICOAUTO,2008-11-14,11.4,11.55,11.1,11.3,43824
RICOAUTO,2008-11-17,11.4,11.4,10.3,10.6,72131
RICOAUTO,2008-11-18,10.5,10.75,10.15,10.6,31621
RICOAUTO,2008-11-19,10.5,10.55,9.9,10.05,35375
RICOAUTO,2008-11-20,10.0,10.0,9.4,9.55,49938
RICOAUTO,2008-11-21,10.0,10.0,8.55,9.05,72816
RICOAUTO,2008-11-24,9.1,9.65,8.7,8.75,60386
RICOAUTO,2008-11-25,8.9,9.15,8.6,8.75,55114
RICOAUTO,2008-11-26,8.65,8.85,8.4,8.7,37106
RICOAUTO,2008-11-28,8.4,8.7,8.35,8.55,18030
RICOAUTO,2008-12-01,8.5,8.95,8.1,8.15,33452
RICOAUTO,2008-12-02,8.0,8.7,7.7,8.1,31125
RICOAUTO,2008-12-03,8.1,8.25,8.0,8.15,20716
RICOAUTO,2008-12-04,8.1,9.1,8.1,8.9,43724
RICOAUTO,2008-12-05,8.95,9.35,8.65,9.0,49320
RICOAUTO,2008-12-08,9.35,9.7,9.2,9.45,34507
RICOAUTO,2008-12-10,9.05,10.5,9.05,10.3,102689
RICOAUTO,2008-12-11,10.0,11.0,10.0,10.3,61931
RICOAUTO,2008-12-12,10.2,11.95,9.6,11.55,181627
RICOAUTO,2008-12-15,10.95,13.1,10.95,12.85,183913
RICOAUTO,2008-12-16,12.95,13.8,12.6,13.3,141681
RICOAUTO,2008-12-17,13.65,13.75,12.1,12.25,77933
RICOAUTO,2008-12-18,12.05,12.85,12.0,12.55,48704
RICOAUTO,2008-12-19,12.55,12.65,12.25,12.4,31314
RICOAUTO,2008-12-22,12.8,12.95,12.15,12.3,51716
RICOAUTO,2008-12-23,12.15,12.15,11.3,11.55,25248
RICOAUTO,2008-12-24,11.4,11.9,11.0,11.4,36460
RICOAUTO,2008-12-26,11.9,11.9,10.9,11.0,27062
RICOAUTO,2008-12-29,11.1,11.4,10.65,11.0,20890
RICOAUTO,2008-12-30,11.0,11.3,11.0,11.05,38607
RICOAUTO,2008-12-31,11.1,11.7,10.9,11.5,60590
RICOAUTO,2009-01-01,11.5,12.4,11.15,12.1,129815
RICOAUTO,2009-01-02,12.2,12.65,12.0,12.3,125706
RICOAUTO,2009-01-05,12.5,12.9,12.2,12.35,47329
RICOAUTO,2009-01-06,12.55,12.7,11.4,11.65,77003
RICOAUTO,2009-01-07,11.75,12.4,10.3,10.55,84732
RICOAUTO,2009-01-09,10.1,10.55,9.8,10.15,31600
RICOAUTO,2009-01-12,10.2,10.95,9.85,10.3,45930
RICOAUTO,2009-01-13,10.3,10.5,9.15,9.65,37590
RICOAUTO,2009-01-14,10.0,10.45,9.8,9.9,31793
RICOAUTO,2009-01-15,10.0,10.0,9.25,9.8,61503
RICOAUTO,2009-01-16,10.35,10.4,8.15,8.95,196257
RICOAUTO,2009-01-19,9.2,9.3,8.7,9.2,19282
RICOAUTO,2009-01-20,9.0,9.25,9.0,9.15,8743
RICOAUTO,2009-01-21,8.85,9.25,8.85,9.1,17558
RICOAUTO,2009-01-22,9.0,9.45,7.4,7.95,220197
RICOAUTO,2009-01-23,8.1,8.4,7.5,7.85,49250
RICOAUTO,2009-01-27,8.4,8.4,7.8,8.05,33569
RICOAUTO,2009-01-28,7.85,8.55,7.85,8.05,119819
RICOAUTO,2009-01-29,8.0,8.5,8.0,8.4,118609
RICOAUTO,2009-01-30,8.2,8.5,8.0,8.45,25002
RICOAUTO,2009-02-02,8.15,8.85,8.15,8.8,97362
RICOAUTO,2009-02-03,8.55,9.2,8.5,8.95,112102
RICOAUTO,2009-02-04,8.95,9.35,8.85,9.05,81171
RICOAUTO,2009-02-05,9.0,9.25,8.9,9.05,634477
RICOAUTO,2009-02-06,8.9,9.4,8.9,9.0,556637
RICOAUTO,2009-02-09,9.35,9.35,8.85,8.9,265500
RICOAUTO,2009-02-10,9.0,9.3,8.85,8.9,404264
RICOAUTO,2009-02-11,8.9,9.0,8.65,8.7,1043373
RICOAUTO,2009-02-12,8.8,9.6,8.7,9.4,1482325
RICOAUTO,2009-02-13,9.7,9.7,9.1,9.2,29979
RICOAUTO,2009-02-16,9.4,9.4,8.75,8.85,30982
RICOAUTO,2009-02-17,8.55,8.8,8.3,8.5,24200
RICOAUTO,2009-02-18,8.8,8.9,8.3,8.65,37299
RICOAUTO,2009-02-19,8.9,8.9,8.6,8.7,9870
RICOAUTO,2009-02-20,8.5,8.8,8.5,8.6,10638
RICOAUTO,2009-02-24,8.5,8.75,8.05,8.3,9881
RICOAUTO,2009-02-25,8.6,8.8,8.35,8.4,9067
RICOAUTO,2009-02-26,8.5,8.8,8.2,8.4,71571
RICOAUTO,2009-02-27,9.0,9.05,8.2,8.3,31283
RICOAUTO,2009-03-02,8.45,8.85,8.1,8.6,35890
RICOAUTO,2009-03-03,8.35,8.9,8.3,8.4,31252
RICOAUTO,2009-03-04,8.2,8.55,8.15,8.2,10484
RICOAUTO,2009-03-05,7.8,8.25,7.8,7.95,29813
RICOAUTO,2009-03-06,8.3,8.3,7.65,7.95,13130
RICOAUTO,2009-03-09,8.0,8.15,7.55,7.95,39538
RICOAUTO,2009-03-12,7.9,8.1,7.7,7.85,513056
RICOAUTO,2009-03-13,8.0,8.6,7.85,8.5,54063
RICOAUTO,2009-03-16,8.25,8.4,8.1,8.2,34026
RICOAUTO,2009-03-17,8.25,9.0,7.65,7.7,876309
RICOAUTO,2009-03-18,8.2,8.45,8.05,8.35,88832
RICOAUTO,2009-03-19,8.45,8.65,8.2,8.45,155819
RICOAUTO,2009-03-20,8.2,9.05,8.2,8.9,55547
RICOAUTO,2009-03-23,8.9,9.35,8.75,9.0,105718
RICOAUTO,2009-03-24,9.05,9.25,8.25,8.4,67733
RICOAUTO,2009-03-25,8.55,8.95,8.5,8.55,61441
RICOAUTO,2009-03-26,8.75,9.35,8.5,9.05,195239
RICOAUTO,2009-03-27,9.3,9.5,9.05,9.2,113513
RICOAUTO,2009-03-30,9.25,10.2,9.15,9.45,155404
RICOAUTO,2009-03-31,9.45,10.2,9.35,9.45,38504
RICOAUTO,2009-04-01,9.8,9.8,9.5,9.6,41588
RICOAUTO,2009-04-02,9.65,10.5,9.6,10.05,184946
RICOAUTO,2009-04-06,9.85,10.5,9.85,10.05,65536
RICOAUTO,2009-04-08,9.85,11.05,9.25,10.65,123327
RICOAUTO,2009-04-09,10.25,11.05,10.25,10.75,130910
RICOAUTO,2009-04-13,11.0,11.85,10.85,11.35,253092
RICOAUTO,2009-04-15,11.4,13.45,10.95,12.6,484900
RICOAUTO,2009-04-16,13.3,13.4,11.4,12.65,556985
RICOAUTO,2009-04-17,13.0,13.2,12.1,12.25,341609
RICOAUTO,2009-04-20,12.85,12.95,12.1,12.35,87991
RICOAUTO,2009-04-21,12.0,12.35,11.5,12.05,78413
RICOAUTO,2009-04-22,12.25,12.75,11.25,12.45,163114
RICOAUTO,2009-04-23,12.3,13.25,11.75,13.0,278996
RICOAUTO,2009-04-24,13.15,13.6,12.7,13.35,263129
RICOAUTO,2009-04-27,14.15,15.35,14.05,14.3,562278
RICOAUTO,2009-04-28,14.3,14.5,13.0,13.1,153129
RICOAUTO,2009-04-29,13.0,14.0,12.9,13.45,145488
RICOAUTO,2009-05-04,14.0,14.0,13.3,13.65,143571
RICOAUTO,2009-05-05,14.0,14.0,12.6,13.0,303918
RICOAUTO,2009-05-06,12.75,13.45,12.75,13.2,113495
RICOAUTO,2009-05-07,13.4,13.6,13.0,13.15,104461
RICOAUTO,2009-05-08,13.2,13.55,12.5,12.85,160405
RICOAUTO,2009-05-11,13.0,13.5,12.85,13.0,146077
RICOAUTO,2009-05-12,13.45,13.45,12.5,13.15,68099
RICOAUTO,2009-05-13,13.05,13.3,12.8,13.0,74542
RICOAUTO,2009-05-14,12.95,13.05,12.65,12.95,33407
RICOAUTO,2009-05-15,13.25,13.75,12.75,12.9,126519
RICOAUTO,2009-05-18,13.9,13.9,13.9,13.9,300
RICOAUTO,2009-05-19,14.05,14.9,13.0,14.15,609835
RICOAUTO,2009-05-20,14.3,17.0,14.05,17.0,921158
RICOAUTO,2009-05-21,18.0,20.4,17.5,19.4,896581
RICOAUTO,2009-05-22,19.1,19.65,17.9,18.65,281725
RICOAUTO,2009-05-25,18.65,20.2,18.05,20.05,455258
RICOAUTO,2009-05-26,19.95,21.6,18.55,18.75,420863
RICOAUTO,2009-05-27,19.45,20.55,18.7,20.1,523657
RICOAUTO,2009-05-28,20.1,20.75,19.15,19.4,244862
RICOAUTO,2009-05-29,19.5,21.1,19.5,20.45,510090
RICOAUTO,2009-06-01,21.0,21.1,19.65,20.25,285350
RICOAUTO,2009-06-02,20.5,20.75,18.55,19.25,356262
RICOAUTO,2009-06-03,19.5,21.2,19.25,20.55,596250
RICOAUTO,2009-06-04,20.75,22.65,20.1,22.65,346749
RICOAUTO,2009-06-05,23.95,24.95,22.15,22.5,501609
RICOAUTO,2009-06-08,22.5,23.0,20.25,20.25,287097
RICOAUTO,2009-06-09,20.0,20.75,19.0,19.6,379724
RICOAUTO,2009-06-10,19.95,20.9,19.75,20.0,557508
RICOAUTO,2009-06-11,20.45,20.45,19.45,19.95,398119
RICOAUTO,2009-06-12,20.0,20.1,18.0,18.9,125470
RICOAUTO,2009-06-15,18.5,19.0,18.1,18.75,125818
RICOAUTO,2009-06-16,18.1,20.45,18.1,19.95,238147
RICOAUTO,2009-06-17,20.0,20.4,18.6,18.8,116895
RICOAUTO,2009-06-18,18.7,18.9,17.95,18.5,383147
RICOAUTO,2009-06-19,19.45,19.45,17.75,18.4,97117
RICOAUTO,2009-06-22,18.8,19.0,17.8,18.0,90492
RICOAUTO,2009-06-23,18.0,18.0,17.1,17.45,78290
RICOAUTO,2009-06-24,17.75,18.25,17.6,17.9,69066
RICOAUTO,2009-06-25,17.25,18.25,17.25,17.95,68939
RICOAUTO,2009-06-26,18.0,18.75,17.6,18.35,108691
RICOAUTO,2009-06-29,18.5,19.1,18.2,18.25,106442
RICOAUTO,2009-06-30,18.45,18.5,17.55,17.7,48823
RICOAUTO,2009-07-01,17.8,18.5,17.5,18.1,80483
RICOAUTO,2009-07-02,18.0,18.0,17.45,17.55,142505
RICOAUTO,2009-07-03,17.2,18.0,17.2,17.85,77023
RICOAUTO,2009-07-06,17.7,18.1,16.6,17.4,68571
RICOAUTO,2009-07-07,17.2,17.5,16.45,17.3,76933
RICOAUTO,2009-07-08,17.0,17.2,16.5,16.8,72351
RICOAUTO,2009-07-09,16.95,17.0,16.05,16.6,74910
RICOAUTO,2009-07-10,16.8,16.85,16.0,16.2,39430
RICOAUTO,2009-07-13,15.4,17.0,15.0,15.8,65313
RICOAUTO,2009-07-14,15.5,16.35,15.5,15.95,28562
RICOAUTO,2009-07-15,16.45,17.4,16.05,17.05,50027
RICOAUTO,2009-07-16,17.0,17.75,16.35,16.9,57528
RICOAUTO,2009-07-17,17.45,17.7,16.6,17.0,137716
RICOAUTO,2009-07-20,17.45,17.45,16.8,17.05,107070
RICOAUTO,2009-07-21,17.0,17.25,16.8,17.1,42206
RICOAUTO,2009-07-22,16.8,18.25,16.8,17.85,135114
RICOAUTO,2009-07-23,18.2,19.4,18.0,18.5,268701
RICOAUTO,2009-07-24,19.45,22.2,19.45,22.2,1185057
RICOAUTO,2009-07-27,23.25,26.2,23.25,24.85,2384163
RICOAUTO,2009-07-28,25.45,27.35,23.45,27.35,1574628
RICOAUTO,2009-07-29,28.0,30.1,26.2,30.1,4306722
RICOAUTO,2009-07-30,30.6,31.9,27.7,28.15,2660328
RICOAUTO,2009-07-31,29.95,30.5,26.6,27.5,2545887
RICOAUTO,2009-08-03,27.0,30.0,26.55,29.6,1340551
RICOAUTO,2009-08-04,29.9,31.4,29.25,29.6,1877137
RICOAUTO,2009-08-05,30.0,31.0,29.5,29.95,907045
RICOAUTO,2009-08-06,30.0,30.2,28.7,29.0,752891
RICOAUTO,2009-08-07,28.5,28.5,27.55,27.75,457106
RICOAUTO,2009-08-10,28.5,28.9,26.4,26.4,220990
RICOAUTO,2009-08-11,25.6,26.0,25.1,25.15,141890
RICOAUTO,2009-08-12,24.95,25.1,23.9,25.0,94701
RICOAUTO,2009-08-13,25.45,26.15,25.0,25.45,147866
RICOAUTO,2009-08-14,25.5,26.75,25.45,26.75,63848
RICOAUTO,2009-08-17,26.5,27.1,25.45,26.0,204389
RICOAUTO,2009-08-18,26.0,27.0,24.75,26.45,127631
RICOAUTO,2009-08-19,27.5,27.8,26.0,26.25,168037
RICOAUTO,2009-08-20,26.75,26.85,25.15,25.35,81699
RICOAUTO,2009-08-21,25.0,25.65,24.9,25.35,71600
RICOAUTO,2009-08-24,25.95,26.5,25.05,25.4,62725
RICOAUTO,2009-08-25,25.4,26.6,24.75,26.15,130267
RICOAUTO,2009-08-26,26.6,27.2,25.7,26.15,126402
RICOAUTO,2009-08-27,26.25,27.0,25.8,26.4,120227
RICOAUTO,2009-08-28,26.5,27.0,25.65,26.2,68104
RICOAUTO,2009-08-31,26.0,26.4,25.1,25.45,77445
RICOAUTO,2009-09-01,25.1,26.75,25.05,26.4,172469
RICOAUTO,2009-09-02,26.0,26.4,25.6,26.0,86885
RICOAUTO,2009-09-03,25.85,26.65,25.8,25.9,62689
RICOAUTO,2009-09-04,26.5,27.2,25.95,27.2,142075
RICOAUTO,2009-09-07,28.6,28.6,28.6,28.6,68315
RICOAUTO,2009-09-08,30.05,30.05,28.2,28.45,300038
RICOAUTO,2009-09-09,27.1,29.0,27.1,28.15,153304
RICOAUTO,2009-09-10,29.0,29.2,27.2,27.5,199836
RICOAUTO,2009-09-11,28.45,28.45,27.15,27.8,75592
RICOAUTO,2009-09-14,27.5,28.0,26.6,27.0,112062
RICOAUTO,2009-09-15,26.65,27.5,25.9,26.5,205896
RICOAUTO,2009-09-16,26.0,27.0,26.0,26.45,90542
RICOAUTO,2009-09-17,26.3,27.0,26.05,26.45,77909
RICOAUTO,2009-09-18,26.5,27.1,26.1,26.95,156836
RICOAUTO,2009-09-22,27.0,28.3,26.75,27.9,305608
RICOAUTO,2009-09-23,28.25,28.4,26.5,26.85,692657
RICOAUTO,2009-09-24,26.15,26.75,25.6,26.15,119788
RICOAUTO,2009-09-25,25.5,26.5,25.5,25.95,110414
RICOAUTO,2009-09-29,26.5,26.8,25.8,26.1,124884
RICOAUTO,2009-09-30,26.0,26.5,25.8,26.05,44290
RICOAUTO,2009-10-01,25.9,26.5,25.8,26.35,74305
RICOAUTO,2009-10-05,26.35,26.95,25.65,25.85,128933
RICOAUTO,2009-10-06,26.45,26.45,24.6,25.75,139609
RICOAUTO,2009-10-07,25.5,26.3,25.25,25.4,47158
RICOAUTO,2009-10-08,25.05,25.9,24.8,25.3,70679
RICOAUTO,2009-10-09,25.9,26.0,24.85,25.0,46005
RICOAUTO,2009-10-12,25.0,25.35,24.75,24.85,36263
RICOAUTO,2009-10-14,25.25,25.25,24.6,24.9,38944
RICOAUTO,2009-10-15,25.0,25.5,24.5,24.85,44187
RICOAUTO,2009-10-16,25.25,25.95,24.75,24.95,95016
RICOAUTO,2009-10-17,24.5,25.5,24.5,25.35,38983
RICOAUTO,2009-10-20,24.8,25.1,24.1,24.8,152652
RICOAUTO,2009-10-21,24.1,25.0,24.05,24.5,175112
RICOAUTO,2009-10-22,24.3,25.0,24.0,24.45,98146
RICOAUTO,2009-10-23,25.25,25.7,24.7,24.9,221531
RICOAUTO,2009-10-26,25.1,25.5,24.6,24.6,57222
RICOAUTO,2009-10-27,24.8,25.5,23.4,23.4,61690
RICOAUTO,2009-10-28,22.75,23.0,22.25,22.7,81775
RICOAUTO,2009-10-29,21.8,22.4,21.6,21.65,97300
RICOAUTO,2009-10-30,22.5,22.75,22.5,22.75,63416
RICOAUTO,2009-11-03,22.75,23.9,21.75,22.7,150542
RICOAUTO,2009-11-04,22.95,23.0,21.8,22.0,129589
RICOAUTO,2009-11-05,22.55,22.85,21.5,21.7,47676
RICOAUTO,2009-11-06,22.75,22.8,22.75,22.8,15337
RICOAUTO,2009-11-09,23.95,23.95,23.95,23.95,14358
RICOAUTO,2009-11-10,25.15,25.15,25.15,25.15,32112
RICOAUTO,2009-11-11,26.45,26.45,25.5,26.45,240500
RICOAUTO,2009-11-12,26.45,26.85,25.25,25.7,80129
RICOAUTO,2009-11-13,25.9,26.2,25.15,25.3,48005
