symbol,date,open,high,low,close,volume
RKDL,2016-01-01,5.1,5.45,5.1,5.45,311072
RKDL,2016-01-04,5.625,5.975,5.6,5.975,149302
RKDL,2016-01-05,6.55,6.55,6.5,6.55,253968
RKDL,2016-01-06,6.875,6.875,6.225,6.875,223088
RKDL,2016-01-07,6.425,7.075,6.425,6.75,424858
RKDL,2016-01-08,7.075,7.15,6.925,7.15,161462
RKDL,2016-01-11,7.4,7.5,7.25,7.5,104560
RKDL,2016-01-12,7.85,7.875,7.775,7.875,260618
RKDL,2016-01-13,8.2,8.25,7.5,8.25,635672
RKDL,2016-01-14,8.5,8.5,7.85,8.15,265734
RKDL,2016-01-15,8.35,8.375,7.7,7.7,94918
RKDL,2016-01-18,7.5,7.625,7.325,7.325,15162
RKDL,2016-01-19,6.975,6.975,6.975,6.975,10412
RKDL,2016-01-20,6.65,6.65,6.65,6.65,11402
RKDL,2016-01-21,6.325,6.325,6.325,6.325,29634
RKDL,2016-01-22,6.025,6.25,6.025,6.075,204622
RKDL,2016-01-25,6.2,6.25,5.725,5.725,175044
RKDL,2016-01-27,5.725,5.85,5.45,5.45,90552
RKDL,2016-01-28,5.225,5.225,5.2,5.2,15274
RKDL,2016-01-29,4.95,5.45,4.95,5.45,104120
RKDL,2016-02-01,5.7,5.7,5.65,5.7,39650
RKDL,2016-02-02,5.975,5.975,5.8,5.95,66162
RKDL,2016-02-03,5.675,6.0,5.65,5.75,85472
RKDL,2016-02-04,5.85,5.85,5.525,5.525,33000
RKDL,2016-02-05,5.3,5.55,5.25,5.375,33372
RKDL,2016-02-08,5.375,5.45,5.075,5.125,48510
RKDL,2016-02-09,5.225,5.225,4.9,4.9,18350
RKDL,2016-02-10,4.775,5.075,4.675,4.75,40660
RKDL,2016-02-11,4.675,4.675,4.525,4.525,37516
RKDL,2016-02-12,4.5,4.5,4.3,4.3,33768
RKDL,2016-02-15,4.2,4.525,4.175,4.425,58056
RKDL,2016-02-16,4.575,4.575,4.275,4.275,35606
RKDL,2016-02-17,4.125,4.35,4.075,4.075,27794
RKDL,2016-02-18,4.35,4.35,4.05,4.25,26772
RKDL,2016-02-19,4.3,4.375,4.2,4.25,16388
RKDL,2016-02-22,4.375,4.375,4.1,4.225,23400
RKDL,2016-02-23,4.25,4.25,3.975,4.025,26126
RKDL,2016-02-24,3.975,4.2,3.95,3.95,22112
RKDL,2016-02-25,4.225,4.225,4.0,4.075,25256
RKDL,2016-02-26,4.05,4.25,4.0,4.0,7648
RKDL,2016-02-29,4.225,4.225,3.925,3.925,4830
RKDL,2016-03-01,4.0,4.1,3.9,4.075,28130
RKDL,2016-03-02,4.05,4.25,4.0,4.25,71990
RKDL,2016-03-03,4.25,4.4,4.15,4.375,13954
RKDL,2016-03-04,4.375,4.55,4.35,4.55,3888
RKDL,2016-03-08,4.6,4.675,4.35,4.4,26816
RKDL,2016-03-09,4.3,4.65,4.3,4.625,56448
RKDL,2016-03-10,4.625,4.825,4.575,4.825,34840
RKDL,2016-03-11,4.8,4.875,4.675,4.775,29818
RKDL,2016-03-14,4.8,4.975,4.75,4.975,17832
RKDL,2016-03-15,5.125,5.125,4.8,4.8,27266
RKDL,2016-03-16,5.0,5.0,4.6,4.7,38054
RKDL,2016-03-17,4.65,4.675,4.525,4.525,5580
RKDL,2016-03-18,4.5,4.5,4.35,4.35,19440
RKDL,2016-03-21,4.425,4.425,4.15,4.15,31800
RKDL,2016-03-22,4.125,4.125,3.95,3.975,36170
RKDL,2016-03-23,3.95,4.2,3.9,4.15,47402
RKDL,2016-03-28,4.1,4.25,3.925,4.0,49262
RKDL,2016-03-29,4.125,4.125,3.925,3.925,20486
RKDL,2016-03-30,3.95,4.0,3.9,4.0,12960
RKDL,2016-03-31,3.925,4.175,3.9,3.925,13460
RKDL,2016-04-01,4.2,4.2,4.0,4.075,12832
RKDL,2016-04-04,4.125,4.225,4.0,4.2,45364
RKDL,2016-04-05,4.25,4.25,4.0,4.075,14484
RKDL,2016-04-06,4.0,4.225,4.0,4.125,16032
RKDL,2016-04-07,4.05,4.25,4.0,4.125,60386
RKDL,2016-04-08,4.2,4.35,4.15,4.25,24174
