symbol,date,open,high,low,close,volume
RMDRIP,2023-01-11,17.85,17.85,17.0,17.0,10001
RMDRIP,2023-01-12,17.0,17.9,17.0,17.9,16001
RMDRIP,2023-01-13,18.75,18.75,17.4,17.4,16001
RMDRIP,2023-01-16,18.2,18.25,16.95,16.95,12001
RMDRIP,2023-01-17,17.85,17.9,16.95,16.95,12002
RMDRIP,2023-01-18,17.75,17.75,17.5,17.5,22001
RMDRIP,2023-01-19,17.1,18.35,17.1,17.55,24001
RMDRIP,2023-01-20,18.4,18.4,17.7,17.7,16001
RMDRIP,2023-01-23,18.55,18.55,17.2,17.2,6001
RMDRIP,2023-01-25,18.0,18.75,18.0,18.75,12001
RMDRIP,2023-01-27,18.05,18.05,17.85,17.85,6001
RMDRIP,2023-01-30,17.05,18.7,16.95,18.25,622002
RMDRIP,2023-01-31,18.3,19.35,18.3,19.35,556001
RMDRIP,2023-02-01,20.3,20.3,20.3,20.3,6001
RMDRIP,2023-02-02,21.3,21.3,21.3,21.3,12001
RMDRIP,2023-02-03,22.35,22.35,22.0,22.35,968001
RMDRIP,2023-02-06,23.45,23.45,23.45,23.45,6001
RMDRIP,2023-02-07,24.6,24.6,24.6,24.6,8001
RMDRIP,2023-02-08,25.8,25.8,23.4,24.15,232001
RMDRIP,2023-02-09,24.15,24.65,22.85,24.65,136001
RMDRIP,2023-02-10,25.25,25.25,23.25,23.25,16001
RMDRIP,2023-02-13,22.4,22.45,22.15,22.15,12001
RMDRIP,2023-02-14,21.4,22.95,21.4,22.95,22001
RMDRIP,2023-02-15,23.65,23.75,23.65,23.75,16001
RMDRIP,2023-02-16,24.9,24.9,24.9,24.9,16001
RMDRIP,2023-02-17,26.1,26.1,26.1,26.1,24001
RMDRIP,2023-02-20,27.4,27.4,27.4,27.4,320001
RMDRIP,2023-02-21,28.75,28.75,26.25,28.75,214001
RMDRIP,2023-02-22,30.15,30.15,30.15,30.15,90001
RMDRIP,2023-02-23,31.65,31.65,31.65,31.65,44001
RMDRIP,2023-02-24,33.2,33.2,33.2,33.2,20001
RMDRIP,2023-02-27,34.85,34.85,31.55,31.55,236002
RMDRIP,2023-02-28,30.95,33.1,30.0,30.1,170002
RMDRIP,2023-03-01,28.95,31.95,28.95,31.95,88001
RMDRIP,2023-03-02,33.45,33.45,33.45,33.45,16001
RMDRIP,2023-03-03,35.1,35.1,35.1,35.1,14001
RMDRIP,2023-03-06,36.85,36.85,36.85,36.85,2001
RMDRIP,2023-03-08,38.65,38.65,38.65,38.65,64001
RMDRIP,2023-03-09,40.55,40.55,36.85,40.55,74001
RMDRIP,2023-03-10,38.2,41.85,38.15,39.5,18001
RMDRIP,2023-03-13,37.55,38.95,37.55,38.95,12001
RMDRIP,2023-03-14,39.35,39.35,36.35,39.0,40001
RMDRIP,2023-03-15,39.5,40.95,39.5,40.95,28001
RMDRIP,2023-03-16,40.0,42.75,39.15,42.75,14001
RMDRIP,2023-03-17,44.3,44.6,44.3,44.6,20001
RMDRIP,2023-03-20,44.5,46.8,44.5,46.8,14001
RMDRIP,2023-03-21,49.1,49.1,49.1,49.1,12001
RMDRIP,2023-03-22,51.15,51.55,51.0,51.55,14001
RMDRIP,2023-03-23,53.5,54.1,50.65,52.95,44002
