symbol,date,open,high,low,close,volume
ROML-RE,2023-02-21,4.1,4.1,2.5875,2.5875,217744
ROML-RE,2023-02-22,3.25,4.975,3.125,4.425,144374
ROML-RE,2023-02-23,6.25,7.0,4.55,7.0,13670
ROML-RE,2023-02-24,6.0,7.2,4.95,5.3,10231
ROML-RE,2023-02-27,4.6,5.05,4.45,5.0,17273
ROML-RE,2023-02-28,5.0,5.0,4.0,4.05,16060
ROML-RE,2023-03-01,3.95,4.15,3.6,3.6,100798
ROML-RE,2023-03-02,3.6,3.95,3.25,3.3,43498
ROML-RE,2023-03-03,3.3,3.3,3.0,3.0,68953
ROML-RE,2023-03-06,3.0,3.15,2.85,2.85,39919
ROML-RE,2023-03-08,2.85,2.95,2.7,2.95,14877
ROML-RE,2023-03-09,3.05,3.05,3.05,3.05,20621
ROML-RE,2023-03-10,3.2,3.2,3.2,3.2,5701
ROML-RE,2023-03-13,3.35,3.35,3.35,3.35,9036
ROML-RE,2023-03-14,3.35,3.5,3.35,3.45,11345
ROML-RE,2023-03-15,3.45,3.6,3.3,3.45,24275
