symbol,date,open,high,low,close,volume
ROXHITECH,2023-12-01,180.0,187.0,164.15,164.15,726403
ROXHITECH,2023-12-04,170.0,201.5,170.0,196.0,737601
ROXHITECH,2023-12-05,195.0,203.9,184.2,191.05,368001
ROXHITECH,2023-12-06,207.9,208.0,180.0,192.0,705602
ROXHITECH,2023-12-07,193.45,197.8,182.0,184.15,252801
ROXHITECH,2023-12-08,187.85,187.85,172.15,175.05,228801
ROXHITECH,2023-12-11,175.05,175.1,167.0,168.55,190401
ROXHITECH,2023-12-12,170.35,180.05,166.0,175.0,158401
ROXHITECH,2023-12-13,171.5,179.0,171.5,172.05,168001
ROXHITECH,2023-12-14,176.95,176.95,160.0,162.0,388801
ROXHITECH,2023-12-15,163.0,172.55,157.0,167.0,272001
ROXHITECH,2023-12-18,173.0,173.0,161.0,163.7,112001
ROXHITECH,2023-12-19,163.3,163.3,152.25,155.0,507202
ROXHITECH,2023-12-20,159.5,159.5,144.0,145.0,267201
ROXHITECH,2023-12-21,146.0,153.0,143.0,153.0,171201
ROXHITECH,2023-12-22,155.6,165.0,154.0,161.9,80001
ROXHITECH,2023-12-26,163.5,169.95,157.35,167.0,171201
ROXHITECH,2023-12-27,170.0,172.0,159.3,161.95,169601
ROXHITECH,2023-12-28,164.0,165.0,159.45,159.55,108801
ROXHITECH,2023-12-29,159.0,159.0,151.5,155.0,94401
ROXHITECH,2024-01-01,156.0,157.5,148.55,150.0,132801
ROXHITECH,2024-01-02,153.45,153.45,147.1,148.75,113601
ROXHITECH,2024-01-03,148.8,159.95,144.7,159.0,331201
ROXHITECH,2024-01-04,162.0,189.9,162.0,184.0,1041602
ROXHITECH,2024-01-05,188.0,191.35,181.0,183.5,608002
ROXHITECH,2024-01-08,186.9,191.4,177.05,177.05,227201
ROXHITECH,2024-01-09,178.05,179.95,170.1,172.0,200002
ROXHITECH,2024-01-10,175.0,178.0,170.2,177.8,118401
ROXHITECH,2024-01-11,176.2,181.0,170.0,171.5,156801
ROXHITECH,2024-01-12,170.8,175.5,159.0,164.5,668801
ROXHITECH,2024-01-15,162.5,168.0,162.5,168.0,134401
ROXHITECH,2024-01-16,167.5,169.7,162.05,163.5,88001
ROXHITECH,2024-01-17,163.45,166.0,160.1,164.0,73601
ROXHITECH,2024-01-18,163.75,163.95,156.65,159.7,177601
ROXHITECH,2024-01-19,163.6,168.5,161.0,161.25,126401
ROXHITECH,2024-01-20,161.75,164.0,160.2,160.25,96001
ROXHITECH,2024-01-23,162.1,162.35,155.2,155.4,139200
ROXHITECH,2024-01-24,155.65,159.9,153.5,153.75,100801
ROXHITECH,2024-01-25,153.3,156.95,151.0,151.25,78401
ROXHITECH,2024-01-29,153.55,156.95,148.3,150.0,129601
ROXHITECH,2024-01-30,153.4,154.0,146.7,152.5,110401
ROXHITECH,2024-01-31,155.9,162.8,153.5,159.5,195201
ROXHITECH,2024-02-01,161.95,164.95,154.0,159.05,112001
ROXHITECH,2024-02-02,157.7,159.95,152.55,152.55,92801
ROXHITECH,2024-02-05,159.5,159.9,150.0,151.55,144002
ROXHITECH,2024-02-06,150.0,155.8,150.0,155.8,35201
ROXHITECH,2024-02-07,158.0,158.95,152.0,157.5,196801
ROXHITECH,2024-02-08,158.75,158.75,154.3,156.0,60801
ROXHITECH,2024-02-09,155.1,156.5,151.0,155.85,62401
ROXHITECH,2024-02-12,157.75,157.75,150.8,154.25,104001
ROXHITECH,2024-02-13,145.8,148.9,138.0,142.6,216001
ROXHITECH,2024-02-14,142.6,143.7,140.0,140.0,105601
ROXHITECH,2024-02-15,143.0,144.0,138.0,138.35,100801
ROXHITECH,2024-02-16,138.8,140.0,135.2,139.8,121601
ROXHITECH,2024-02-19,144.3,144.3,139.65,142.0,104001
ROXHITECH,2024-02-20,143.0,143.9,136.0,137.5,131201
ROXHITECH,2024-02-21,139.0,140.9,132.0,132.15,179201
ROXHITECH,2024-02-22,132.0,152.0,127.5,146.0,366401
ROXHITECH,2024-02-23,151.0,151.0,142.4,142.4,179201
ROXHITECH,2024-02-26,145.4,146.75,139.1,144.5,123201
ROXHITECH,2024-02-27,144.5,145.3,143.25,143.3,84801
ROXHITECH,2024-02-28,145.0,145.0,135.05,135.15,56001
ROXHITECH,2024-02-29,139.95,139.95,130.0,130.0,91201
ROXHITECH,2024-03-01,135.5,140.0,130.1,132.65,244801
ROXHITECH,2024-03-02,133.3,136.35,133.3,134.75,19201
ROXHITECH,2024-03-04,133.0,133.45,129.0,130.1,147201
ROXHITECH,2024-03-05,132.6,132.6,126.05,129.0,67201
ROXHITECH,2024-03-06,126.25,126.25,118.25,124.15,168001
ROXHITECH,2024-03-07,123.0,132.75,117.3,128.9,150401
ROXHITECH,2024-03-11,130.95,130.95,116.05,120.45,128001
ROXHITECH,2024-03-12,116.05,116.05,105.0,108.0,168001
ROXHITECH,2024-03-13,107.95,114.65,102.05,103.95,198401
ROXHITECH,2024-03-14,101.7,113.0,101.3,111.75,190401
ROXHITECH,2024-03-15,111.65,111.95,106.35,111.95,73601
ROXHITECH,2024-03-18,114.45,127.8,113.0,119.0,190401
ROXHITECH,2024-03-19,123.2,126.9,120.0,120.0,108801
ROXHITECH,2024-03-20,125.9,125.9,116.8,117.0,76801
ROXHITECH,2024-03-21,119.1,122.65,115.0,116.95,110401
ROXHITECH,2024-03-22,117.95,117.95,113.9,114.6,108801
ROXHITECH,2024-03-26,114.1,114.1,103.1,105.0,243201
ROXHITECH,2024-03-27,106.5,110.0,101.0,102.8,198401
ROXHITECH,2024-03-28,102.9,104.95,100.15,102.0,185601
ROXHITECH,2024-04-01,106.0,110.0,105.95,108.15,118401
ROXHITECH,2024-04-02,109.0,109.9,108.0,108.95,56001
ROXHITECH,2024-04-03,108.95,121.0,108.95,118.0,104001
ROXHITECH,2024-04-04,118.0,119.75,114.0,115.0,72001
ROXHITECH,2024-04-05,112.0,116.9,112.0,114.9,35201
ROXHITECH,2024-04-08,119.15,119.15,113.05,113.05,52801
ROXHITECH,2024-04-09,115.0,115.0,112.5,112.5,68801
ROXHITECH,2024-04-10,112.8,114.7,112.8,114.7,38401
ROXHITECH,2024-04-12,114.7,114.7,110.0,114.6,28801
ROXHITECH,2024-04-15,108.2,112.45,108.0,111.0,35202
ROXHITECH,2024-04-16,109.05,111.4,108.25,109.2,91201
ROXHITECH,2024-04-18,109.3,127.0,109.3,120.0,515201
ROXHITECH,2024-04-19,118.95,128.95,116.05,127.1,187201
ROXHITECH,2024-04-22,131.0,131.4,124.1,124.55,100802
ROXHITECH,2024-04-23,129.3,133.65,125.55,132.0,180801
ROXHITECH,2024-04-24,133.65,134.85,126.0,128.8,65602
ROXHITECH,2024-04-25,128.0,128.0,122.1,123.15,120001
ROXHITECH,2024-04-26,123.6,123.6,116.9,118.7,115201
ROXHITECH,2024-04-29,121.95,124.4,120.6,124.4,113602
ROXHITECH,2024-04-30,125.0,125.95,123.05,124.4,49601
