symbol,date,open,high,low,close,volume
RUCHISOYA,2016-01-01,29.5,30.75,29.25,30.0,447488
RUCHISOYA,2016-01-04,30.05,30.7,29.75,30.0,181823
RUCHISOYA,2016-01-05,29.95,31.3,29.85,30.65,864527
RUCHISOYA,2016-01-06,30.65,32.5,30.5,31.9,1907511
RUCHISOYA,2016-01-07,31.1,31.35,29.4,30.0,599983
RUCHISOYA,2016-01-08,30.15,30.6,29.25,29.9,292186
RUCHISOYA,2016-01-11,29.5,30.0,29.3,29.65,235997
RUCHISOYA,2016-01-12,30.0,30.1,29.3,29.55,131072
RUCHISOYA,2016-01-13,29.8,29.8,27.65,28.15,389517
RUCHISOYA,2016-01-14,27.55,28.15,27.5,27.7,137357
RUCHISOYA,2016-01-15,27.65,28.2,26.7,26.75,220626
RUCHISOYA,2016-01-18,26.95,27.0,25.8,25.8,143908
RUCHISOYA,2016-01-19,26.3,26.6,25.8,26.05,73575
RUCHISOYA,2016-01-20,25.9,26.0,23.75,24.05,231852
RUCHISOYA,2016-01-21,24.8,25.6,24.25,24.55,98070
RUCHISOYA,2016-01-22,25.7,25.7,23.5,24.0,284518
RUCHISOYA,2016-01-25,24.2,24.75,23.85,23.9,160510
RUCHISOYA,2016-01-27,24.05,24.1,23.7,23.95,128562
RUCHISOYA,2016-01-28,24.1,24.2,23.9,23.95,151263
RUCHISOYA,2016-01-29,23.95,24.5,23.75,23.95,228462
RUCHISOYA,2016-02-01,24.0,24.5,23.9,24.25,381666
RUCHISOYA,2016-02-02,24.15,24.3,23.5,23.75,150813
RUCHISOYA,2016-02-03,23.5,23.5,22.35,22.9,139137
RUCHISOYA,2016-02-04,22.8,23.45,22.6,23.25,144680
RUCHISOYA,2016-02-05,22.8,25.35,22.8,24.3,169863
RUCHISOYA,2016-02-08,24.55,24.9,23.9,23.95,202655
RUCHISOYA,2016-02-09,24.0,24.45,23.55,24.0,77974
RUCHISOYA,2016-02-10,24.45,24.45,23.75,24.0,182001
RUCHISOYA,2016-02-11,23.05,23.05,21.0,22.3,301075
RUCHISOYA,2016-02-12,22.0,23.3,22.0,23.0,362883
RUCHISOYA,2016-02-15,23.15,24.2,23.0,24.1,202072
RUCHISOYA,2016-02-16,24.0,24.35,20.5,22.45,473802
RUCHISOYA,2016-02-17,22.5,23.85,22.35,23.6,213142
RUCHISOYA,2016-02-18,23.2,24.0,23.2,24.0,231349
RUCHISOYA,2016-02-19,24.1,25.6,23.6,24.0,369522
RUCHISOYA,2016-02-22,24.0,24.6,23.7,24.0,288264
RUCHISOYA,2016-02-23,24.0,24.25,23.85,23.9,53877
RUCHISOYA,2016-02-24,23.85,24.05,23.7,23.95,395241
RUCHISOYA,2016-02-25,23.8,24.25,23.8,24.25,55156
RUCHISOYA,2016-02-26,24.1,24.45,23.9,23.9,221276
RUCHISOYA,2016-02-29,23.9,24.0,23.7,23.8,110741
RUCHISOYA,2016-03-01,24.25,25.2,24.0,25.1,69451
RUCHISOYA,2016-03-02,24.95,25.35,24.75,24.8,318032
RUCHISOYA,2016-03-03,24.85,25.1,24.8,25.0,115319
RUCHISOYA,2016-03-04,25.0,25.1,24.9,25.05,220030
RUCHISOYA,2016-03-08,25.15,27.15,25.0,26.0,263286
