symbol,date,open,high,low,close,volume
S&P BSE METAL,2014-01-01,10019.95,10026.85,9973.55,9985.35,0
S&P BSE METAL,2014-01-02,9968.81,10148.86,9801.74,9836.85,0
S&P BSE METAL,2014-01-03,9768.92,9830.95,9642.84,9718.47,0
S&P BSE METAL,2014-01-06,9717.29,9761.85,9656.77,9720.0,0
S&P BSE METAL,2014-01-07,9750.81,9793.0,9540.08,9557.12,0
S&P BSE METAL,2014-01-08,9617.78,9665.74,9540.87,9598.3,0
S&P BSE METAL,2014-01-09,9628.44,9747.24,9583.74,9699.63,0
S&P BSE METAL,2014-01-10,9686.43,9696.42,9532.88,9551.58,0
S&P BSE METAL,2014-01-13,9577.62,9639.01,9505.26,9555.96,0
S&P BSE METAL,2014-01-14,9573.45,9629.46,9400.33,9421.52,0
S&P BSE METAL,2014-01-15,9552.71,9583.74,9491.56,9525.77,0
S&P BSE METAL,2014-01-16,9573.17,9710.82,9545.28,9692.85,0
S&P BSE METAL,2014-01-17,9709.01,9783.28,9595.04,9635.03,0
S&P BSE METAL,2014-01-20,9662.41,9672.02,9545.97,9658.36,0
S&P BSE METAL,2014-01-21,9745.71,9812.71,9656.65,9732.54,0
S&P BSE METAL,2014-01-22,9723.13,9840.73,9722.41,9823.43,0
S&P BSE METAL,2014-01-23,9804.37,9837.86,9751.05,9774.35,0
S&P BSE METAL,2014-01-24,9683.65,9739.46,9578.07,9604.37,0
S&P BSE METAL,2014-01-27,9462.38,9462.38,9220.58,9238.48,0
S&P BSE METAL,2014-01-28,9251.62,9436.24,9195.95,9397.13,0
S&P BSE METAL,2014-01-29,9465.1,9465.1,9244.29,9270.46,0
S&P BSE METAL,2014-01-30,9202.31,9202.31,8973.93,9037.16,0
S&P BSE METAL,2014-01-31,9083.26,9168.08,9053.06,9151.57,0
S&P BSE METAL,2014-02-03,9131.29,9137.12,8844.95,8871.9,0
S&P BSE METAL,2014-02-04,8751.12,8876.93,8699.75,8827.74,0
S&P BSE METAL,2014-02-05,8831.53,8989.04,8798.41,8969.33,0
S&P BSE METAL,2014-02-06,9007.08,9090.7,8937.93,9052.08,0
S&P BSE METAL,2014-02-07,9125.77,9307.29,9121.05,9292.87,0
S&P BSE METAL,2014-02-10,9340.8,9433.37,9233.32,9245.91,0
S&P BSE METAL,2014-02-11,9288.47,9312.88,9209.17,9279.96,0
S&P BSE METAL,2014-02-12,9282.7,9283.89,9133.49,9156.45,0
S&P BSE METAL,2014-02-13,9172.15,9172.15,8961.77,8990.28,0
S&P BSE METAL,2014-02-14,9025.75,9068.79,8871.86,9053.28,0
S&P BSE METAL,2014-02-17,9032.5,9056.47,8907.25,8989.07,0
S&P BSE METAL,2014-02-18,8949.6,9112.16,8938.41,9081.87,0
S&P BSE METAL,2014-02-19,9086.59,9094.41,8944.67,8985.18,0
S&P BSE METAL,2014-02-20,8914.06,8945.2,8848.96,8894.22,0
S&P BSE METAL,2014-02-21,8916.5,8986.63,8914.76,8969.78,0
S&P BSE METAL,2014-02-24,8955.85,8975.13,8874.59,8888.2,0
S&P BSE METAL,2014-02-25,8919.01,8929.82,8719.61,8732.81,0
S&P BSE METAL,2014-02-26,8746.94,8746.94,8542.43,8575.85,0
S&P BSE METAL,2014-02-28,8611.81,8707.4,8604.38,8660.83,0
S&P BSE METAL,2014-03-03,8640.23,8712.72,8598.74,8648.01,0
S&P BSE METAL,2014-03-04,8671.74,8945.34,8671.74,8934.61,0
S&P BSE METAL,2014-03-05,8989.1,9047.63,8902.04,8995.15,0
S&P BSE METAL,2014-03-06,9033.3,9209.14,9016.04,9196.01,0
S&P BSE METAL,2014-03-07,9245.8,9380.68,9206.87,9348.36,0
S&P BSE METAL,2014-03-10,9283.09,9342.07,9214.87,9251.75,0
S&P BSE METAL,2014-03-11,9242.26,9242.26,8914.9,8933.63,0
S&P BSE METAL,2014-03-12,8860.3,9025.7,8829.69,8915.24,0
S&P BSE METAL,2014-03-13,8962.0,9044.82,8829.61,8858.33,0
S&P BSE METAL,2014-03-14,8783.95,8921.86,8766.2,8897.93,0
S&P BSE METAL,2014-03-18,8972.9,9031.82,8935.72,8951.21,0
S&P BSE METAL,2014-03-19,8987.13,9192.83,8963.25,9140.81,0
S&P BSE METAL,2014-03-20,9126.26,9184.67,9011.83,9031.14,0
S&P BSE METAL,2014-03-21,9088.97,9282.83,9085.33,9205.24,0
S&P BSE METAL,2014-03-22,9196.27,9199.39,9165.47,9187.84,0
S&P BSE METAL,2014-03-24,9239.96,9311.81,9162.8,9277.14,0
S&P BSE METAL,2014-03-25,9250.31,9377.81,9247.77,9290.13,0
S&P BSE METAL,2014-03-26,9365.62,9571.61,9365.62,9541.42,0
S&P BSE METAL,2014-03-27,9552.31,9600.26,9515.1,9538.99,0
S&P BSE METAL,2014-03-28,9575.42,9698.74,9570.03,9684.27,0
S&P BSE METAL,2014-03-31,9735.11,10098.41,9732.21,10059.1,0
S&P BSE METAL,2014-04-01,10113.86,10128.98,9882.05,10100.31,0
S&P BSE METAL,2014-04-02,10161.89,10180.14,10013.44,10049.44,0
S&P BSE METAL,2014-04-03,10073.92,10235.47,9992.29,10084.86,0
S&P BSE METAL,2014-04-04,10120.03,10165.0,10017.83,10110.15,0
S&P BSE METAL,2014-04-07,10160.41,10198.77,9943.03,10134.35,0
S&P BSE METAL,2014-04-09,10159.8,10377.3,10159.8,10363.34,0
S&P BSE METAL,2014-04-10,10372.15,10495.28,10284.82,10385.84,0
S&P BSE METAL,2014-04-11,10314.14,10447.65,10246.4,10352.33,0
S&P BSE METAL,2014-04-15,10362.82,10433.95,10001.54,10061.67,0
S&P BSE METAL,2014-04-16,10058.06,10199.27,9940.6,10080.45,0
S&P BSE METAL,2014-04-17,10083.03,10285.05,10083.03,10266.72,0
S&P BSE METAL,2014-04-21,10285.98,10548.82,10281.03,10495.19,0
S&P BSE METAL,2014-04-22,10478.48,10494.27,10379.31,10412.29,0
S&P BSE METAL,2014-04-23,10448.14,10460.89,10380.75,10435.17,0
S&P BSE METAL,2014-04-25,10428.51,10560.59,10378.72,10432.38,0
S&P BSE METAL,2014-04-28,10444.04,10510.06,10355.01,10376.59,0
S&P BSE METAL,2014-04-29,10400.44,10416.9,10062.96,10097.42,0
S&P BSE METAL,2014-04-30,10105.52,10153.88,9856.82,9981.03,0
S&P BSE METAL,2014-05-02,10024.34,10071.13,9809.05,9840.32,0
S&P BSE METAL,2014-05-05,9830.79,10051.1,9792.05,9959.13,0
S&P BSE METAL,2014-05-06,9984.35,10042.81,9911.89,9965.93,0
S&P BSE METAL,2014-05-07,9951.09,9982.07,9868.73,9894.94,0
S&P BSE METAL,2014-05-08,9940.91,9996.69,9868.85,9908.59,0
S&P BSE METAL,2014-05-09,9912.66,10261.2,9890.42,10224.81,0
S&P BSE METAL,2014-05-12,10236.01,10504.67,10205.75,10465.99,0
S&P BSE METAL,2014-05-13,10573.82,10810.4,10463.53,10540.56,0
