symbol,date,open,high,low,close,volume
SADHNANIQ,2023-05-05,136.6,144.45,132.05,132.9,89648
SADHNANIQ,2023-05-08,132.9,133.15,128.4,130.8,29207
SADHNANIQ,2023-05-09,134.0,135.45,129.0,130.2,34041
SADHNANIQ,2023-05-10,129.9,132.5,126.6,129.7,33474
SADHNANIQ,2023-05-11,129.0,130.8,127.3,127.9,14195
SADHNANIQ,2023-05-12,126.0,131.3,122.1,128.1,62614
SADHNANIQ,2023-05-15,128.1,132.8,126.05,129.7,86502
SADHNANIQ,2023-05-16,130.6,138.9,128.75,133.85,194066
SADHNANIQ,2023-05-17,137.8,138.9,129.0,131.45,134703
SADHNANIQ,2023-05-18,133.4,134.85,131.95,133.2,52942
SADHNANIQ,2023-05-19,134.85,134.85,131.1,132.0,29128
SADHNANIQ,2023-05-22,134.0,134.0,129.5,130.8,51878
SADHNANIQ,2023-05-23,132.75,135.5,130.5,132.05,71911
SADHNANIQ,2023-05-24,133.4,133.5,129.3,132.0,71100
SADHNANIQ,2023-05-25,138.0,138.0,127.55,130.0,148769
SADHNANIQ,2023-05-26,130.7,131.5,125.0,125.4,77579
SADHNANIQ,2023-05-29,127.3,130.7,124.05,125.95,68064
SADHNANIQ,2023-05-30,126.0,129.0,126.0,127.0,24260
SADHNANIQ,2023-05-31,127.9,138.0,126.4,134.45,170735
SADHNANIQ,2023-06-01,135.0,137.8,130.75,131.7,120242
SADHNANIQ,2023-06-02,138.0,139.0,134.05,136.65,171782
SADHNANIQ,2023-06-05,138.7,138.7,133.25,134.1,96414
SADHNANIQ,2023-06-06,135.9,148.4,135.55,144.65,929266
SADHNANIQ,2023-06-07,145.15,146.85,137.5,139.6,222139
SADHNANIQ,2023-06-08,140.85,142.0,135.95,137.8,116353
SADHNANIQ,2023-06-09,135.15,140.9,134.0,135.7,113578
SADHNANIQ,2023-06-12,137.75,137.9,133.25,134.1,61664
SADHNANIQ,2023-06-13,135.5,137.85,132.8,133.55,57188
SADHNANIQ,2023-06-14,137.5,137.65,134.1,136.6,68104
SADHNANIQ,2023-06-15,137.2,138.9,134.0,134.65,141621
SADHNANIQ,2023-06-16,136.65,137.45,131.95,133.15,100635
SADHNANIQ,2023-06-19,136.8,136.8,132.0,133.0,119174
