symbol,date,open,high,low,close,volume
SAKUMA,2008-06-09,1.4,1.4,1.33,1.39,63620
SAKUMA,2008-06-10,1.38,1.43,1.35,1.36,33280
SAKUMA,2008-06-11,1.25,1.47,1.25,1.43,28530
SAKUMA,2008-06-12,1.35,1.49,1.35,1.47,9320
SAKUMA,2008-06-13,1.4,1.6,1.4,1.52,73310
SAKUMA,2008-06-16,1.65,1.67,1.49,1.5,35370
SAKUMA,2008-06-17,1.49,1.54,1.47,1.54,31910
SAKUMA,2008-06-18,1.48,1.6,1.48,1.57,39960
SAKUMA,2008-06-19,1.5,1.52,1.48,1.5,20390
SAKUMA,2008-06-20,1.46,1.57,1.45,1.46,54070
SAKUMA,2008-06-23,1.59,1.59,1.4,1.41,42730
SAKUMA,2008-06-24,1.48,1.48,1.33,1.33,27840
SAKUMA,2008-06-25,1.31,1.39,1.3,1.31,53990
SAKUMA,2008-06-26,1.31,1.4,1.31,1.38,16630
SAKUMA,2008-06-27,1.39,1.41,1.25,1.29,151980
SAKUMA,2008-06-30,1.37,1.37,1.25,1.26,65460
SAKUMA,2008-07-01,1.22,1.22,1.14,1.16,108170
SAKUMA,2008-07-02,1.13,1.19,1.1,1.16,63010
SAKUMA,2008-07-03,1.22,1.22,1.13,1.21,59290
SAKUMA,2008-07-04,1.16,1.21,1.14,1.18,48980
SAKUMA,2008-07-07,1.16,1.38,1.16,1.26,66470
SAKUMA,2008-07-08,1.29,1.29,1.2,1.22,44860
SAKUMA,2008-07-09,1.24,1.3,1.23,1.29,30890
SAKUMA,2008-07-10,1.24,1.32,1.24,1.27,66930
SAKUMA,2008-07-11,1.29,1.35,1.29,1.31,11200
SAKUMA,2008-07-14,1.31,1.31,1.26,1.26,32930
SAKUMA,2008-07-15,1.24,1.31,1.05,1.22,95150
SAKUMA,2008-07-16,1.26,1.26,1.14,1.21,75700
SAKUMA,2008-07-17,1.27,1.28,1.17,1.24,56190
SAKUMA,2008-07-18,1.2,1.29,1.2,1.29,29710
SAKUMA,2008-07-21,1.21,1.3,1.21,1.26,15220
SAKUMA,2008-07-22,1.2,1.3,1.2,1.26,15090
SAKUMA,2008-07-23,1.28,1.39,1.15,1.35,107740
SAKUMA,2008-07-24,1.21,1.39,1.21,1.31,49560
SAKUMA,2008-07-25,1.29,1.3,1.24,1.27,88120
SAKUMA,2008-07-28,1.28,1.31,1.28,1.29,32060
SAKUMA,2008-07-29,1.24,1.36,1.24,1.27,41930
SAKUMA,2008-07-30,1.28,1.52,1.28,1.47,170790
SAKUMA,2008-07-31,1.53,1.62,1.41,1.42,103320
SAKUMA,2008-08-01,1.38,1.47,1.38,1.4,50020
SAKUMA,2008-08-04,1.41,1.46,1.41,1.44,58640
