symbol,date,open,high,low,close,volume
SALSTEEL,2008-06-09,15.05,16.0,14.85,15.15,174537
SALSTEEL,2008-06-10,15.05,15.35,14.5,15.1,188732
SALSTEEL,2008-06-11,15.4,15.7,15.25,15.6,42921
SALSTEEL,2008-06-12,15.5,16.2,15.15,16.05,73719
SALSTEEL,2008-06-13,16.05,16.4,15.95,16.0,42569
SALSTEEL,2008-06-16,16.7,16.7,16.05,16.6,46963
SALSTEEL,2008-06-17,16.3,16.55,16.15,16.2,33039
SALSTEEL,2008-06-18,16.2,17.2,16.1,16.85,74648
SALSTEEL,2008-06-19,16.35,17.25,16.35,17.15,107519
SALSTEEL,2008-06-20,16.75,17.25,16.7,17.05,181140
SALSTEEL,2008-06-23,16.4,17.1,16.4,16.95,189257
SALSTEEL,2008-06-24,16.6,17.3,16.55,16.9,152023
SALSTEEL,2008-06-25,16.6,17.4,16.6,17.2,130322
SALSTEEL,2008-06-26,17.3,17.5,16.75,16.95,40409
SALSTEEL,2008-06-27,16.75,17.2,16.55,16.95,55738
SALSTEEL,2008-06-30,16.75,17.0,16.35,16.8,71196
SALSTEEL,2008-07-01,16.2,16.95,15.8,16.2,83717
SALSTEEL,2008-07-02,14.1,16.65,14.1,16.25,209388
SALSTEEL,2008-07-03,16.5,16.5,14.85,15.15,46156
SALSTEEL,2008-07-04,15.7,16.0,14.75,15.75,50079
SALSTEEL,2008-07-07,15.9,16.15,15.6,15.9,43255
SALSTEEL,2008-07-08,15.25,15.9,15.25,15.55,26855
SALSTEEL,2008-07-09,15.7,16.0,15.4,15.5,37490
SALSTEEL,2008-07-10,15.15,15.85,15.15,15.65,29904
SALSTEEL,2008-07-11,16.3,16.3,15.25,15.3,39888
SALSTEEL,2008-07-14,15.0,16.55,14.9,16.4,109465
SALSTEEL,2008-07-15,16.05,16.5,15.55,16.35,67676
SALSTEEL,2008-07-16,16.2,16.65,15.4,15.45,19830
SALSTEEL,2008-07-17,15.75,16.1,15.3,15.4,25361
SALSTEEL,2008-07-18,15.7,15.9,15.2,15.75,36099
SALSTEEL,2008-07-21,15.55,15.65,14.75,14.9,51985
SALSTEEL,2008-07-22,15.15,15.3,15.05,15.2,29744
SALSTEEL,2008-07-23,15.75,15.9,15.3,15.85,51700
SALSTEEL,2008-07-24,16.55,16.55,15.5,15.6,15721
SALSTEEL,2008-07-25,15.4,15.7,15.35,15.45,13544
SALSTEEL,2008-07-28,15.1,16.0,15.1,15.75,26570
SALSTEEL,2008-07-29,15.6,16.3,15.35,15.45,42744
SALSTEEL,2008-07-30,15.7,16.25,15.3,15.85,42938
SALSTEEL,2008-07-31,15.7,16.45,15.55,15.75,46971
SALSTEEL,2008-08-01,15.6,18.9,15.5,16.55,69631
SALSTEEL,2008-08-04,16.5,19.25,15.9,18.5,510854
SALSTEEL,2008-08-05,19.0,19.2,17.25,17.5,155745
SALSTEEL,2008-08-06,17.7,17.95,16.6,16.95,102210
SALSTEEL,2008-08-07,17.0,18.2,16.55,17.0,73792
SALSTEEL,2008-08-08,17.0,17.4,16.65,16.75,35250
SALSTEEL,2008-08-11,17.0,17.25,16.5,16.75,26410
SALSTEEL,2008-08-12,16.75,17.45,16.25,16.5,35905
SALSTEEL,2008-08-13,17.0,17.0,16.35,16.5,35432
SALSTEEL,2008-08-14,16.25,16.65,15.9,16.05,29653
SALSTEEL,2008-08-18,16.0,16.65,15.8,15.85,25263
SALSTEEL,2008-08-19,15.7,15.8,15.5,15.55,26861
SALSTEEL,2008-08-20,15.2,16.25,15.2,15.8,29835
SALSTEEL,2008-08-21,15.55,15.8,15.45,15.5,21658
SALSTEEL,2008-08-22,15.65,15.65,15.1,15.35,32747
SALSTEEL,2008-08-25,15.65,15.8,15.35,15.6,26647
SALSTEEL,2008-08-26,15.15,15.55,15.15,15.2,29420
SALSTEEL,2008-08-27,15.2,15.3,15.0,15.05,16933
SALSTEEL,2008-08-28,14.75,15.3,14.75,15.0,22542
